year,ref,rcp45_moy,rcp45_min,rcp45_max,rcp85_moy,rcp85_min,rcp85_max
1981,59.75,56.19047619047619,32.5,75.0,59.60227272727273,31.25,94.0
1982,35.0,57.345238095238095,32.75,88.5,61.0,33.0,89.5
1983,63.5,51.17857142857143,26.0,82.0,53.68181818181818,27.75,85.0
1984,57.0,57.035714285714285,20.5,74.25,61.93181818181818,20.25,83.0
1985,48.75,59.892857142857146,35.0,85.0,64.2840909090909,35.5,93.25
1986,42.0,53.833333333333336,28.75,75.0,57.43181818181818,29.25,86.5
1987,56.25,56.30952380952381,34.75,84.25,63.27272727272727,36.75,90.75
1988,72.5,66.82142857142857,33.75,89.0,69.47727272727273,35.5,89.5
1989,59.25,54.73809523809524,32.75,79.25,57.86363636363637,30.0,79.5
1990,57.75,63.17857142857143,35.0,90.5,64.5340909090909,33.0,97.75
1991,57.5,58.892857142857146,32.0,84.25,61.64772727272727,30.25,86.25
1992,36.0,50.892857142857146,23.25,73.25,54.56818181818182,24.5,74.75
1993,55.0,55.404761904761905,23.5,72.25,58.89772727272727,23.0,78.0
1994,62.75,53.142857142857146,30.0,77.25,57.86363636363637,31.75,90.0
1995,52.75,58.42857142857143,34.75,84.0,61.67045454545455,39.75,95.75
1996,60.75,56.714285714285715,29.5,84.25,59.39772727272727,28.25,90.75
1997,29.5,62.48809523809524,37.0,90.75,64.92045454545455,47.25,91.75
1998,87.0,65.53571428571429,38.75,95.75,69.31818181818181,37.5,98.5
1999,55.5,71.79761904761905,32.5,103.5,73.38636363636364,34.25,107.75
2000,67.0,65.66666666666667,50.25,90.25,69.57954545454545,51.25,93.0
2001,71.0,66.51190476190476,39.5,91.5,69.69318181818181,40.25,95.0
2002,56.0,67.0,44.25,101.75,69.92045454545455,50.75,100.0
2003,64.75,62.54761904761905,32.25,97.0,65.64772727272727,34.0,105.5
2004,59.0,65.5952380952381,50.25,85.0,68.07954545454545,50.5,81.25
2005,72.25,70.26190476190476,46.25,96.0,75.32954545454545,53.25,102.75
2006,57.0,77.41666666666667,55.0,106.0,67.125,49.25,87.0
2007,76.5,74.5,45.5,107.0,74.22727272727273,45.75,104.25
2008,71.5,67.0,52.0,80.25,69.11363636363636,41.25,89.0
2009,58.25,82.20238095238095,50.25,106.5,77.2840909090909,45.75,104.5
2010,96.5,73.48809523809524,59.0,92.5,83.52272727272727,59.5,109.25
2011,,80.1547619047619,31.0,110.25,80.02272727272727,43.0,100.0
2012,,77.22619047619048,55.0,99.0,73.11363636363636,44.5,96.75
2013,,75.85714285714286,44.25,103.25,72.72727272727273,41.75,103.0
2014,,76.16666666666667,50.75,120.0,81.70454545454545,40.75,120.75
2015,,79.47619047619048,53.5,105.75,84.38636363636364,51.25,116.25
2016,,82.97619047619048,61.0,104.0,75.875,31.5,105.0
2017,,74.58333333333333,50.75,98.75,81.85227272727273,61.0,110.25
2018,,76.64285714285714,51.25,101.75,87.82954545454545,61.25,108.75
2019,,73.48809523809524,53.75,96.5,84.60227272727273,50.0,108.0
2020,,81.78571428571429,61.75,105.25,78.92045454545455,58.5,103.75
2021,,88.70238095238095,64.0,119.5,82.375,39.5,109.0
2022,,81.30952380952381,46.5,108.5,89.0,44.25,114.5
2023,,80.04761904761905,52.0,124.5,91.0909090909091,72.5,112.25
2024,,80.48809523809524,47.5,115.5,88.67045454545455,64.75,127.0
2025,,89.23809523809524,72.25,107.5,88.42045454545455,60.75,118.25
