year,ref,rcp26_middle,rcp26_lower,rcp26_upper,rcp45_middle,rcp45_lower,rcp45_upper,rcp85_middle,rcp85_lower,rcp85_upper
1988,137.87864823348696,132.81200519910195,105.0552995391705,170.38863287250385,135.05929339477726,105.46543778801843,177.44854070660523,140.56144393241163,105.14592933947772,179.752688172043
1989,149.66513056835635,133.94493678364648,95.54070660522274,164.57142857142858,136.2896313364055,100.1874039938556,161.00460829493088,137.27769243898277,101.58678955453148,166.34408602150538
1990,133.88018433179724,153.28441451022096,119.605222734255,174.47465437788017,146.44930875576037,117.62826420890936,178.96927803379415,152.5599931728964,122.62826420890936,178.91244239631337
1991,138.49462365591398,143.71924849344202,105.80798771121351,184.38248847926263,143.85291858678954,105.07066052227344,175.91090629800308,141.92660863628606,105.18433179723502,175.92012288786484
1992,145.54377880184333,143.01240694789084,117.0937019969278,180.0583717357911,140.15299539170505,95.24116743471582,179.72350230414747,148.500085338795,115.0952380952381,181.4639016897081
1993,146.27342549923196,154.32813423136005,129.56989247311827,175.78494623655914,146.6901689708141,108.16897081413212,187.93087557603687,150.70848267622466,114.72196620583718,187.3072196620584
1994,125.4347158218126,141.3182086730474,109.05222734254993,166.90168970814133,149.0173579109063,112.86328725038402,180.27803379416284,148.00861921829664,109.88018433179724,182.8448540706605
1995,122.12749615975424,144.16105399976368,123.11213517665132,175.57603686635946,147.00151120782843,122.22887864823348,168.23963133640552,148.21780683266056,125.568356374808,172.21966205837174
1996,138.10752688172042,154.9437551695616,126.24116743471582,178.3917050691244,145.8311059907834,114.58371735791091,174.76651305683563,156.63603003925584,123.84485407066052,178.83410138248848
1997,105.67281105990784,145.47902634999406,122.32718894009216,167.4500768049155,141.52549923195085,111.75883256528418,173.86482334869433,144.9094555384878,113.41628264208909,177.9431643625192
1998,131.22273425499233,137.81803143093464,96.6036866359447,176.0752688172043,148.00921658986175,98.32565284178187,184.1090629800308,147.96287762416796,95.27956989247312,182.98003072196624
1999,150.41781874039938,147.80172515656386,93.09984639016898,181.3778801843318,145.39262672811057,89.6036866359447,179.93855606758834,148.4348011606076,92.81566820276498,185.4516129032258
2000,144.91397849462365,140.28453267162945,120.10291858678956,165.5268817204301,139.02181259600613,114.96774193548389,176.60983102918587,146.4358252261478,121.605222734255,174.80645161290323
2001,157.97235023041475,143.02776793099372,127.38863287250383,166.16436251920123,144.37112135176653,102.55606758832565,178.88018433179724,146.7762416794675,103.38402457757296,170.07834101382488
2002,108.92165898617512,137.7734845799362,108.36559139784946,157.13824884792626,147.97127496159752,109.678955453149,181.0061443932412,150.2072879330944,114.25499231950845,181.88018433179724
2003,134.44546850998464,136.4727637953444,96.02457757296467,188.9554531490016,137.25299539170507,98.357910906298,162.12135176651304,142.9572452636969,105.9800307219662,185.6712749615976
2004,125.51920122887864,128.5181377762023,105.77726574500768,159.34562211981566,143.44039938556068,106.3195084485407,187.74654377880185,145.1132445809865,105.84792626728112,185.1321044546851
2005,159.36712749615975,133.54933238804205,114.5115207373272,157.25038402457758,137.57680491551463,113.30721966205836,166.6236559139785,140.46100017067758,115.97849462365592,169.39938556067588
2006,149.27649769585253,137.84343613375873,103.05222734254993,175.07834101382488,153.4689708141321,124.06912442396312,183.5099846390169,138.2779484553678,108.6620583717358,182.7711213517665
2007,158.93087557603687,150.65532317145218,108.5468509984639,174.24116743471583,154.48801843317972,115.46390168970814,194.43932411674348,153.62962962962965,111.20890937019968,193.0937019969278
2008,147.47619047619048,145.9447004608295,89.31182795698925,178.2826420890937,140.58947772657453,111.0384024577573,171.75883256528417,154.38504864311315,125.44393241167435,180.53302611367127
2009,163.78955453149,147.67623774075386,122.80645161290325,185.43625192012288,144.77972350230417,109.66359447004608,181.8479262672811,144.300051203277,101.70353302611367,187.29800307219665
