year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
2040,,247.55613480779357,275.6863328877547,308.1374934175882,240.13006845708267,268.1406003159558,293.0236966824645,238.48209583991573,266.24173009718027,295.3390995260664
2041,,232.7728278041074,272.3578199052133,304.8998420221169,240.64218009478674,263.896098197046,281.5444971037388,235.00318588730912,272.1236895016516,307.8199842022117
2042,,246.9675092153765,264.92974034917165,280.63865192206424,249.94997367035282,269.9941824017654,284.86282253817797,253.10497630331753,274.0289985159653,303.2359926276988
2043,,239.75676671932598,264.4238668124924,283.8563981042654,256.97604002106374,275.7107374808797,291.21327014218014,249.81595576619273,282.50631911532383,311.23686150605585
2044,,258.0309110057925,274.050289626119,290.18667719852556,247.34307530279094,273.9529326211791,295.42680358083214,253.46456029489204,277.24064100722876,296.2982359136388
2045,,232.38672985781992,268.9371126503828,295.52074776198003,250.66956292785676,263.620376639334,281.1998420221169,249.92503949447078,278.29703432428556,305.76803580832023
2046,,236.3047393364929,272.8046947786284,310.44439178515006,251.07161664033703,275.4819579227163,293.64665613480787,250.84394418114798,275.804466465604,304.6917324907846
2047,,245.04797261716692,275.86312634179933,312.524644549763,251.8464981569247,274.3918102259335,300.3175355450237,251.28699315429174,283.7244482742113,321.9365718799368
2048,,246.80337019483937,263.49560497427797,279.78404423380726,255.69668246445497,269.56174929160716,281.82964718272774,268.4283307003686,290.61723873809177,327.1317798841496
2049,,236.62185360716165,267.9229148944789,313.22053712480255,257.1771985255398,274.0295769703353,293.3343865192207,248.6061084781464,277.3092297381397,302.102159031069
2050,,240.12959452343338,270.3092518329485,302.78478146392837,257.7238020010532,279.4678903683643,306.0437072143233,244.74215376513956,281.81062999664897,301.7589784096893
2051,,270.4588204318062,280.1049945315348,299.72095839915744,263.9349657714587,283.2867549336744,301.50921537651396,251.62403896787785,283.0693307482407,304.2669036334913
2052,,248.03470247498683,275.89541053996027,295.8547656661401,262.3973143759874,283.61706662654535,305.4410215903107,265.51090047393365,290.6222174350136,316.65968931016323
2053,,246.89120589784096,270.64394215579046,298.4978936282254,252.02764612954186,276.68825697735656,298.9626119010005,264.22725118483413,299.03913543013067,323.36211163770406
2054,,244.62353870458136,277.09253858305993,302.10458135860983,244.78515007898895,273.24718523533693,299.6861506055819,261.9272248551869,290.8908037723203,325.1123486045287
2055,,244.3815692469721,264.6825049621258,289.2489204844655,263.9046866771985,282.3064645552797,299.1147972617167,271.93449183780933,298.9075470343242,324.98628225381776
2056,,248.41537651395473,275.48515412970386,299.70768825697735,249.5558188520274,270.6080643947942,287.37519747235393,270.80100052659293,299.3243692852698,330.3401000526593
