stn,var,rcp,hor,stat,centile,val
enacts,tasmax,ref,2020-2020,none,-1,37.389507
enacts,tasmax,rcp26,2020-2020,mean,-1,37.506571
enacts,tasmax,rcp26,2021-2050,mean,-1,38.035148
enacts,tasmax,rcp26,2051-2080,mean,-1,38.249052
enacts,tasmax,rcp26,2020-2020,min,-1,37.296631
enacts,tasmax,rcp26,2021-2050,min,-1,37.141671
enacts,tasmax,rcp26,2051-2080,min,-1,37.296925
enacts,tasmax,rcp26,2020-2020,max,-1,37.785613
enacts,tasmax,rcp26,2021-2050,max,-1,39.147474
enacts,tasmax,rcp26,2051-2080,max,-1,39.300232
enacts,tasmax,rcp26,2020-2020,centile,1,37.299365
enacts,tasmax,rcp26,2021-2050,centile,1,37.159846
enacts,tasmax,rcp26,2051-2080,centile,1,37.312969
enacts,tasmax,rcp26,2020-2020,centile,10,37.322012
enacts,tasmax,rcp26,2021-2050,centile,10,37.304456
enacts,tasmax,rcp26,2051-2080,centile,10,37.431941
enacts,tasmax,rcp26,2020-2020,centile,50,37.49838
enacts,tasmax,rcp26,2021-2050,centile,50,38.066027
enacts,tasmax,rcp26,2051-2080,centile,50,38.463806
enacts,tasmax,rcp26,2020-2020,centile,90,37.670297
enacts,tasmax,rcp26,2021-2050,centile,90,38.873154
enacts,tasmax,rcp26,2051-2080,centile,90,39.152464
enacts,tasmax,rcp26,2020-2020,centile,99,37.773583
enacts,tasmax,rcp26,2021-2050,centile,99,39.121771
enacts,tasmax,rcp26,2051-2080,centile,99,39.291225
enacts,tasmax,rcp45,2020-2020,mean,-1,37.493117
enacts,tasmax,rcp45,2021-2050,mean,-1,37.888526
enacts,tasmax,rcp45,2051-2080,mean,-1,38.716039
enacts,tasmax,rcp45,2020-2020,min,-1,37.330608
enacts,tasmax,rcp45,2021-2050,min,-1,37.240648
enacts,tasmax,rcp45,2051-2080,min,-1,37.99006
enacts,tasmax,rcp45,2020-2020,max,-1,37.817214
enacts,tasmax,rcp45,2021-2050,max,-1,38.517167
enacts,tasmax,rcp45,2051-2080,max,-1,39.460918
enacts,tasmax,rcp45,2020-2020,centile,1,37.339696
enacts,tasmax,rcp45,2021-2050,centile,1,37.259298
enacts,tasmax,rcp45,2051-2080,centile,1,38.011526
enacts,tasmax,rcp45,2020-2020,centile,10,37.382153
enacts,tasmax,rcp45,2021-2050,centile,10,37.520908
enacts,tasmax,rcp45,2051-2080,centile,10,38.193987
enacts,tasmax,rcp45,2020-2020,centile,50,37.473794
enacts,tasmax,rcp45,2021-2050,centile,50,37.876619
enacts,tasmax,rcp45,2051-2080,centile,50,38.729176
enacts,tasmax,rcp45,2020-2020,centile,90,37.734385
enacts,tasmax,rcp45,2021-2050,centile,90,38.283176
enacts,tasmax,rcp45,2051-2080,centile,90,39.386272
enacts,tasmax,rcp45,2020-2020,centile,99,37.802731
enacts,tasmax,rcp45,2021-2050,centile,99,38.496029
enacts,tasmax,rcp45,2051-2080,centile,99,39.451351
enacts,tasmax,rcp85,2020-2020,mean,-1,37.460977
enacts,tasmax,rcp85,2021-2050,mean,-1,38.103635
enacts,tasmax,rcp85,2051-2080,mean,-1,39.805841
