year,ref,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-257.2544936816213,186.40661944221807,271.0138477895672,260.39627581297856,222.87616173053658,-92.02489116359527,-123.24546165279963,105.28268801960758,-258.26619346369546,-236.6500259020563,-61.03910532753571,-167.5264534639034,-236.11466534355992,0.5672705272949088,-216.84657849623375,-144.8189405297769,-286.90844930135177,-55.330732528018416,-228.37699827180444,-257.8749445075165,188.54262971538031,266.19942518289383,241.2644349424453,220.97290719613164,-112.82333699888306,41.767812320546284,-104.50694020683682,13.372821504772446,-117.52465868004953,87.73404099119472,-251.12482104519177,-229.05584496049448,-53.37515205316538,-182.03426531892177,-228.60213919167956,-13.575990021115558,-219.9073069282499,-158.12971280336853,-294.01491086661076,-68.55630911826626,-236.23965919791698
1982,0.0,-289.96670170351297,207.66773615133508,311.6578126322219,308.45137336089635,238.33017656126123,-81.8263134655175,-86.23869489654999,128.9489101193588,-133.091723570437,-297.2247931073824,-86.52871915819372,-109.48119285844894,-218.73473065951976,-9.323461211129256,-247.00340981697366,-135.1517618740828,-184.09683221987666,-111.71662703967604,-148.52796943360147,-295.4944531432649,214.82677922024578,299.6825783307097,292.06129215184535,236.5270038906292,-102.80779633438726,52.876686120184104,-105.8305257130022,44.24531049270297,-88.30565379826862,104.19203556472462,-131.0782006588555,-282.7840054985156,-76.07897684480452,-114.42472906832836,-215.14992045947236,-18.388910184050587,-253.23074238763388,-149.53613909357057,-199.4003312978008,-109.89287773424451,-147.4055173784069
1983,0.0,-281.3408512774307,181.34384892122114,218.13835155066835,202.37847528183877,227.4316513351669,-122.2360194943376,-151.80687886604198,120.52714957114034,-217.20097657833787,-232.27732354216022,-53.259980365148635,-145.20889269909992,-137.29887577042837,-22.269818682253003,-236.9518628547553,-157.0229454816067,-223.52256894236655,-155.88906851170623,-235.41281137215287,-285.8859644817122,188.72306520172776,216.79135077478676,201.7505343081871,227.53170578798267,-144.39625124100098,48.6502280962834,-45.740899447084416,20.336496132159823,-153.88035961492562,97.78196573692213,-214.06855417905706,-227.08502286348016,-42.24324233848711,-155.3989993474214,-128.06070718157093,-30.04934705098367,-235.9079495725474,-164.61593975723918,-224.1903989390396,-166.71193422375507,-239.3611549796998
1984,0.0,-184.48684384862906,174.8108090525576,305.30118976301196,182.31896601887811,238.56588518308803,-90.41583724967143,-84.4970400823255,123.36568296128755,-205.6446325200651,-219.55384605808422,-67.06997624064786,-134.4809158700548,-166.92845993048297,8.49392786104977,-244.47531906598988,-116.53629895359904,-267.27940545530475,-106.96942908401434,-133.9594690700893,-189.52487274729754,182.7101500528433,302.20363954541426,185.60309062990018,244.58733700261195,-100.5591616579652,59.54185163996539,-91.39738666241419,10.302449498268913,-91.81975701196143,107.49356666501333,-204.51045211574183,-215.77650966696694,-60.15275285518885,-144.13408802845856,-162.90761038887865,-4.13382161233892,-250.0263435020713,-131.49503988459423,-271.3954904470436,-119.58559402263609,-135.7566543377418
1985,0.0,-308.52901429088445,192.2932750255431,272.95863916513986,222.96929445470448,229.42158970005028,-98.39632657373988,-64.26734202578297,108.87889623895217,-209.28996624372996,-188.24331316651205,-45.199251466866144,-110.11885212606785,-117.98302864348773,2.5493927905552596,-287.56830323633824,-162.1262964550458,-193.80089151550612,-76.06645283307051,-190.34661945847085,-313.4200588490101,202.03663138335412,260.36167213324086,216.6226195224109,236.20608165684763,-115.26261368281484,57.43559419413771,-203.20491463599535,44.65261500712717,-66.5263230813789,94.60953578000772,-207.26919127397662,-184.26549352467157,-36.35984012525546,-122.26899002982049,-110.49103447990348,-5.081101119341554,-288.48178197754817,-168.55004769152424,-200.12263105755835,-81.85202898377707,-194.66965973002073
1986,0.0,-260.57937900281013,245.18197486121255,267.25454325598605,201.92300021791283,228.75554324499296,-131.35689965778295,-121.51716625902316,110.21645419868332,-272.23230472926366,-164.96988396455572,-45.97180027829353,-136.64660236407053,-120.17386113537168,2.12113943276853,-254.57346243604593,-122.42101812515739,-227.9383042762712,-97.64732607985036,-211.58568214100114,-263.26506075298346,249.2351165100814,264.3312290570179,194.3454502655594,231.6550365802193,-146.9686900354776,48.72104040356419,-139.80997424807538,20.978985795402423,-114.48710931967139,102.49532519186323,-268.3354271913595,-161.27016062383905,-36.11142013844278,-145.88411212709752,-112.35330184393229,-1.9670121693973215,-257.6929661523104,-135.68458840212736,-233.36634951893893,-108.91737899181135,-208.78921274807942
1987,0.0,-251.8227891971244,218.26712558804968,226.22001693618432,322.8681568974289,231.32121105243561,-103.31194767936768,-118.87485529063315,109.93973302238612,-146.65422006574153,-280.6230255090609,-79.7803257714088,-153.90138788100518,-247.7276982487743,-24.862767516322947,-205.71062572624453,-123.07759426256621,-222.0241443525763,-128.13744988680446,-173.54375474212287,-252.8641592789022,231.7840195079803,206.23295365950935,307.7295424304679,236.5057813532269,-113.86005001443095,46.207483740162616,-161.7247356900483,14.632729252322406,-120.53165099823866,86.52996577465058,-149.5418237766396,-267.59595281450186,-70.90227089599125,-162.27471109632864,-248.5791439456645,-34.69564785322564,-207.54060307046745,-137.88768103455857,-221.71876303820892,-141.03899799375608,-176.89229418572063
1988,0.0,-250.88950111185898,183.09407320343263,267.811754129925,285.3203005672202,243.6798735529876,-126.88378116589377,-120.4198521327063,90.56070775498176,-119.45334817963374,-304.67604412612843,-75.52219065194186,-110.59274754172975,-146.03412858517675,10.472069185627618,-245.27141479427706,-152.1442324270073,-175.42062697190931,-80.4431939787334,-205.7647264267273,-260.1524260816077,195.20447246043216,257.2861647341324,277.67729457903243,249.23583372985127,-135.08026633131146,48.82010624174927,-87.52177355443354,-24.40816622381101,-127.23453142245273,68.4589604779535,-119.03197310581413,-288.03292162393586,-54.36710898454771,-122.49756160316804,-139.13396393108792,-6.896155831267663,-242.58177825900583,-162.4527284850809,-176.6922620302189,-83.54197654782746,-202.55005741887567
1989,0.0,-233.61205119175509,178.64986591605015,180.34658116008015,268.90900006025714,194.31193516676004,-73.19901963563473,-113.08420094720498,75.62068950999605,-213.84102937841396,-253.18046688340655,-42.734379496854785,-143.0039076731133,-132.8448094381506,-13.686973173652746,-292.3256701416313,-219.62481223154316,-234.29050227637248,-144.16292364827393,-172.63094761539384,-239.2991690153513,190.06091442903585,176.7645719492785,248.37634931004013,197.02232609521033,-99.70167458473361,44.17796181792539,-77.188740103123,-30.177364109464293,-121.04861507478017,39.40842894230241,-210.159639822769,-249.077940033657,-34.09613164432426,-153.02629676769845,-123.12140203447075,-23.965470507095688,-294.81682133993814,-237.98245632857822,-230.85113631622164,-155.79894805041977,-178.42209585985347
1990,0.0,-213.79755420522076,163.75006061706165,327.4378421449016,286.4609833190236,213.21880427119117,-60.31559667413592,-125.92150511238185,130.11297184495277,-210.94233850949513,-203.10691952131242,-9.702024897975775,-127.53029023331771,-106.30870209491763,0.4216059141192545,-228.74894602245706,-67.98906315872614,-185.17954727287736,-96.85339951315723,-301.2359352886437,-218.0379701538635,173.80931510770694,311.8061600190635,269.9150196371302,217.6527838696169,-117.19491379624026,46.85047325329106,-199.23905385516593,35.94917559302763,-129.57009544802213,99.03503176384282,-206.76323636632333,-196.27174871554587,-3.786385079853858,-135.64300111291584,-98.11573967582012,-10.477513585414158,-231.82029246904006,-80.02553587164431,-182.9011166628926,-100.30601908313815,-312.22193928370166
