year,ref,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,570.4115756172688,508.9971798316491,559.3442583786235,499.640504155348,451.7348928691516,476.5721393823239,666.135341809046,491.05738456109356,542.1024318563792,505.24483973974657,589.7872806484115,515.1047768392342,505.419421817782,484.3004784504305,419.293742576249,558.7301598949672,587.9412002561444,652.4671989872506,461.73806462316475,430.0802194974629,508.3767281667007,561.4802678357147,494.82608064099674,432.6030509467119,474.66888419681504,645.336895993756,485.3622591184752,522.0316996446745,574.7375816453036,496.77818633189037,524.5537847083558,512.3862102827611,597.3814619393207,522.7687294370647,490.91161041185757,491.8130056268346,405.1504818125394,555.6694319921025,574.6304293157332,645.3607370314089,448.51248744976937,422.2175581877371
1982,516.4272395186129,546.6527292238856,491.8665778283305,588.6649173915434,478.5106299103338,523.7173916822759,741.9910738316821,548.8948869200166,523.9193700083006,513.0829185174606,661.5506374059635,394.0449379148635,589.8426590749417,571.1139345292765,517.907820829113,539.6463311292096,485.3895075696586,553.7494185082016,392.6938606677802,483.50753734062323,541.1249767202165,499.02562033951267,576.6896832676632,462.1205489125684,521.9142187571083,721.0095914116514,450.4977743675689,456.7771758094191,519.332198473467,546.8279281488753,499.16249578165645,515.0964404461571,675.9914251018179,404.494679360836,584.8991231441439,574.6987443674944,508.8423716155745,533.4189985730262,471.0051294938679,538.4459205309939,394.5176101496827,484.6299901937557
1983,451.86276708915824,548.8321931810699,521.9825966499291,405.14106501424874,305.5966571300178,466.6150104795147,616.8149586620145,542.955917304885,599.3207666585034,518.1672692349804,499.841426910832,469.59123338650045,595.8575284267979,545.7934019245206,635.6919317741931,518.4679294716052,631.7386800741722,496.8949351754078,557.4434038901338,610.9498049255922,544.2870804400893,529.3618114495412,403.79406439922303,304.9687161991669,466.71506462743866,594.6547268162955,320.7937029912954,444.3868103640591,532.9326212893656,540.8824359220419,576.5755824878369,521.2996907849412,505.03372852905386,480.60797035114456,585.6674225480872,555.0315703676367,627.9124029553499,519.5118432602669,624.1456856966765,496.2271037516193,546.6205382707551,607.0014609121712
1984,571.738518614322,513.6350870764943,526.3212484469467,560.9898795961262,279.0159214783937,635.7770157876254,559.825451145046,536.6945558474833,350.2924628282733,618.1874850212625,572.5350433529456,531.1631320377182,587.8716987723915,563.2872971664979,393.5899019809418,520.1516570249546,400.1439939540876,532.8318606295466,584.8390513280317,478.9515918358087,508.5970583337919,534.2205897719598,557.8923276191884,282.30004539242975,641.7984681667132,549.6821256564024,387.7473632352368,539.3224241212547,493.4836519675096,529.3718384120903,334.42034581396496,619.3216646684941,576.3123789140044,538.0803553121589,578.2185276039777,567.3081469868664,380.9621526947973,514.6006333132104,385.18525365088647,528.7157752507167,572.2228853620911,477.1544065860521
1985,529.9393482645974,489.40166157877786,565.0259832765028,490.21637614192184,338.05341193266304,599.0649530371016,656.3520902174965,487.93884447781915,454.97126490563176,606.2741893095537,443.07401339225567,518.6171036923023,501.4344614705783,468.4916981816708,478.5269279907005,448.7333106563243,574.828809234682,567.5483240230636,474.4840436355618,502.50652657567036,484.5106164175433,574.7693399434248,477.6194101797321,331.706738359713,605.84944424109,639.4858034270608,451.91370585777184,582.1002993789917,486.6808941368038,485.6798635733719,440.7019054257189,608.294964834536,447.05183315005013,527.4565172253886,489.28432329492824,475.98369246983276,470.89643442807153,447.8198309756382,568.4050590060931,561.2265848129749,468.69846861868604,498.1834858144317
1986,546.1111182905734,549.2721530947358,695.9038577077187,505.6122091110186,314.0420518653493,499.16944778812183,596.0774924679389,604.4874508195375,334.20119846345017,547.5828261000127,510.3223338522473,501.2560000875621,566.2857229626065,372.0576623552864,492.9023807602427,617.9510683176728,519.0166117672101,589.1075829903539,532.5680166480084,550.7769516349114,546.5864718960568,699.9569998577326,502.6888942120845,306.46450179343594,502.06894175181344,580.4657014542244,500.55674781847085,623.5306598198025,453.11494570897514,611.5175082212575,326.48006850749783,551.4797033680618,514.0220566047733,511.11638067347803,557.0482136831918,379.87822149622673,488.81423033310494,614.8315651085064,505.7530409713564,583.6795370453585,521.2979630332878,553.5734213902545
1987,557.6001772563905,558.6002790799043,668.1139872766191,359.4190192100945,523.6660061732931,541.1761847124907,551.0318191553974,537.3481544424028,648.5613066221257,384.4283757566381,683.3942589784281,595.4191503913769,478.55598077904784,427.8214363950229,572.4196158034215,596.0962387454308,663.4543347048873,466.3789252811506,632.3218325824711,504.51788394058354,557.5589092371897,681.6308808569036,339.4319545066126,508.5273904963876,546.3607547327164,540.4837171847486,597.8041278940044,548.9241647321248,683.5348841566031,535.6913580783305,625.1515399770052,381.5407717220172,696.4213323632404,604.2972044344183,470.18265789887295,426.96999023367215,562.5867359893923,594.266261168787,648.6442487290102,466.6843068828038,619.4202836234801,501.1693452052689
1988,556.6834335364402,562.297977093104,464.8727551236346,465.5131408058483,450.95437908369115,593.6235082825565,530.3734339340618,609.8631374541758,731.433192399693,547.5462939804511,669.6792461845107,467.48081768248653,512.3788843271154,557.0964191451643,461.306327170005,411.9775533834924,590.6084223755287,567.2430678720496,441.0029017276691,583.4955890301002,553.0350519518333,476.9831536540167,454.987550750452,443.31137254517444,599.179467627352,522.1769488694435,595.4032446965866,414.56889781787174,767.5219033498889,603.0484580817672,709.3314452204306,547.9676693868089,686.3223693697693,488.6358987696418,500.4740703741554,563.9965838791927,443.9381010476997,414.66719066532875,580.2999262474194,565.9714331342666,437.9041200419903,586.7102580886379
1989,699.7174322791398,506.3113777051302,501.5451132888611,272.3896014102289,478.4405631766282,374.35930251480494,674.531157113274,585.8489418244687,707.070561257163,564.5051164735738,540.8979713722758,539.9406690987726,555.8931164452842,536.334252073638,525.1353744729734,488.3254105597544,570.7389941428547,490.7631388332572,581.1694666482047,454.8811469933592,500.6242582112231,512.9561626594432,268.80759187667877,457.9079115160814,377.069693329511,648.0285025818206,626.5652515364548,627.365696038847,541.3497152507553,577.8845281413749,670.8583018438796,568.1865086036458,545.0004979005658,548.5789168854773,545.8707281499826,546.0576580204521,514.8568774284469,485.8342582196412,552.3813492090875,494.20250368211987,569.5334423695111,449.0899979058785
1990,600.4061691761015,549.4579244988921,549.7332184607252,644.0035747056118,456.19019608107766,410.10151471345586,789.0236896922293,641.118498209773,541.1833043760317,477.049415970725,555.2881280382045,511.5878451257312,522.2475985068515,584.7022734648674,514.7557604428916,568.2887333028448,420.9607918623664,476.5559626542014,491.2777450659893,464.0317649096564,545.217507719995,559.7924724647689,628.3718926745207,439.6442321426182,414.53549364778075,732.1443742932491,573.1492682283447,704.8002724656493,366.32115506533177,637.4699085113907,510.1053638329981,481.22851872800163,562.1232985765976,517.5034850556842,514.1348870824097,592.8952357540181,503.8566415184117,565.2173867730509,408.92431854688044,478.8343937110392,487.8251274939672,453.04576191903584
