year,ref,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-58.48358026919368,-119.62240830708015,-167.72708493399978,32.89832122057305,-12.89319306690868,-66.42017288063289,-108.71959152589397,-280.255483894563,-132.33569913237534,-73.8999440464313,38.76219867016607,-194.65904805836408,-57.804134764591254,-119.35908110966284,-136.52063548239266,-72.35567568413398,-21.5646581962651,-287.7743467935479,-83.67382525141511,-137.72049777248867
1982,0.0,-120.61535367588067,-165.743159071847,-31.680341293951642,-99.93064869762475,-143.70699336543203,-255.73871718912687,-92.09424532545927,-109.9110724607749,-147.50959933764307,-93.68561608432992,-93.27479950536417,-58.82046679370342,-122.13418811619704,-99.35967353513797,-184.23813658869676,-261.7425193008571,-152.24127627181997,-116.93393231273149,-105.47276762980482,-157.72439195613015
1983,0.0,-147.0099491840715,-98.56658319188091,-111.20339520899552,-366.6000467026738,-147.79866122736803,-250.02915905030932,-242.5169617671395,-142.51249256609663,-128.85975153037634,-199.98537406565856,-361.58348150534084,-136.90412206119845,-146.70408766946457,-247.06320456240883,-118.80040425377683,-257.52459049689105,-157.6197726192836,-150.42436926293067,-209.7977218087085,-140.79720962365354
1984,0.0,-58.67163902440461,-84.69075655535607,-91.71822411856056,-36.170020821254184,-36.992730492668215,121.0152220911732,-34.97927977868676,-133.8999662912929,17.620831911061487,-83.09050134744302,-31.85542812788526,-118.79909390593957,-58.90227058638311,-48.86066950926124,-103.5752159699241,114.69821459850209,-51.25776123683636,-142.41372901403156,-95.11030441774392,3.3503016514500814
1985,0.0,29.799411882486766,-80.8130115153026,-115.94905024928539,-2.2968592251027076,50.48414200723846,-43.078632156311414,-249.64007172996025,-134.7373842777829,-147.10958774678875,-15.274441713888791,5.492010157686309,-143.12115938229545,29.922859183920536,-257.12157383799695,-97.38752590857348,-51.371672786961426,38.83351362054054,-143.2042828380131,-25.620471814185294,-156.01670923691654
1986,0.0,-139.02575419847017,79.03457047190523,-84.9903877251727,-69.39272296485842,-121.36280801267822,-51.90430217752191,-129.41093745720445,-41.25533434452791,-152.361444315055,-57.52661825148789,-66.43035036727588,-109.26659380254523,-136.07916791067873,-140.9314075205698,61.343936200742064,-57.083901813805824,-131.04798628713615,-47.709885619187844,-68.59886446352493,-164.8706762835177
1987,0.0,-62.838865466887455,83.48561037584886,-217.29386074416607,-105.01340568693468,31.52261118374099,-197.28744322440025,-92.82917333512614,-102.73134863972018,-21.196391194014268,-192.2817034376776,-101.20958468089339,-240.28124198107662,-61.32446395344141,-104.41809710210373,63.85291158702012,-203.98407133064802,22.17120862324373,-112.42539963232821,-201.5583940913857,-33.68406382627745
1988,0.0,74.52678625948283,-94.58471370942561,-211.67079635264872,-19.55469865555642,70.0232036902562,-159.0356210119844,-109.68059096441584,-96.08589219933265,-82.22628576592933,-23.823720664137454,-16.5675504341516,-235.9004933640931,76.97982866677194,-119.93623469836484,-113.17284993123849,-166.99962577784845,54.795818813400274,-102.60634001072776,-33.26994198302464,-94.38959289672948
1989,0.0,-42.74278353361524,30.115134168082477,-128.2335138479125,-15.461100776565218,-70.99662956959219,-103.9270279557636,-165.1926755366144,54.12213607232752,-56.0559886306587,-146.20233941345577,-10.553984733727702,-153.9883573525708,-42.94389598483622,-172.97516381916603,10.720062570878781,-110.07049718861208,-82.07212968873273,44.45752002497966,-154.6621776762736,-65.13032258133444
1990,0.0,-85.90960494361889,-63.82957222489813,-110.41118996669957,-110.65364426282531,-150.4653680921565,128.22223542280153,-134.24556796103843,68.45363406445358,-135.2253691285223,10.663751196929297,-104.84295195491677,-134.2942877407345,-86.074080507688,-143.90528020406055,-82.54769702818703,118.27399457963293,-157.120566525919,64.82699889365267,-0.504614378088263,-145.3027485691964
1991,0.0,8.493903332631817,-121.58857607042546,-91.33142073164481,-228.0634890479655,-205.72797322106953,-168.51680696533913,-127.91430102643608,-40.92501931087145,-56.47849137079311,-91.82735161120627,-228.2860467352607,-115.06821392921347,9.626547720400595,-138.51049259285628,-140.58382693799285,-172.82740972964575,-216.51805858060106,-48.294645557887634,-100.99884406090177,-64.47463700011531
1992,0.0,-30.298251872981837,-16.37225894369294,-168.20412972574604,-23.70041554598083,-185.92974000228105,-242.56914948565282,-173.75406958107442,-140.27039486065314,-123.79073564798637,-208.75178291656584,-19.8959105072513,-193.4027495047344,-30.30327141532689,-183.04017000932708,-34.21746960086102,-245.84990437490887,-195.15314611664007,-148.6732832418602,-217.0192629408043,-132.17034873102284
1993,0.0,-37.310371204591775,-144.79327687661407,-283.8626329483941,-114.8806968117633,-140.77419751585876,-131.42129297882684,-100.78124481247778,-24.114338289289662,-111.88078862949351,-42.77185544885697,-108.84119871947041,-305.35937641502505,-35.954909509761364,-109.47442019820255,-159.6549218050268,-138.70699369736485,-152.34885509498918,-31.800795479423414,-52.65148763265324,-124.21247303459631
1994,0.0,-73.89212589500858,-95.7159071245951,-124.46638432230975,-144.06072596838067,-114.37751609700308,-134.36389696805145,-120.04739970842593,-66.41248288458519,-9.26068291482352,-18.24599760226056,-139.7445745478708,-149.5020216288317,-72.03008686264684,-128.00118755593076,-114.36867833758106,-140.76425138701006,-123.84447588575586,-76.43435132301056,-28.826526734203526,-21.000859248481902
