year,ref,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,521.2053944281304,444.5618926936484,377.50445687372536,444.4460608794535,449.84515889391326,529.4544703104655,483.0157016915406,457.5789184731933,461.0871108070662,437.92211466731845,491.03304694955045,406.77495118616025,421.83753473716564,450.2012907947938,422.2745972252289,493.36504832689815,358.7414288939515,519.2610150338024,394.57856068918323,401.9716852807264,440.7537825385402,366.5201529693183,449.5502468198669,518.1837958051698,470.87879947618137,482.7129840003527,519.512499242234,444.9174082485963,477.4882201828662,438.5436027685937,464.7254841823487,431.097494595804,420.57488912463225,501.7279786198655,485.46459462497484,354.0288240651919,401.5160795154378,430.52335685239524,516.3275029523675,448.3644744024584,393.1673816392542,394.0645327072261
1982,474.7857218810916,458.20314281446963,303.03703881525524,446.014033430438,417.61095396630805,570.5557443534766,487.19211166924873,555.9288602599026,519.3894711609111,471.26893582018863,530.858164784783,473.70693254442887,506.1718531703489,456.3506696396454,339.0828123423931,415.1501591723876,412.37968504182805,469.8413101071679,425.3644230528809,348.6102557750546,452.7239289205172,297.85029791241874,415.58749742045813,559.74095493394,437.15371355745265,487.9376878852943,472.10593816069627,501.0400397034579,461.44985384033873,472.2629775116199,557.9077702224025,430.46871233987866,341.4207881667812,540.2433779877156,407.82580687919966,407.4574864367983,467.14429994786775,513.5551440038006,466.1293141079983,454.0938496924343,342.90647294337475,423.0106235751272
1983,415.66411591970893,506.40157778762386,346.3028728363716,450.42382470493806,476.91498462960976,470.4376366487124,410.90889208207824,503.3796082363848,378.8558404556462,505.5504023605944,477.7445128455765,480.27081734292966,442.26433141172487,462.0683282932536,415.57441582671856,501.9681915085229,502.03695073037204,420.16002017262,462.59864959208164,457.8787831585715,506.34294322361205,336.1186866868245,476.6986411941487,461.36963518093523,469.1230220264495,411.6287053165173,462.74134476616433,367.8551243210193,330.4229971734936,504.8050615193208,510.1896471178773,433.4258395019194,414.5193782175633,486.94483854521314,495.0994815911263,497.0985811824953,475.56612667209845,448.5079393452217,417.7644798493534,460.12277702448796,449.40025997908793,460.68134254709145
1984,475.02582782931944,445.9282084067901,267.31397113427994,370.4338595415551,475.95131291923434,462.8579085043158,527.5001155190602,485.14888606004104,450.389150336066,435.5699307824797,467.976686289182,440.6008923311954,477.6805345812816,456.22526470183976,437.4828894675539,375.42917096162756,333.9866249675658,444.06029541308754,380.5515989421913,463.25592666557856,442.1707222609417,262.32607504467086,472.55327846469027,453.52642520942646,475.3146284363719,527.724689785917,420.6180887048761,435.6456433660591,370.9133816860278,436.4602538740537,490.4682626290913,357.43497881247345,436.4388550211572,474.54929329218305,367.5328515254685,328.5531396612579,435.6496910648286,482.18463798853446,441.3674400339982,454.0028314283585,452.4323609315719,380.6158951994388
1985,496.41710511398117,441.1285693426996,318.32829529758226,389.28592171931285,477.3303139645701,552.1668866528411,482.9513642799808,490.0793819781831,428.56706076296626,428.32941419833884,450.91041813816713,406.12859629904096,406.7946837337646,404.4784276571882,401.4270473518468,476.716386283897,417.50926819656735,461.82568250587883,410.6541523230661,390.95682109047016,434.8058792219049,310.97731167607986,476.5200106062688,537.9627457864602,508.9507796096081,482.1392529550237,431.5981040241172,413.86282435059513,429.30826917116605,429.30377091893257,494.2361265160501,379.04202009733376,402.711644739838,456.54367409316836,470.61438261935723,415.027396228952,399.7645442049393,415.26202760795064,459.28416607468165,403.92047488191184,382.71758346451026,409.4181531795807
1986,492.2605155565888,488.3977193456443,273.1082304235234,348.4876387335583,539.7582909839582,482.65882067972785,483.254733236294,452.5718064430397,449.76654822121486,520.4368776240833,473.57074036101085,487.59150550095393,351.4169120752339,488.5582733064635,412.4062427358995,389.37806430518407,393.7414745836303,486.7430504734328,443.63189705951544,422.0117487017088,483.69486510963236,268.0608445970241,539.3728505904156,469.5158965049423,531.0127985792386,483.3318328874569,434.1109899298119,434.14746735637294,463.236341313603,520.9689045250285,459.19392501195233,335.52341756241935,413.72116936417785,481.5288441324281,382.6518113358476,388.86888209078705,481.5247550030811,356.14859726418524,484.48539416563375,487.4641625157375,414.0350669966009,442.32741687043375
1987,499.91249898122794,490.4194300846854,395.58486017879073,479.34323180109783,550.0499334742639,509.5994991733325,460.4916055122761,408.8767712309302,347.100258154134,458.9491058237548,581.6622883197778,436.72237878653823,353.7007466476565,471.74989226561416,495.14955051256067,518.7390247672508,446.21699227811297,453.48333647309147,435.15234241873986,513.0086191070619,488.4240662917301,387.95996717799324,546.5955929496043,499.05393329446554,518.5796522059177,462.4675612865647,515.8059032272538,331.9645386998958,545.038097118627,460.50193164120714,412.5593962629492,466.24011799854605,493.98803193007524,598.3279066821921,511.2753278988247,442.4218195962273,431.74244222710206,355.92654187263474,450.40619720292585,469.13464075091565,500.4180437922026,432.80876201468647
1988,515.6529428962294,477.1395067791825,406.76995268423906,547.6957291908222,388.7105971235867,500.55211973065417,483.8086449014641,455.66541770426625,398.2063367233132,502.29133837024773,553.4629666372037,417.1760425602084,468.19729116085006,373.9921282440376,410.0005964418762,489.0064150564863,403.02588277862566,484.68234007515525,481.7831692096275,362.06265916644674,471.7000372775576,397.81502249588027,389.4096174605337,491.0582596419829,453.75373844064035,484.1320157238364,556.1701933846334,386.193661717682,562.36398587242,502.37518493810876,459.8753748281096,532.6202533541564,409.90916785687676,568.9787143892627,482.748893346269,398.60964276533826,410.9777342005407,474.98420812566474,482.04734241828504,374.61223491695455,355.7988854140189,477.7417266997656
1989,568.470747540579,422.1982198435879,378.0547571578761,516.6150200400967,443.9467721977092,569.474746221186,359.6810631278218,508.73677164825864,322.544256662905,528.6698810959533,460.21462446769186,443.55623351570165,442.7754095302463,440.788450880844,441.5914959243729,472.8569198477322,426.86308439802826,429.30024770552507,411.81162075877097,507.3624838151858,418.10813952484716,366.2657600673987,444.34954091114037,555.5430735155087,505.85103071260573,358.0536596258525,499.9883117826488,309.905068163564,524.3667708733703,528.4144313128345,513.9724342526849,497.93824364420243,441.96027397677295,467.71963372610384,461.1004049031449,420.7266072706093,437.23612018742966,449.75304143977837,427.51315363309766,438.8425678029087,494.8898513715721,409.8361418245577
1990,484.8856528330014,482.60259732569324,315.0840441770549,434.9206153418246,470.6020206696424,570.2213996859572,389.13419184346986,473.3341639038329,496.286005517279,529.1793417226111,448.88015794493566,428.12282160163056,503.7731587566009,482.1933199586657,384.6918440132569,340.0576448455278,419.9921105389437,427.8583260366829,419.5284525950753,373.48135800844267,477.7999703531578,307.69404623957865,471.4782673295694,555.1314484333772,495.6039387140129,388.8300823848458,363.9559317940719,480.21998418041767,480.77096518524644,529.0788032368773,478.96228822651585,420.84337255080493,386.38711749370196,455.73290986661596,335.1241577652908,415.1438312373658,422.6704690288107,507.58646948968953,425.4268499868883,479.03082469356843,366.95232791702546,416.49819372744196
