year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-1051.7580190898097,-1205.4417064223626,-1537.896445521835,-1294.7841162122972,-1000.1325908736476,-1301.3091494056139,-1233.0452001193353,-1142.3998245389719,-1114.050762947833,-1285.7354280535487,-1021.4874780536297,-1210.5062358770692,-1543.4754462532383,-1289.7586392671597,-988.3918044495872,-1289.128560461359,-1229.6490682501803,-1147.8995670817437,-1109.3665563714171,-1271.9376221773248
1982,0.0,-1187.4236768131595,-1190.8751442350367,-1462.3944226513083,-1237.9077346778147,-1008.4270968162477,-1229.6071190989046,-1105.6361284672173,-1273.3817810608343,-1078.869945425326,-1276.1371483184466,-1166.0663638178748,-1192.621686060464,-1472.2673472582492,-1232.217443079964,-1004.8771978862469,-1219.0548646231425,-1104.4204330839254,-1273.9099006909323,-1073.0296193689123,-1265.1022657403214
1983,0.0,-1104.3625528480234,-1219.908068705823,-1415.6483804599045,-1270.5677716994023,-927.9342296784912,-1218.1412351023948,-1155.6822300962228,-1195.1768974036768,-1071.194056968135,-1288.6482052720287,-1074.37021543951,-1220.3526011926783,-1418.2862287448397,-1261.7114965522192,-933.4654914559537,-1211.515670307364,-1155.042089001047,-1195.389780116352,-1066.6506215613936,-1266.1046479701317
1984,0.0,-1130.0635124622186,-1223.6168758703752,-1517.9123869179898,-1234.411673144957,-1054.8482424875247,-1377.9876936996843,-1297.11479450334,-1171.359196442427,-1074.4199382693873,-1320.4366072878788,-1106.5939896914347,-1221.8223468098604,-1520.4493397253918,-1228.0314145240484,-1046.9408545216306,-1365.0370359004614,-1298.674371339303,-1170.7088874385938,-1069.2931100100632,-1301.8254733673398
1985,0.0,-1083.6308975165325,-1263.1612941303224,-1579.0413757749643,-1308.108296214812,-932.1602006895896,-1302.0279028820478,-1222.6500005399344,-1189.1642312446352,-1173.0519618976618,-1261.6120875924098,-1063.9192048476566,-1258.6685195129944,-1581.6698267276433,-1296.9916044068973,-924.7914785077305,-1290.784467385692,-1222.812659753251,-1191.8450267161365,-1166.393337530567,-1250.324871752826
1986,0.0,-1143.7986970568331,-1218.1398515365427,-1543.8311302320137,-1373.357822957736,-1025.5370847893937,-1221.3462153637006,-1218.7212887838473,-1255.3272570750441,-1113.3697469570357,-1304.0880359970333,-1118.9886981800687,-1219.062791572996,-1543.460246917582,-1361.9636095637793,-1016.5189988113216,-1212.886778934693,-1220.0412955069883,-1254.5007334649017,-1107.2163001886624,-1281.7611530575061
1987,0.0,-1057.846595577621,-1234.2493654985014,-1529.6990943662042,-1377.5683570727897,-984.3102495219018,-1324.5165584053448,-1159.1710740762812,-1229.0415454996569,-1051.5481586045726,-1266.212937618282,-1035.6567315870484,-1230.2294925516044,-1533.5223914110427,-1365.0146885812542,-979.2134729656118,-1321.7959323832301,-1158.1822335575273,-1223.8916600715702,-1049.0156352582994,-1247.4790538130237
1988,0.0,-1082.3277443123325,-1339.9337165310994,-1514.5629456294143,-1257.8597123346967,-965.9479426515213,-1318.0699664481285,-1146.0960532278064,-1225.958924587751,-1126.1719234379875,-1248.353409857461,-1058.6031275785062,-1340.3467819973503,-1513.7695127585669,-1254.2383728691857,-961.7280661116015,-1308.7183411493088,-1140.6360191369972,-1230.4327045590971,-1117.4610604751401,-1232.461710622684
1989,0.0,-1129.7386069182708,-1264.315498845464,-1492.7044066398648,-1333.2671707262907,-974.4859943475822,-1241.0298027119659,-1210.4586041891039,-1268.1630176560834,-1064.9047869251272,-1306.9762373225929,-1111.063835421859,-1259.9682344906723,-1494.120345211575,-1321.138323890706,-973.2902038598286,-1232.1066432636492,-1208.881385306615,-1269.457173305891,-1064.1887410729273,-1288.0415683836175
1990,0.0,-1152.6819799141022,-1235.2965903010277,-1447.9508806808662,-1315.632741102439,-987.5499385765352,-1253.6709980475011,-1336.536631598311,-1312.4184386052939,-1138.5016787934937,-1334.4482528168453,-1137.0969621934255,-1238.2810453203929,-1449.482890653052,-1312.4320347530943,-981.7565978601369,-1247.5393421195577,-1335.179414461813,-1318.093640480044,-1134.9976311604632,-1313.774581323909
1991,0.0,-1123.2517792021044,-1273.7320626942665,-1417.218973795021,-1305.9324822318194,-985.6089396347752,-1228.74530069607,-1191.9522737418351,-1252.9263948231414,-1109.0879581382915,-1294.995491422365,-1094.3479111543038,-1270.1851547376473,-1416.0409518084914,-1294.3854843679405,-981.3776245237473,-1220.15358821891,-1194.0671936239078,-1250.8656197079572,-1101.8383289594863,-1283.1066375652408
1992,0.0,-1082.0618863108357,-1259.4805294598104,-1534.5241654032463,-1314.0018178050295,-969.6377225399465,-1234.2953005329775,-1132.8300605707088,-1200.8994977005646,-1062.660886282726,-1278.8334684510696,-1062.511872149596,-1255.8759070196033,-1540.2359660766933,-1303.991389461998,-967.3484968984576,-1227.9299309286162,-1134.6300306441178,-1203.9282230110362,-1063.0908452483027,-1262.782080135078
1993,0.0,-1078.1189812647604,-1236.9458644820556,-1519.210649556199,-1229.9792306784118,-1028.0760777034247,-1238.0811506797697,-1186.435028115015,-1284.8867274400209,-1121.6742763373163,-1273.782579667094,-1058.8261071353354,-1242.0170273878157,-1523.9565434782826,-1220.6685472773472,-1028.4300985600485,-1226.976183738182,-1183.2858478609146,-1283.763206230854,-1118.4066457648946,-1257.8296923922626
1994,0.0,-1083.0329065606388,-1214.9001084747024,-1495.1164984440204,-1324.7328384448115,-990.0545134497988,-1248.9187103299666,-1189.198199739379,-1205.0661967294543,-1150.8439311799602,-1324.2737072455761,-1063.1444891296237,-1213.232182997387,-1502.1839014330371,-1318.66639879264,-987.0334759092939,-1238.7348065302695,-1187.714646052439,-1206.5742210581718,-1144.4101157685059,-1305.6567876631466
1995,0.0,-1060.467244929684,-1199.2991965283666,-1536.4897959428483,-1288.977089146826,-936.9293642913617,-1278.1543133372888,-1153.5940479791634,-1204.2043057772098,-1075.222805891091,-1348.594556399441,-1042.6330917964178,-1204.6297486278445,-1543.3106923275875,-1282.4065101109018,-939.221840775585,-1268.0211470451845,-1156.2313876021385,-1206.3558066751993,-1070.5421672239954,-1335.3553451871635
1996,0.0,-1183.4538867883339,-1266.7303091524323,-1483.8596680480691,-1284.3992488056588,-1102.2161159858456,-1249.082781423823,-1219.4255340418517,-1184.955117673756,-1107.2659300300593,-1267.8834050205353,-1158.0749534022566,-1266.950138741497,-1493.609440732573,-1275.015138158115,-1092.5357399328063,-1238.2679192924716,-1216.141220245387,-1186.0169220165894,-1103.4046904974334,-1248.9751719817175
1997,0.0,-1127.1734423830349,-1234.128471190007,-1529.1441087545352,-1273.469932666601,-1044.890994488695,-1269.660053660255,-1175.7426434719168,-1211.6833438006354,-1174.6720069772541,-1273.5627844236128,-1110.0211438855995,-1231.8354939826977,-1524.3336064520402,-1269.0241357623186,-1037.4408313196736,-1255.2393849654463,-1182.7971559749594,-1211.5619519610348,-1163.3345193413556,-1257.2185368368578
