year,ref,rcp45_middle,rcp45_lower,rcp45_upper,rcp85_middle,rcp85_lower,rcp85_upper
1981,29.73844309669404,30.0933616632339,29.65541424745401,30.499471178739498,30.158003052398875,29.693953002142724,30.62552921721616
1982,29.75382096899163,29.97906125354785,29.427421108683703,30.45329207074445,30.04895944621825,29.442412881328877,30.54247439872701
1983,30.379122957248214,30.00916922921005,29.406690433651715,30.669553744769143,30.04484598042029,29.422088111465268,30.69783738058476
1984,30.076468940933243,30.17504358495061,29.608644505078846,30.7750628364055,30.24738587492538,29.6186002272541,30.865992960088864
1985,29.705059433809986,30.119272487223743,29.553002398365017,30.512965433781027,30.16715874915321,29.586399514004867,30.63996058692391
1986,29.931630019893625,30.01441843543724,29.430639495736035,30.448457464024056,30.063130652250337,29.45961709319592,30.598086752438867
1987,30.402145970552223,30.17064777705763,29.340916870960417,30.665490782917477,30.26590473189024,29.378520296980454,30.74956282882565
1988,30.095449448665068,30.24586859949539,29.683544981950337,30.92055437843551,30.31908464888158,29.720375367409492,31.03167970470576
1989,30.16130473735144,30.351262220298366,29.859572558797343,30.869146234326056,30.36747129649068,29.874445349072744,30.87204450295088
1990,30.079953551163264,30.43911235538983,29.917496835758165,30.92927139035442,30.48476975918792,29.929349078510125,31.033213581706875
1991,29.78701408919379,30.104912040753085,29.457582370156544,30.632857590848083,30.150525069765127,29.48818235826151,30.72770857969169
1992,29.80554156546216,29.81191648352121,29.390668603500288,30.27708362238549,29.916018464509225,29.418465341133725,30.709827776966
1993,30.012094990532937,29.862041294926534,29.350841908766725,30.73730925500296,29.97284962465901,29.38104085059013,30.766855373543137
1994,30.08551890413526,30.040362603907493,29.634790060376424,30.785208710319225,30.15383852207532,29.660873970329813,31.28213338326117
1995,30.45173413885247,30.223392852153605,29.749950946879785,30.812757725478807,30.30999389370856,29.781432309160767,30.99189334426401
1996,29.87526991876208,30.240991613328635,29.84751970171023,30.646431174592205,30.281841261139306,29.85303168557465,30.721518292957832
1997,30.11932948454488,30.26912148051476,29.76037319648524,30.97717901327548,30.29896520618671,29.80970073187247,31.000849729882365
1998,30.776702347711,30.34257889113591,29.768301353067383,30.775757568351374,30.377083226342656,29.80017775285391,30.84488486167001
1999,30.037015697938003,30.417189073004465,29.87172787189181,31.1305904464991,30.434244141996327,29.866235949336023,31.143757556511403
2000,30.354830739815856,30.278767575701707,29.446300598755712,30.78939564672467,30.37685420950195,29.48224033201505,31.09256926064812
2001,30.19530329905765,30.37121625580152,29.928500736984955,30.736417961513403,30.409045307509405,29.95023921010514,30.74826253455568
2002,30.283005244295364,30.29252089441219,29.892322087462777,31.021887609519755,30.36944258495325,29.928870494659744,31.02856907547648
2003,30.34498337469793,30.44619028847749,29.908381901967854,31.042612176432588,30.51975868717596,29.9267671689518,31.146045723150056
2004,30.29186963570079,30.395289224429625,29.9743217333864,30.72878602375188,30.469975887111392,29.968121802382697,31.01209250622001
2005,30.305614155266163,30.450663334893832,30.187472952622574,30.81429805623317,30.550077075373164,30.20374116285807,30.95587457140046
2006,30.48864236813067,30.51989491225065,30.12495253072996,30.841489973133797,30.455376855068888,29.658818104056724,31.184065897033957
2007,30.64613518864724,30.593583568143828,30.118207765587773,31.21068803164823,30.427283966616788,29.688061922717026,31.43260867580397
2008,30.5180480198638,30.57673479451965,29.90177392329809,31.00967860744035,30.70293680218604,29.835567212904923,31.486478490635815
2009,30.337846316857306,30.716155822523618,30.156498322304177,31.430022252342532,30.726304559311178,29.97908202881189,31.081371174673013
2010,30.51536423361831,30.63853482402897,30.18948535031536,31.51744502449641,30.75358131668222,30.277892132593728,31.617726978374147
2011,,30.66149463772921,30.057627626613343,31.269515561077505,30.757866075617716,30.26856493696132,31.384250007432225
2012,,30.57420087459773,29.955712209437905,31.12899321144199,30.652853491465144,29.95323117287416,31.20144235082029
2013,,30.662467330801743,30.28589435365567,31.160842677093985,30.73016550851491,30.06103505899013,31.38641579730715
2014,,30.810611316753985,30.345065496338965,31.394226211744694,30.979732508817676,30.264879998902234,31.864845991161168
2015,,30.82982160962288,30.08694749711203,31.895835468312143,30.90049432202162,30.159151934303047,31.97470116804217
2016,,30.85845493471896,30.21227693037504,32.047344026176326,30.861882294319457,30.145229531208493,31.849728495074828
2017,,30.66555143078021,30.152445348477844,31.297807123504384,30.91672615883889,30.2841111032046,31.87251807232457
2018,,30.76797516115777,30.31021825898065,31.37374537681386,31.009558089422285,30.21465389007882,31.461043922150285
2019,,30.83686643462908,30.217701242004587,31.274184441736985,30.896244604068613,30.14394851006079,31.48067072058372
2020,,30.93514816299978,30.372723402039515,31.40596501457121,30.820520814935065,30.36707636613635,31.38347634502671
2021,,30.970863748734423,30.303769690132803,31.85567638503415,31.03424239777885,30.489779985281963,31.717689034772423
2022,,30.918338731695176,30.42937417613077,31.758336957317617,31.179428450155285,30.38822465933491,31.63157711687236
2023,,31.014666776254163,30.404429096550015,31.504580137505062,31.02878045110745,30.477448665274643,32.041466098210584
2024,,30.858523351596595,30.40620410100632,31.36784129173016,31.028677894529483,30.46262864663038,31.6471697337989
2025,,30.91607334748084,30.44269434035894,31.52686710108101,31.050435168395666,30.408760133756285,31.69858923511353
2026,,31.016147312515557,30.580723113672715,31.986025244191985,31.28101133577149,30.718941671051518,31.745379790178973
2027,,30.93915189435205,30.318824110751304,32.329722030093535,31.175138448584423,30.543765094902582,31.82303049386859
2028,,30.96303086999893,30.3571423601234,31.490457607725087,30.96845004528784,30.00327691843609,31.70792991693332
2029,,31.060313651026767,30.574300807686136,31.59609786603063,31.0884918213038,30.425769958038376,32.24666492280697
2030,,30.922867145209345,30.436609859598384,31.64998009590201,31.045689579201724,30.47814715174328,31.585070762712604
2031,,31.122184107400884,30.462856816291485,31.953676327350408,31.16852230956148,30.636660675778487,31.827197011464865
2032,,31.15724098486673,30.34265999044873,31.838299431909853,31.309946518276583,30.738197225575774,32.25470754760833
2033,,31.253048688051244,30.27779059310496,32.526225534526255,31.42036529443808,30.362966789194108,32.307370892967825
2034,,31.139703409090504,30.731464130162347,32.11164328570992,31.3719335943894,30.6560750713993,32.385336987006085
2035,,31.021341111412045,30.534547324510104,31.71597768788501,31.18363936926204,30.90231155904273,32.15391488986573
2036,,31.14744970152894,30.220366474985475,31.95391812562022,31.387428184365294,30.674003515332828,32.05299894491225
2037,,31.29433581268135,30.59196118863179,32.19040124172595,31.350064969898792,30.847900681413893,32.08601049494769
2038,,31.410223272288636,30.63526736954233,32.16836310004505,31.501576937713143,30.952395401977235,32.22136146462348
2039,,31.26986395315093,30.88683937134595,31.72541845903888,31.648906657261,30.85146693194071,32.229367503066484
2040,,31.288665727149542,30.653009143479096,31.70786218817135,31.51840592394145,30.98125273054689,32.05065184115386
2041,,31.259999666877224,30.62656413187049,32.114721427504364,31.554272106835644,30.998603414670143,32.85348071439287
2042,,31.316506851795783,30.45445195857701,32.13447702154824,31.613914758055436,30.8887704728297,32.41843958530291
2043,,31.364858129115987,30.51786300275901,32.314745724803686,31.806643833894668,31.031866482006315,33.07534605132875
2044,,31.45454759562968,30.59220598803873,32.11290238123882,31.72793810940376,31.14036100268905,32.34707056907606
2045,,31.262718020414336,30.57153455747205,32.272807045658844,31.69907989891712,30.990442591581484,32.76407986142488
2046,,31.354006153989367,30.831210205973623,31.938177928415183,31.666361091153984,30.930677843161604,32.502193894769874
2047,,31.46515942084031,30.95154590943939,32.02144067365367,31.852340019516703,31.334387354553375,32.96299518826175
2048,,31.31641985557312,30.659538681633588,32.62934388066808,31.881482905361725,31.213232299797664,32.73874964607041
2049,,31.47978230680537,30.755448100430943,32.80582215073277,31.804693894542307,31.108162141526087,32.7706171423364
