year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,590.0659060776234,686.3327785650349,688.7475408786307,635.7727122881527,647.4642209150122,549.2399027449835,535.223300873696,480.7248118402609,481.93929845257736,690.4381559306312,688.4501009945301,698.8214436612157,661.0497348635668,670.1898738129777,690.9873498156479,626.3937520985711,598.1534807173712,579.535839850341,580.8995500270854,572.9634162397613,542.8148998463442,598.8587779135362,552.6945406146309,499.56497308472893,516.366317225804,541.2601885899185,523.8676262120622,577.9171537077666,566.7535813342627,570.4299801359081,576.5142346449404,582.4190590921733,467.58869562815187,450.24854652911654,540.5080067896644,539.4780974311539,530.5333323649484,541.9553558415834,561.0440352476452,542.9550401613967,516.417431313459,508.6207156752429,506.66830929151433,456.6830370428453,441.08016699303477,457.64387791042617,572.9387905545099,570.7130506460878,350.73606964816105,376.11222666017215,561.0012922986502,572.5417975862076,587.8349594678177,607.1318097951794,548.7640141804607
1992,590.5089134909213,548.2581725382064,547.4928211243138,353.69939562150483,345.18139111550107,358.0964044696506,354.5886800017553,552.3777487113955,560.9765389433089,658.9076475714567,664.80983888122,678.6269660555496,527.1338703973236,534.1381205885743,561.9540469306394,565.7487882069033,541.7077310194786,444.208480750091,486.6981641929413,478.75644911576484,624.8917854366949,704.5547918265635,645.1507534663397,544.1294746275339,548.1791643022757,409.62074782423167,395.7263765735314,471.4011764589786,457.96446513439406,574.2903200164593,576.4676803114037,586.6474266594329,579.3739728802866,570.1314845381229,588.4708240863301,592.2729470036643,574.3194631347696,597.420771546223,615.4412071703612,598.9492570721468,478.9083287082631,474.8749784784711,471.4337832103024,595.9586562431291,577.6214178397795,582.9121197484324,484.3694824055369,475.0038093714495,413.8292111362533,438.6540717880434,715.6438443676202,735.966432519736,725.3131391444302,790.4121516264636,626.2590780735885
1993,567.0732623729855,478.32857167175024,485.1657395429954,475.5736827858476,477.04362631822414,452.7679128878637,448.12980707982814,526.195730624901,529.8658582944104,514.7483089797795,508.71979407785557,527.8540824093498,533.2991915748714,540.9685416823029,550.1020444416182,596.4651250767671,567.2232093219627,493.85487944809927,386.97200781790093,383.46225685742786,433.0801412550582,481.30427894097375,444.9194095423175,539.8588587125623,548.58979504412,508.1191658524634,493.5917385932214,526.4144953681325,516.3711921518073,440.816013669888,449.5988146304267,453.0684874319515,450.79114580386226,423.59436641660835,598.8513203491153,596.9513051848927,581.8665034340185,462.15664168234207,489.9310994024346,469.9835202308435,488.2360440569703,479.4182722362303,479.19346990115525,573.4879301485277,547.6140639009662,569.3475880599211,499.6598877578449,491.1604875748254,429.23693438003625,458.19478049498247,625.8553846422988,636.80253997807,628.6908421175444,666.252089691348,497.7777029292756
1994,629.7325510680676,527.3779158556735,528.9072650913017,603.5028344309809,615.6304670859453,386.7911710978003,375.93374807821476,439.5892608381847,423.6301222538201,564.4193644790322,554.1134811746931,568.5498690009639,577.6944354647806,583.7876187566239,597.3663231879342,683.6031119455827,638.8657176231945,529.6378065259418,433.36939538597903,431.0017639894288,381.42663910345027,417.5532138937157,402.6087725422527,515.6725984003666,530.5397547636505,528.6084982011973,513.9421495090774,539.9346742304808,532.5693315110268,462.01554684084476,469.6322061967643,479.5949183098334,486.3909604070885,478.276618051977,504.4838777044602,502.1670650903719,490.66422519842115,525.0278770427369,548.2790490954916,533.2128136414663,434.44304002457903,426.7892165263314,424.27817471181424,478.8767834816293,461.9272477095693,474.0118938184952,548.9718738499811,547.2999078557851,560.1516415404717,587.3807367132017,609.5764305491128,628.101372360103,456.0048555634097,481.5437273255119,550.0968400677217
1995,636.5840616375208,518.1997903239013,520.4169838802005,499.6365032430791,503.1320615729682,371.9037085954561,361.9393250796565,631.9977577635157,654.839411749869,550.9439660880828,551.0116592243207,566.4791428437923,620.1253919664355,626.916448333278,647.7239216566977,580.3942490884575,556.4846326197321,405.6020221818904,535.9054131451669,524.5679100678068,550.0864130489506,599.3908274598596,560.2400474962024,541.4542129185461,551.0702926108373,556.7130080569133,539.3933080874302,516.0628484830186,504.4723265194759,433.44584667337676,439.91682330998736,447.61247995526,556.5082069880891,548.9029846283203,410.6374038985764,413.51973023283807,407.3395984334451,555.962576933965,577.4712627552066,557.1013537460235,499.7898451388971,491.61613056556644,492.3705433711603,523.4843404735266,494.24189340719147,523.2087599110629,579.2415638679197,576.7140676725604,559.953474383927,583.9720783285626,609.574767920095,619.0946068108697,608.4909852839821,628.5120460695597,617.397062681553
1996,617.4758709445596,571.9838783790808,571.5124383501251,373.620802945592,368.035829443844,230.89950643419493,227.65900917427462,637.2399725992151,666.1140995191477,469.2479902121772,458.1535432088379,477.28894620075306,618.6911218388266,623.1065073405039,645.6120465054639,664.6172974726488,634.1992509673487,428.001768642437,533.8703329382665,521.6297000688398,391.18862643686214,424.8821123355364,389.8554598205691,456.5795671948515,481.9796275298004,449.8483019930238,437.8895612344742,425.18936452574343,411.51056259736976,500.0999958149443,503.52941311456846,515.3955466587054,454.2063008263942,445.4438270762034,540.4602764642764,531.0368216147634,523.7346265446355,512.3424414377372,529.108753140393,514.2989564148356,497.0169858354279,487.724092438442,485.24201428165503,539.4455967319118,513.5143188404138,530.6444310868168,532.7745592208615,527.4990347640512,423.48857133051416,451.5007545681998,656.8738955914058,677.2223169776464,451.2209869383545,474.9689052893592,478.9088852056051
1997,618.6678463183343,621.7601251718625,622.8508823768445,564.4343423051308,580.2865964750883,518.4154434810282,505.3608263228792,548.7104773248931,552.5418152784367,520.7611246715314,511.21365575086656,524.8611089115266,512.0590022759429,516.4702707746038,527.4214247062629,635.1014122334687,602.4126212515013,615.5927247464805,500.9191286932633,488.7988354494939,575.1552650559116,638.991688138469,596.1255734316554,536.8903853274852,548.7056719220025,551.2865874600104,532.6787918921785,474.7893837777933,464.7445947285114,591.0582987774817,593.011961528515,600.9992208639522,469.6062922742347,457.6068055569772,590.1224590531325,580.8076213009314,577.1954113454199,565.538588569302,584.6484594536759,567.801335660927,617.0682135194629,615.7748910397652,616.9630825874419,391.1548012112891,370.9912820212065,393.70152754088264,491.13638885591257,485.4850705656128,402.24499560779844,425.67882418121116,563.4024947725054,581.3897278697075,540.9207564534036,561.246746825562,659.3474127732547
1998,475.2975345309824,531.5678363113193,539.0839873418743,393.8321532750392,395.74251294586696,444.0942586593781,431.0062446690738,262.5826756762285,252.66209349272106,490.51595348878936,476.216508983478,498.8462546186438,418.02028105069144,421.73236227544925,432.3666560790878,670.4034276052852,637.7849081753546,571.2171553811097,518.2260891652382,511.2719004719436,547.759363663317,617.7428959678053,558.7774147800335,444.66327482136364,456.5058115423418,490.6496963982907,476.77605436090806,552.6678442921213,542.9606740049759,418.56955210244337,423.2987921569529,432.9566286705024,492.67561448319697,474.5228917367972,577.2416381109068,570.0614676806592,556.5979406240136,502.05354871011934,526.6894224608169,502.25882800029535,486.57783802909233,478.7608565172488,477.0163775517205,402.8091273078864,384.58977573211575,422.7119524315051,412.91630163114763,397.7563628234933,484.1287340073773,506.00083508670025,497.76374001460897,512.5231772887353,529.7132328280333,557.9980680136398,461.1201099257794
1999,635.1436282135546,492.1061300571519,500.17049763958045,418.2429756680073,413.29298396860236,464.29790978515535,444.166979569719,470.3463059782814,465.72682951224164,453.83051040629306,446.5516132946092,466.71017700054665,413.6949828091008,420.0562064128258,431.07986440242144,621.0263961758783,586.3928420687735,551.7465159748601,453.566758763879,445.6712423102421,742.5193553374404,822.2754625533114,764.4269468060535,577.268404041427,585.0353575968633,590.9955527652064,574.1286048190101,546.9967889230686,538.3524194203486,463.49096284521113,466.9787933954908,478.05373321817865,575.3450855489153,565.7088297039049,539.4998938192127,538.5025829389429,523.7964272613068,596.0121253103814,611.1108944397567,596.6780455450452,574.2432161201305,564.3625517696875,565.3630335908022,544.9835782514916,526.4615204297254,538.0956105218484,477.8109000763013,474.88328039300853,716.6537920684732,735.8185166446704,448.78054452953194,461.07762619967093,626.8781022556632,662.0671954449456,410.7542931539989
2000,644.1046505458653,483.8208505307227,483.2518239863912,544.952515841041,543.8468809188842,463.13740843310603,457.283155393621,532.5330381478816,542.4161797035788,407.33863132285006,394.57736015480987,413.9469793492821,594.197505968817,596.9266277953965,609.3387128465456,426.1728110890064,417.41032931976827,518.2996926406498,430.72557064591916,424.8990545463284,454.10880133471477,515.3346689066624,468.53077984338756,590.8866966132161,591.693616831331,550.17211037195,536.2341143385479,538.6106506174102,527.8514597655914,554.3143516303377,558.2910899204742,570.8395247854626,469.24402873222584,464.0190590446533,512.9185205043659,514.7879032260847,505.604475346929,564.7467936963611,580.1832605419925,561.8570641542708,520.3132877468245,510.01530416684767,511.61240289211094,436.06825483422887,414.43861320267865,449.039786959435,559.4513102472157,558.956573517529,611.8021717709228,628.7997570821577,523.3102445707193,538.4469237477869,409.1062495422814,438.9027449246201,499.9714546955338
2001,520.5281815640628,456.5921474115373,454.316868542921,591.2663281650296,586.2641738975007,334.53998206954805,332.290761447078,336.0693147071534,316.9420305925289,527.7357056574517,513.408112006611,529.7211789232416,636.6304267361506,640.5990905539569,670.3517532777408,511.42862912734984,492.1234840530492,622.9588374485927,556.1931121183333,550.121960870974,462.28061906195984,504.15952080453417,467.32280915882035,491.878861337433,500.8706274682229,573.3157996801245,553.06562311875,465.806467146862,457.32680070965927,642.2932415720811,646.768354612755,654.1884030151643,558.8198472588948,552.757284187688,474.91331135448945,472.74538984040373,465.3279860162969,561.0758606548522,588.2795938702845,560.9158588554774,546.5852615695889,543.3698557519015,544.0882998785114,476.7218289995652,456.70372818847784,475.7754004111533,560.7486217051712,559.6610877271594,575.1803440246624,600.4326964335394,533.1476637180782,550.374465924046,511.3678622613004,533.6121231616992,587.39457116515
2002,419.9746443172917,477.4587988554993,477.96443122205847,603.3839880975883,605.8775956221914,481.0351240909605,468.069294133603,463.11171588842626,455.788037037647,586.2230226357731,565.0187341525769,586.826611274025,426.9463270127465,432.88067898406376,446.70533483247624,576.8427644143799,554.189694559347,595.7655826129571,448.59492364549124,442.672868775357,486.2322432238577,537.5093665599262,492.01510902805126,514.6239490473079,525.2362850732643,494.37142891838687,479.22612166050135,537.6112723811094,529.6367492247489,531.5903076341741,535.0228205381222,544.011059411537,487.71726725666656,482.11020955248455,685.8368971221703,675.16003245776,657.8815503961314,582.1174586783233,594.252869369891,583.445146131219,531.0919074959884,524.6546033999008,523.2475700851693,520.659143170592,500.8630091411017,525.3452708422435,484.27099121465125,483.85507762667197,604.0905724825536,621.236567290849,584.7988222331256,598.5011744518796,515.8253223365067,538.88899003645,550.9048563999445
2003,532.6542525980622,558.2964807326936,556.8775349384018,429.0304802072482,417.61449921710465,229.9670607920859,230.54191423943843,413.42590434451085,405.4819367975715,416.4506718816811,399.06145645327314,424.16243604591966,478.1186768627553,483.51507882290116,491.00066461023846,640.4232368129744,606.9776209659124,591.7425779953327,495.9800421468216,492.7769727963542,428.80954459094744,471.90777173137525,430.8541911502142,545.9567489656683,553.9933112230694,573.188275598579,556.0170201497938,588.7760514620247,581.1509473635609,493.36348571431745,502.717016450821,511.76148254687985,425.9039768015818,406.19693881267625,536.1693877620552,541.1581742361193,526.6577300610079,462.27478313321626,476.19423733184874,455.0076664649127,484.57366160069455,475.36688475814714,475.6876711499915,512.4115599603987,496.359256457857,518.1769164928489,465.8961137760263,455.87389878610566,541.9156974729718,567.4357570863021,490.1107610544643,506.85258296005514,597.1411482580698,621.2828520838432,510.4523428263684
