year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,0.0,205.2723788475962,207.6871426969061,305.3271374171342,317.018646045855,324.6216103810681,310.6050082433166,206.15311935339673,207.3676055357244,-146.38153613885424,-148.36959053602573,-137.9982483898599,-309.47120411716776,-300.33106560331623,-279.53358933871857,-96.30905495263266,-124.54932677181591,-160.03360034036632,-204.49953887378445,-212.43567294946627,93.52892582640789,149.57280363830398,103.4085656585433,-78.05501460009106,-61.25367129712038,-143.20695022703876,-160.5995115874165,-223.9944420450007,-235.15801374049306,-198.9090933503452,-192.82483947386186,-186.92001481028922,-9.963962214391358,-27.304111519774835,-256.30177603752054,-257.331684573998,-266.27645083993457,-143.56303753262353,-124.47435769950675,-142.56335307514018,-239.68773839847904,-247.48445488153584,-249.43686046329776,-141.81601353543078,-157.41888365291237,-140.8551722198643,-213.87039976642427,-216.09614102706132,64.27066596273647,89.64682348403653,-133.70684170253548,-122.16633600797888,12.146596804620685,31.443447074771825,-320.99415207074594
1992,0.0,253.73499580619068,252.9696455630674,217.188389895922,208.67038604163486,235.81963139597596,232.3119073932022,216.65936406589287,225.25815463966984,-327.8055613066758,-321.90336963468496,-308.08624244273983,-309.2388410231197,-302.2345906203152,-274.4186636641035,-123.66217714272204,-147.70323481142555,-123.92839764273185,-211.73901911327636,-219.68073332758496,36.892260986680526,116.55526633700424,57.151228432780044,-69.66432941581013,-65.61463928669139,-159.23498031412169,-173.1293501856543,-285.2867796399994,-298.7234910751392,-177.7079456121062,-175.53058578206515,-165.35083933687997,-24.868248757681158,-34.11073653782296,-223.57644590709845,-219.7743221096689,-237.72780651747098,-188.99424603455554,-170.97381070673714,-187.4657606839114,-227.55617071280284,-231.58952059462877,-235.03071576355774,-57.266244027274865,-75.60348339918085,-70.31278123954962,-236.54448714273178,-245.9101599542298,42.46053131096471,67.28539238785748,-242.89754946009543,-222.574961348682,-79.48696305423516,-14.387949888438243,-350.6753901743656
1993,0.0,171.66358345658875,178.5007507720432,263.97365968941216,265.443602943667,294.671914713335,290.0338095886767,210.84264337379034,214.51277135084388,-274.5071703630441,-280.53568681034267,-261.4013981076457,-180.64331533620066,-172.97396490162828,-163.84046208746327,-105.65844829962509,-134.90036249119908,-146.79127663327506,-128.13893608627416,-131.6486873968256,97.61004874436372,145.8341865055787,109.44931716470921,-56.445179886863116,-47.71424399408909,-129.59518505741073,-144.1226116863254,-251.29771748055202,-261.34102097540165,-228.3521721604693,-219.5693707541821,-216.0996972088156,-43.86924323435227,-71.06602299259504,-240.17856815205778,-242.07858321444326,-257.1633852255502,-200.5091352712094,-172.73467837602766,-192.68225746803034,-267.60109532841955,-276.4188682138908,-276.6436707055235,-33.41215551065727,-59.28602183384726,-37.55249706740415,-259.976709529573,-268.47610881094806,51.772178750125136,80.73002538172187,-240.6074129825289,-229.66025795127712,-38.155772548385585,-0.5945257026588706,-293.20005845670494
1994,0.0,199.85171188342963,201.38106032807406,265.76949882483177,277.8971307460759,247.31952621605018,236.4621032060119,216.0975531129148,200.1384146205118,-148.99305633553308,-159.29893956752778,-144.86255151943487,-247.46105940825169,-241.36787574948085,-227.78917191161895,-96.87316237487073,-141.6105562098595,-155.93048413063764,-132.34208707721154,-134.70971805222996,90.01179499234439,126.13837067279394,111.19392919230364,-82.2128726732243,-67.34571654510182,-159.0252815394058,-173.69162972760273,-315.5015449516329,-322.8668865646787,-152.63245299974767,-145.01579313699074,-135.0530812766022,-21.05554529479798,-29.16988793436809,-311.84560900069044,-314.1624212918796,-325.66526174269234,-187.11291301114034,-163.86174199717095,-178.92797673841937,-253.36001502454218,-261.01383927737174,-263.5248803244732,-69.9357454890424,-86.8852799594124,-74.80063418609382,-213.5666379877938,-215.23860398161014,5.74914891601702,32.97824396366275,-202.85805451285069,-184.33311326581452,3.724386876401695,29.263258440162247,-312.720207852371
1995,0.0,169.55367177716187,171.77086532983446,282.64351119916245,286.13906860765815,243.09024056258264,233.12585807604103,245.34727229938852,268.18892598580015,-307.5337778787274,-307.4660849010662,-291.99860020017275,-304.5412419005737,-297.7501847896757,-276.9427121962548,-114.65549136632137,-138.5651072797507,-123.04196391583213,-170.02117504333887,-181.35867820147007,76.60527256749117,125.9096868916489,86.75890707201216,-96.9345765394504,-87.31849642276075,-141.19791415198222,-158.51761435420758,-186.38039399919137,-197.97091735839865,-199.04011013644617,-192.56913350364215,-184.87347568581345,-36.98575815607205,-44.590979546688004,-288.6680009215704,-285.78567335468693,-291.9658057153596,-195.62787075320603,-174.1191843268058,-194.48909278738074,-250.49615729371197,-258.6698721679379,-257.9154583820676,-74.04176963949669,-103.28421743667127,-74.31735073598986,-191.65380306585143,-194.18129937773244,21.7473817703858,45.76598438882456,-181.9539817871937,-172.4341432505894,17.135917052734612,37.156977920293116,-361.6619332505827
1996,0.0,177.42882803877563,176.95738823427865,215.53268988998934,209.94771747447936,152.27405907876485,149.03356193611762,239.37673538681247,268.2508630212845,-182.0648796377444,-193.15932759157994,-174.0239235982752,-317.28541125575293,-312.87002534622025,-290.364486006854,-79.71331391561023,-110.13136036788,-84.92364754344601,-162.60301351456758,-174.84364651334408,119.31102626112835,153.00451173664902,117.97785977248668,-94.89061373480206,-69.4905532630022,-140.09204250746916,-152.05078338134922,-309.853538648919,-323.53234016005166,-190.60742112492682,-187.1780028691586,-175.31187071802526,-1.3614868946294223,-10.123959826325063,-269.4570852883363,-278.88054039625933,-286.1827351197561,-143.7114670101207,-126.94515520313428,-141.7549521440351,-283.3082366396025,-292.601129646198,-295.08320809533376,-147.20417833632564,-173.1354566612265,-156.0053442808711,-252.26341967506357,-257.53894407049427,73.98252012612437,101.99470336250056,-252.182822386687,-231.83440083734695,-22.24872033565748,1.4991990198770395,-220.93966025068664
1997,0.0,240.7376355491084,241.82839281024667,268.90579254675396,284.75804626596164,333.7811539044361,320.72653808044277,230.75625092081106,234.58758887671706,-163.31251687421673,-172.85998581269564,-159.21253281696352,-236.12985147695792,-231.71858325799963,-220.7674280814066,-110.59537341869486,-143.28416352130796,-113.10903866223123,-124.17359908367763,-136.29389173607325,65.10563996223692,128.94206232285455,86.07594807055875,-75.80294097663716,-63.98765496227702,-141.71205488217015,-160.31985074008992,-303.0809170544203,-313.12570513188393,-228.34659543770874,-226.39293222942774,-218.40567221894491,-21.192231118543305,-33.19171720008302,-259.79757637615853,-269.1124145537274,-272.72462437475303,-151.55449711175788,-132.4446257137496,-149.2917492170145,-212.20105048045377,-213.49437302173465,-212.30618131963433,-88.56567916752937,-108.7291990544307,-86.0189529144609,-209.65892084269757,-215.3102385112312,42.4916820887085,65.92551167482532,-198.73790981084892,-180.7506755690747,24.571562988265214,44.89755153118767,-320.3043669696517
1998,0.0,168.2204285510743,175.73657993246934,236.68050543517563,238.590864538399,271.93725078946676,258.8492371034855,151.93250304498127,142.01192026750675,-204.4070221509429,-218.70646544711894,-196.07672021843166,-246.1611558022745,-242.44907495671765,-231.81478095719314,-92.02345941477597,-124.64197852181167,-177.11420422969582,-82.23749047321382,-89.19167810206318,74.43111739696894,144.41464940429222,85.44916870056176,-42.29711360043922,-30.45457675105706,-143.88410801883043,-157.7577496983161,-242.0569334880512,-251.76410451145284,-174.13637380446755,-169.4071337393823,-159.74929678203233,-5.754396181468223,-23.90711895756158,-259.2318206283984,-266.4119916196063,-279.8755181402181,-165.96129079517323,-141.32541698156456,-165.75601330587926,-147.69638929964793,-155.5133715357544,-157.25785010879594,-165.33348887190147,-183.55284119656073,-145.43066518400542,-263.5607093753401,-278.72064793443235,38.03675590279795,59.90885546452205,-168.80099706932492,-154.04155993349195,-18.98242825889554,9.302406728197866,-309.696429752363
1999,0.0,183.35207273000827,191.41644064129594,237.67498235644,232.72498929638414,291.5813297060961,271.4504001077935,207.8867943716183,203.2673160969809,-177.65651149014553,-184.93540819648672,-164.7768434461159,-192.88729238951817,-186.52606863321347,-175.50241082080095,-112.92495632078612,-147.5585109989446,-171.19827173364536,-84.58631980087642,-92.48183613382508,6.507040619648933,86.26314789260903,28.414632330325958,-87.35934745876318,-79.59239399643275,-137.5224110291308,-154.38936025323665,-267.39971772612887,-276.0440865502261,-156.31184588081226,-152.82401561732502,-141.74907683494985,-39.20455373621007,-48.840809696924794,-248.14720446010278,-249.14451475883186,-263.85067099127684,-146.5213357182172,-131.4225653830158,-145.85541457507588,-209.65759199911076,-219.5382571928709,-218.53777475729044,-54.4362192922805,-72.95827660353677,-61.324187260561985,-220.85635085006732,-223.78397079150187,3.163991433620936,22.328716746104874,-88.20311809547314,-75.90603629863904,-21.37776354685377,13.811328481469218,-164.17263300939294
2000,0.0,179.66222813415243,179.0932023436622,274.1786090659816,273.0729744690524,279.49413169514986,273.6398788586687,216.69088126190627,226.57402357015474,-146.94357577848695,-159.7048472363265,-140.33522852516518,-139.0058092317165,-136.27668828686683,-123.86460219816956,-136.16379801304612,-144.926279315309,-220.53189246551153,-151.3691058511625,-157.19562060678078,80.9477157236563,142.1735830454432,95.36969302682274,-74.20034953634888,-73.39342895367054,-128.0627993539457,-142.00079449854366,-280.6702826031658,-291.4294730869427,-190.4538202698999,-186.4770823187324,-173.92864657819996,0.05447991805544916,-5.170489602404359,-298.6552754606611,-296.7858930173451,-305.96932037829254,-141.6557230031275,-126.21925517825741,-144.54545209656044,-249.26544233034338,-259.5634269080985,-257.96632767655274,-65.18152444655539,-86.81116637069329,-52.20999214189396,-209.85272839403592,-210.34746566754757,27.001417911856834,43.99900387622358,-133.4956436533579,-118.35896479792905,-4.135535943728939,25.660959767118413,-202.51294494158242
