year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
2036,,164.57856766719325,176.8520678899826,199.83591363875726,152.59294365455503,169.1682326647461,186.8665086887836,152.395102685624,169.58644501890947,186.5416535018431
2037,,155.98636124275936,172.47397415643857,191.79578725645075,153.7288046340179,175.51342634394976,199.773891803957,150.62116903633492,168.129223825974,186.57480252764614
2038,,162.51084781463928,174.58344472799448,189.02069510268564,150.17140600315955,169.58735173901056,184.56740389678782,149.64599789362822,167.60116568528886,189.42664560294892
2039,,162.21195365982098,180.38917558083617,205.35464036402428,154.72327540810954,167.02690639183527,184.3120063191153,160.60911005792525,181.35990140781814,202.3643496577146
2040,,158.41032122169563,174.0,194.70284360189572,151.49947340705634,167.35408360289875,181.76066350710903,151.77956819378622,165.8133587055388,182.71671932596107
2041,,155.7745655608215,172.1024223275408,189.33380726698263,151.4815692469721,167.4240828506231,183.90995260663507,155.7169036334913,173.5786059648619,194.6010531858873
2042,,150.3516587677725,168.6389395228258,185.98830963665085,155.04713006845708,170.17698538077684,190.00842548709846,155.89539231174302,174.03375680182555,193.11675223802
2043,,150.95081621906266,168.3918054036537,184.85513428120063,161.50631911532386,174.2294691441611,192.326224328594,152.62667193259608,171.91478768729954,193.4467877830437
2044,,161.06893101632437,176.03971726009638,190.64744602422326,155.50658241179568,175.43296568885248,193.3499210110585,157.88525539757768,174.95511991957486,190.48436018957347
2045,,152.99362822538177,175.94124437963302,196.9331226961559,154.89046866771986,171.89156364669793,190.42785676671932,156.50697735650343,172.81334673751738,194.00231700895208
2046,,158.49873617693524,178.68611009843238,200.5568720379147,154.69799894681412,172.38870970101223,193.13085834649814,152.02382833070038,166.93329194392584,184.91521853607162
2047,,164.04502369668245,171.7623648073885,184.88372827804108,160.24196945760926,171.77932196226888,186.31753554502373,153.7906793048973,169.43481018717986,192.82993680884678
2048,,163.3219589257504,170.67547697168553,182.5144813059505,157.3823064770932,179.00243753217097,194.82095839915752,157.31914165350184,179.26974723538706,196.8233017377567
2049,,152.29826224328593,175.90559808806256,197.819747235387,153.89020537124802,171.24559291857872,188.4594523433386,151.80647709320692,172.53974879122984,186.2919167983149
2050,,157.7488151658768,176.0043747721473,189.79610321221696,159.72696155871512,178.30383159056143,198.39073196419173,153.96895734597157,172.47375412896739,194.67448657187995
2051,,160.733859926277,176.17264147121972,196.3421274354924,157.666140073723,172.4191429072946,185.05687203791473,155.61766719325962,172.60506301367312,192.7392048446551
2052,,160.32848867825172,168.85281727224856,181.1456029489205,156.99631384939443,177.80778103763888,200.58320168509746,157.34081095313323,171.31465125185505,192.24691943127965
2053,,168.73854660347553,177.58538907117105,190.80579252238022,149.88888888888889,172.13097118784322,194.13902053712482,157.4513954713007,177.53398918090863,199.75708267509216
2054,,165.01463928383362,179.53305383400172,191.53280674038967,156.57266982622434,169.11551192356882,185.48894154818328,156.076513954713,173.97211451002923,196.84286466561346
2055,,151.9246972090574,171.57390529428446,188.5276987888362,160.7596103212217,173.17638982923341,189.80279094260138,158.550579252238,174.88274929388675,193.4160347551343
2056,,157.5988941548183,169.55466439826628,183.609215376514,152.4981569246972,164.38883873717992,182.24828857293312,157.27488151658767,175.5150797070228,198.86134807793576
2057,,159.3119010005266,174.68492526430913,193.1129541864139,158.1708794102159,172.6430246103221,187.25803054239077,151.69520800421276,172.21777011824403,193.74167983149025
2058,,157.64502369668247,174.09304492242882,191.15660874144288,152.9457609268036,169.57381077760226,189.5839915745129,156.04088994207478,174.33392050647734,192.60110584518168
2059,,154.0812006319115,167.94369506217845,182.79294365455505,154.2983149025803,177.26172900735867,202.94233807266983,155.33041074249607,172.24347742831154,192.19760400210637
2060,,162.39289099526067,177.46848543767976,199.35834649815692,155.92232754081095,169.16161388199302,186.60663507109004,161.40234333859928,178.1586269659332,199.96577145866246
2061,,163.7149552395998,177.8823064770932,193.46313849394417,153.03923117430227,170.52375536231506,184.30516061084782,151.12611901000525,167.15053112481723,184.38807266982622
2062,,159.19304897314373,177.6060477174221,197.39325961032122,161.30147446024225,179.4474033952707,197.19641916798315,159.52177461822012,177.4019849497856,206.49239073196424
2063,,152.1608214849921,168.7563900028355,184.57582938388626,158.69826224328594,180.71791770766913,203.3162190626646,157.1768299104792,179.83948689102715,210.8509610321222
2064,,152.7417588204318,167.2803904889213,187.6135334386519,160.19194312796208,177.83197813878436,202.31411269088994,160.45650342285415,171.545534702703,189.5065297525013
2065,,158.50947867298578,172.51959027018268,189.1887309110058,151.02869931542918,171.8955784191127,187.298841495524,149.9879673512375,177.63892479295325,206.81656134807793
2066,,163.9141653501843,178.37155252738754,205.19810426540286,154.48183254344391,177.91656319858035,197.1079515534492,155.9111637704055,173.44295334846913,194.2449973670353
2067,,155.67793575566088,175.14108640174987,194.49483938915216,159.333859926277,176.15307975681498,192.09741969457613,153.60916271721962,174.45909722912353,198.5464981569247
