stn,idx,rcp,hor,stat,centile,val
era5_land,tx_days_above,ref,1991-2020,none,-1,189.271074
era5_land,tx_days_above,rcp26,1991-2020,mean,-1,189.7386
era5_land,tx_days_above,rcp26,2021-2050,mean,-1,215.027632
era5_land,tx_days_above,rcp26,2051-2080,mean,-1,220.460139
era5_land,tx_days_above,rcp26,1991-2020,min,-1,185.488827
era5_land,tx_days_above,rcp26,2021-2050,min,-1,201.008132
era5_land,tx_days_above,rcp26,2051-2080,min,-1,187.216015
era5_land,tx_days_above,rcp26,1991-2020,max,-1,193.626878
era5_land,tx_days_above,rcp26,2021-2050,max,-1,231.67995
era5_land,tx_days_above,rcp26,2051-2080,max,-1,238.528367
era5_land,tx_days_above,rcp26,1991-2020,centile,1,185.607896
era5_land,tx_days_above,rcp26,2021-2050,centile,1,201.236132
era5_land,tx_days_above,rcp26,2051-2080,centile,1,190.209564
era5_land,tx_days_above,rcp26,1991-2020,centile,10,186.514873
era5_land,tx_days_above,rcp26,2021-2050,centile,10,203.480708
era5_land,tx_days_above,rcp26,2051-2080,centile,10,212.250466
era5_land,tx_days_above,rcp26,1991-2020,centile,50,190.188579
era5_land,tx_days_above,rcp26,2021-2050,centile,50,218.027933
era5_land,tx_days_above,rcp26,2051-2080,centile,50,221.27486
era5_land,tx_days_above,rcp26,1991-2020,centile,90,193.139354
era5_land,tx_days_above,rcp26,2021-2050,centile,90,221.802371
era5_land,tx_days_above,rcp26,2051-2080,centile,90,234.208914
era5_land,tx_days_above,rcp26,1991-2020,centile,99,193.574572
era5_land,tx_days_above,rcp26,2021-2050,centile,99,230.508651
era5_land,tx_days_above,rcp26,2051-2080,centile,99,238.095682
era5_land,tx_days_above,rcp45,1991-2020,mean,-1,188.73169
era5_land,tx_days_above,rcp45,2021-2050,mean,-1,221.327017
era5_land,tx_days_above,rcp45,2051-2080,mean,-1,247.12148
era5_land,tx_days_above,rcp45,1991-2020,min,-1,180.448727
era5_land,tx_days_above,rcp45,2021-2050,min,-1,210.780137
era5_land,tx_days_above,rcp45,2051-2080,min,-1,229.904469
era5_land,tx_days_above,rcp45,1991-2020,max,-1,198.19193
era5_land,tx_days_above,rcp45,2021-2050,max,-1,229.702173
era5_land,tx_days_above,rcp45,2051-2080,max,-1,268.606642
era5_land,tx_days_above,rcp45,1991-2020,centile,1,180.603004
era5_land,tx_days_above,rcp45,2021-2050,centile,1,210.870205
era5_land,tx_days_above,rcp45,2051-2080,centile,1,230.587014
era5_land,tx_days_above,rcp45,1991-2020,centile,10,182.455245
era5_land,tx_days_above,rcp45,2021-2050,centile,10,214.592117
era5_land,tx_days_above,rcp45,2051-2080,centile,10,234.162384
era5_land,tx_days_above,rcp45,1991-2020,centile,50,188.208194
era5_land,tx_days_above,rcp45,2021-2050,centile,50,221.439168
era5_land,tx_days_above,rcp45,2051-2080,centile,50,246.141341
era5_land,tx_days_above,rcp45,1991-2020,centile,90,194.439665
era5_land,tx_days_above,rcp45,2021-2050,centile,90,228.284606
era5_land,tx_days_above,rcp45,2051-2080,centile,90,263.267039
era5_land,tx_days_above,rcp45,1991-2020,centile,99,197.841688
era5_land,tx_days_above,rcp45,2021-2050,centile,99,229.506493
era5_land,tx_days_above,rcp45,2051-2080,centile,99,267.576549
era5_land,tx_days_above,rcp85,1991-2020,mean,-1,189.991307
era5_land,tx_days_above,rcp85,2021-2050,mean,-1,230.478407
era5_land,tx_days_above,rcp85,2051-2080,mean,-1,275.827654
era5_land,tx_days_above,rcp85,1991-2020,min,-1,179.062135
era5_land,tx_days_above,rcp85,2021-2050,min,-1,221.682619
era5_land,tx_days_above,rcp85,2051-2080,min,-1,249.495841
era5_land,tx_days_above,rcp85,1991-2020,max,-1,200.270329
era5_land,tx_days_above,rcp85,2021-2050,max,-1,240.292179
era5_land,tx_days_above,rcp85,2051-2080,max,-1,298.664246
era5_land,tx_days_above,rcp85,1991-2020,centile,1,179.247616
era5_land,tx_days_above,rcp85,2021-2050,centile,1,221.692761
era5_land,tx_days_above,rcp85,2051-2080,centile,1,251.948357
era5_land,tx_days_above,rcp85,1991-2020,centile,10,180.327672
era5_land,tx_days_above,rcp85,2021-2050,centile,10,222.53491
era5_land,tx_days_above,rcp85,2051-2080,centile,10,262.074233
