year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85
1981,824.6618590727448,329.4278294898594,243.8422692404889,185.54677431795918,375.72863530517395,998.0334049340969,981.9574429587913,818.1727282732038,676.8330319903093,496.8375805859164,766.9269619242585,691.2395854904934,835.9487426708137,759.1204792870722,553.0709448574839,832.6070923670127,740.1053189448788,917.0398848573246,565.570438908096,680.0144551568569,329.4278294898594,243.8422692404889,185.54677431795918,375.72863530517395,998.0334041475461,981.9574430024958,818.1727282732038,676.8330322449258,496.83758101814385,766.9269630029424,691.2395853879607,835.9487427733463,759.120480306928,553.0709443373771,832.607091351448,740.1053186108073,917.0398843868145,565.5704372946344,680.014455740083,555.691238790787,964.5202658583739,692.7444039380437
1982,842.521882124245,269.06679397306857,321.50791549433177,153.73542373322957,395.67847521095274,928.2592416879169,1034.9101613843848,827.3697324603004,699.6359667846502,503.3964303144132,604.2213501094695,692.8846326342707,812.1263692536339,832.0629013141692,673.9124261196205,859.7387254248807,674.0828649263206,775.0929355602967,598.1957952169527,653.565936585515,269.06679397306857,321.50791549433177,153.73542373322957,395.67847521095274,928.2592413926681,1034.910159704881,827.3697324603004,699.6359669918346,503.39642916744515,604.2213508776939,692.8846331437546,812.1263687441498,832.0629009123737,673.9124265232479,859.7387253454153,674.0828648749199,775.0929348942674,598.1957948234137,653.5659368706465,612.0730971789982,691.1264666031675,721.4537443316243
1983,844.4994016364217,335.0342411274962,179.84845297246127,147.23485101893513,324.3599693157451,942.8923545166997,983.7885763583411,745.5090885967138,774.2553907956616,478.2222799832554,678.9192791727165,763.7421497081846,814.5587638376574,738.2507733025326,794.9579857970893,833.8272183563754,801.6455568946172,784.5496915477454,780.0759755885425,733.2513988232881,335.0342411274962,179.84845297246127,147.23485101893513,324.3599693157451,942.8923544630994,983.7885771056585,745.5090885967138,774.2553908095716,478.2222806606318,678.9192791443988,763.7421490582819,814.5587644875601,738.2507733716296,794.9579854686336,833.8272185294637,801.6455572036591,784.5496921482514,780.0759770050812,733.2513992965146,382.98558170138057,723.3440281305316,483.5597495537368
1984,820.4155520796776,294.2775796708599,252.13252623824536,105.30512477525994,454.3880252451198,1036.3342735660003,932.7252709326839,705.3556645457546,598.3289017678811,253.63695246986666,665.618883339662,762.185549051631,763.7116826439161,780.1908317944662,513.9531102855897,835.2994166115449,647.6859396844111,904.939376174162,756.3450466540753,687.9638570637795,294.2775796708599,252.13252623824536,105.30512477525994,454.3880252451198,1036.3342747099339,932.7252699344458,705.3556645457546,598.3289024882121,253.63695180628557,665.6188842673838,762.1855471469698,763.7116845485773,780.190829819289,513.9531110082728,835.2994156746793,647.6859409610923,904.939375865702,756.3450475195236,687.9638563319523,498.82225494499335,765.6745149136217,559.1075402837463
1985,762.2630516663194,429.977190318144,304.9527573113965,193.5997297535595,402.15405794369366,932.1069126949224,1023.3451243768855,819.5421085148645,620.9444265662236,468.2156520174304,688.779028483923,666.5608515058751,830.8650354345159,618.889599612676,658.6046347816941,855.0011708045777,784.4267887568623,824.9528729636907,606.6023639782705,687.4667446304891,429.977190318144,304.9527573113965,193.5997297535595,402.15405794369366,932.1069132741541,1023.3451241780076,819.5421085148645,620.9444265841471,468.21565145688714,688.7790280908372,666.5608524278674,830.8650345125235,618.8895999427048,658.6046344471459,855.0011700613027,784.4267883623301,824.952871550693,606.6023635812917,687.4667438286766,614.7743501350991,865.1779479484024,610.9127993453377
1986,804.569196343422,427.22276225610335,277.72416538384357,181.10466381802527,363.31623939999554,813.8695139170375,1012.874995923125,763.1949226030473,799.0978514798574,390.7142133846489,701.0030818038499,743.5721252421342,852.9115947795993,543.998573658888,608.3779096490839,944.3199703517835,681.6308695135909,867.312450949462,627.9134224060712,730.913099174129,427.22276225610335,277.72416538384357,181.10466381802527,363.31623939999554,813.8695131912515,1012.8749951213138,763.1949226030473,799.0978518868565,390.7142123939225,701.0030830483163,743.5721251230269,852.9115948987067,543.9985739824356,608.377910798649,944.3199700395562,681.6308696724822,867.3124508378795,627.9134234526799,730.913098956803,725.7249942918526,980.4625227776535,718.630000075086
1987,887.0396282374859,445.8740494221841,210.08221676926544,286.1912300675356,332.33563879111387,858.6913358381141,1039.3669792505248,700.6873098850647,797.1578003439083,579.9413249904874,776.7312945330515,698.3837330423829,860.8800157678671,710.3736045789892,741.7019617388218,857.9289581764564,823.4687178418876,724.7032571092906,799.9939756658496,743.1769862819147,445.8740494221841,210.08221676926544,286.1912300675356,332.33563879111387,858.6913352028445,1039.3669799584832,700.6873098850647,797.1578000467435,579.9413245834762,776.7312947840189,698.3837318533693,860.8800169568807,710.3736043489016,741.7019618043352,857.9289574516542,823.46871848812,724.7032567230303,799.9939762573794,743.1769857425666,714.6248824947526,963.0890916337687,718.4163195987998
1988,859.3377031534909,290.9089168862622,287.6569845999211,259.024841714222,405.23691769383527,812.7875944209954,995.0601503751716,804.2047965605873,836.4194504247827,609.0955462800061,661.274263338528,602.8101985479702,774.2122884763537,737.0510902434428,562.8944697776144,678.3851076849658,815.455094516465,751.0296770889514,600.7933696940944,831.2303836769246,290.9089168862622,287.6569845999211,259.024841714222,405.23691769383527,812.7875949914961,995.0601505476076,804.2047965605873,836.4194508018498,609.0955462339311,661.2742631466588,602.8101979466264,774.2122890776974,737.0510896226657,562.8944695003519,678.3851070180109,815.4550951679876,751.0296769399458,600.7933694947275,831.2303830953631,870.9777787332617,941.7826674642861,921.9053130980769
1989,900.8950799256564,346.4454419187294,136.1236274679415,208.40781532445763,223.34111180905444,1025.05399521999,931.1690910184109,852.5450387387469,796.3507511045103,679.4000576409919,682.3719273691077,698.2329712021101,778.7291405342688,751.4362856302777,695.9275820977052,854.9976021290231,831.7795356299733,841.9924724988333,776.9002874294692,667.3317587285347,346.4454419187294,136.1236274679415,208.40781532445763,223.34111180905444,1025.0539953662803,931.1690915488377,852.5450387387469,796.3507514184491,679.4000580638964,682.3719265948848,698.2329719758363,778.7291397605425,751.4362861602083,695.9275820537895,854.9976021896939,831.7795355598482,841.992472066527,776.9002870602765,667.3317580588987,822.615590271412,861.072362081753,928.8274299423417
1990,880.786196783185,335.49301711887176,334.93753574337745,154.609422407027,281.51998283975945,920.5840722157908,785.8829826096905,882.9225434124547,837.3909838823266,416.8589671366847,631.7285047902395,655.1287606389079,825.2088906872477,754.1886030993136,664.726154196918,823.517841406973,553.4680304376468,693.2687768991134,664.5086907356217,747.0895180338355,335.49301711887176,334.93753574337745,154.609422407027,281.51998283975945,920.5840723964575,785.882983001029,882.9225434124547,837.3909840643827,416.8589674070899,631.7285047435074,655.1287609154807,825.208890410675,754.1886037204924,664.7261535231736,823.5178414918687,553.4680297300358,693.2687775593648,664.508690234964,747.0895187457434,755.1922477092123,855.3370893093263,453.6867486512552
