year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85
1981,0.0,-278.01137037928675,-318.4236422569883,-213.01590018708734,-296.1377881941452,147.75941012571445,166.5699836642808,-17.94574997047448,-55.81736280542157,-197.72493516403642,102.45242498550192,25.375432900534292,95.17731885941294,134.53916875389928,6.877220336942969,120.36559813704798,41.31061420351375,149.2955286581772,20.437028848861132,63.81711167966557,-287.2414353402752,-298.2560848811996,-209.36578271958533,-287.91515012001685,141.73094602339984,170.29622360582152,-7.585304621594105,-53.69609648543542,-177.0983019478814,107.71458295179355,29.81307094891622,90.91820091995305,131.0236429199963,16.544448539137306,123.3056133751644,57.68828743844938,149.2692455361056,27.353063521718127,46.05508392645561,-95.43323165502011,89.67898569137219,-97.62914934427295
1982,0.0,-236.4818092138354,-291.62409548341395,-238.9641970523912,-280.39100191750146,108.52374370621135,133.28047619913718,-11.04263381081455,-19.348994788841537,-304.34411077848034,56.99188509407156,33.689293207996684,101.68789366255066,129.67938779443898,40.18150259405445,147.67418971824543,14.840328977369609,86.44917290817898,24.719820672485866,17.07766898479781,-248.35317255121151,-278.2416462330002,-238.49008647763011,-272.3677284895859,111.07471105930642,135.91738308076788,-1.6176841784229055,-22.59642731224892,-269.45882703658856,58.16545131449004,29.295926111720632,104.05263603192338,132.2778387862587,48.75640731523106,150.6299627919749,26.536611812548358,95.08895656135678,37.13171516505213,12.213780665806212,-98.41763804298864,6.385156887388803,-99.02105721796113
1983,0.0,-263.01217201396935,-284.5298133841027,-232.99413992234489,-289.59929602091125,146.7419317437906,139.182963331446,-8.741319101529484,-22.326026654105362,-223.2860369973303,60.619430817359785,43.19033269507952,85.27573775945166,62.6747145573288,75.06641794276402,103.58457116169973,42.25327168817057,91.6851297768884,91.52237107801318,36.90166963288482,-274.2132911998824,-268.40297649866955,-228.7432947032486,-280.47991617928784,138.26939427901766,140.61534895183934,-0.6610316747961633,-19.333840927360598,-200.11363987266407,68.61437089725848,42.794489871233054,82.39356199034057,62.79194134191073,79.63334517825172,106.79713288166579,51.710538036448725,100.1162505304361,104.87504360802359,26.406261851632166,-119.0388762293448,10.575666187630532,-171.1801844316131
1984,0.0,-241.43377147563245,-328.4585157552238,-156.93751269237615,-274.9342765988305,141.72198898155693,159.87720475184778,-19.586770329181036,-45.95239880062809,-218.29440211706842,62.734600157054956,60.19790049234348,54.33662989593938,75.3382720973774,0.4489594856762551,150.9533810332108,14.939663794886314,154.61616476740028,64.69186413442253,12.98294437543268,-255.57823587171418,-305.1906446199101,-154.29494428019913,-269.5194087227791,140.6977050360788,157.57059615054925,-11.228752481666561,-55.953499093654386,-201.15457123880523,70.45972217890096,58.442082700465335,51.837021793735744,80.01461598644323,9.696371773795988,154.5831348862613,22.825381249335123,160.70846305808573,79.35285515308055,10.430172817720063,-114.79296523835808,40.3164053465224,-128.47375836671347
1985,0.0,-262.22431544968634,-306.63713331446587,-256.2288604060118,-262.46532501420194,142.54583902458148,177.46053788695724,-9.097993194161745,-42.11574982970694,-189.83117180670405,69.41014573711243,18.740259074416713,101.89471565995393,12.789196729059427,48.86950201913419,163.33730347909284,63.324117735138884,101.05341743726547,13.584541199423711,31.476355963867263,-273.2495782470624,-283.12426909330514,-256.3864661929017,-256.91642925311754,142.73655146305487,180.27764342159674,1.2156580050798311,-58.143462632229216,-167.44592860941418,69.97262373161334,12.250245783407308,106.8903784387038,2.2889716225201937,51.833617378551935,166.65997737600628,76.60048482284265,107.71365347830113,29.748419717400907,27.734235194390408,-99.25982179692619,73.63063490364436,-125.76102324997885
1986,0.0,-308.96534283328924,-338.34471708760555,-233.54312007046818,-274.62502365639943,114.97806511976239,168.25587575961504,9.171096643303486,-14.433642142158646,-264.82715820749576,55.245465461442336,45.27160291147993,79.96633333606496,-6.832781082303541,27.849113936040112,190.3800334306958,18.127145635824377,129.29509090798638,36.42333188705004,61.276658320321076,-314.44362190127947,-319.6244505561102,-234.60558326169783,-267.1546729599621,114.45252393091539,172.50069697077788,19.33165437746038,-14.621099818353287,-230.86226960096542,59.74327531066206,41.300742409894724,71.55101567315069,-1.3643163221169061,32.75335661490408,187.76643730141848,27.962384148919796,135.6697682213694,50.538577311103836,52.25177700949848,-70.04823959201087,69.70205201814281,-67.07378118298811
1987,0.0,-346.5324780829075,-286.4156288319158,-295.77904872578694,-236.54391535749653,149.3847461671637,155.25238866686436,-19.00710234108908,-13.931559355924605,-237.66108319254613,104.01708438821117,61.9238993500594,90.09202635694942,79.12962249026555,68.16149936644933,128.32450962377322,60.212100046807905,71.77424785435517,88.2874079911661,38.218370703312075,-358.494473736261,-262.130457928871,-290.6211519837976,-231.99519760269663,147.2934843383747,155.1136252675317,-8.879668220924486,-16.679713465852842,-213.8849164294212,100.57610184572263,58.22380113005863,90.1112728307379,88.63217901079554,74.1262742555341,127.97510388032356,71.89383141600285,82.44716985806281,105.7453420013619,30.11495713556735,-88.33852093314431,86.42954133018156,-109.86354687227652
1988,0.0,-320.8368768048763,-327.856316119453,-307.62616276263986,-264.2203575276237,87.26792612969916,167.03872904269394,-5.54525968486405,-20.772023630686135,-242.08476694704962,61.46431133742283,0.5709785691627758,63.308030662099554,59.52804754836529,20.729911531206426,74.57901276143264,57.659894289727276,75.54211920128273,15.18631007276906,80.8239478693323,-332.85990875726736,-306.6657594664665,-302.66343953104797,-261.1887908177116,87.06885495445783,169.56685504583163,4.541055238518879,-18.85015070971542,-215.68104593450857,63.489768838121904,-3.673167823214385,53.22153958234924,60.09768994086221,29.427011731971447,77.15473262832302,67.80037301497191,76.61223982575495,27.416018483419975,71.09606116895031,-49.01137147868155,88.59615609154821,-29.228618446661926
1989,0.0,-259.7837998760845,-223.44350586022364,-236.5351459054555,-268.1361327843471,153.79081196270988,179.300532110954,-21.957344599150474,-46.31462958579925,-232.390473762895,53.40638294301277,34.28196927222905,68.22926320076249,64.54418815835811,60.85660651525279,166.8747767108223,44.22077880690506,122.38058619528272,85.98682250995694,12.51567167544249,-275.79298267262874,-210.47681128655842,-237.40872408223905,-254.11337123769766,150.4373278083002,178.74899090260521,-10.780669678558866,-47.76335054412198,-203.6509322415692,55.26642687413437,29.24249461774491,71.86405723077985,62.40033397234686,62.96049775837935,172.62498543329468,66.36551298723111,129.72663013771,107.16246531213585,8.089398704005362,-53.697580183212494,56.12590269316581,-52.185345491263206
1990,0.0,-247.92199838088402,-328.0972670778126,-224.14466757059455,-280.40365212794586,159.56653168811522,133.74669295512183,2.2153067054765643,-30.761529674878716,-296.5117690261671,26.596654310340114,23.45491992808104,74.78688138319319,33.827806412793166,37.07842481506759,123.6848859340239,-12.967791222622736,56.15896151816776,42.34931409915589,99.4975268147814,-260.96106233533305,-307.67527280915635,-221.09959121737484,-266.0111180910112,159.00697906511823,126.27519809166017,12.162298938651702,-21.753148992690853,-256.65928760538844,34.92382320460604,19.343067335508977,75.45002080351128,47.02142561579035,45.28583959383536,124.65199914036612,-16.337448784954177,59.21300755234097,49.59875640205439,90.37176579160234,-52.743949671687915,69.5519678607086,-183.8328845908664
