year,ref,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,23.48485565185547,23.62038899342292,23.899162741900426,23.28175979221173,23.39993445696973,23.695243814568272,22.855548671692418,22.991369033738607,23.458818521654152,23.186641842569756,23.654467105902754,23.703551723964864,23.951177621952382,23.212427057693645,23.475021101936903,23.65994931631262,23.417631016878914,23.44187355459843,23.450881524117676,23.158837391512733,23.82824322282697,23.39504303201535,23.696514361980306,23.9332051200425,23.37083361771495,23.459685803227273,23.72747469617937,22.896090287487326,23.495538655959507,23.498365230984106,23.499020296150164,23.03713344612055,23.52958195442214,23.271914662366,23.71532969341061,23.79011546523789,24.076397584955828,23.299756845869908,23.578347092927345,23.726177206715278,23.527935586444116,23.524645106394203,23.456749825789373,23.20772061650426
1982,23.01502227783203,23.26286736649496,23.81750990613145,23.262739143091167,23.53624118289906,23.170034559876285,22.99429810806042,23.612484246801145,23.25247090996234,23.62156436289196,23.37149613382921,23.92376271037844,23.065325885050115,22.992230691447773,23.340516867741115,23.61736931816131,23.110117782453315,23.459319735929412,23.447964426316673,23.710778711367894,23.859649271908452,23.510925488166066,23.33325235314068,23.86350249062052,23.347731897677036,23.597851310491123,23.197233220849526,23.01901497571008,23.75647687399517,24.028505178804224,23.674965580359185,23.63831183276143,23.323840943395794,23.71235259957713,23.42225048066514,24.016515725193884,23.164782149900986,23.10388227465127,23.451674478514107,23.676641463416843,23.196754747100556,23.543817890725535,23.43758610742647,23.743120169023456
1983,24.027145385742188,23.556175824914604,23.35955196879496,23.25695308064452,23.370739218763887,23.3839933203503,23.20384538763986,22.998456545730576,23.02743745714396,23.038343719554575,23.40873509653018,23.69199138128471,23.642748414299675,23.40449321708654,23.385152513029624,23.30369650451847,23.11976841141218,23.508443943755466,23.372969424142823,23.80630547769546,23.828827876903787,23.52880392791809,23.641163168482606,23.382113179851373,23.339895306789032,23.42925016878904,23.411809000726976,23.232356356645667,23.93581196677404,23.74511683828493,23.505271293256683,23.038669740382772,23.112919790638173,23.12877490499909,23.459541574101394,23.769981463030703,23.81452474816429,23.516756415927745,23.523164511257363,23.347342171915912,23.214003331767415,23.583785464870033,23.36817010742996,23.83106107611414
1984,23.24474334716797,23.826476038432972,23.31316248224745,23.895295994977715,23.59850617876843,23.631045404650877,23.784314609238635,22.894443762905127,23.74428951348679,23.937561710405518,23.95276857830875,23.49534644880248,23.529744963999732,23.980392497761244,23.68907989001579,23.57065433696208,23.61655324173104,23.700718597344363,23.66941910776822,23.859634549774995,23.607679271375204,23.525042530018695,23.900458906156445,23.338790559350684,24.027358724059454,23.664174745732723,23.658593850182953,23.838048283892718,23.36482740183989,23.404569822995015,23.804390237385874,22.916133804869645,23.808713757202,24.054050141703954,24.022397586669243,23.547359763841385,23.669959917575312,24.13671614697941,23.82330660451329,23.632622778069816,23.726680977826163,23.818644993862634,23.679608928217547,23.872632357586397
1985,23.309356689453125,23.488423084980354,23.25960523782429,22.93415183860371,23.999789083775696,23.60099396455756,23.2596221475185,22.900424417035367,23.777731048857305,23.239297068792098,23.897154492385397,23.51369984378647,23.35574992266406,23.221229514468703,23.186205117142492,23.57868691973721,23.703447071916344,24.145616304315965,23.77757417612962,22.939582272147547,23.551548936260133,23.792424897830003,23.549265735571936,23.295423584196897,23.02034261367426,24.06622887999795,23.608919677871015,23.289249936333945,23.248553360610856,23.131571530988936,24.43784145721419,22.925248820541086,23.8526242001997,23.32692640372295,23.96726543115328,23.564292859045523,23.467128738451805,23.333523697451128,23.289187700464083,23.625682150037917,23.821957715439567,24.326596818098835,23.80949298948454,23.002500240158128
1986,23.18334197998047,23.863408813783394,23.04784588934045,23.25079243332374,23.621566806840974,23.471225327339923,23.062839199435885,23.074229469260644,23.779558540510436,22.670232315211933,23.785590706372147,23.48765767394835,23.435731456011183,23.463817814076776,23.85652242552669,23.42171389157882,23.29580130758501,23.544123231364367,23.20434173520374,23.572149061997663,23.469005973387084,23.713737400921573,23.948095356759282,23.067205000715816,23.34809255076796,23.68594579564318,23.489709279448775,23.10036920125988,23.163069516540816,23.719883542706228,23.547562855941905,23.11652416625998,23.863508953661466,22.75801690743957,23.85730197283877,23.548844200676967,23.58181413156332,23.58154763670227,24.00533303193184,23.47122912385194,23.3891002715703,23.627310793585465,23.208967354359885,23.61458198849715
1987,23.632957458496094,24.031717065961033,23.379879562341586,23.81800019920348,24.020693387689562,23.91713338281349,23.434515091461137,23.421582077347992,23.94774617770568,23.28862962489147,23.509852880225992,22.9380898165723,23.429731356257335,23.538827976625853,23.75468814652541,24.009969712340208,23.688512358728147,23.677503598796363,23.38880830461079,23.99098351983116,23.148902483787197,23.91047438586496,24.119645121345812,23.410652971384792,23.920544300225544,24.058722024704167,23.940789614692306,23.461213239764604,23.39230842012728,23.773586405918408,24.04062560853778,23.45524963982858,24.04869418417296,23.366804991187692,23.56339085624961,22.9566894854822,23.544004418974566,23.65899338402454,23.897942097963153,24.06362041293471,23.8009542375257,23.806551760834992,23.408607809165815,24.021032829165136
1988,23.34551239013672,23.733141169629675,23.843477414277288,24.162650298676,24.12412200497731,23.454080202871296,23.767025710002528,23.35181045232163,23.407753341568878,24.088779078591998,23.44171859666241,23.24836126189473,23.727410374136525,24.020464623868975,23.555838166370094,22.940805934552472,23.94692368184799,23.680569664981604,23.682357949527557,24.017517523409666,23.464584756052858,23.860010324064817,23.83471169994006,23.86132253847542,24.2984936057002,24.206170052319678,23.488693888826432,23.80319827927599,23.32903612310271,23.468491487479056,23.569096943857417,23.39883868517653,23.49594983391529,24.1932233340725,23.490725683628256,23.293310297199938,23.87964769488329,24.127848479799553,23.69285355659173,22.998789511774234,24.06091574573138,23.80292013490643,23.697131816580878,24.04927886883067
1989,23.135726928710938,23.21303623721272,24.032729841088937,23.746343335420164,23.42707895209081,24.435509295425234,23.39892062172096,23.329512157078895,22.939381751010856,23.576449073021266,23.91470055457623,23.672449623767434,24.03120237950344,23.825108700764716,23.65390688395948,22.9696019694628,23.401868352862124,23.83793063646428,24.10888172894721,22.955682903470773,23.671538736960684,23.804606753821716,23.263292245161765,24.067897072569238,23.878533463655856,23.470845385478214,24.526998459902373,23.431912334536932,23.61055907426821,23.385597123138695,23.465105579625913,23.36781036501945,23.002027470791944,23.66913859915678,23.96911186815089,23.77313739958319,24.1571502967586,23.921628422483053,23.82764887377877,23.01961467930498,23.50348193427243,23.940868220068538,24.144046808349515,22.96922770571973
1990,23.591354370117188,23.55933248649167,24.078393992434357,23.821290470634153,22.85908933746289,24.204705007024245,22.9988365059088,23.141444508367314,23.00365927798684,23.76473529907433,23.751261656717205,23.79141703461434,23.646014063827153,24.094235035036675,23.57571420685609,23.38152635652503,23.415752812836274,24.19277126879328,24.6105197845104,23.30151540794364,24.095596572578657,23.87716960352121,23.651729483574528,24.12620700341816,23.933832905503692,22.904413703579962,24.295850160656073,23.02913552077763,23.73557108733128,23.05475179362891,23.585159057271085,23.180847020263187,23.053859363601475,23.85165521407241,23.808105335217775,23.887299125324674,23.77193244099287,24.23449945897518,23.690913259483253,23.43535614733834,23.500253605631656,24.3119379313937,24.64741220892192,23.341540610394432
1991,23.416427612304688,24.34532069071294,23.075244087649537,23.775217166238704,23.217727119960983,24.043996231883867,23.442218650229805,23.015322692965512,23.00199783429086,23.762735961133544,23.671536790479692,23.614051211305153,23.50253330392522,23.51647315732278,23.132188334160517,23.33772040597725,23.377452383483885,23.941699511369066,23.085729903251107,23.916715909897135,23.829675135953053,23.995921017407767,24.519933106106024,23.103871066410917,23.86960454428946,23.251126059792597,24.10010675930242,23.482272960601136,23.895967414124982,23.908247996549463,23.423073101861547,23.048252153716177,23.059375392894182,23.84755899451011,23.733173316184846,23.650905857142405,23.63610281374997,23.639451796877225,23.25106576067759,23.382595771419375,23.48319629299779,24.0287454982207,23.1422223888665,23.978334614910565
1992,23.300048828125,23.507324065825827,23.944242224725855,23.52664457730846,23.99328293537289,23.159431813920662,23.235019504177757,23.325530148435107,23.34763004872279,23.07197911869541,22.977370001528087,23.543275199774385,23.78228702559565,23.442472564770483,23.521102703053856,23.934214347075837,23.76948034301998,23.07532512663171,22.868146629840908,23.833934728219234,23.57718116627936,23.29458409511163,23.56147222006645,23.97093862907738,23.643537850896976,24.048714120575625,23.20008195110468,23.27768167146492,23.67194352431649,23.489094155582706,23.257935381768945,23.381785118668148,23.416708383484945,23.16891499505705,23.014703185768894,23.60193181257432,23.939443670326497,23.567381477580838,23.682148925484853,23.996886244377094,23.898673520643612,23.14611246487216,22.8957226205802,23.896916555852883
1993,23.63976287841797,23.790798867505103,23.392583357568483,23.358755160930627,24.134314537594832,22.955676610187425,23.393744061713207,23.47810735617442,23.772858883737072,22.944770152798426,23.19143992734942,23.37088785569175,23.522238125082794,23.380768409939577,23.770105681318753,24.12544092661146,24.07886014507018,23.063736327485785,23.537678513573155,23.153637463953146,23.456599004106963,23.3051249935706,23.861193171962256,23.422175096372598,23.443721005405266,24.210447832725038,22.958842564404492,23.42674999823025,24.18323651144142,23.772467149142116,23.546483729064136,23.505990617098632,23.838119032727207,23.02268305148158,23.242311331601584,23.435273074905922,23.641622547634157,23.490022533797315,23.937309071157102,24.17339522993052,24.198724785521563,23.109552078547424,23.53874977632543,23.192619731558366
