year,ref,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85
1981,399.2847279756973,270.5857497928749,410.68710301021815,403.99861916597627,434.6139188069594,327.17674675504,276.1720519193593,352.8061309030655,315.44435238884284,330.37475835404587,308.3396851698426,394.34244683789007,261.16846175089756,400.87848660591,341.8787627727147,330.9163214581607,422.7580778790389,335.6807511737089,276.9107981220657,302.19828776581056,328.7462027064347
1982,349.65700082850043,237.10604805302404,405.03507318420327,383.60093896713613,280.1963545981773,277.8958851146092,386.48191107428886,344.2797569732118,227.2068489367578,521.1159900579951,372.5255454294394,384.28804197735434,228.54570560618615,384.6387738193869,524.2689864678266,281.54819110742886,271.39132836233085,334.7578017122342,374.9273681303507,358.974592653963,235.24716929025132
1983,275.4208782104391,369.7721623860812,434.85086992543495,269.20160176746754,376.43993371996686,297.0781552057443,485.9806683236675,466.6586578293289,356.5390776028721,415.0922397127865,454.93095829881247,422.8892571112952,353.3145539906103,271.4170118751726,421.8533554266777,300.871858602596,368.1455399061033,452.32311516155755,469.46340789837063,443.59210162938416,365.94338580502625
1984,319.24413145539904,349.3910521955261,170.04888152444076,315.82049157691245,216.1842032587683,420.9997238331953,238.52361226180614,330.8373377520022,352.11267605633805,371.2551781275891,283.9895056614195,168.6487158243579,325.69511184755595,316.0306545153273,375.3584645125656,416.81441590720794,207.43744821872411,320.46257939795635,233.66749516708092,282.13532173432753,355.3590168461751
1985,428.94946147473075,329.37807235570284,308.6175089754212,386.913835956918,444.4291632145816,229.1422259044463,400.57774095553714,288.3617785142226,307.50704225352115,303.94338580502625,244.54625793979562,305.70505385252693,314.3153824910246,394.9917149958575,306.7793427230047,230.58492129246065,429.45125655896163,279.985639326153,397.6655619994477,240.98591549295776,314.879591273129
1986,399.8737917702292,337.61971830985914,446.0347970173985,379.7036730185032,218.04943385805026,417.3717205191936,331.1499585749793,408.37862468931235,319.096106048053,243.10963822148577,545.6768848384424,424.83927091963545,324.2297707815521,382.80834023750344,257.24523612261805,410.55509527754765,206.8152444076222,395.040872687103,329.7647058823529,527.4794255730461,334.1643192488263
1987,401.15410107705054,454.88704777685723,336.6536868268434,352.19110742888705,513.0019331676333,320.04501518917425,367.3093068213201,313.91853079259874,494.28693731013533,223.11709472521403,370.88732394366195,330.08699254349625,434.7351560342447,355.1913835956918,227.8732394366197,317.27506213753105,493.7045015189174,301.4774924054129,355.58602595967966,358.85694559513945,498.33001933167634
1988,451.78569455951396,262.80916873791773,351.4233637116819,392.953603976802,409.5335542667771,302.93068213200775,349.26843413421705,436.6357359845347,369.69897818282243,342.7373653686827,311.12317039491853,346.5283070974869,254.1913835956918,398.3463131731566,348.0477768572218,309.3344380005523,391.4131455399061,416.63242198287764,345.7439933719967,296.21596244131456,386.0314830157415
1989,466.5796741231704,480.089478044739,280.6307649820492,349.8323667495167,339.09444904722454,321.0113228389948,428.39132836233085,265.97293565313447,361.3998895332781,304.5515051090859,320.45125655896163,270.9091411212372,461.3673018503176,353.64540182270093,315.62082297707815,317.56614194973764,326.93371996686,259.8340237503452,419.097210715272,309.78348522507594,372.4783209058271
1990,348.10494338580503,275.1135045567523,398.0367301850318,445.896161281414,200.22369511184755,427.939243302955,349.7285280309307,382.7166528583264,345.89284727975695,510.47611157138914,355.59707263186965,394.7688483844242,261.00800883733774,445.8108257387462,519.4509803921569,429.1676332504833,198.35266500966583,367.48826291079814,345.1494062413698,350.4482187241094,355.06489919911627
