year,ref,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-1.9362274770883232,-2.7172045837471615,-3.23703203052645,-3.597172540373151,-1.271523123774557,-2.470025152498863,-2.157452740063661,-4.000872179667738,-2.761108109786676,-1.9215925031198822,-1.757289041489571,-2.198264378541694,-1.3356133171740794,-1.8798034310175922,0.1337094104242169,0.904664119244103,-1.6512028498028144,-2.000798159440933,-1.867499428876556,-0.748573133185289,-0.08939755350229461,-1.9426924596320987,-3.2824961414036125,-1.3727954439009977,-3.632862632523313,-1.2318283104626744,-2.2232856163684005,-1.2057022737889156,-1.8349118520752086,-2.9636445173888433,0.16624135066666668,-2.5370831219158276,-4.075902756713958,-2.8261340498464165,-1.9154598629801853,-1.7389595318828697,-1.917102102211345,0.9507291201571775,-2.211276683626238,-0.7119527083671073,-1.6411137211664482,-1.3751402114306757,-2.042699263937209
1982,0.0,-2.0309970712854692,-2.811168449025274,-3.342043055867009,-3.557499354094091,-1.40097083134782,-2.6029943420836616,-2.3253898118449,-3.8251128735421958,-2.894531971996628,-1.8700272853676552,-1.834673549270633,-2.2850403583026377,-1.4602481412152883,-1.9115683634493053,0.01713858099827803,0.9959489698213133,-1.6521196178741775,-1.9440884471815707,-1.9089919140218967,-0.7599382954464318,-0.284199050757195,-2.044141087817593,-3.3850493867424802,-1.5130786528728777,-3.6051338260220405,-1.2214118297225696,-2.3678911264570957,-1.1360881157513631,-1.9299779432403739,-3.097674752154262,0.046446872625210744,-2.6851676458778684,-3.8778803945199343,-2.9268616501424845,-1.883319020817737,-1.8215929609993395,-1.9513931203767356,1.0291266042844427,-2.2790565611902025,-0.7057455733956317,-1.6492812639475005,-1.4859114557405064,-1.9889715201073273
1983,0.0,-1.871052112946927,-2.7209126582933436,-3.406219031079331,-3.665505542367896,-1.3895688085439701,-2.6085279270937463,-2.2674915444429757,-3.8080287795211234,-2.8212087048073613,-1.7722966472799726,-1.7866158217181578,-2.397690740966368,-1.311796061092764,-1.7186580449025541,0.03624531616577542,0.9492092133521624,-1.712462060872042,-2.074192880168198,-1.956986605486918,-0.6200858910845568,-0.14999944937574128,-1.8666600800199262,-3.4452963123178506,-1.4844149373385562,-3.6883993719333716,-1.1141112361197543,-2.329497737984127,-1.164474236032504,-1.8648576247937285,-3.045355943813604,0.07337203358770239,-2.660656211781145,-3.857201173645251,-2.850339967162995,-1.7686072325401483,-1.7839130547818058,-1.7548214099373922,0.9381407601196088,-2.3917716170977883,-0.5814140856419954,-1.7018094645748079,-1.337709665167381,-2.092472043411533
1984,0.0,-1.9512689975446733,-2.7202607245880586,-3.4613219231409857,-3.4796074426809582,-1.208711936108216,-2.607764228928204,-2.15686045356631,-3.9169546560075332,-2.8319618372547097,-1.7462643741619672,-1.6077431452315523,-2.3529394953623637,-1.3615096087671645,-1.9826848726348203,0.21626799496760896,0.6244260235363868,-1.5864017490094966,-1.804190714726758,-1.610826932386317,-0.7187582381724837,-0.13776292682513258,-1.9596109255956549,-3.5077501635221324,-1.3313821743302583,-3.5160446083670536,-1.3095747867866976,-2.222025860743088,-1.3333987029741365,-1.777297783420181,-3.046968024317664,0.2340134168947543,-2.683451650588836,-3.9826381838231555,-2.8722576073655546,-1.741094553066148,-1.6144863763490775,-2.0306792609277977,0.6698671460854939,-2.3389697826349334,-0.6718039733309524,-1.5678066904782781,-1.3917543178926621,-1.8505835684086378
1985,0.0,-1.8757771154715783,-2.669229641778884,-3.486651075790462,-3.7365343392666546,-1.1526821025752838,-2.6609467532829285,-2.0596578427325767,-3.7683170435938678,-3.0128352531826295,-1.9713040339555619,-1.6403711701537986,-2.332755354096207,-1.4013434971438414,-1.8020706436089995,0.09966761401091162,0.8831041482308137,-1.5742005060569682,-1.9045110679350614,-1.783215769045114,-0.7769961896648283,-0.15063905572196745,-1.8936113444681268,-3.5177168626769344,-1.2627660386301613,-3.7690521616542583,-1.26849731190714,-2.117122948126678,-1.1726634233924074,-1.6114199567953733,-3.211913570237641,0.13507883704090773,-2.740819519606987,-3.8289625987841873,-2.776455656918529,-1.9576020056417178,-1.6279729160009424,-1.8317150619035374,0.9306516454608413,-2.3395633160056377,-0.7396170320868123,-1.5609477753225178,-1.428074237589442,-1.9358189747236452
1986,0.0,-1.9876508575470098,-2.70516806664574,-3.4646124511346557,-3.6112269347688652,-1.2244977935189354,-2.6563209749454586,-2.16911761005548,-3.811509096345617,-2.930607473577936,-1.6312524419516876,-1.790237365905682,-2.4091974070746573,-1.2950417637609917,-1.861489719737051,0.3458715560020096,0.8533888110551402,-1.5696563745714798,-2.0496661135661043,-1.8267174483822828,-0.6367667556177139,-0.11259191307311767,-1.987861527875964,-3.5078085439394044,-1.3467796723530228,-3.6257682521549555,-1.1632608726063722,-2.2344016583230655,-1.2627595267965148,-1.777536002320062,-3.162104822384549,0.35427078443700566,-2.7313007669096123,-3.866142361125185,-2.8516227173798825,-1.6284623146144668,-1.7841475605110304,-1.9189027221105448,0.8833531184779986,-2.409991107079577,-0.585273107445687,-1.55922563142002,-1.3031411324455462,-2.077660110923375
1987,0.0,-1.954209323775956,-2.684844143187661,-3.3834843838621964,-3.5799457878571275,-1.2644409888513906,-2.6502089320289883,-2.095861159926301,-3.9550275602257443,-2.789193092299854,-1.7780640611820218,-1.7810430084050495,-2.4558877733708755,-1.3863965390722228,-1.6807564844618241,0.46084022320917484,0.7727798773514678,-1.7340845427014528,-1.9941884356814512,-1.8303720813690347,-0.6151024093205706,-0.045972769217996756,-1.960713766740696,-3.4169368301204486,-1.3649850902992853,-3.6222111572141102,-1.196257863892015,-2.1732104869245745,-0.8800646888624328,-1.7734691194962693,-3.0177557426579256,0.47334791997212733,-2.716942364148963,-4.013946527942778,-2.789542239124387,-1.7763515490104282,-1.7757966877842364,-1.7155312327579395,0.8123673192973229,-2.4614363837466158,-0.6006598500171094,-1.703717131239614,-1.411226284321117,-2.0213605862606983
1988,0.0,-1.9934637435642344,-2.617978335677094,-3.344228563513184,-3.49955377542733,-1.1686685552402878,-2.615757177367982,-1.9833754170538214,-3.850397630221437,-2.8988641650922773,-1.9148040763663516,-1.5970732885621715,-2.3139488342981736,-1.3877743225621657,-1.7973173062332535,0.20670431916175858,0.8828275658485154,-1.5215404429478667,-1.835650672161023,-1.7336593000678704,-0.8779392971533753,-0.11986850473016375,-2.0020622591588335,-3.3746308691149807,-1.2817913984420102,-3.5300847346119326,-1.288920383759546,-2.0494811348388566,-1.156922528309849,-1.7520940683459116,-3.1330599669007597,0.2280751637362073,-2.687117037014957,-3.902730638864682,-2.7329796437218192,-1.9153681823685815,-1.585467986073354,-1.8382639407499823,0.9219448163281072,-2.30133880932118,-0.8135944427402251,-1.5187038517799465,-1.4270703497352315,-1.8818387011615414
1989,0.0,-2.050682390274517,-2.782813347376191,-3.4543187303276,-3.5720163641001363,-1.294652461918929,-2.602858362948325,-1.8167195612062415,-3.865042084201775,-2.810889892355476,-1.8557950783173283,-1.6079575915979376,-2.346383054294904,-1.2628977601489737,-1.852145002092584,0.1640115388292429,0.8485409346281472,-1.6335308731158307,-1.8775298190801664,-1.6812066273783444,-0.7936655873040763,-0.07853783606685738,-2.0618810359578106,-3.48592811170829,-1.3926746624301245,-3.5941237227298757,-1.2606262453444401,-1.9263910960667658,-1.0951732938873988,-1.8227776846773054,-3.0408227728493102,0.18995938430447268,-2.6624705463979126,-3.902525096949205,-2.902459064142704,-1.862791203082054,-1.6218945358797896,-1.9040677319168822,0.8872626003923187,-2.3511272045302007,-0.7443057723058928,-1.6190904327593216,-1.2901542370657353,-1.913757448573108
1990,0.0,-1.9325485450190172,-2.7599161169994204,-3.3391020365911004,-3.376622587521979,-1.2943727235922324,-2.4724555585853523,-1.8322253304135643,-3.9478024209423097,-2.834071429345272,-1.8958268686463384,-1.5557941663875567,-2.264713406792339,-1.3623217306997617,-1.9571151309132802,0.04710081804540778,0.8473537381279925,-1.5637351762720755,-1.9483821341403882,-1.6462145088385114,-0.9122279704921539,-0.18658945789604786,-1.9412933909844696,-3.3719529177379854,-1.4103651234802328,-3.437070944623372,-1.3709538203915486,-1.926281009752529,-0.9874933150291554,-1.86389098633515,-3.0535830638534662,0.07851026610421741,-2.5377273914905345,-3.994116036661012,-2.8856679990328757,-1.892895453360893,-1.550519913625692,-2.0084066634248643,0.89401292923759,-2.2481319961906365,-0.8425946229813235,-1.5433694625240832,-1.4022086602928994,-1.989186220056979
