sim_code,sdev,crmsd,ccoef
Référence,11.13,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,12.16,13.0,0.38
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,11.29,12.6,0.37
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,17.17,17.3,0.31
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,14.06,16.8,0.12
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,18.67,22.6,-0.09
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,17.8,19.4,0.16
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,10.89,16.6,-0.14
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,10.88,17.6,-0.28
CRCM5_AFR-44_CCCma-CanESM2_rcp45,11.92,16.0,0.03
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,13.62,18.4,-0.09
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,13.43,14.2,0.34
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,12.64,14.9,0.22
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,12.87,13.2,0.4
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,12.22,14.7,0.21
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,12.79,18.6,-0.21
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,8.52,13.9,0.02
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,11.87,15.6,0.08
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,13.68,17.3,0.04
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,10.72,13.1,0.28
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,14.71,16.6,0.2
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,12.2,16.8,-0.03
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,13.53,16.3,0.14
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,13.7,16.5,0.13
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,14.83,16.0,0.27
RCA4_AFR-44_CCCma-CanESM2_rcp45,11.87,15.1,0.14
RCA4_AFR-44_CCCma-CanESM2_rcp85,13.72,16.2,0.16
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,14.16,15.0,0.32
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,11.84,12.5,0.41
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,12.94,17.0,0.01
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,11.59,14.4,0.19
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,12.35,16.7,-0.01
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,12.4,15.0,0.19
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,14.5,17.0,0.14
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,13.68,14.7,0.31
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,15.13,16.0,0.29
RCA4_AFR-44_MIROC-MIROC5_rcp26,10.1,11.3,0.43
RCA4_AFR-44_MIROC-MIROC5_rcp45,12.25,15.7,0.1
RCA4_AFR-44_MIROC-MIROC5_rcp85,12.28,16.9,-0.04
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,14.01,14.2,0.38
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,15.57,14.4,0.46
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,12.64,12.8,0.43
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,12.84,15.8,0.14
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,13.94,16.6,0.13
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,11.63,13.3,0.32
RCA4_AFR-44_NCC-NorESM1-M_rcp26,11.7,16.3,-0.02
RCA4_AFR-44_NCC-NorESM1-M_rcp45,13.25,17.4,-0.01
RCA4_AFR-44_NCC-NorESM1-M_rcp85,15.25,18.6,0.04
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,14.6,20.2,-0.21
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,11.88,16.0,0.04
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,10.11,12.7,0.28
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,12.11,16.0,0.06
REMO2009_AFR-44_MIROC-MIROC5_rcp26,11.7,13.9,0.25
REMO2009_AFR-44_MIROC-MIROC5_rcp85,12.31,17.8,-0.15
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,13.57,15.6,0.22
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,11.64,15.1,0.13
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,11.65,14.7,0.17
