year,ref,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,33.05341339111328,33.55972823049787,33.46396658409891,33.02360671245573,33.707871521480115,33.13276339273196,33.01878260264331,33.5519973950727,33.53155638582699,33.22330599886166,32.94010670450247,32.846956933998015,33.32204054729064,32.743648317144064,32.86736528622518,33.277198474772305,33.19242434251903,32.67112566422412,32.86167236974106,32.969015974992885,33.195712322324766,32.997029057061326,33.59509220539472,33.50494000729422,33.27215998675241,33.84258037927624,33.222439316899255,33.10576046787875,33.64330140939401,33.43759074756905,33.54542884044601,33.65570556235882,33.65862500787759,33.35859702304501,33.029794104162164,32.86805419046988,33.354775744488364,32.79515872967646,32.87576147112257,33.35543478355693,33.246562444357565,32.708013122861615,32.90804055620775,33.03127761106214
1982,32.55079650878906,33.16193117662151,33.92833774366606,32.915225881727324,33.50011790529474,32.57889501530718,32.91420820130084,33.7930968781787,32.91314573961438,33.26825567117558,32.62435444822887,33.36264358132817,33.08502158383655,32.903631723366445,32.75073941340548,33.427667369958044,32.59171884391576,32.75792453689391,32.88353035455525,33.2090054876372,33.62657871921547,32.86710317095121,33.20040777044659,34.00665894868182,33.13925203155425,33.661073413798434,32.632593668536245,33.01602013454416,34.036281939725455,34.173746978934105,33.59152544309137,33.852859831969965,33.049598950431985,33.43904629818796,32.70129611087445,33.403347030509735,33.12527655344182,32.95870660750762,32.73698888319909,33.518095912974545,32.649520588206244,32.78810733061894,32.92650890215627,33.26912985620601
1983,33.08006286621094,32.422770596758795,33.17330796952584,33.555426773756366,33.37633315976544,33.33662082019491,33.20369997677234,32.903875406252695,32.933253422291884,33.03484535453903,33.32609451147184,33.11297223677673,32.650219368779304,32.963691777727604,32.38292352494091,33.21031173476881,32.276714058357925,32.89716388807554,32.47146196752955,33.24575175896794,33.23204857525049,32.79372385848674,32.412751077724806,33.21428130285878,33.886364644051866,33.51369444506041,33.449906011974974,33.28369388998742,34.22558039916076,34.12879084586304,33.77502820641088,32.93884536961599,33.06964639558028,33.14742299093355,33.40023359036557,33.12646424439902,32.676919291075635,32.99610412518692,32.41793926373062,33.28606341726781,32.33790133386262,32.9378157333679,32.514509244727876,33.30005968141889
1984,32.88392639160156,33.52678635226812,33.54432778968011,33.588003291831285,34.21149094296581,33.42004102210525,33.709820493755274,33.0791888115949,34.02638267833393,33.07362315307596,34.173143828141235,32.71922858968617,32.91247226109908,32.75185709858732,33.28931346507686,33.23119931468666,33.4379178377862,33.069340052156605,32.85872914624517,33.48723201245275,33.09545849706028,33.56333084907959,33.565061928361445,33.608569543069436,33.85980947916893,34.42157175419254,33.53652340805017,33.814862607334234,33.44919272858078,33.28801775385469,33.72579209282543,33.146398526594,34.26915464599283,33.217237204332406,34.307323790214284,32.75498010320729,32.94488432630554,32.798055470019065,33.29507178846643,33.30592529872267,33.514216481522666,33.11229264880579,32.899720821107934,33.56470103738981
1985,32.94365692138672,33.44273710784596,33.059292352400945,32.89315446991658,33.923906197921696,33.32087862754872,33.50400099051569,33.2697483883005,33.795904485343584,33.46307627651652,33.16440625095035,33.016006173840864,33.5587350389258,33.24316805365427,32.84511408004505,33.44262989642225,33.549947767762404,32.89212087501073,33.03861489590108,32.617420332383915,33.26776223520399,32.946538358030324,33.4641691427485,33.114765804051416,33.085227166215816,34.08382856559548,33.46090573034893,33.60707586131225,33.25103777588265,33.199005888898114,33.98363454479666,33.325352514836666,33.92356401105134,33.62061949279398,33.2445651706505,33.02871641988739,33.5890126266724,33.296688924195365,32.85088284947702,33.52271181142545,33.592428556395035,32.93221788415522,33.096377043552195,32.64747980118692
1986,32.717071533203125,33.48630193460413,32.71115588319539,32.9691870825707,33.65332891931921,33.31546171652235,33.60143098946186,32.68572331180364,33.484581842161504,33.59382969599699,33.21171889184603,32.62152242488979,32.7936697126361,33.42643040867614,32.63284831107143,33.32370948429926,33.22371963898118,33.186141878967135,32.99202480899895,32.57759597222214,33.35093871223084,33.42375570573385,33.51157719116972,32.747498651962985,33.25382613822262,33.82903674675349,33.43056081930128,33.70454454683704,33.21341877030919,33.67267541663378,33.5934439706117,32.7336018075619,33.66506081693481,33.73083927720617,33.32689538713292,32.65141886164359,32.81031350873536,33.499234469292844,32.62968787154885,33.389270941759364,33.28053584402848,33.2370580293304,33.017149967974134,32.611547500613696
1987,33.29492950439453,33.25695326592022,33.09067118110876,33.67738690673812,33.28407187349147,33.735578295803194,33.39757375898051,33.01255720167207,33.13057895136231,33.54994163737733,33.47548997908902,32.37680279701662,33.392004404106984,33.45942790616479,33.0404614969878,33.71270431468764,32.96960221001362,33.67269174606531,32.8718800974457,33.76733943496265,32.642601071375026,33.49744456628014,33.27669051257136,33.12007067537891,34.004668155460436,33.370994699499036,33.84822831856694,33.51525736306834,33.7428327372084,33.609497305536394,33.758982526451746,33.084142117244596,33.264447128105346,33.68102353154602,33.56244165641547,32.393385997844945,33.42249426687417,33.55335123708507,33.05774174307757,33.784401532347474,33.01666806468644,33.723068568681256,32.915961611408406,33.828040189602234
1988,32.984962463378906,33.36969428930277,33.47165290713504,33.78080682710741,33.531452442151945,33.42548169318336,33.30452420694715,32.792784200713214,32.84660919883066,33.521969739084085,33.45402122721964,32.74262293747044,33.52094716384026,33.16362713219489,33.172421908043574,33.56010893259163,33.15493596578712,33.36213434296775,33.751203280917196,33.2976695134176,32.7908002655691,33.2485519449385,33.40274364228364,33.544925261461174,34.0341658864934,33.644875115997166,33.54874969292409,33.40749984578906,33.01925576805908,33.447558876100246,33.19301026215932,32.84904044233052,32.95765903943716,33.66161900461998,33.54671141168407,32.76363950798648,33.538932693027064,33.19507678103042,33.15835964696252,33.64828141468841,33.224499107631786,33.42730160289351,33.7889940485054,33.363025161586464
1989,32.951026916503906,33.45739838069031,33.62162205459572,33.79700808464341,33.83904187881804,34.50911146986405,33.16409201309742,32.9145499074486,32.903356139919154,33.323057286928545,34.01842493135297,33.13803543445535,33.422314602580016,33.215056579778576,32.7302589121078,33.0006880046019,33.45618146853026,33.904522898504254,33.25076055203944,32.97372420275829,33.05315066381628,33.89331271801653,33.486392006279374,33.65945899906504,34.156685827857615,34.000199554074385,34.745459991699875,33.23980935428821,33.42506802977857,33.39064776066884,33.687251982145895,32.97976314400081,33.031765072217325,33.46677109735958,34.12760718818856,33.15545810656745,33.4567182125101,33.27589098201008,32.73181198135116,33.0483291885361,33.54543629688811,33.97312571536794,33.28718183001962,33.033672033154986
1990,33.30751037597656,33.41394880959747,34.0383012473345,33.68580443963489,33.59028822248865,34.37488225978488,32.9173149869565,32.61415029138219,33.24584529232433,34.0955707585173,34.219375886100195,33.0977244142469,33.57578741137782,33.39744224066422,32.99546578049937,33.04893267519816,33.65231419368433,34.014220957605644,34.0193686113258,32.9050981029763,33.34250020450975,33.865300334657704,33.44058145227764,34.15040737605767,33.935181367231976,33.78515473710206,34.56671840418937,33.01345473262134,33.6945766462627,33.38539369092223,34.00617397616176,32.6570113989968,33.42935938960993,34.25915431977738,34.34790175283187,33.11155399315183,33.61253901960342,33.45833976046386,32.98910719661784,33.12213400889257,33.72190446642553,34.08483180501567,34.0769507541325,32.9531104074219
