year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-15.479919044884866,175.88631089569492,168.34791790283126,46.127250145113976,-108.3767877347791,-5.938752183170607,114.47423099818168,-138.03543554766696,-293.57007614328484,-47.69458991467707,-216.21155610179244,-510.2221516277108,-348.34099748491144,27.86444150657934,-334.7970200888947,-132.46069657589305,-526.2133289092262,-75.00739419403641,-577.6421629507987,51.09748487393017,-259.72514822701305,-2.818084683580196,147.09874051089366,157.05403422632884,37.87972255947437,-119.82880141768862,-45.138115750183374,-119.72225674345692,24.190159202241944,-0.2801029113375648,89.63880322972796,-146.94499285209264,-297.6283962644144,-27.70476391355237,-226.73642793117037,-530.1828229931868,-337.50720129979646,28.937046931604527,-332.7411205065822,-149.85760005571922,-530.9762254197416,-86.27559861801547,-606.728632366408
1982,0.0,14.67135880587449,205.0208785465283,98.3328615029012,73.65163214750311,-189.70529632849343,-88.06761936622979,100.55356376099996,-330.8583210815208,-308.9886416907576,-67.80279305027341,-225.06320858218623,-533.4432617926989,-339.6895185282218,69.10236487350949,-373.09249032529993,-152.8098974298158,-427.0354994584386,-53.76272454410008,-657.680816391787,6.475409838719344,-260.0724583585311,15.43557427739745,181.85458990081048,88.2793295998303,78.14252672361562,-197.3440233980602,13.42725600531088,-70.89409045736369,18.64372147329499,-71.80029214133754,82.17321338184564,-340.1229233077976,-312.78629284086503,-54.74632852972815,-249.64099339432371,-550.5749236522016,-336.5515564095949,58.52021525301717,-378.6782852940804,-163.82392589347853,-423.4786657866638,-64.52778502150994,-689.5885954289804
1983,0.0,-40.70130936114344,108.99192808930904,117.2611375018599,49.08519288485013,-156.37780528861128,-72.84718838191861,105.3830626362797,-138.39851107180044,-148.79282837291112,-20.660901103350056,-274.2163022163195,-600.0908426933324,-244.59677722108097,46.835158802759,-317.18730986923254,-141.53041385190124,-371.6441960476647,-72.34514134905504,-617.2696241442347,37.56456637203394,-185.07394347650893,-33.57046875764945,103.5751445526814,115.77798899341008,44.75096841088555,-169.02318027555367,31.4617134018568,-88.12673720246204,-9.957565909201833,-65.93897629831088,80.47629641051765,-144.46417276563727,-150.7584633741696,-2.6085961098558528,-292.91905118534976,-621.5640687590808,-233.1464478456013,27.527381719920758,-313.99010027177576,-155.57751619892252,-363.7424016675142,-95.33763936311055,-634.9469066946893
1984,0.0,-51.86339979011984,136.34226652234585,76.04617601142061,-58.977854207697646,-144.78331482775076,-26.76753981781627,95.0076940541542,-204.97184249960745,-212.39448656099808,-31.48309038187972,-220.32387296759845,-444.0298427439574,-351.81078660912823,6.602150721726503,-400.62588759518894,-85.82331983109316,-366.5842835697741,-102.9784147446996,-434.1975036943262,38.01913419731636,-205.3713707678729,-39.68497314429362,125.13305094496629,72.30693071397799,-62.52843561415296,-156.70000852168863,29.05003367710742,-191.8440337041557,3.8190022181215113,-18.071671304159,77.17763335964219,-214.1830792203192,-212.829822279732,-21.85994074099142,-229.8441910351064,-457.5531622678535,-343.64138113989475,3.786694262416745,-406.7767386572797,-99.03322924462832,-364.3710360910082,-129.7592636634925,-436.5434653211954
1985,0.0,-21.96722823010515,210.3269488867485,128.61730142952962,42.56147172933237,-155.9442113747799,2.198609726691757,96.77837609865357,-230.1470257205108,-182.88246771131173,-43.06246317963371,-178.12693098977195,-531.8240759900714,-254.7340746942006,69.72681239030555,-312.9505214779065,-97.19067197732625,-381.8714644963852,5.940915661420149,-564.1630164286221,50.4330191012624,-189.3732508423344,9.466948147648168,187.6491133382733,122.51056018288472,40.82650868377169,-167.28834875630776,39.04423536777466,-138.6484664996255,38.69334973598103,11.459865267606745,89.65853768099038,-248.37071174417872,-183.77944641066955,-30.32067481964458,-187.04602796693104,-544.7129208463255,-248.66738244696543,68.05760195289452,-312.7858885762077,-116.21991475659866,-370.8603522328551,-12.503910498891514,-568.6179538263992
1986,0.0,-63.43371352232782,172.0202516323759,90.50018430591516,131.59928951890953,-87.40326508078556,-171.12429409169886,78.61826553056147,-138.3828431988257,-370.1486018344961,-56.22556300625968,-209.30138833360363,-563.7046318642409,-182.41393612192724,24.318322188070624,-345.4316899439126,-122.9067705154319,-427.87456392634505,-41.02034295022918,-576.0219822120919,22.37803195898374,-248.19814316920008,-50.685758913351606,156.22327810444622,86.38607871885834,125.71499607250246,-93.50571818616424,17.97032130409093,-158.70907682837765,23.57982905798656,-166.92221045597944,68.61959967573492,-150.48038482713537,-375.1983572060527,-34.59599274526568,-237.8272833416651,-578.8093815412725,-166.26774327585707,19.60564635512003,-354.3541917526396,-137.15653561978849,-422.56852976656063,-59.31676178387397,-603.7853613699012
1987,0.0,-60.76967054976223,108.8061196357801,174.01517802857526,93.356687158419,-133.95763799891222,-34.73446457605871,159.7933065667808,-131.24827230209763,-536.4929460319426,8.588404235320809,-207.7334951700849,-511.4463148005472,-266.7568253554024,33.543951555094566,-341.8292278483782,-93.59966204075158,-411.6088154612761,-45.48982835835807,-512.9858001597916,98.58788003896656,-202.5048777917927,-50.917118567203886,91.66542548173902,165.6031141668986,84.1269453697077,-148.13248816700718,37.59073922520969,-128.60250678130677,-40.02786447563085,-30.97400584893461,137.27096729260012,-134.71417907220604,-526.1912598087187,19.91679660638715,-223.3520156759313,-525.8106645226878,-260.1293418687267,19.07724023467108,-348.8638457542569,-123.6476539694961,-402.653958105425,-68.14361935877446,-528.9937901269885
1988,0.0,20.852931111074497,159.60914280512915,150.04533013835487,87.98092923915544,-73.49807293333868,-197.88569027082715,119.2909245344024,-207.383445674538,-271.9433321409195,-7.087578657423933,-203.39395872405944,-516.956680075931,-283.2241554959495,58.95070744902006,-250.82975217613853,-163.9040368936841,-407.6906380148929,-37.582599666713975,-718.6016910596363,27.046991149600277,-258.150276227832,31.29433447726529,138.11053969154818,156.23275395920683,78.06390428496871,-86.62993499283556,-15.592386985954022,-54.89601969702329,12.703310319890193,-181.2267718496836,100.6066591715844,-206.596891734374,-272.1762757169763,14.042879291836355,-220.75913275420965,-538.4315450793813,-275.9113328458244,51.34489062819125,-244.7729876608533,-181.8815718759439,-402.68475574534455,-48.18758523976294,-729.1683595006288
1989,0.0,0.771652288865937,107.01294391653543,199.50111329428012,73.21951162544366,-202.3594159271189,-167.3159655312058,124.24567591098992,-249.2400086390631,-171.073146761984,-38.10078489140977,-206.98537504076853,-447.9201312868258,-245.35162121751105,98.03315249968772,-366.05151773462825,-117.54982739125586,-355.88107951348,-32.86622208488643,-481.527675028444,58.77743388102425,-222.8178038337998,19.14125700332005,91.25755237380456,182.86978855742905,77.76435640396906,-219.58966362940737,22.63036584837312,-215.5644684542245,26.792976354867164,-159.64658390500583,85.77418746829522,-257.85791120192835,-168.65182509569718,-19.73906071467451,-223.44396445228492,-454.648819652983,-232.78716279233944,85.85813793634406,-368.7117537550712,-131.16227451023002,-348.236727742764,-60.39091708298383,-496.1246514492052
1990,0.0,-32.36448315572875,208.59795355743648,120.16423471042796,56.36309837029012,-132.80524251021518,-269.53066408024614,125.64700141755829,-136.76843437598933,-240.994410109925,19.84544794679061,-228.02703887600396,-545.8769323907045,-244.38896989497997,22.52564007680769,-375.24651821894383,-52.08476750747468,-289.82460443940624,-92.86982542636387,-600.9105656762778,27.18580036881491,-202.35812937125783,-8.588211868543056,201.501338746832,110.5814328471718,55.50908898132951,-149.46400309435393,24.862924207500896,-107.9558161240717,11.862943205130591,-259.3950488568461,109.11878244577603,-149.61557535144271,-234.1411721567664,31.504688546618468,-237.915788986104,-563.7138458943851,-232.65925032950213,19.015997885911645,-375.9573102298939,-54.47504524142266,-288.22064793937,-110.91497220506494,-608.3667503161041
