year,ref,rcp45_moy,rcp45_min,rcp45_max,rcp85_moy,rcp85_min,rcp85_max
1981,47.25,51.57142857142857,30.0,87.0,53.61363636363637,33.75,87.0
1982,39.5,53.05952380952381,36.0,102.75,52.89772727272727,35.0,102.75
1983,29.0,54.916666666666664,22.5,91.75,57.29545454545455,24.0,91.75
1984,34.75,50.48809523809524,23.75,100.5,52.82954545454545,22.0,100.5
1985,49.25,51.45238095238095,34.25,93.5,52.80681818181818,34.25,93.5
1986,46.5,52.26190476190476,31.5,88.0,53.67045454545455,31.5,88.0
1987,38.5,46.61904761904762,33.0,77.25,47.71590909090909,33.0,77.25
1988,54.5,46.32142857142857,32.0,72.0,46.21590909090909,28.5,72.0
1989,45.0,53.285714285714285,30.0,88.75,54.86363636363637,33.25,88.75
1990,57.0,53.964285714285715,33.5,105.0,56.43181818181818,35.25,105.0
1991,61.0,45.51190476190476,30.75,67.75,46.11363636363637,29.25,67.75
1992,53.0,50.61904761904762,35.0,84.0,51.02272727272727,35.0,84.0
1993,52.0,50.273809523809526,32.75,91.25,52.81818181818182,33.25,91.25
1994,34.0,47.892857142857146,30.75,72.0,48.54545454545455,28.5,72.0
1995,55.5,50.607142857142854,30.0,91.75,51.25,31.25,92.0
1996,50.25,50.11904761904762,24.75,105.5,52.27272727272727,29.0,105.5
1997,35.75,48.57142857142857,36.5,72.0,49.82954545454545,35.0,72.0
1998,60.0,57.0,35.25,92.5,57.51136363636363,34.75,92.5
1999,31.5,45.70238095238095,28.25,78.0,46.09090909090909,28.25,78.0
2000,50.25,50.714285714285715,26.75,106.5,53.94318181818182,27.5,106.5
2001,43.5,49.0,19.75,87.5,48.45454545454545,16.0,87.5
2002,56.75,48.29761904761905,21.0,67.75,48.47727272727273,21.25,80.0
2003,50.0,51.916666666666664,32.25,112.75,55.19318181818182,32.75,112.75
2004,37.0,52.535714285714285,38.25,79.5,53.07954545454545,36.5,79.5
2005,56.5,53.035714285714285,34.0,80.0,54.31818181818182,34.0,80.0
2006,42.25,51.392857142857146,34.0,70.0,50.36363636363637,33.0,76.0
2007,49.5,49.714285714285715,29.0,80.5,51.29545454545455,34.5,76.75
2008,45.5,51.154761904761905,31.25,97.5,56.94318181818182,34.0,91.75
