year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85
1981,0.0,-100.96373545521908,-92.69290563120296,-113.60044172616574,-130.29891414766178,-284.95306606446593,-295.83830604842535,-73.6854559836994,-78.28059149163425,-9.521082632242383,-4.191401031578039,34.06738241349581,36.59637369268205,59.67093191532069,44.66460481332706,-96.53404376499964,-89.46714135225795,-29.04516987461841,-50.10253672218812,-75.2659875078399,-74.50428909819414,-84.94393816345996,-88.5703085323729,-24.28754603576874,-22.09664250205708,-116.58552087968144,-109.02899152643192,-192.43938929831074,-199.30727293587267,-43.873004133840595,-45.50466533021006,-50.84350224623779,-63.8082900220179,23.795429265343046,21.349129163439443,-216.58244059843298,-220.1852508624471,-131.74769967319833,-117.90969830649385,-122.44712796403167,-2.2500215201107494,11.09739896951453
1982,0.0,-166.06541676050995,-158.13939500757363,-88.92765787071835,-104.3883080263904,-343.9102426926605,-352.3233379208195,-36.443073551129714,-36.56279676774443,-7.601720676186915,-5.1711261051679,112.64958688147487,135.87097077917406,79.86119293411264,65.41865671998505,-83.09711003960615,-74.80348956157684,-14.886184444278001,-49.560019337317954,-215.96080513072138,-214.7658621071032,-69.48617474805928,-66.20503931182702,-58.41367179463657,-57.65136902746178,-47.02716452040954,-48.969357659354955,-124.95199927068529,-130.76662855004827,-32.46081508118118,-35.73873396257193,-94.05958835838226,-106.80192908023605,-66.00962540232706,-79.30743332511463,-185.32716334625854,-197.10540464488997,-110.30117990686347,-104.90380022539193,-138.7042814652217,-58.927790791833445,-9.758405671152445
1983,0.0,-120.43172621561928,-112.44212263558018,-211.03352483784226,-230.01668042782876,-331.8264464885699,-345.03165052307287,-71.81239037644525,-79.8120586234968,-48.92837981677428,-46.91850226211727,-16.91605602066545,-12.730107970799054,-33.692282710322274,-49.13228457359048,-10.69761696953617,-7.3733361669445685,-27.058639997895853,-64.26449441461625,-108.90184019801654,-115.61260578946485,-17.146854990428892,-16.719860338194962,-33.89896369296241,-27.875637712520188,-77.0278079505971,-78.36510221479227,-9.098531590787843,-17.15505469982031,-21.02503653237943,-27.759707529817206,3.4192359854733922,-8.147915889197066,-52.37719928441561,-63.24090145093953,-33.8463374816771,-49.556753170515776,-67.37147304130315,-59.384056197725386,-289.9278951228928,-50.9184067136174,-110.1659832510021
1984,0.0,-171.26503278326766,-161.25548300745777,-139.25617395886047,-164.10956262760146,-471.8486615998,-478.4358347566922,14.627741589161928,10.859218021057018,59.28905879798333,61.87408498748255,0.6689969426028028,6.501537594665024,-75.6720772742018,-89.676896929024,-122.5731540695541,-111.48952938201217,-222.11054068617648,-253.36102675976565,-125.89553714390149,-128.3853641030945,-59.55597475080447,-57.970263089645755,-53.19379816366836,-51.82477677143652,-36.294428899681975,-41.16867938148232,-223.12579563494626,-229.11281105578485,-78.75555029046234,-83.39787847550235,-143.92936731109523,-156.9063820745397,-6.052287512114503,-16.766377399293447,-39.080979852635096,-55.21920996509493,-71.77872300336014,-67.12685452719381,-167.4516091233378,-5.78761495828951,-63.51998654160343
1985,0.0,-45.94463808324838,-37.85813862745215,-130.53846003413992,-149.409889756226,-282.8691177717212,-289.85228804588576,-9.318040913596747,-15.139918299676197,-20.572431709312355,-21.198981756455623,-8.990820963895999,-4.668762627349565,31.025309756285537,15.152835984801413,-137.83875449032269,-124.0991461367862,-127.34837002542884,-142.1053935983524,-109.0618082286395,-106.13648082522229,-106.1814425622232,-103.86051757512064,-44.0681893227636,-44.47440766054967,-134.3470352136702,-126.02756718311798,-126.86164981414015,-129.31737213202848,-61.458043744350334,-66.92862957745285,-33.94528329554339,-45.46021036711329,-24.861583186686175,-34.09762528250042,-123.88207789707235,-140.2699178694362,-100.86495920885193,-97.39828460555611,18.88536512712517,41.403798239639514,-70.60467787875166
1986,0.0,-13.998409778606288,-3.6469447844530123,-92.81911628022374,-110.74129990799156,-316.7065452283302,-324.2255537158329,-42.981118486652804,-46.467079486748275,-85.77883667513731,-80.77488144149174,13.421439442739825,16.468398429231115,-95.48380768575123,-108.78859749038077,30.46730211897659,36.83386795049387,-117.64743950889249,-154.2113015432982,-89.57502261852699,-92.97399246463249,-38.461875880998036,-36.85021092663567,0.39673512706883685,4.942637282509963,-203.20515447670232,-209.57384557046214,-142.0638158122788,-146.00079683341085,8.246463644858522,7.3539678195455735,-91.23203817870035,-103.08425625840198,5.577962927502199,-3.46064125231419,-160.11947489245597,-172.89826919967993,-89.25679979954452,-81.66608965410558,80.34826533525143,170.834354859399,14.548803389200202
1987,0.0,85.21227268139785,88.823678476954,-193.60724020249097,-223.4448978165393,-149.71854187983593,-159.3940363535295,-92.3626076774492,-99.86979849551278,-98.39384561288705,-96.47088108391597,128.74336517348786,147.76780209260403,-40.72405304911581,-58.07506963443018,-17.553745376584857,-14.775365754098516,78.84411354064594,46.7308968933462,-55.64163408311276,-49.435012316659936,-119.74653728286899,-117.75135698043584,6.731004105486704,7.876822429516437,-118.9539874876524,-131.08007268777862,-57.103988044658536,-65.06727418040066,-24.46313350563696,-25.85023340441478,28.597963850579163,18.59073342910972,-78.17215154408586,-91.09956158865691,-13.307037284186208,-31.562590101482442,-46.54648555553581,-39.76853327078243,28.538875414127915,75.71616046899874,60.88477996116933
1988,0.0,-110.36189398299973,-92.46314628027369,-94.66077586184781,-112.89957762683241,-126.95497364630103,-135.49283612397232,-14.061045277631251,-16.91709530405717,-34.16994615425108,-32.13869318242553,89.14308611561262,93.5552381008008,107.60133965847547,90.58995703424625,53.994322569383826,58.64715845134617,137.9338570550034,108.99251665105919,-139.66933128012568,-139.41459553208165,-134.13220774774004,-132.67376777086463,-45.559723936480054,-42.64268883943089,-67.17290957414616,-70.98821667252071,-178.28015981685212,-184.83652584420622,-153.47523190774803,-151.84502872507403,2.6448854128746007,-8.271049834987707,-57.14189254475252,-59.786337018961945,-158.47926326317213,-170.90353236325313,-6.045690404565562,1.2472945389185952,116.44093624916457,-3.1815586943845346,190.26822819226174
1989,0.0,-138.51384250229626,-131.579664715273,-326.25953171125343,-342.6846228106384,-265.09753169176554,-278.1885840486051,-213.76265890411435,-230.66587116871835,88.37465275101124,96.46847067217698,-6.336324068107956,-2.2458943215516456,142.1197403265861,124.55792997940466,44.271561790044984,46.85539798023842,197.98708937876427,163.31498896860614,-96.29501411714057,-96.11242820402833,-78.48468055492594,-78.16833689832185,-66.13333813164036,-66.7732390912339,-65.19579827211805,-63.69672856088346,-105.4858340158579,-110.69064515371963,-56.09133554317839,-59.27635899727568,27.487113903254112,4.098024569110635,-37.19903430201225,-47.45048902628923,-32.79232061148139,-49.6712541188474,-97.44590597699596,-94.74264894780151,58.235680962784386,36.20595625685792,45.58262500063279
1990,0.0,-76.59554581419559,-64.7529342024817,-114.32606994745117,-136.1803933633156,-355.3200327716525,-363.2445105230825,-179.12045599479222,-194.31876091308948,-21.895257434318523,-22.733663815162117,-77.82303392067001,-72.31290602174431,197.70263180540462,174.69653102616292,104.68028398721981,102.21972747245513,-20.279825751973476,-48.30091406342183,-133.45324417714858,-137.2568443404731,-102.52486865821618,-101.5572705288647,-2.630825923474731,-2.151983082150082,-16.494237021046388,-24.626079552635815,-99.30613204432564,-102.76816029359713,-61.42401939959575,-62.60353409114771,-188.55799056133537,-197.59379230942864,-120.17253792716576,-125.17848959719561,-130.06645003181995,-138.30511168468126,-108.16246840306235,-105.3411714757641,87.57058463322073,39.2459005699892,-61.80753421277723
