year,ref,rcp45_0,rcp45_1,rcp45_2,rcp45_3,rcp45_4,rcp45_5,rcp45_6,rcp45_7,rcp45_8,rcp45_9,rcp85_0,rcp85_1,rcp85_2,rcp85_3,rcp85_4,rcp85_5,rcp85_6,rcp85_7,rcp85_8,rcp85_9
1981,2932.295167028904,2055.82057313585,2022.3279505259277,1786.9843384237943,1943.5495490321719,2173.0313024879424,2020.5645711727693,2006.964808959441,1929.7360537773013,2182.008973777171,1924.8707207482635,2055.82057313585,2022.3279505259277,1786.9843384237943,1943.5495490321719,2173.0313024879424,2020.5645711727693,2006.964808730495,1929.7360537773013,2182.008973777171,1924.8707207482635
1982,3051.2832002639775,2194.8621865278537,1961.520730751407,1686.7138845815289,1913.3484778231696,2206.2656846977075,1997.9604871153854,1944.845342610083,2036.4801229394445,2139.965173059579,1935.0296572567095,2194.8621865278537,1961.520730751407,1686.7138845815289,1913.3484778231696,2206.2656846977075,1997.9604871153854,1944.8453420138437,2036.4801229394445,2139.965173059579,1935.0296572567095
1983,2887.9187038540836,2092.740044029825,2045.8713881998158,1583.8144322077708,1964.2256599492289,2164.134024177847,1942.222846778677,1976.481879029352,1979.955795179571,2142.8118310244504,1965.0307743790984,2092.740044029825,2045.8713881998158,1583.8144322077708,1964.2256599492289,2164.134024177847,1942.222846778677,1976.481878938442,1979.955795179571,2142.8118310244504,1965.0307743790984
1984,2989.148333966732,2122.0206686691386,2043.0681204264006,1811.528512727366,1939.2647382013597,2225.9375215515183,2047.8317294064773,2120.497008944956,1975.4169720863028,2102.4968297172563,2069.173568163681,2122.0206686691386,2043.0681204264006,1811.528512727366,1939.2647382013597,2225.9375215515183,2047.8317294064773,2120.4970084087704,1975.4169720863028,2102.4968297172563,2069.173568163681
1985,3073.1803967654705,2088.749646796238,2056.7314972542504,1810.3892194345,2015.0088900040612,2144.7587953789844,2060.7003105121657,2046.1175021647812,2006.3503579819758,2205.7509438859242,1936.9087675722124,2088.749646796238,2056.7314972542504,1810.3892194345,2015.0088900040612,2144.7587953789844,2060.7003105121657,2046.1175019761079,2006.3503579819758,2205.7509438859242,1936.9087675722124
1986,3062.941221594811,2121.784071426458,2002.2205702455792,1800.439057177307,2072.719798839327,2230.272929956195,1926.745054581371,2053.2581126573737,2047.3005355153484,2149.044051601624,1956.299616103756,2121.784071426458,2002.2205702455792,1800.439057177307,2072.719798839327,2230.272929956195,1926.745054581371,2053.258112910038,2047.3005355153484,2149.044051601624,1956.299616103756
1987,2897.8365744054317,2089.667375968685,2014.8771327830298,1760.0206435288694,2066.7376116376536,2210.2814927192326,2060.1823639840154,1978.7114683706457,2018.7239361399695,2100.558472621804,1990.552526513424,2089.667375968685,2014.8771327830298,1760.0206435288694,2066.7376116376536,2210.2814927192326,2060.1823639840154,1978.7114676774154,2018.7239361399695,2100.558472621804,1990.552526513424
1988,3106.1312112212177,2064.272014003476,2091.4474221955797,1738.6781458097005,1994.9251799165265,2149.3422390004894,2024.296456410692,1995.6961383644748,2025.6370804752103,2188.368677243405,1930.9568043967568,2064.272014003476,2091.4474221955797,1738.6781458097005,1994.9251799165265,2149.3422390004894,2024.296456410692,1995.696138166383,2025.6370804752103,2188.368677243405,1930.9568043967568
1989,2948.9679266214375,2112.416861445635,2051.5893294978964,1769.7829648419138,2042.566130183117,2193.9041422391174,1929.9695346444132,2112.6311893733673,2046.0878895763594,2065.719594607887,1945.0702667982616,2112.416861445635,2051.5893294978964,1769.7829648419138,2042.566130183117,2193.9041422391174,1929.9695346444132,2112.631189679377,2046.0878895763594,2065.719594607887,1945.0702667982616
1990,3122.314703136682,2114.263718498543,1993.9735400748912,1726.7717787679296,2027.2535451729532,2188.360892753854,1952.1185303286725,2138.720041425272,2099.5979565122925,2195.434171582759,1962.2937698625137,2114.263718498543,1993.9735400748912,1726.7717787679296,2027.2535451729532,2188.360892753854,1952.1185303286725,2138.7200425388055,2099.5979565122925,2195.434171582759,1962.2937698625137
