stn,idx,rcp,hor,stat,centile,val
era5_land,dry_spell_total_length,ref,1981-2010,none,-1,36.808333
era5_land,dry_spell_total_length,rcp45,1981-2010,mean,-1,42.15
era5_land,dry_spell_total_length,rcp45,2021-2050,mean,-1,44.692857
era5_land,dry_spell_total_length,rcp45,2051-2080,mean,-1,46.931349
era5_land,dry_spell_total_length,rcp45,1981-2010,min,-1,17.6
era5_land,dry_spell_total_length,rcp45,2021-2050,min,-1,22.0
era5_land,dry_spell_total_length,rcp45,2051-2080,min,-1,22.058333
era5_land,dry_spell_total_length,rcp45,1981-2010,max,-1,77.775
era5_land,dry_spell_total_length,rcp45,2021-2050,max,-1,77.95
era5_land,dry_spell_total_length,rcp45,2051-2080,max,-1,89.708333
era5_land,dry_spell_total_length,rcp45,1981-2010,centile,1,18.743333
era5_land,dry_spell_total_length,rcp45,2021-2050,centile,1,22.825
era5_land,dry_spell_total_length,rcp45,2051-2080,centile,1,23.101667
era5_land,dry_spell_total_length,rcp45,1981-2010,centile,10,26.316667
era5_land,dry_spell_total_length,rcp45,2021-2050,centile,10,28.691667
era5_land,dry_spell_total_length,rcp45,2051-2080,centile,10,30.308333
era5_land,dry_spell_total_length,rcp45,1981-2010,centile,50,41.2
era5_land,dry_spell_total_length,rcp45,2021-2050,centile,50,43.358333
era5_land,dry_spell_total_length,rcp45,2051-2080,centile,50,44.8
era5_land,dry_spell_total_length,rcp45,1981-2010,centile,90,58.041667
era5_land,dry_spell_total_length,rcp45,2021-2050,centile,90,60.9
era5_land,dry_spell_total_length,rcp45,2051-2080,centile,90,63.066667
era5_land,dry_spell_total_length,rcp45,1981-2010,centile,99,74.766667
era5_land,dry_spell_total_length,rcp45,2021-2050,centile,99,75.585
era5_land,dry_spell_total_length,rcp45,2051-2080,centile,99,85.775
era5_land,dry_spell_total_length,rcp85,1981-2010,mean,-1,42.259848
era5_land,dry_spell_total_length,rcp85,2021-2050,mean,-1,45.920076
era5_land,dry_spell_total_length,rcp85,2051-2080,mean,-1,49.350758
era5_land,dry_spell_total_length,rcp85,1981-2010,min,-1,17.15
era5_land,dry_spell_total_length,rcp85,2021-2050,min,-1,20.841667
era5_land,dry_spell_total_length,rcp85,2051-2080,min,-1,19.1
era5_land,dry_spell_total_length,rcp85,1981-2010,max,-1,76.208333
era5_land,dry_spell_total_length,rcp85,2021-2050,max,-1,83.125
era5_land,dry_spell_total_length,rcp85,2051-2080,max,-1,94.083333
era5_land,dry_spell_total_length,rcp85,1981-2010,centile,1,18.38025
era5_land,dry_spell_total_length,rcp85,2021-2050,centile,1,21.902167
era5_land,dry_spell_total_length,rcp85,2051-2080,centile,1,20.49825
era5_land,dry_spell_total_length,rcp85,1981-2010,centile,10,25.921667
era5_land,dry_spell_total_length,rcp85,2021-2050,centile,10,28.9675
era5_land,dry_spell_total_length,rcp85,2051-2080,centile,10,30.455
era5_land,dry_spell_total_length,rcp85,1981-2010,centile,50,41.120833
era5_land,dry_spell_total_length,rcp85,2021-2050,centile,50,44.120833
era5_land,dry_spell_total_length,rcp85,2051-2080,centile,50,47.579167
era5_land,dry_spell_total_length,rcp85,1981-2010,centile,90,59.365833
era5_land,dry_spell_total_length,rcp85,2021-2050,centile,90,64.2575
era5_land,dry_spell_total_length,rcp85,2051-2080,centile,90,68.730833
era5_land,dry_spell_total_length,rcp85,1981-2010,centile,99,73.688333
era5_land,dry_spell_total_length,rcp85,2021-2050,centile,99,80.57875
era5_land,dry_spell_total_length,rcp85,2051-2080,centile,99,90.863333
era5_land,dry_spell_total_length,rcpxx,1981-2010,mean,-1,42.083523
era5_land,dry_spell_total_length,rcpxx,2021-2050,mean,-1,45.320736
era5_land,dry_spell_total_length,rcpxx,2051-2080,mean,-1,48.169186
era5_land,dry_spell_total_length,rcpxx,1981-2010,min,-1,16.2
era5_land,dry_spell_total_length,rcpxx,2021-2050,min,-1,18.641667
era5_land,dry_spell_total_length,rcpxx,2051-2080,min,-1,16.25
era5_land,dry_spell_total_length,rcpxx,1981-2010,max,-1,78.575
era5_land,dry_spell_total_length,rcpxx,2021-2050,max,-1,87.466667
era5_land,dry_spell_total_length,rcpxx,2051-2080,max,-1,100.433333
era5_land,dry_spell_total_length,rcpxx,1981-2010,centile,1,17.013417
era5_land,dry_spell_total_length,rcpxx,2021-2050,centile,1,20.360167
era5_land,dry_spell_total_length,rcpxx,2051-2080,centile,1,18.784
era5_land,dry_spell_total_length,rcpxx,1981-2010,centile,10,25.603333
era5_land,dry_spell_total_length,rcpxx,2021-2050,centile,10,28.15
era5_land,dry_spell_total_length,rcpxx,2051-2080,centile,10,29.801667
era5_land,dry_spell_total_length,rcpxx,1981-2010,centile,50,40.95
era5_land,dry_spell_total_length,rcpxx,2021-2050,centile,50,43.708333
era5_land,dry_spell_total_length,rcpxx,2051-2080,centile,50,46.0
era5_land,dry_spell_total_length,rcpxx,1981-2010,centile,90,59.4025
era5_land,dry_spell_total_length,rcpxx,2021-2050,centile,90,62.86
era5_land,dry_spell_total_length,rcpxx,2051-2080,centile,90,67.86
era5_land,dry_spell_total_length,rcpxx,1981-2010,centile,99,77.331583
era5_land,dry_spell_total_length,rcpxx,2021-2050,centile,99,83.613167
era5_land,dry_spell_total_length,rcpxx,2051-2080,centile,99,94.588333
