,stn,var,rcp,hor,stat,centile,val
0,era5_land,tasmax,ref,1981-2010,none,-1,33.22246
1,era5_land,tasmax,rcp45,1981-2010,mean,-1,33.400101
2,era5_land,tasmax,rcp45,2021-2050,mean,-1,34.417073
3,era5_land,tasmax,rcp45,2051-2080,mean,-1,35.092241
4,era5_land,tasmax,rcp45,1981-2010,min,-1,32.758126
5,era5_land,tasmax,rcp45,2021-2050,min,-1,33.682145
6,era5_land,tasmax,rcp45,2051-2080,min,-1,34.149098
7,era5_land,tasmax,rcp45,1981-2010,max,-1,34.14487
8,era5_land,tasmax,rcp45,2021-2050,max,-1,35.180605
9,era5_land,tasmax,rcp45,2051-2080,max,-1,36.034977
10,era5_land,tasmax,rcp45,1981-2010,centile,99,34.113187
11,era5_land,tasmax,rcp45,2021-2050,centile,99,35.141489
12,era5_land,tasmax,rcp45,2051-2080,centile,99,35.994041
13,era5_land,tasmax,rcp45,1981-2010,centile,90,33.860031
14,era5_land,tasmax,rcp45,2021-2050,centile,90,34.857523
15,era5_land,tasmax,rcp45,2051-2080,centile,90,35.717113
16,era5_land,tasmax,rcp45,1981-2010,centile,50,33.371035
17,era5_land,tasmax,rcp45,2021-2050,centile,50,34.41216
18,era5_land,tasmax,rcp45,2051-2080,centile,50,35.074669
19,era5_land,tasmax,rcp45,1981-2010,centile,10,32.96562
20,era5_land,tasmax,rcp45,2021-2050,centile,10,33.966563
21,era5_land,tasmax,rcp45,2051-2080,centile,10,34.482867
22,era5_land,tasmax,rcp45,1981-2010,centile,1,32.784959
23,era5_land,tasmax,rcp45,2021-2050,centile,1,33.712059
24,era5_land,tasmax,rcp45,2051-2080,centile,1,34.188616
25,era5_land,tasmax,rcp85,1981-2010,mean,-1,33.515472
26,era5_land,tasmax,rcp85,2021-2050,mean,-1,34.74288
27,era5_land,tasmax,rcp85,2051-2080,mean,-1,36.117059
28,era5_land,tasmax,rcp85,1981-2010,min,-1,32.755718
29,era5_land,tasmax,rcp85,2021-2050,min,-1,33.970709
30,era5_land,tasmax,rcp85,2051-2080,min,-1,35.030122
31,era5_land,tasmax,rcp85,1981-2010,max,-1,34.369393
32,era5_land,tasmax,rcp85,2021-2050,max,-1,35.666319
33,era5_land,tasmax,rcp85,2051-2080,max,-1,37.304337
34,era5_land,tasmax,rcp85,1981-2010,centile,99,34.331421
35,era5_land,tasmax,rcp85,2021-2050,centile,99,35.622137
36,era5_land,tasmax,rcp85,2051-2080,centile,99,37.237614
37,era5_land,tasmax,rcp85,1981-2010,centile,90,34.065207
38,era5_land,tasmax,rcp85,2021-2050,centile,90,35.301188
39,era5_land,tasmax,rcp85,2051-2080,centile,90,36.849521
40,era5_land,tasmax,rcp85,1981-2010,centile,50,33.488286
41,era5_land,tasmax,rcp85,2021-2050,centile,50,34.719671
42,era5_land,tasmax,rcp85,2051-2080,centile,50,36.139991
43,era5_land,tasmax,rcp85,1981-2010,centile,10,33.0286
44,era5_land,tasmax,rcp85,2021-2050,centile,10,34.191576
45,era5_land,tasmax,rcp85,2051-2080,centile,10,35.352718
46,era5_land,tasmax,rcp85,1981-2010,centile,1,32.79255
47,era5_land,tasmax,rcp85,2021-2050,centile,1,33.993823
48,era5_land,tasmax,rcp85,2051-2080,centile,1,35.061376
49,era5_land,tasmax,rcpxx,1981-2010,mean,-1,33.459128
50,era5_land,tasmax,rcpxx,2021-2050,mean,-1,34.583765
51,era5_land,tasmax,rcpxx,2051-2080,mean,-1,35.616566
52,era5_land,tasmax,rcpxx,1981-2010,min,-1,32.721553
53,era5_land,tasmax,rcpxx,2021-2050,min,-1,33.657713
54,era5_land,tasmax,rcpxx,2051-2080,min,-1,34.139984
55,era5_land,tasmax,rcpxx,1981-2010,max,-1,34.393361
56,era5_land,tasmax,rcpxx,2021-2050,max,-1,35.671268
57,era5_land,tasmax,rcpxx,2051-2080,max,-1,37.304337
58,era5_land,tasmax,rcpxx,1981-2010,centile,99,34.328136
59,era5_land,tasmax,rcpxx,2021-2050,centile,99,35.59006
60,era5_land,tasmax,rcpxx,2051-2080,centile,99,37.170891
61,era5_land,tasmax,rcpxx,1981-2010,centile,90,33.989535
62,era5_land,tasmax,rcpxx,2021-2050,centile,90,35.170273
63,era5_land,tasmax,rcpxx,2051-2080,centile,90,36.655135
64,era5_land,tasmax,rcpxx,1981-2010,centile,50,33.432013
65,era5_land,tasmax,rcpxx,2021-2050,centile,50,34.550318
66,era5_land,tasmax,rcpxx,2051-2080,centile,50,35.568273
67,era5_land,tasmax,rcpxx,1981-2010,centile,10,32.981179
68,era5_land,tasmax,rcpxx,2021-2050,centile,10,34.028551
69,era5_land,tasmax,rcpxx,2051-2080,centile,10,34.649229
70,era5_land,tasmax,rcpxx,1981-2010,centile,1,32.748289
71,era5_land,tasmax,rcpxx,2021-2050,centile,1,33.707576
72,era5_land,tasmax,rcpxx,2051-2080,centile,1,34.226019
