stn,var,rcp,hor,stat,centile,val
era5_land,pr,ref,1981-2010,none,-1,4026.685866
era5_land,pr,rcp45,1981-2010,mean,-1,3761.006321
era5_land,pr,rcp45,2021-2050,mean,-1,3765.994955
era5_land,pr,rcp45,2051-2080,mean,-1,3596.480261
era5_land,pr,rcp45,1981-2010,min,-1,2068.012033
era5_land,pr,rcp45,2021-2050,min,-1,2013.92837
era5_land,pr,rcp45,2051-2080,min,-1,1490.444808
era5_land,pr,rcp45,1981-2010,max,-1,5143.380988
era5_land,pr,rcp45,2021-2050,max,-1,5502.02081
era5_land,pr,rcp45,2051-2080,max,-1,5635.157401
era5_land,pr,rcp45,1981-2010,centile,1,2171.005785
era5_land,pr,rcp45,2021-2050,centile,1,2109.823094
era5_land,pr,rcp45,2051-2080,centile,1,1611.9894
era5_land,pr,rcp45,1981-2010,centile,10,2849.282237
era5_land,pr,rcp45,2021-2050,centile,10,2789.210965
era5_land,pr,rcp45,2051-2080,centile,10,2400.818524
era5_land,pr,rcp45,1981-2010,centile,50,3803.959552
era5_land,pr,rcp45,2021-2050,centile,50,3758.867133
era5_land,pr,rcp45,2051-2080,centile,50,3616.768297
era5_land,pr,rcp45,1981-2010,centile,90,4670.793566
era5_land,pr,rcp45,2021-2050,centile,90,4807.898824
era5_land,pr,rcp45,2051-2080,centile,90,4712.109348
era5_land,pr,rcp45,1981-2010,centile,99,5085.299423
era5_land,pr,rcp45,2021-2050,centile,99,5407.148526
era5_land,pr,rcp45,2051-2080,centile,99,5518.75653
era5_land,pr,rcp85,1981-2010,mean,-1,3661.949236
era5_land,pr,rcp85,2021-2050,mean,-1,3614.169167
era5_land,pr,rcp85,2051-2080,mean,-1,3441.542412
era5_land,pr,rcp85,1981-2010,min,-1,2063.384308
era5_land,pr,rcp85,2021-2050,min,-1,1746.989854
era5_land,pr,rcp85,2051-2080,min,-1,1218.723087
era5_land,pr,rcp85,1981-2010,max,-1,5142.16233
era5_land,pr,rcp85,2021-2050,max,-1,5471.822876
era5_land,pr,rcp85,2051-2080,max,-1,5639.248892
era5_land,pr,rcp85,1981-2010,centile,1,2146.072457
era5_land,pr,rcp85,2021-2050,centile,1,1848.817509
era5_land,pr,rcp85,2051-2080,centile,1,1316.10078
era5_land,pr,rcp85,1981-2010,centile,10,2639.713787
era5_land,pr,rcp85,2021-2050,centile,10,2439.243095
era5_land,pr,rcp85,2051-2080,centile,10,1998.879013
era5_land,pr,rcp85,1981-2010,centile,50,3712.448692
era5_land,pr,rcp85,2021-2050,centile,50,3640.19145
era5_land,pr,rcp85,2051-2080,centile,50,3505.522989
era5_land,pr,rcp85,1981-2010,centile,90,4583.728867
era5_land,pr,rcp85,2021-2050,centile,90,4770.691955
era5_land,pr,rcp85,2051-2080,centile,90,4733.969456
era5_land,pr,rcp85,1981-2010,centile,99,5081.5489
era5_land,pr,rcp85,2021-2050,centile,99,5377.630246
era5_land,pr,rcp85,2051-2080,centile,99,5503.680727
era5_land,pr,rcpxx,1981-2010,mean,-1,3710.325952
era5_land,pr,rcpxx,2021-2050,mean,-1,3688.316645
era5_land,pr,rcpxx,2051-2080,mean,-1,3517.209734
era5_land,pr,rcpxx,1981-2010,min,-1,1964.552414
era5_land,pr,rcpxx,2021-2050,min,-1,1537.678215
era5_land,pr,rcpxx,2051-2080,min,-1,1021.359257
era5_land,pr,rcpxx,1981-2010,max,-1,5272.856862
era5_land,pr,rcpxx,2021-2050,max,-1,5731.599092
era5_land,pr,rcpxx,2051-2080,max,-1,6014.020405
era5_land,pr,rcpxx,1981-2010,centile,1,2038.092808
era5_land,pr,rcpxx,2021-2050,centile,1,1726.150101
era5_land,pr,rcpxx,2051-2080,centile,1,1217.598176
era5_land,pr,rcpxx,1981-2010,centile,10,2668.103732
era5_land,pr,rcpxx,2021-2050,centile,10,2562.062444
era5_land,pr,rcpxx,2051-2080,centile,10,2108.473919
era5_land,pr,rcpxx,1981-2010,centile,50,3762.323212
era5_land,pr,rcpxx,2021-2050,centile,50,3692.058909
era5_land,pr,rcpxx,2051-2080,centile,50,3578.625064
era5_land,pr,rcpxx,1981-2010,centile,90,4662.831566
era5_land,pr,rcpxx,2021-2050,centile,90,4808.752439
era5_land,pr,rcpxx,2051-2080,centile,90,4758.575736
era5_land,pr,rcpxx,1981-2010,centile,99,5188.167743
era5_land,pr,rcpxx,2021-2050,centile,99,5584.719543
era5_land,pr,rcpxx,2051-2080,centile,99,5758.054951
