stn,var,rcp,hor,stat,centile,val
era5_land,evspsblpot,ref,1981-2010,none,-1,12015.989988
era5_land,evspsblpot,rcp45,1981-2010,mean,-1,11916.209851
era5_land,evspsblpot,rcp45,2021-2050,mean,-1,12416.952244
era5_land,evspsblpot,rcp45,2051-2080,mean,-1,12771.509731
era5_land,evspsblpot,rcp45,1981-2010,min,-1,11468.004406
era5_land,evspsblpot,rcp45,2021-2050,min,-1,11811.173238
era5_land,evspsblpot,rcp45,2051-2080,min,-1,12196.959472
era5_land,evspsblpot,rcp45,1981-2010,max,-1,12422.922291
era5_land,evspsblpot,rcp45,2021-2050,max,-1,13049.801071
era5_land,evspsblpot,rcp45,2051-2080,max,-1,13421.429761
era5_land,evspsblpot,rcp45,1981-2010,centile,1,11479.22663
era5_land,evspsblpot,rcp45,2021-2050,centile,1,11832.150571
era5_land,evspsblpot,rcp45,2051-2080,centile,1,12212.808435
era5_land,evspsblpot,rcp45,1981-2010,centile,10,11580.226651
era5_land,evspsblpot,rcp45,2021-2050,centile,10,12020.946572
era5_land,evspsblpot,rcp45,2051-2080,centile,10,12355.449096
era5_land,evspsblpot,rcp45,1981-2010,centile,50,11901.777131
era5_land,evspsblpot,rcp45,2021-2050,centile,50,12407.543299
era5_land,evspsblpot,rcp45,2051-2080,centile,50,12755.603291
era5_land,evspsblpot,rcp45,1981-2010,centile,90,12270.930738
era5_land,evspsblpot,rcp45,2021-2050,centile,90,12850.011452
era5_land,evspsblpot,rcp45,2051-2080,centile,90,13189.692202
era5_land,evspsblpot,rcp45,1981-2010,centile,99,12407.723136
era5_land,evspsblpot,rcp45,2021-2050,centile,99,13029.822109
era5_land,evspsblpot,rcp45,2051-2080,centile,99,13398.256006
era5_land,evspsblpot,rcp85,1981-2010,mean,-1,11876.389107
era5_land,evspsblpot,rcp85,2021-2050,mean,-1,12446.173006
era5_land,evspsblpot,rcp85,2051-2080,mean,-1,13125.44046
era5_land,evspsblpot,rcp85,1981-2010,min,-1,11391.567909
era5_land,evspsblpot,rcp85,2021-2050,min,-1,11919.469284
era5_land,evspsblpot,rcp85,2051-2080,min,-1,12475.218332
era5_land,evspsblpot,rcp85,1981-2010,max,-1,12402.767807
era5_land,evspsblpot,rcp85,2021-2050,max,-1,13010.134336
era5_land,evspsblpot,rcp85,2051-2080,max,-1,13831.049519
era5_land,evspsblpot,rcp85,1981-2010,centile,1,11402.837076
era5_land,evspsblpot,rcp85,2021-2050,centile,1,11935.202203
era5_land,evspsblpot,rcp85,2051-2080,centile,1,12494.63746
era5_land,evspsblpot,rcp85,1981-2010,centile,10,11504.259578
era5_land,evspsblpot,rcp85,2021-2050,centile,10,12076.798474
era5_land,evspsblpot,rcp85,2051-2080,centile,10,12669.409609
era5_land,evspsblpot,rcp85,1981-2010,centile,50,11864.469377
era5_land,evspsblpot,rcp85,2021-2050,centile,50,12453.798735
era5_land,evspsblpot,rcp85,2051-2080,centile,50,13105.275158
era5_land,evspsblpot,rcp85,1981-2010,centile,90,12255.265756
era5_land,evspsblpot,rcp85,2021-2050,centile,90,12797.164411
era5_land,evspsblpot,rcp85,2051-2080,centile,90,13588.931954
era5_land,evspsblpot,rcp85,1981-2010,centile,99,12388.017602
era5_land,evspsblpot,rcp85,2021-2050,centile,99,12988.837343
era5_land,evspsblpot,rcp85,2051-2080,centile,99,13806.837762
era5_land,evspsblpot,rcpxx,1981-2010,mean,-1,11896.299479
era5_land,evspsblpot,rcpxx,2021-2050,mean,-1,12431.562625
era5_land,evspsblpot,rcpxx,2051-2080,mean,-1,12948.475096
era5_land,evspsblpot,rcpxx,1981-2010,min,-1,11388.803585
era5_land,evspsblpot,rcpxx,2021-2050,min,-1,11750.401279
era5_land,evspsblpot,rcpxx,2051-2080,min,-1,12178.197634
era5_land,evspsblpot,rcpxx,1981-2010,max,-1,12453.118316
era5_land,evspsblpot,rcpxx,2021-2050,max,-1,13153.189093
era5_land,evspsblpot,rcpxx,2051-2080,max,-1,13882.706296
era5_land,evspsblpot,rcpxx,1981-2010,centile,1,11395.967842
era5_land,evspsblpot,rcpxx,2021-2050,centile,1,11781.996968
era5_land,evspsblpot,rcpxx,2051-2080,centile,1,12207.571575
era5_land,evspsblpot,rcpxx,1981-2010,centile,10,11541.369828
era5_land,evspsblpot,rcpxx,2021-2050,centile,10,12023.132894
era5_land,evspsblpot,rcpxx,2051-2080,centile,10,12433.801787
era5_land,evspsblpot,rcpxx,1981-2010,centile,50,11884.455724
era5_land,evspsblpot,rcpxx,2021-2050,centile,50,12438.725654
era5_land,evspsblpot,rcpxx,2051-2080,centile,50,12943.200617
era5_land,evspsblpot,rcpxx,1981-2010,centile,90,12268.449606
era5_land,evspsblpot,rcpxx,2021-2050,centile,90,12859.580153
era5_land,evspsblpot,rcpxx,2051-2080,centile,90,13495.84023
era5_land,evspsblpot,rcpxx,1981-2010,centile,99,12441.578234
era5_land,evspsblpot,rcpxx,2021-2050,centile,99,13115.21356
era5_land,evspsblpot,rcpxx,2051-2080,centile,99,13829.164562
