year,ref,rcp26_middle,rcp26_lower,rcp26_upper,rcp45_middle,rcp45_lower,rcp45_upper,rcp85_middle,rcp85_lower,rcp85_upper
1988,28.73569,28.831003588565306,28.07808083029939,30.07966511635664,28.93423434191582,27.54330126778243,30.07296894560056,29.16618592481012,27.406459801717368,30.89199258404075
1989,27.704998,28.493909476968224,27.16671496244501,29.640455976997423,28.83459661605654,27.37787635239419,30.10196052284156,29.06151428048862,27.292785794799705,30.874285390564765
1990,28.81718,28.653434866000776,27.26806174867696,29.33296010857062,29.070315906069204,28.047587606743065,30.114773449749205,29.139629925585563,27.83909049150321,30.78072234721295
1991,28.22908,28.7738535496155,26.964389788560805,30.337394902414403,29.12988898488548,26.763902830220594,31.03763865687912,29.164315174956812,26.851498990633257,30.58860855005569
1992,28.296383,28.2871026837296,27.689623356523192,29.4704003378614,28.599174046910985,26.88177262443105,29.81809736292676,28.76709685981102,26.69227368256207,30.14805454514087
1993,28.00177,28.33042716466547,27.224750607727163,28.97337283271632,28.72719622878648,27.260000202425683,29.873479127595264,29.02107649709159,27.191665975420975,30.431794078992176
1994,28.428793,28.250079678288657,27.348479989306057,29.23333294042925,28.51169398855696,26.81322203889661,30.16522672131573,28.73567251617594,27.02735631306208,30.23153928128169
1995,27.943806,28.67358169399324,27.99079804286981,29.698449221770645,28.81720332834197,28.05614995582524,29.9862740466516,29.186721444960583,28.02316392783629,31.2740349199234
1996,27.993124,28.303155702165707,27.632269085097867,29.11354945306367,28.64574182511821,27.31617742570865,30.53289512324411,28.9804328548698,27.19904369562212,31.56629685953397
1997,27.009792,28.332070724156765,27.690424828712217,29.284002897181104,28.68195401643877,27.520439438450207,30.102848517576223,28.92961521812949,27.28170991120276,31.01970417399316
1998,29.50105,28.58095464270798,27.551139536050044,29.412262507038115,29.103186188431028,27.866139034529237,30.058862878164412,29.377989905309697,28.204426706492264,31.03529196652585
1999,28.298418,28.462870485005112,27.478422842077038,29.15069268367712,28.87829281749724,27.414882184432788,29.7518111183699,28.96748150387063,27.333141262685377,30.71133110395221
2000,28.317091,28.65218833322346,27.51327441884988,29.63465376099336,29.154838226921857,27.456970136951615,30.17397440403908,29.46755277112989,27.298644606667494,31.046880410281013
2001,28.504986,28.725976182716398,27.021249747117334,29.7226211846683,28.98929931147668,26.848911965117114,30.360614451837503,29.120642498138334,26.765903546149413,30.757051667954947
