year,1,2,3,4,5,6,7,8,9,10,11,12
1988,3.243623152032993e-06,1.3978703964531177e-06,9.999319149868274,24.270160892731678,105.1787060855656,103.92117622909848,148.52692655028747,186.01408534272343,144.99257049715123,73.86880402611553,2.804669982041181e-06,1.5109620268687618e-06
1989,2.3433766344973507e-06,0.0542013459341323,8.934073786572213,10.073364067594504,51.57913847807578,62.99034956646299,201.1529447750021,253.5232167182775,142.1394083647271,82.6370982733218,10.91563975483922,0.1449994511754459
1990,2.6374514856883123e-06,2.434879623852249e-06,12.508695929908717,16.229688255532565,34.45148429449635,97.5840484753656,210.22984499308643,220.03503347177212,172.52654535802424,140.70026167047388,1.8649954427342128,1.2512202499383355e-06
1991,0.2745660009503251,1.988814940947065e-06,23.247782836465888,10.393319431559698,69.35145494017723,74.86689875939975,145.08369197959863,299.1393960385272,112.03701079489142,41.39650469674292,2.6842697494255944e-06,2.2990643186210336e-06
1992,1.520748633994726e-06,3.937493732219623,8.510572154233417,48.86215868505148,63.59055757362578,111.07341838039244,90.34717606439872,214.92960389681244,208.64754583852076,77.34245292137552,0.0002443649069604,2.3908383708893928e-06
1993,2.074726907221608e-06,2.0087862744474377e-06,12.992649333946712,24.61568050747267,58.94953122327363,64.30955583408564,163.88132603273053,192.55829002108587,131.78791684949246,13.042149904859526,1.7685890488220529e-06,1.8893374926931613e-06
1994,2.6627402447988785e-06,1.120855628576321,2.1652774056531,31.70702196808031,47.30585761630374,77.81952153834189,170.77597411875828,303.341041302361,242.5866574698456,33.29730348786491,0.6523630855241122,1.9251065197116653e-06
1995,1.7328740008929064e-06,0.034778321897131,16.839284760275348,20.014748010502394,61.002419577493285,52.07270327912198,150.1130388143364,246.309029426858,151.5838311466211,22.973470125112723,2.986609986429677e-06,3.653161084047752
1996,6.39430426255565,0.961691361276267,6.618392655057827,66.25319033376871,56.57093506333206,51.76404196341532,106.1442983368659,170.44085644312457,148.7351207066139,38.06756211424184,2.8099889881394406,2.291561478182602e-06
1997,2.097650649260156e-06,0.1932886342569687,6.663645386364742,28.532713443753345,49.42612501943148,103.17728852409658,208.57801080236032,172.4598684236201,140.09648224937257,60.187207663264026,0.7343401262861355,2.5054196365438378e-06
1998,0.0610333976285592,11.235934360129352,0.0852713124353392,43.00262588069709,38.380652323431335,70.81109395770422,159.10098015134392,236.75129519257683,165.05228703318056,29.85721037903703,0.0064041156742021,1.961470943891773e-06
1999,2.104210139050921e-06,1.454446742764219,10.192476265140238,22.67583063644089,41.20966031494677,39.95499134085814,189.02067948501053,208.37593930821689,136.6315996807495,16.742179601698687,2.846671195248834e-06,2.749018395500529e-06
2000,0.0358692801442732,6.399105756344341,9.376214734809572,50.1576690403238,72.97836937268133,39.233248312303424,213.60809609592465,194.9346131663236,114.01111211756492,37.27629311691904,0.1151024610965228,2.1920615054919853e-06
2001,4.003876835475427,1.8624205437869644e-05,1.5285140650234608,14.135241998297971,68.5024157088482,78.82799232960441,138.56138823656747,179.56281883521046,209.6556127031871,29.370550599448347,0.0284822106706763,2.2969372083815327e-06
2002,2.3099653360209606e-06,7.991946592709137,9.189199447542812,16.382084027254045,80.00969542102128,159.84609603325157,184.49893829862117,215.30092756758515,135.04132381989584,1.314275836735453,0.0009759155990856,2.209021400536239e-06
2003,2.2222819518401e-06,3.6461214104701503,33.40666536049037,11.734750751225038,65.36270284416264,47.19009137337115,152.29474978988952,205.7313275323626,125.03761440727897,37.24921479040443,2.543571970122718,0.1067305288978602
2004,0.006114269186281,0.1818717374732297,1.8622800798457424,65.28391088470825,63.79255453548115,87.3704747074825,129.28130307953205,201.67632916812263,192.94310986077235,42.23423041871731,0.462684682502244,2.070677651927504e-06
2005,1.490724583479803e-06,7.2022675112778,18.561478503767933,46.242961491800685,60.21960103410462,119.19183888404676,163.03176184611564,252.8307102223997,85.51225595837576,54.749737988943565,3.9508553249368448,0.0073316313770766
2006,0.3563642156810542,0.0033500912639429,1.9226382391912944,23.98390039143096,90.64201795668528,117.2117862128161,208.92570730334103,257.44645729930795,154.2909329137227,38.83445761714447,35.54598234883177,2.231757200621364e-06
2007,1.7306658179645429e-06,5.270356920524559e-06,23.391095759810625,34.01904620735931,31.58565896117553,88.60072423668724,161.04413753529394,257.12757490024774,125.05944451776207,34.57499584250601,2.902303574060279e-06,1.881042010096524e-06
2008,5.792965132573697,9.172268624440443,1.5120903781908157,50.83722910084646,33.38794058399319,38.80205251202232,182.48022910405265,243.40825652360743,198.51013285916517,49.94083530521308,4.583430587627703,1.983463271949277e-06
2009,1.988538870552513e-06,10.480060846456896,18.32660713670574,12.316772720722147,58.31513693006922,79.78620056620267,112.80860352841978,241.7168700708164,104.46152436180228,44.58600106527576,3.717162656559077,1.881049663612349e-06
2010,2.1918029150924943e-06,0.6680047962483682,6.300143591841638,49.47934268885427,39.70365375942433,66.87355556875583,161.5165817266617,204.4189968087084,205.3142615690013,59.88346217386719,2.642584890460958e-06,1.9253246631645933
2011,2.4538643384274763e-06,6.981020894809282,2.220840714870896,8.559817720236813,59.62497361359113,85.96431218498842,148.31435903819528,254.84723288064228,125.97176030839218,34.2697275969916,0.0017599622085465,0.0001288088160892
2012,2.6127319255973654e-06,0.4097243439926938,14.493984173969126,26.134332578082187,33.95464269311003,84.83793713051176,169.07520971509723,315.0130811131296,296.3454942567786,48.79324306085786,2.437075482233901e-06,2.102604767525741e-06
2013,0.0167642189793364,1.2670570268371507e-06,0.8397729589329466,102.99366443419602,60.43576618166175,64.98166302496624,154.03990640500734,186.37606413800657,135.00807246407098,13.434047107749148,0.6250274505190214,0.0027353100265063
2014,0.0571410224689154,3.545773514114772,2.1671283736830658,49.0686965593034,97.75785919602302,42.50367489292513,293.20525610758415,181.5279675859546,176.24448419043935,80.8065411714492,0.4736285514640715,2.528357302826679e-06
2015,1.129376657059556e-06,0.6607997933889628,1.935917103295401,14.092663180824816,44.2735117607424,68.37794866818645,117.42210881537449,234.86809919346484,162.71438618542308,59.38323567103927,1.5519922677385325,1.3496539521082387e-06
2016,2.548976879877856e-06,2.165535929769911,3.314913412873504,51.97469984951792,61.804511663865725,56.72366578945834,133.58902488759563,237.9991786363726,121.7617826312791,59.98298413331163,16.954476959411508,2.635712770014565e-06
2017,0.2283037833406422,0.8020868778311302,7.42940174831245,33.70554503057595,58.18829211193939,44.95428417874938,94.89447357768344,185.13552944442048,90.6229542553191,74.51494730406789,0.1649937205429622,1.4865034624776518e-06
