year,ref,rcp45_middle,rcp45_lower,rcp45_upper,rcp85_middle,rcp85_lower,rcp85_upper
1981,92.42091007583966,101.1296711357891,81.76218851570964,123.98808234019502,103.67593578059608,82.60942578548212,147.38949079089923
1982,79.86728060671723,100.40210108265836,85.69284940411701,129.94999042062204,100.85073991928608,88.04929577464789,130.66626969348138
1983,108.828700777098,97.82094634110754,75.56446370530878,135.55383728653976,100.65651533636206,75.65005417118093,136.62948943661974
1984,93.05092091007585,94.80798115012188,81.64707475622969,117.78331527627304,97.09930858719436,80.90520043336944,124.33748645720476
1985,78.11809317443121,98.89927453005964,84.97724810400867,125.38786565547127,98.34241809264331,85.15763813651138,122.56283856988082
1986,86.78981581798483,89.63215414349509,78.42361863488624,116.71753325777314,91.20113126400118,80.52816901408451,119.18925113179074
1987,101.31798483206934,90.76497999414758,78.87703141928495,103.74928739101274,92.65474741359164,78.68039003250271,112.79331437342002
1988,91.57583965330444,91.92070778033586,81.44312026002167,116.09046587215602,91.55600239825074,74.60075839653304,116.03846153846152
1989,86.34073672806068,96.70747832346645,78.02383531960997,125.09868183459734,96.2412844715351,78.33423618634886,125.6955579631636
1990,100.77708559046587,99.6763641967994,86.15276273022752,121.04157638136512,100.1347660150192,80.64138678223185,126.41359696641386
1991,80.30877573131094,93.13186069542256,80.29956663055255,103.62973997833151,91.24950807787904,76.61267605633803,105.65673528349583
1992,85.59716617009751,94.06328590533586,71.85590465872156,111.67835861321775,93.82426259732856,75.11917659804983,111.34845612134345
1993,95.43336944745396,94.55320061394004,82.70205850487541,113.56974539544962,93.98513479064434,82.70747562296859,114.69406825568798
1994,105.11615204044784,94.1993733635789,80.78501602564103,107.79306608884072,94.29882102759848,80.92359461254708,110.99444745395448
1995,82.29414951245937,103.27873611863488,82.95395449620801,116.69447453954496,98.95974603275764,74.7513542795233,116.477789815818
1996,101.44149512459371,98.14822359276964,80.39165763813651,126.37581256771398,99.58918779721598,81.46749729144095,127.21113217768148
1997,89.00704225352112,100.09848040823994,75.67551462621886,116.9534127843987,99.70743038829524,74.15167930660888,119.1679306608884
1998,97.19339111592632,95.12352646276295,81.09046587215602,111.50541711809318,95.68126022348268,79.49295774647888,109.2814192849404
1999,93.43336944745396,97.33339822589384,74.96641386782233,139.91603466955578,98.433749339088,75.0557963163597,142.91495124593715
2000,116.32881906825568,101.85613269964335,82.2204767063922,142.82123510292524,101.86837050773724,80.33640303358614,144.11267605633802
2001,86.13137752798845,97.18470873346212,79.67226435536294,111.8958784759841,99.67558064766176,79.28819068255687,116.16630552546046
2002,97.46803900325028,96.7914688551985,75.10942578548212,123.14467042640456,95.2891454567336,77.6522210184182,120.13124032657484
2003,101.55742145178765,90.65510349506896,80.0216684723727,108.115475666499,90.32539344896622,79.39111592632719,111.74909563856528
2004,119.03385698808232,91.60155131235402,73.73022751895991,108.2352383531961,91.89680472600402,73.93824485373781,105.397616468039
2005,119.84009118815456,97.31399817172264,80.95178764897075,117.87053087757312,97.62049768444756,80.9783315276273,117.318661971831
2006,124.44962080173347,94.60878532412424,79.33748645720476,116.05362946912244,98.98271890645026,76.71505958829903,128.66576381365113
2007,90.4127843986999,102.4448415351887,75.65872156013,143.81189057421452,96.89239452552418,76.726977248104,126.15425243770314
2008,102.1955579631636,90.11434857789084,75.25568797399784,116.12553093311828,99.20621168185583,76.30335861321777,130.12391657638136
2009,87.41657638136512,98.66071032229702,83.55200433369447,123.24322860238354,95.7505470227094,73.87811484290357,116.23131094257856
2010,113.05633985537156,94.48661393440771,84.99729144095342,105.14788732394366,96.60029236505002,78.49945828819068,120.61430119176596
2011,,96.3532512583514,75.8201516793066,144.42416034669554,102.80907048626602,80.40574214517876,135.8320693391116
2012,,93.75415876670276,77.05850487540629,113.19989165763812,97.9407622203811,81.55471289274107,114.76543878656555
2013,,93.6419332061972,77.54062838569881,104.1581798483207,91.7401810751386,75.76110509209101,125.18424295774648
2014,,92.63801871727158,76.31960996749729,123.91628295413506,91.49814702695812,77.71885157096425,107.89612901769593
2015,,95.34035845683071,78.1830985915493,131.40899241603466,96.01070855163778,81.89219934994583,119.97578860644442
2016,,97.3128724268689,75.45395449620801,123.83003791982664,92.64196963038228,75.2703141928494,129.71065313794188
2017,,90.47520988813488,75.67551462621886,106.73022751895992,106.73846207370067,86.92307692307692,137.1286565547129
2018,,92.7879198266522,76.21180931744313,113.06067172264356,95.69418775094005,76.71072589382449,128.52708559046587
2019,,87.94729348647977,77.16522210184182,99.69447453954496,95.34012175428134,76.91874322860238,113.2074756229686
2020,,94.23941167034258,80.22751895991333,115.15858613217767,88.59084825696259,75.32881906825568,101.08342361863488
2021,,98.59436789003252,74.3884073672806,125.35807150595885,93.6249394125352,75.1679306608884,125.06988082340196
