year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp26,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp26,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26
1991,0.0,-5.245337867276039,-5.1932151269205935,-3.5182243882180995,-3.4775714447370802,-3.6923716114267044,-3.996788816482619,-3.996095211812829,-7.065248845879246,-7.675315101079082,-4.090674823850243,-3.9619876589678427,-3.8347293583785884,-4.1555204772952585,-4.196280211130745,-4.32563453240952,-3.6421387186183445,-3.6056710557395206,-4.773713681865122,-4.904767991473424,-4.889949014319422,-6.295800163053729,-6.511564998445008,-6.384389866921149,-3.2676251992859537,-3.350082506422158,-3.514670620421196,-3.4830289230599973,-3.1420269922836717,-3.055987022940057,-3.106963141341957,-3.1557505081741937,-3.115485203312099,-4.735226019178594,-4.493803432418286,-3.2249718612741205,-3.249682469304682,-3.2768930056628847,-3.81601779068162,-3.927742891351649,-3.8910895357646105,-3.6846704507439316,-3.5838120873651196,-3.724280499419553,-4.181525136645629,-4.160506885967402,-4.2141692850228765,-4.452216736542519,-4.497445131934889,-4.314266563108895,-4.557091343762471,-3.5980227122439317,-3.6469367023101906,-4.248319615633974,-4.378964186168973,-4.699022330170948
1992,0.0,-5.1548224174818085,-5.146307827347448,-3.4845442626835315,-3.3835793004433388,-3.7188272468413377,-4.023167112127059,-4.0392068577421885,-7.05339834817835,-7.463541051482252,-3.706359810448763,-3.6647275150966045,-3.7016672718945465,-3.880563189550955,-3.9554980022258306,-4.0130314238421825,-3.6295961593811583,-3.4541154768140157,-5.194316769652971,-4.428789230736998,-4.387306678790953,-5.884318962239512,-6.106699713940381,-5.998918119247017,-3.3517460174461267,-3.4288838272638973,-3.6304287628567913,-3.7015269335512695,-3.1321027007998943,-3.1079665443138165,-3.0823468791628006,-3.053348055510174,-3.06621723361744,-4.646991484752315,-4.438070365164121,-3.201539993734185,-3.271039015268574,-3.285970868342604,-3.665511561576622,-3.7839188399825936,-3.6812409601672673,-3.616353494810049,-3.616532210752128,-3.6599416867888372,-4.248981556825518,-4.244557673745049,-4.35241576804253,-3.806094447197669,-3.8220999042360084,-4.274914436357147,-4.437135758445942,-3.513860016321363,-3.575108014850617,-3.7021971621250103,-3.945916450931721,-4.602122242278265
1993,0.0,-5.109592828020382,-5.125628935579334,-3.4646600255133464,-3.383143373750759,-3.9055687661308447,-4.0068241780935345,-3.986176944177153,-7.029437493995321,-7.477493755378365,-3.7014486638070885,-3.5931913145818744,-3.565066357533949,-4.1859316219296865,-4.187222908145012,-4.230526617848678,-3.7483486898437697,-3.6466592791767347,-5.104252090552947,-5.23564968483895,-5.181787925712573,-6.389763705825505,-6.5007958136581685,-6.433430844567146,-3.405463996559879,-3.499521938770096,-3.5985496197469207,-3.5364736312487928,-3.149298482891785,-3.1986002650598433,-3.014258398475798,-3.0259831211769015,-3.016390776668345,-4.539345829363004,-4.373037654800358,-3.256828619522093,-3.292340930666299,-3.276952859712557,-3.649019883939868,-3.8607822658388375,-3.721850545637741,-3.553639966495007,-3.4268765341256398,-3.540497534304448,-4.225902633478487,-4.307186008428081,-4.355141689211768,-4.319904955522068,-4.347867222502469,-4.024036509523478,-4.232138786250095,-3.544971293413745,-3.606880156871597,-3.76156701219068,-3.9470908668717612,-4.30866749360132
1994,0.0,-5.116435695970663,-5.106796787794501,-3.2641256106251557,-3.201612639389049,-3.774005316439087,-4.1390792394288916,-4.14017351758385,-7.049672599316297,-7.298160734710596,-3.711952582558677,-3.6966694976336107,-3.6698836544184417,-3.9236581740170333,-3.972952895690973,-4.069997414023007,-3.6334055551585482,-3.4819466345667305,-4.641474100285317,-5.643280313111017,-5.537546736839426,-6.385019934131936,-6.576666018327025,-6.490257640244431,-3.1913780746294904,-3.2689601546537936,-3.7969126810534135,-3.786420539236719,-3.0115409684650647,-2.959362515204486,-3.2234154037769844,-3.3017871930437614,-3.2355468152934517,-4.4735824729296105,-4.306299742236302,-3.232250017688493,-3.249357709225057,-3.2051087583457125,-3.7303417028339148,-3.874792306450882,-3.7208455495846238,-3.596336467205063,-3.5023135738925717,-3.594299174339861,-4.314272532477965,-4.310453871807368,-4.420791578416276,-4.715855001716415,-4.7807963769392074,-4.088231068369954,-4.261298018153235,-3.5344998229105276,-3.588286782750016,-3.7674429913864316,-3.9946190992804116,-4.733622506073656
1995,0.0,-4.66340537982448,-4.68166709976321,-3.6105579133849908,-3.5234701188096853,-3.7602190487707325,-3.956811529036912,-3.953399590607967,-7.193349707950524,-7.3656926123265976,-3.481163391689531,-3.4541422986455483,-3.3505021202440304,-3.8906272703031473,-3.9513650853567626,-4.071285099259809,-3.6538767183757805,-3.6073391169291007,-4.825184241949245,-5.220171915998755,-5.1969158452081565,-6.4058023192604665,-6.557409612746291,-6.436279971079204,-3.1938394663521184,-3.279679637884298,-3.5073202629656794,-3.524035625906153,-3.1842846403212235,-3.1191196296704415,-3.211760136070966,-3.169120622376962,-3.218261649827266,-4.497510661090791,-4.286784364126953,-3.293063200655787,-3.2990531375164682,-3.2958804506208885,-3.6309323034565857,-3.8588654436628502,-3.768891116444843,-3.638773779287959,-3.547725519163123,-3.647562186740208,-4.194611423169578,-4.295936191380045,-4.337699102752602,-4.258937170869759,-4.310927821578316,-4.128663425190306,-4.398479562727781,-3.936457775237237,-3.8970457653209802,-3.8539985858365178,-4.1073334866263185,-4.4562913343902455
1996,0.0,-4.962222097711887,-4.916341463794248,-3.406277594694565,-3.39066682151811,-3.8492196118583326,-3.717005502700541,-3.7510618589141806,-7.186093617506922,-7.359329460594095,-3.666079218633964,-3.600142334264733,-3.4980855902625514,-4.157720778574127,-4.303945741702966,-4.32882600123904,-3.47807257421786,-3.3835693970390253,-4.685294346365019,-4.794040019242759,-4.819347535705743,-6.1305135425763275,-6.318293024846925,-6.212515686561591,-3.302055748594018,-3.4093252002427423,-3.6813287859572785,-3.641661813048149,-3.180497258817896,-3.0541459388437158,-3.210383627066996,-3.300916405938594,-3.3525166035543776,-4.669894425296416,-4.516348460456985,-3.25234110629264,-3.3292955313250623,-3.3076251733880326,-3.6284558479266096,-3.803531383282724,-3.6935041992523647,-3.4454772708243393,-3.3515728812403154,-3.4395856001553167,-3.9251863652566215,-3.9132924101882196,-4.018876973723385,-3.913750641698421,-3.945004096787871,-3.9790424096480486,-4.160301945252257,-3.513331134434587,-3.5457654803193464,-3.8833969782953037,-4.095179868307143,-4.628858210002971
1997,0.0,-5.088760641677013,-5.028788288081559,-3.4076919887895425,-3.3606907982471235,-3.611913306943279,-3.696036395570964,-3.75211034357255,-7.245158234181902,-7.565133659936716,-3.6221285653295023,-3.5883283473418484,-3.542985432529905,-3.8542813047616775,-3.9169133476945053,-4.041452813655418,-3.4089075021528235,-3.2846968587860985,-4.882551456930541,-4.736590721765646,-4.74045316036227,-6.3343118281877295,-6.532245879038896,-6.451311474217867,-3.3290186769168706,-3.408166495382158,-3.463721403176965,-3.440644790005983,-3.030851954206243,-2.988827167309349,-3.1919574484081323,-3.174383747658334,-3.250156747676016,-4.552474434477871,-4.3571644878155045,-3.251947596133636,-3.257661818699278,-3.218135184770853,-3.6838568726376124,-3.8376541557320696,-3.713908307933597,-3.672343553175974,-3.5435688997713832,-3.608229047384855,-4.2378283759850035,-4.230066725688516,-4.327605908136343,-4.037597300235163,-4.03061893035329,-4.258078601630938,-4.427355850548528,-3.508773372949129,-3.5332517090386535,-3.938716757837117,-4.12967349039527,-4.515237499423435
1998,0.0,-4.84537100086094,-4.792954412175991,-3.36843440320834,-3.3455997604738332,-3.746677602314815,-4.235671457638354,-4.197778854326383,-7.130245704976932,-7.330269503956099,-3.5144873137959785,-3.477021713341614,-3.3698695744402762,-3.6039583008288556,-3.6461677936718413,-3.7302453814793335,-3.693716434422507,-3.573774886304385,-4.381894127538272,-5.057576538954571,-5.009207368898137,-5.91998123695957,-6.138435693076051,-6.0485454029117385,-3.1568181602187337,-3.235754476847598,-3.4099523247529184,-3.4353772124519217,-3.1893789453769585,-3.1567617644293033,-3.2539607002160533,-3.251778196902027,-3.2363710681603415,-4.619504436245791,-4.426904702397115,-3.0966378809292685,-3.1209553179241087,-3.0971458270960017,-4.178121016603878,-4.317240454912419,-4.250528770224532,-3.6914717509605772,-3.6467189900737864,-3.6918995223146815,-4.088132578137229,-4.049093808660139,-4.109711824629928,-3.945009139622819,-3.976039874659776,-3.941641758409947,-4.153635080898541,-3.561690200321461,-3.5936789383935217,-3.81986363274822,-3.9854945682130953,-4.549269834863926
1999,0.0,-5.082548699917329,-5.128200849773384,-3.6174123812150896,-3.5563643477105433,-3.824812960878001,-3.984635666911366,-4.027388566579376,-6.999838326683026,-7.5443237118052835,-3.693705359895656,-3.6652014787501894,-3.5887514058734062,-3.750200982275304,-3.7662021879951606,-3.898413021292882,-3.421323367668119,-3.319544609029734,-4.57857274412866,-5.022194542139546,-4.9559982529637985,-6.095577193899368,-6.329172585860251,-6.256079214474752,-3.2273990580894445,-3.3010927161415395,-3.4820855330367593,-3.513927684173934,-3.1233392748778535,-3.0473387421910463,-3.1719069126339257,-3.1577830433228726,-3.1869960593301663,-4.544019402382441,-4.345198425784613,-3.335702486345321,-3.356144262834171,-3.4017315284221077,-3.726641628346716,-3.9229445833493752,-3.7751833558692667,-3.7639282418537903,-3.675484841726446,-3.7893961676854886,-4.121344210674621,-4.1549883407349775,-4.260260227610285,-4.438731582857061,-4.520162254904447,-4.373461176053578,-4.544956856644749,-3.6152566732294,-3.680487930954598,-4.2210946361260895,-4.377427455630542,-4.768716592742402
2000,0.0,-5.1740618832674805,-5.197896731483549,-3.412929251020909,-3.3713434376840734,-3.961629815171534,-4.085350852860961,-4.125989049036846,-7.127278426719702,-7.525994099630832,-3.4841941352118546,-3.4036896951608036,-3.3259901283134727,-4.092468278915382,-4.070779480442141,-4.176720333715778,-3.6814079148165106,-3.5937293526501897,-4.483765484058665,-4.96941119802614,-4.87321699487628,-6.704708430648113,-6.933912985257301,-6.840919183838038,-3.192880976942252,-3.23380700666576,-3.5192235943058634,-3.5556576258466777,-3.2118378788845163,-3.12887095147693,-3.09036037598176,-3.0950534654685686,-3.114197719569596,-4.617656719747751,-4.424558877257661,-3.1893387074261312,-3.2773587944980775,-3.2324220051506174,-3.919136290385337,-4.057815774771758,-3.910687194310576,-3.542518309333067,-3.431823599899719,-3.473063769755342,-4.6660219656696995,-4.690268598313068,-4.7893634602812885,-4.118033710056849,-4.191579796399493,-3.947886882844596,-4.136279097019944,-3.6634376444960743,-3.662982526400498,-3.8494293375628175,-4.024756032305394,-4.656306783781623
