year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp26,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp26,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1991,129.0,146.75,147.5,120.25,126.75,155.25,148.25,144.0,150.0,145.75,130.75,130.75,127.75,123.5,122.75,151.75,153.5,154.0,133.5,133.5,133.5,104.5,105.25,105.75,139.5,139.5
1992,101.75,144.75,145.25,138.75,137.0,118.5,116.75,128.0,127.25,129.5,142.0,139.5,129.0,127.5,127.0,131.25,133.75,132.75,131.0,130.5,131.25,150.0,150.0,151.0,128.25,129.0
1993,147.5,141.5,142.0,146.0,144.5,148.75,145.0,145.75,147.0,148.75,122.5,122.5,149.25,147.5,149.5,107.0,169.0,134.0,115.0,115.0,114.5,129.25,128.25,128.0,130.25,128.5
1994,148.5,152.0,152.5,127.0,147.0,163.5,156.25,112.25,112.5,112.5,128.75,129.5,123.0,120.5,122.75,118.25,134.0,119.5,125.25,125.5,125.0,143.0,142.75,144.75,131.0,133.0
1995,133.5,138.25,140.25,141.75,140.75,132.75,131.0,112.5,112.75,113.0,134.5,134.5,128.5,128.5,128.0,134.25,147.25,142.75,138.25,138.0,144.75,95.0,107.75,142.5,134.0,134.25
1996,127.0,161.75,161.5,121.25,121.0,113.0,111.5,117.0,120.0,119.75,106.75,104.75,137.75,136.0,137.0,128.5,130.0,123.0,148.5,139.25,131.0,105.0,106.75,108.75,129.5,129.75
1997,165.75,141.5,143.25,157.25,157.0,129.75,130.75,133.25,133.75,134.0,131.5,130.75,143.75,141.75,143.25,145.0,151.5,151.25,160.25,173.5,173.0,112.5,112.5,113.0,122.75,124.0
1998,104.25,127.5,129.5,135.0,113.5,143.75,131.25,117.5,117.5,101.5,111.5,111.5,121.5,119.25,119.75,127.25,130.5,127.0,112.5,111.75,112.0,125.5,100.5,151.0,112.5,113.25
1999,150.75,153.25,153.75,149.0,149.0,157.75,154.25,124.0,135.25,135.75,143.0,142.5,145.25,126.25,136.5,139.75,141.0,140.5,143.5,143.25,144.25,134.0,134.75,135.0,155.0,155.0
2000,129.5,141.0,141.25,135.0,135.5,126.75,139.0,156.25,158.0,159.25,114.0,133.5,147.25,138.25,138.25,123.0,123.5,116.5,124.75,120.5,124.5,119.5,123.5,124.25,149.0,149.25
2001,124.0,128.25,128.5,165.5,165.25,132.75,130.5,144.75,146.5,151.25,161.5,163.5,131.5,126.25,129.75,132.75,140.5,133.0,134.0,120.25,120.75,112.75,114.25,122.0,159.5,158.25
2002,126.5,127.0,131.5,128.5,126.5,119.5,124.25,137.0,142.75,141.5,126.0,125.75,140.25,139.5,139.5,126.25,127.5,127.5,119.5,120.0,120.0,108.0,147.0,165.0,93.25,94.0
2003,141.75,142.75,145.5,153.5,140.5,140.25,138.75,113.75,115.75,118.75,134.75,123.0,137.75,136.25,137.5,138.0,138.5,138.5,138.25,136.5,138.25,127.5,128.0,126.25,121.5,121.25
2004,122.0,109.0,111.25,158.0,157.5,134.0,129.25,140.25,140.5,141.0,113.75,112.75,137.25,109.0,112.75,123.0,126.5,124.25,120.5,120.5,120.75,136.0,131.0,129.5,119.5,119.25
2005,120.75,123.75,126.0,142.0,139.0,143.0,142.25,121.5,121.75,128.25,129.0,129.0,154.5,152.5,143.25,134.75,137.5,136.0,123.25,121.5,124.0,124.5,120.75,114.5,136.25,136.5
2006,147.75,128.5,137.25,130.0,125.0,108.5,122.75,122.75,149.25,135.5,140.5,162.5,132.25,119.5,115.0,146.25,141.5,154.5,124.25,132.0,113.5,106.75,123.5,145.0,125.5,143.5
2007,108.0,131.0,123.5,116.0,131.0,131.75,112.25,120.5,150.0,155.0,124.5,154.25,115.75,169.5,116.25,121.5,107.75,134.5,151.75,136.0,134.0,121.5,103.75,132.75,142.5,137.0
2008,134.0,115.0,136.75,141.0,139.0,111.5,121.5,140.5,139.5,120.5,146.0,166.25,128.0,134.0,128.0,138.5,136.75,130.75,117.5,147.0,124.0,129.0,135.5,126.25,160.0,103.25
2009,142.0,132.5,152.75,136.25,127.5,99.0,128.25,152.25,120.25,113.0,120.5,130.0,131.0,155.5,152.25,121.75,99.25,115.25,146.0,116.5,147.5,140.0,144.0,140.0,133.25,139.5
2010,133.0,124.0,131.5,135.5,120.75,147.5,126.75,106.25,127.0,143.75,124.0,130.75,138.5,146.0,129.25,140.5,126.0,100.25,155.5,133.25,142.0,132.0,126.5,152.0,119.25,135.5
2011,123.5,131.0,133.5,121.0,142.25,123.0,137.75,150.25,122.5,150.0,113.75,150.0,128.5,127.5,146.0,137.5,113.0,143.0,150.75,105.5,147.0,147.0,139.0,153.5,145.25,116.5
2012,138.75,142.0,120.5,130.25,128.5,161.25,138.5,129.25,111.5,120.0,152.0,133.5,116.0,121.0,96.5,128.75,171.5,140.25,123.25,149.0,135.75,140.25,119.5,139.25,117.0,135.75
2013,137.75,150.0,130.0,152.0,136.25,110.5,131.0,115.0,152.25,97.25,121.0,115.75,141.25,135.5,133.0,155.75,107.5,112.25,130.0,125.5,96.0,147.75,121.25,146.0,132.25,140.75
2014,102.25,136.5,158.25,110.75,115.25,141.0,144.25,156.0,111.25,119.5,115.0,136.5,125.25,114.5,150.0,137.5,81.0,130.5,140.75,147.25,131.5,112.75,139.75,108.25,150.5,132.5
2015,149.0,116.5,135.0,112.5,123.0,122.25,150.25,124.0,122.0,155.5,163.75,175.0,145.25,122.25,124.0,136.5,136.25,120.0,97.0,142.25,140.75,144.5,162.0,168.5,125.5,149.75
2016,123.75,127.25,92.0,130.5,130.75,117.5,155.25,126.75,124.5,116.25,122.0,97.75,112.0,128.0,152.75,99.0,143.75,131.25,125.0,131.5,104.0,126.5,116.5,111.0,132.0,143.5
2017,123.25,111.0,165.25,155.5,110.75,152.0,139.25,131.0,135.0,111.25,123.5,132.5,125.5,121.25,133.0,143.5,129.0,142.5,133.5,164.75,140.5,120.5,168.0,123.0,157.25,135.25
2018,127.25,132.5,127.0,164.5,142.0,137.0,133.75,134.5,139.75,146.75,117.5,121.5,128.25,118.25,136.5,95.5,131.5,143.5,117.0,147.25,122.75,146.0,123.25,122.5,99.0,129.25
2019,130.5,122.0,122.25,122.5,139.25,139.25,93.25,116.5,125.0,133.5,141.5,129.5,137.0,138.75,149.5,164.25,116.25,107.5,125.0,124.25,121.25,120.5,129.25,103.0,115.5,121.25
2020,129.0,114.5,150.5,121.75,112.5,115.75,139.75,131.0,127.75,135.75,140.5,137.0,119.75,121.25,117.0,144.25,114.0,127.75,122.25,135.75,151.25,133.0,160.25,93.5,150.25,116.75
2021,,133.25,153.0,125.0,163.75,150.5,127.0,160.0,131.0,123.5,130.0,151.5,143.25,118.25,105.0,157.75,133.5,143.5,120.5,91.5,147.5,173.5,118.25,143.0,159.5,156.5
2022,,147.25,146.5,133.0,123.5,98.5,150.5,146.75,122.25,146.0,131.5,129.5,97.5,111.0,135.75,126.0,139.25,127.75,127.5,114.0,150.25,138.5,112.0,133.5,105.5,141.0
2023,,147.75,125.25,130.5,116.5,127.75,107.5,112.5,144.25,147.0,130.25,111.75,129.25,140.5,146.25,99.5,117.25,94.0,136.0,123.5,140.5,125.5,95.5,140.75,108.5,131.0
2024,,142.0,119.0,124.5,139.75,142.5,114.0,145.0,123.0,161.75,154.5,133.0,144.75,123.25,140.5,116.75,105.75,116.5,134.75,146.25,179.0,135.5,117.5,109.0,123.5,138.75
2025,,100.0,136.0,123.25,125.5,131.0,141.75,132.0,130.75,118.75,118.5,141.5,132.75,125.5,130.0,130.25,118.75,137.25,127.0,134.0,138.75,123.75,111.5,138.25,123.75,147.25
2026,,129.0,114.75,127.25,125.5,127.0,120.75,144.25,111.0,,153.25,113.25,112.0,137.5,141.0,146.25,105.0,140.5,123.5,148.5,141.25,128.0,116.0,120.5,133.5,138.0
2027,,118.0,112.25,123.5,106.25,138.0,132.25,148.75,85.0,86.75,114.75,129.25,120.0,129.5,124.0,141.0,110.0,125.5,136.75,128.5,153.75,110.5,165.75,134.0,109.25,109.75
2028,,110.0,120.0,145.0,132.0,127.5,131.0,130.0,131.75,130.25,136.5,141.25,113.25,146.0,100.5,146.5,142.0,121.5,113.5,152.75,160.0,139.25,136.5,140.25,121.0,170.0
2029,,116.75,146.5,121.25,107.5,125.0,117.5,129.75,132.0,125.5,140.75,140.25,153.75,118.0,105.0,101.5,146.0,169.25,105.5,117.75,137.0,119.75,144.5,148.25,142.25,113.75
2030,,139.5,122.75,148.0,122.5,121.0,117.75,127.75,135.25,121.75,120.25,134.75,99.75,130.5,115.75,102.5,132.75,125.0,134.75,168.5,111.5,124.25,93.0,115.5,120.0,114.0
2031,,121.0,148.0,105.5,145.75,112.5,146.5,124.25,141.5,116.5,136.75,157.0,99.0,127.0,113.0,115.0,136.75,125.75,117.5,127.5,154.25,141.0,119.25,140.75,150.75,153.0
2032,,131.5,144.5,120.75,135.75,124.0,105.75,146.75,134.0,137.5,113.75,106.25,109.0,128.5,128.0,98.25,107.5,142.25,108.25,125.5,142.5,118.25,132.0,139.0,125.5,140.0
2033,,152.25,120.5,124.5,130.0,128.0,139.25,125.0,130.5,139.0,137.25,118.25,124.5,129.25,134.25,73.0,138.5,136.25,135.0,122.0,114.0,120.5,132.0,144.25,141.75,129.5
2034,,139.25,141.75,127.25,135.0,161.25,110.5,118.25,109.0,133.5,111.0,114.0,124.5,124.25,147.0,142.0,165.5,122.0,174.5,119.25,129.5,114.25,107.0,121.0,133.25,118.5
2035,,161.25,102.5,134.0,131.25,125.25,161.75,126.5,127.0,137.0,111.5,140.0,145.25,114.75,139.5,111.5,162.25,153.5,164.25,122.0,136.0,123.0,131.75,133.75,132.0,149.5
2036,,128.0,107.25,109.25,100.75,120.75,134.0,129.0,151.25,127.0,123.5,121.25,113.75,143.0,134.5,112.25,139.5,152.0,133.5,138.0,137.25,123.5,145.25,137.5,111.25,139.25
2037,,146.25,125.75,137.25,123.0,121.5,89.5,153.0,114.0,115.5,129.5,115.25,92.5,149.0,147.25,182.5,149.5,171.25,127.5,105.5,164.25,115.75,152.75,121.75,132.0,109.75
2038,,157.0,109.0,134.0,122.25,130.0,111.5,137.0,131.25,149.0,113.75,131.0,108.0,122.5,146.75,121.5,136.0,126.25,150.5,123.75,117.25,108.5,103.75,133.5,138.25,129.5
2039,,143.25,134.25,110.0,139.5,104.5,142.25,148.25,129.0,112.0,146.5,125.5,107.25,105.5,125.5,111.25,140.5,120.0,180.5,155.25,107.0,132.75,150.5,128.0,125.5,121.0
2040,,112.5,133.5,145.5,121.25,137.5,114.25,109.5,128.0,143.0,118.0,104.75,115.0,139.75,122.0,178.0,142.5,150.5,144.25,120.25,121.75,138.5,109.5,96.0,130.5,143.25
2041,,156.0,146.0,128.0,139.5,152.0,135.75,119.5,130.25,136.5,119.75,123.0,126.25,140.0,123.0,126.25,127.0,122.0,150.0,133.25,133.5,149.5,114.75,138.75,130.0,132.25
2042,,130.5,111.5,117.5,134.0,123.5,112.75,131.25,130.0,123.5,113.0,135.5,122.5,129.25,133.5,121.0,131.75,123.75,124.25,150.5,122.75,152.25,145.75,141.5,138.5,108.0
2043,,114.25,110.5,130.75,162.0,107.0,97.0,123.0,113.0,127.0,145.75,131.25,130.75,108.75,140.0,173.0,132.5,129.75,113.0,132.75,119.75,128.5,119.25,131.25,113.5,164.75
2044,,116.25,102.5,119.25,138.0,125.75,106.5,138.0,134.75,153.5,130.0,110.75,124.5,119.75,127.0,115.75,165.0,134.5,93.0,137.75,112.5,110.25,150.0,105.25,,122.0
2045,,94.25,152.0,161.25,114.0,131.0,127.0,134.75,115.5,82.0,132.0,146.25,122.0,115.0,111.75,97.0,169.5,112.0,163.0,138.0,143.25,134.25,135.5,91.0,156.25,152.5
2046,,148.25,103.0,121.75,116.5,129.25,122.25,145.0,138.0,134.5,109.5,116.5,101.0,134.5,139.25,121.5,87.75,131.25,144.25,121.5,121.75,134.75,143.75,125.5,120.0,146.25
2047,,152.25,105.5,138.0,127.0,121.5,111.25,132.75,129.25,124.5,145.5,135.0,143.75,117.5,142.0,134.25,149.5,128.5,145.25,134.25,167.5,116.0,120.25,111.75,101.5,132.5
2048,,116.5,100.5,126.5,122.0,130.0,114.0,139.25,114.5,101.5,109.0,129.5,128.0,107.5,144.5,128.5,102.0,115.0,166.25,127.5,123.5,116.25,158.5,144.5,132.25,128.25
2049,,123.75,115.5,110.25,105.5,117.25,160.75,137.25,156.75,129.25,118.0,129.0,164.25,125.0,125.75,114.25,141.75,133.5,144.0,174.5,126.0,139.75,134.75,117.0,136.0,143.75
2050,,114.75,108.75,131.0,139.5,126.75,127.0,145.75,113.25,147.5,101.25,101.25,128.5,118.0,152.25,154.75,137.0,127.0,110.75,167.0,130.5,120.0,153.25,146.0,130.25,163.5
2051,,132.5,109.0,127.5,116.5,126.0,140.25,99.0,159.0,137.0,154.5,140.0,111.0,107.5,139.5,125.5,118.5,137.0,107.5,138.25,174.25,164.25,108.5,105.5,124.5,101.75
2052,,106.25,155.25,149.5,129.5,123.75,122.0,146.0,92.5,113.0,108.25,111.75,139.5,137.0,153.25,140.75,135.5,126.75,101.25,123.75,141.5,118.25,144.25,118.0,129.5,125.0
2053,,132.0,97.25,133.75,125.5,136.25,109.75,116.25,118.0,92.0,120.5,92.0,119.75,144.0,122.0,118.0,125.5,129.5,133.25,137.0,145.5,109.25,115.75,115.75,129.75,149.75
2054,,118.75,106.75,127.5,129.75,121.5,130.5,110.5,142.5,106.5,118.0,108.5,134.0,141.75,100.0,102.75,144.0,173.25,127.5,150.5,140.25,122.5,122.5,145.5,140.75,116.5
2055,,125.5,112.5,106.0,134.0,135.5,140.25,96.5,154.25,107.0,126.25,108.75,135.5,128.5,124.5,103.0,116.0,117.25,146.75,115.5,119.5,127.25,124.75,113.25,141.0,125.5
2056,,122.0,131.0,139.5,123.5,132.0,132.5,119.25,117.0,110.5,109.5,113.5,120.5,113.25,130.5,128.5,122.5,154.0,140.0,113.0,111.0,97.25,123.5,138.25,153.5,136.0
2057,,121.25,97.25,139.75,144.5,126.25,135.75,156.5,118.5,116.75,150.5,106.0,129.0,113.25,123.25,131.75,116.75,126.25,130.25,134.25,129.75,137.75,140.0,109.0,137.5,153.25
