year,ref,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,1394.3078991572766,1232.1413567793215,1636.9456405309174,1445.1865588380433,1151.971753481212,1461.2318328534939,1381.8349106384312,1296.5474908189235,1247.5441862124985,1421.4283319209576,1201.9418102810573,1394.0612881822572,1641.144478133505,1427.9124730252229,1141.788985020602,1450.871367275803,1375.0299505083904,1288.161357222571,1238.7088150369323,1415.5381155099958
1982,0.0,1367.913019970002,1300.6679810059509,1578.7883902204076,1407.8916667895546,1155.2748796718838,1401.1892610179102,1287.0243715140068,1393.1308737735662,1239.6338825726216,1405.4870605225756,1270.7008725044925,1367.5564722109648,1586.308993680404,1389.0187148267132,1147.2579080065875,1393.365441661983,1281.3630041403144,1384.7179212744913,1229.1840048930908,1394.3422786516157
1983,0.0,1360.9726092368896,1260.6951683776033,1450.5256256231323,1440.4816341139572,1070.353716141357,1397.471708301537,1290.458430049844,1357.273476275744,1207.7499246300263,1422.907057295416,1231.7543410170952,1362.4442069661022,1455.0990134494352,1420.095869500804,1066.83235882,1386.707469857105,1282.2257674722418,1347.9446056467286,1199.8649470163618,1408.637671059897
1984,0.0,1406.8925379958037,1264.423773138641,1592.050659076897,1439.299049850897,1199.3990037247668,1476.0320069478835,1474.5328652515705,1373.5636855062817,1244.5223872521456,1477.0158182599384,1235.1397414820194,1407.3801344060234,1595.6568217713066,1420.3024991407297,1184.469157780547,1461.7515995979443,1467.2228629717124,1363.5220589872706,1233.97050031652,1460.8409526131663
1985,0.0,1447.3449108619338,1251.940274913517,1635.5225361822831,1436.4171799692094,1078.4694266744518,1506.5045800663324,1381.256761122896,1362.1103177421833,1291.8642430906384,1414.288695113054,1222.492276505278,1448.5425239005922,1641.438758191939,1419.109711915813,1072.0261520763715,1493.656671210937,1372.4145995655226,1352.222498846369,1283.4587577166399,1404.1530676809675
1986,0.0,1355.8931258408547,1270.4987274655996,1595.1406182066403,1538.4484215946077,1127.1395687152985,1399.5031338249582,1393.9176632514095,1418.48285526071,1270.489871204088,1417.0304768453589,1243.248919429529,1361.3591717782338,1599.2737103631184,1519.652766499039,1115.7837416346802,1389.374973082764,1387.6506348683674,1411.6352951567287,1261.0121172757617,1401.448273878529
1987,0.0,1395.609287412081,1189.3167173259812,1585.418926595533,1540.671930115679,1165.7738231552394,1485.535515211881,1312.38938820893,1380.7070717656989,1196.6726427172653,1457.7824654671563,1163.289195683234,1398.1944815685424,1589.4057356538171,1519.3137858006558,1154.170662570058,1475.7256690541494,1305.8313853805707,1369.500479849888,1188.1996854710137,1444.1019840214567
1988,0.0,1470.149614183923,1213.2661449190505,1600.8898240642695,1425.2807314260199,1132.516618194104,1506.8887389249603,1327.7472572051079,1385.7328434599535,1281.0352132405133,1433.3258583843635,1186.5740863266083,1474.1307156903758,1603.7280165838001,1405.9732972963338,1122.4268784539531,1489.129695439115,1318.6948559125117,1377.681012689432,1273.3332542289031,1419.6545085272924
1989,0.0,1425.3016569831675,1250.7693502986285,1618.6381086081315,1515.1449080538846,1112.1048316129795,1431.710233021172,1360.9548483636786,1469.0890283679328,1241.4917077213427,1450.1655920526541,1222.9504010090563,1426.053791151066,1622.5113002462977,1495.3866134917012,1105.3220339094378,1419.7912166995116,1354.3454920960276,1457.4318245933496,1234.637388977746,1440.199013779778
1990,0.0,1393.8431309436482,1263.8649436663236,1552.008921950389,1458.937936300233,1126.0522639927308,1404.029060095132,1489.6222546634012,1473.6461365419036,1302.4186496828374,1440.7990413263192,1238.8115468295036,1394.4395384921213,1557.7058635615215,1439.7434278918058,1115.932135262848,1396.4433187760405,1477.998289712234,1468.4460521713922,1291.856708370532,1429.7843289852717
