year,ref,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,3621.601588677493,3598.794750520735,3503.1154498213145,3706.569875439835,3562.227618588065,3549.067250274433,3655.4498576395376,3603.9551077707147,3377.5304367847775,3571.5023684683515,3531.572524569451,3472.915903252228,3598.5481394961307,3710.768712685477,3544.9535328972233,3538.884481853736,3645.08939234639,3597.1501482234635,3369.144303881068,3562.6669966540367,3525.6823080342997
1982,3648.7837666773075,3530.0791192710094,3632.8103250890317,3586.24625267676,3496.9617525325116,3593.270552316007,3518.0992048956173,3400.931065104827,3555.006478515598,3557.9679420646194,3510.7329538258723,3602.8432178759904,3529.722570059515,3593.766856412775,3478.088799854802,3585.253579995417,3510.275386033323,3395.269698129836,3546.593526193425,3547.518064035925,3499.588172542664
1983,3754.3205351987754,3525.3436352246954,3544.157512041695,3306.6860274415835,3569.6985264921277,3423.3605841469166,3514.060886152327,3425.299626158254,3502.5328037626286,3480.913519688102,3546.74788481982,3515.216684469865,3526.8152325392693,3311.259414517501,3549.3127616557995,3419.8392269917986,3503.2966470830493,3417.066965245974,3493.20393500287,3473.0285426071905,3532.4784994819506
1984,3747.1248324240337,3618.5309749163916,3582.0531923827775,3639.957054113719,3571.1571478799906,3621.0333629766396,3657.4921404221686,3794.862689741509,3537.8055371753503,3570.5990148113087,3689.551567211551,3552.769160169324,3619.018571221886,3643.563216496612,3552.1605972945076,3606.1035179519604,3643.211733212467,3787.552687925703,3527.7639111026147,3560.047128441904,3673.376702849962
1985,3660.4507990921265,3700.3885613804896,3534.352558851701,3695.271995584908,3594.774875153105,3408.3064535766457,3732.7992825855836,3626.058320711357,3525.280235778746,3650.0581963063964,3531.4394964304242,3504.904560315186,3701.5861745743036,3701.1882174034367,3577.4674071258396,3401.863179037083,3719.9513740640846,3617.216158206767,3515.3924166153106,3641.6527111402493,3521.303869040664
1986,3736.478096326481,3523.937844111057,3581.3933461824427,3618.8164450216905,3758.730827935594,3527.7519361044824,3530.26558059817,3622.7801155874054,3643.0476283562484,3610.60773557944,3523.615218092243,3554.143538485476,3529.403890580161,3622.9495371906696,3739.9351731006755,3516.396109490725,3520.137420526724,3616.5130875686464,3636.200068187835,3601.1299825692213,3508.0330159432415
1987,3586.5381953592373,3601.749494942178,3444.6034841633423,3590.000903778049,3758.939534117669,3589.7481051692766,3702.349785837554,3474.468659596667,3538.617204018214,3473.7001235663215,3649.0251063497453,3418.575961386106,3604.3346894935185,3593.987713650217,3737.5813896243453,3578.1449441274613,3692.53994011045,3467.9106556578326,3527.4106120165693,3465.227165040776,3635.3446256801476
1988,3649.295291185596,3739.24212544426,3464.913237731536,3634.7938980465874,3565.5956121072045,3534.7616995880653,3730.9816881542392,3498.098209463535,3563.1676940490784,3628.821221668848,3585.893372567748,3438.2211798430326,3743.2232268919233,3637.632090994771,3546.288178677986,3524.6719605050585,3713.222644917539,3489.0458069148835,3555.115864220604,3621.1192624226883,3572.2220232809045
1989,3554.475664904551,3629.198955264235,3552.9817085176414,3665.7170431708155,3710.0571222068093,3486.9042347263517,3594.6930469805843,3568.473562134671,3730.4069913456365,3551.3636487036665,3595.079198005962,3525.1627589139257,3629.9510890796573,3669.5902354363043,3690.2988276572437,3480.1214375000727,3582.7740308318967,3561.864205640507,3718.749786534124,3544.509330209506,3585.1126187753707
1990,3761.466207407749,3570.5366186585056,3557.573042229601,3543.2612655475577,3618.5420028784274,3524.6986194078636,3532.923446727089,3797.914339132906,3739.6077634908133,3669.811718290349,3554.48373774063,3532.5196466559482,3571.1330262664815,3548.958208276018,3599.3474951201783,3514.5784903294225,3525.3377059642617,3786.2903742232943,3734.4076800399653,3659.2497767445593,3543.469025724953
1991,3657.068336288062,3697.7237058368646,3572.316715979575,3433.0473426246645,3535.118476633973,3541.695632366926,3457.103735931306,3498.8736076014548,3620.6380983233016,3577.399409817127,3612.4211136528143,3545.274099183404,3700.412928100454,3432.534043205587,3514.848541320686,3531.1549151219665,3446.205322601621,3493.8587282715025,3612.2485849457344,3568.8312092741967,3602.160944885562
1992,3591.375536465428,3643.1667051143418,3496.2269904642712,3648.0615810228264,3658.364184070524,3496.780753202154,3487.6923627643173,3406.1599795385105,3523.660140060682,3448.614556467722,3560.5017525465714,3469.579478365386,3645.1298659433587,3651.0575735154066,3640.2381855824483,3487.1566988966065,3479.5604030075574,3402.911016568368,3513.7569194127827,3442.72724848568,3551.3272607916842
1993,3721.4952932898204,3613.174205453491,3383.8206483820222,3573.834207125725,3514.611763787475,3577.825281736331,3510.2754530605275,3533.1933310790023,3657.2447108688066,3641.396299809947,3558.3805505914243,3360.537864884692,3615.490748952274,3580.2204517595696,3501.1587601377487,3569.3481932916334,3496.493344387437,3524.5421010019973,3648.872797941794,3632.6412348962035,3544.4854033558577
1994,3612.8375043058395,3584.5537874146135,3535.672572042255,3524.783471048274,3589.230675825065,3546.9020298403407,3533.1100920991457,3542.406543676221,3602.2269267754564,3649.475342469701,3656.5906596464997,3507.808348242572,3586.3945247656284,3529.1553330836755,3569.3319039000985,3539.4353893281623,3522.8027472805543,3535.581232565498,3590.3700765155295,3639.5386325145,3642.4766161379575
1995,3659.268409229445,3491.1435180290546,3467.8926823113607,3593.7924540850468,3645.8357181024217,3487.187604040104,3539.1128000970984,3517.6475903553346,3559.3007535531788,3576.096435203533,3710.035981278249,3442.81128176609,3495.3518978230272,3601.502799967151,3627.1584456353416,3477.524704223452,3527.1283273894824,3508.6683055991234,3547.396645347861,3568.0302667600645,3697.051926903727
1996,3625.1827596215767,3697.1271722942506,3648.4015002997876,3610.1577044022874,3676.8480916440026,3748.460024950839,3491.4909191612796,3597.4306960483004,3502.026864846936,3534.025633749421,3564.6389721919295,3617.1474580161585,3700.9364133509343,3618.7911447131482,3657.8333690126015,3732.8829628793574,3480.987875118977,3588.9488682313004,3492.9716605305407,3524.0741177004475,3552.2399723689423
1997,3644.821569280552,3658.760166357143,3641.867257269371,3691.45069991929,3627.771912176469,3637.138987205102,3586.635696339255,3545.117360873318,3499.993166843826,3668.922347139829,3644.472363437771,3610.189527996233,3660.2818887211006,3694.008772244324,3610.1523437506,3630.3645059951805,3574.0811193661943,3541.5966430607377,3490.2293987186727,3658.1621409423096,3628.422787461011
1998,3806.44667667118,3582.5094922383705,3619.2577643911263,3607.755229237401,3536.237292062994,3667.0454813913243,3639.67915340422,3621.5090951021903,3775.8785374315185,3708.0836625372094,3758.021516283815,3590.4190658295543,3585.6893527804327,3610.6389174848723,3519.229754815489,3656.615233222823,3624.4978215715178,3613.863602987376,3769.9756946708944,3697.843985642162,3747.592687141007
1999,3529.107577426542,3516.1161092795187,3528.3795186898374,3566.23725089596,3651.222010031372,3482.1363191438613,3581.685605670833,3538.075918581666,3754.4193660928636,3630.1361141383454,3582.84528586356,3504.028945563781,3517.488892127774,3568.9796584044193,3635.0536500431344,3475.9403560454766,3568.708565358398,3529.8816370726345,3742.9967545880836,3619.297516466549,3567.535980381347
2000,3600.3345352771066,3800.6470464865033,3526.78203193548,3494.1555377359164,3587.2427345956376,3565.464494441999,3532.5593878571294,3663.6921906895354,3638.168177039921,3698.066069252827,3475.7072286516864,3499.730489437588,3799.3732063833177,3498.4081156178227,3568.9326768468245,3554.462180747723,3520.674326445339,3656.59695150471,3629.6008127901973,3686.635359177912,3465.3465218406445
