longitude,latitude,val
-9.0,8.0,21.883333333333333
-9.0,7.900000095367432,21.15
-9.0,7.800000190734863,17.26666666666667
-9.0,7.699999809265137,13.33
-9.0,7.599999904632568,11.603333333333332
-9.0,7.5,15.616666666666667
-9.0,7.400000095367432,20.25
-9.0,7.300000190734863,19.326666666666668
-9.0,7.199999809265137,18.47
-9.0,7.099999904632568,16.706666666666667
-9.0,7.0,14.503333333333334
-9.0,6.900000095367432,12.576666666666666
-9.0,6.800000190734863,8.706666666666667
-9.0,6.699999809265137,5.093333333333333
-9.0,6.599999904632568,2.97
-9.0,6.5,1.6233333333333335
-9.0,6.400000095367432,0.9866666666666668
-9.0,6.300000190734863,1.0066666666666666
-9.0,6.199999809265137,1.16
-9.0,6.099999904632568,1.3066666666666666
-9.0,6.0,0.8933333333333334
-9.0,5.900000095367432,0.6733333333333333
-9.0,5.800000190734863,0.6333333333333333
-9.0,5.699999809265137,0.3666666666666666
-9.0,5.599999904632568,0.2333333333333333
-9.0,5.5,0.2666666666666666
-8.899999618530273,8.0,23.78
-8.899999618530273,7.900000095367432,17.59
-8.899999618530273,7.800000190734863,12.163333333333334
-8.899999618530273,7.699999809265137,10.4
-8.899999618530273,7.599999904632568,9.466666666666669
-8.899999618530273,7.5,11.793333333333331
-8.899999618530273,7.400000095367432,12.863333333333332
-8.899999618530273,7.300000190734863,11.4
-8.899999618530273,7.199999809265137,12.996666666666666
-8.899999618530273,7.099999904632568,15.106666666666667
-8.899999618530273,7.0,14.53
-8.899999618530273,6.900000095367432,11.736666666666666
-8.899999618530273,6.800000190734863,8.536666666666667
-8.899999618530273,6.699999809265137,5.41
-8.899999618530273,6.599999904632568,3.783333333333333
-8.899999618530273,6.5,2.216666666666667
-8.899999618530273,6.400000095367432,1.4866666666666666
-8.899999618530273,6.300000190734863,1.47
-8.899999618530273,6.199999809265137,1.64
-8.899999618530273,6.099999904632568,1.31
-8.899999618530273,6.0,0.94
-8.899999618530273,5.900000095367432,0.5533333333333333
-8.899999618530273,5.800000190734863,0.5033333333333333
-8.899999618530273,5.699999809265137,0.2366666666666666
-8.899999618530273,5.599999904632568,0.2
-8.899999618530273,5.5,0.1666666666666666
-8.800000190734863,8.0,22.27
-8.800000190734863,7.900000095367432,13.1
-8.800000190734863,7.800000190734863,9.713333333333331
-8.800000190734863,7.699999809265137,10.003333333333334
-8.800000190734863,7.599999904632568,8.136666666666667
-8.800000190734863,7.5,7.52
-8.800000190734863,7.400000095367432,6.413333333333333
-8.800000190734863,7.300000190734863,6.453333333333333
-8.800000190734863,7.199999809265137,8.860000000000001
-8.800000190734863,7.099999904632568,12.546666666666669
-8.800000190734863,7.0,12.796666666666669
-8.800000190734863,6.900000095367432,10.793333333333331
-8.800000190734863,6.800000190734863,7.1466666666666665
-8.800000190734863,6.699999809265137,5.516666666666667
-8.800000190734863,6.599999904632568,4.29
-8.800000190734863,6.5,2.88
-8.800000190734863,6.400000095367432,1.903333333333333
-8.800000190734863,6.300000190734863,1.81
-8.800000190734863,6.199999809265137,1.72
-8.800000190734863,6.099999904632568,1.2066666666666666
-8.800000190734863,6.0,0.58
-8.800000190734863,5.900000095367432,0.37
-8.800000190734863,5.800000190734863,0.2666666666666666
-8.800000190734863,5.699999809265137,0.1433333333333333
-8.800000190734863,5.599999904632568,0.1
-8.800000190734863,5.5,0.1
-8.699999809265137,8.0,18.82
-8.699999809265137,7.900000095367432,12.176666666666666
-8.699999809265137,7.800000190734863,10.64
-8.699999809265137,7.699999809265137,10.223333333333333
-8.699999809265137,7.599999904632568,6.6033333333333335
-8.699999809265137,7.5,4.78
-8.699999809265137,7.400000095367432,4.21
-8.699999809265137,7.300000190734863,5.210000000000001
-8.699999809265137,7.199999809265137,8.876666666666667
-8.699999809265137,7.099999904632568,11.56
-8.699999809265137,7.0,11.063333333333333
-8.699999809265137,6.900000095367432,8.976666666666667
-8.699999809265137,6.800000190734863,6.71
-8.699999809265137,6.699999809265137,5.943333333333333
-8.699999809265137,6.599999904632568,5.473333333333334
-8.699999809265137,6.5,4.346666666666667
-8.699999809265137,6.400000095367432,3.2466666666666666
-8.699999809265137,6.300000190734863,2.6466666666666665
-8.699999809265137,6.199999809265137,1.4433333333333334
-8.699999809265137,6.099999904632568,0.8400000000000001
-8.699999809265137,6.0,0.5366666666666666
-8.699999809265137,5.900000095367432,0.3066666666666666
-8.699999809265137,5.800000190734863,0.2366666666666666
-8.699999809265137,5.699999809265137,0.14
-8.699999809265137,5.599999904632568,0.0666666666666666
-8.699999809265137,5.5,0.1
-8.600000381469727,8.0,17.55666666666667
-8.600000381469727,7.900000095367432,14.006666666666668
-8.600000381469727,7.800000190734863,12.076666666666666
-8.600000381469727,7.699999809265137,7.406666666666666
-8.600000381469727,7.599999904632568,3.68
-8.600000381469727,7.5,3.286666666666666
-8.600000381469727,7.400000095367432,4.6033333333333335
-8.600000381469727,7.300000190734863,6.746666666666667
-8.600000381469727,7.199999809265137,10.706666666666669
-8.600000381469727,7.099999904632568,11.943333333333332
-8.600000381469727,7.0,10.423333333333334
-8.600000381469727,6.900000095367432,8.763333333333334
-8.600000381469727,6.800000190734863,8.286666666666665
-8.600000381469727,6.699999809265137,7.57
-8.600000381469727,6.599999904632568,7.356666666666666
-8.600000381469727,6.5,5.84
-8.600000381469727,6.400000095367432,3.8366666666666656
-8.600000381469727,6.300000190734863,2.08
-8.600000381469727,6.199999809265137,1.1033333333333335
-8.600000381469727,6.099999904632568,0.61
-8.600000381469727,6.0,0.5
