year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85
1981,0.0,-1.7861138717198628,-1.5716217297256776,-0.16543345472928195,-0.5729256402744909,-2.079854008797497,-2.845979529322051,-1.77044715181853,-0.956587451606822,0.015386644913519376,-2.3109335808793503,-1.509344308372988,-1.4862122928967665,-3.0834535747142695,-1.1255790624566657,-3.1445229069336165,-1.2957240365844314,-0.6065731910808267,-2.9157877324215065,-2.0200736257447147,-2.2286698707353025,-3.0357536798723004,-1.8345435186178634,-1.6467049883241316,-0.18779885523451867,-0.5985724547920199,-1.8214441250486288,-0.9930835462920413,0.0006643632918894582,-2.3549696003944405,-1.5788189588153614,-1.5585247877959318,-3.1683625409236242,-1.1676716404425633,-3.1880762544674894,-1.401365285563429,-0.6273855719438188,-3.0023913643887,-2.095809311156472,-2.2783483772083173,-3.103881630602814,-1.0265379287217797,0.0858705218992668,-0.7146626719764413
1982,0.0,-1.8260867321038177,-1.5946805525529157,-0.21875248865165986,-0.7442079819461469,-1.8392299645691992,-2.872781862607212,-1.6963834508449622,-1.0181527379147042,0.07461247152161832,-2.230106843326155,-1.6097883283348438,-1.135774696087708,-3.5156570178887137,-1.231288461043448,-3.110773024281343,-1.3301893088548127,-0.5816564277264433,-3.039718844913409,-2.12464863198727,-2.223011432939643,-2.702273096113231,-1.8669168603572643,-1.6682546433498828,-0.2554690962180075,-0.7534313765191882,-1.7553780616269705,-1.0474716762358298,0.05670863396829873,-2.2651243399528767,-1.6676544416258139,-1.2157287568143715,-3.6308236828477334,-1.2625320686239547,-3.1516971423763493,-1.426131492782872,-0.6245542916449836,-3.113108196720532,-2.1531404659543796,-2.259360892939185,-2.7588641855963942,-0.9633225960589016,0.15015281504997802,-0.7923047668330696
1983,0.0,-2.0341323130616615,-1.7515300393603184,-0.3134576957783679,-0.7334330248253877,-1.9117534594832932,-2.746032185788067,-1.7911022758068498,-1.0747749770551422,0.06727916617313667,-2.272041376062873,-1.5874388375040098,-1.3517496637741147,-3.2365175593800473,-0.8919105206892937,-3.0086797077356664,-1.0575665062413577,-0.7590127597271703,-2.9250827814033187,-2.0406147369303653,-2.2589646980669613,-2.7644363962785974,-2.080292689555165,-1.8196128683340476,-0.34013989358226127,-0.7424212545744808,-1.8589926271557147,-1.107046091522136,0.04003559935068779,-2.2982630183526567,-1.654842764916168,-1.4331552553070424,-3.3183943670340454,-0.9491368979320782,-3.0700003475020594,-1.182164422302776,-0.7774444318242786,-2.9933599819534606,-2.067813182945315,-2.3145335302617696,-2.8089045260757644,-1.0533920531714784,0.12596194414931006,-0.7537937610319432
1984,0.0,-1.9199732512045102,-1.5683565040627627,-0.1490815314750762,-0.6281202818042289,-2.109079569722553,-2.728571202579303,-1.6440791211229566,-0.9624774033438257,0.08475494867514044,-2.4221903332292527,-1.4950562915061596,-1.6698760219408655,-3.2787820163238166,-1.0500591027854966,-2.7509444805385215,-1.1247739643373507,-0.5585276623164077,-2.7351752423265907,-1.9957596387119452,-2.152865838559592,-2.846753321185247,-1.9585595230433341,-1.647133740287245,-0.17251379181226412,-0.6414971700071987,-1.7144526709143406,-0.9966936667937034,0.03980420796568751,-2.452466438805345,-1.568488917287027,-1.7104421128935883,-3.380960293589851,-1.1068024719089067,-2.834864495612635,-1.2388996028109318,-0.6233440080776518,-2.8374392503157537,-2.091962849192555,-2.188704695285594,-2.9114598502334275,-1.1916334667969295,0.011850852380121069,-0.7284412894221077
1985,0.0,-1.9839448433294251,-1.729535710756977,-0.1186562728233298,-0.5863855302245042,-1.9605922858059444,-2.6730510171306605,-1.728744174440294,-0.9887085966273617,0.08038557999327622,-2.3517126074854673,-1.4758700088182763,-1.4207205020915694,-3.6320019619707864,-1.2765389584545233,-3.079868625807535,-1.311176762352261,-0.876484323176669,-2.7037959886080785,-1.7309471787723396,-2.136970023726576,-3.27743239415571,-2.030189841435572,-1.7828014147585804,-0.14559940149189288,-0.6108076943103242,-1.781715838265768,-1.0114941709794607,0.05201921043135371,-2.36477789333253,-1.5621448311719064,-1.475900233764662,-3.736744028772307,-1.3014217907619923,-3.1375314829841727,-1.4284166307422197,-0.8901805732638195,-2.796619451601657,-1.8069328478915736,-2.1889435798670434,-3.3860356514564387,-1.1199726478308207,0.06281525525486131,-0.5239964006860873
1986,0.0,-2.0119677567022904,-1.693826889250147,-0.21823174862794303,-0.6772608311092085,-2.211120958631227,-2.8450513035475637,-1.8149571713365162,-1.0087760910828933,0.07310216760413368,-2.2839670952840834,-1.5180660961881358,-1.5372704921705918,-3.3260985996506633,-1.0632057187422106,-3.01428804335643,-0.8977922113768955,-0.7259145914508167,-2.9422374678220535,-2.1122091907767526,-2.3666772767067528,-2.6983483311366854,-2.0452883278069294,-1.763455566747723,-0.2506536177011185,-0.6898596437771403,-1.8627029942326203,-1.0517147609577933,0.030392017798362758,-2.3011378391042854,-1.5890111457833882,-1.5823523726321014,-3.4097139753393435,-1.1225968717626529,-3.0707231420614676,-1.0206110231389403,-0.7627626753349546,-3.019344479122367,-2.1333212030443747,-2.4045521553114213,-2.7826274595727796,-1.1412214653504975,0.15741616535268577,-0.7495736473903776
1987,0.0,-1.9420812461107744,-1.553062405976334,-0.11302031430511761,-0.5743650952517783,-2.1618846077457192,-2.655970636265579,-1.79951522547276,-0.9964800795051474,0.14428513096601137,-2.3588421702658593,-1.4009797643940942,-1.759070548409511,-3.3705154065756346,-0.9790905723359629,-2.9720307527852015,-1.065944891472384,-0.5338655999341881,-2.6515527620420585,-1.9075550392320793,-2.2645491908286886,-2.615685486869779,-1.9772317738758716,-1.6294223195013728,-0.14202876338941905,-0.589867675105495,-1.843252415180018,-1.0183273328128166,0.12022349905606688,-2.376885281370562,-1.4941205134308007,-1.8165061352037242,-3.4351666715870692,-1.0359563628967976,-3.0262700313265896,-1.2121343914947715,-0.5638899024367561,-2.739350895333871,-1.9938325776560077,-2.3051478871814766,-2.6874492761879765,-0.8612441077758604,0.1737502730442202,-0.5907842066420699
1988,0.0,-1.7975642121734268,-1.5266670131456408,-0.013925071739947725,-0.6136814300679703,-2.1809195599890927,-2.6762622620710204,-1.6768154835844484,-1.0034150623910136,0.0498999644399305,-2.194494137947629,-1.400676025531709,-1.6765128337809188,-3.236167063535788,-0.8961043330472194,-2.6954153217448606,-1.0231314254508561,-0.8680805662032185,-2.543240171609,-1.8792470763104916,-2.030461918058961,-2.5859033168309224,-1.8461561881479724,-1.5934442646084221,-0.06553189237024526,-0.6391656915058661,-1.7361172247215109,-1.015705574039032,0.02787733799908665,-2.2375576631694685,-1.4900863065818157,-1.7458154773650563,-3.339440889762159,-0.9833830774995249,-2.768051326102409,-1.147950085975765,-0.9089322567683666,-2.661928609524068,-1.957075984270375,-2.0886685112050714,-2.6813500069035285,-0.948615170508333,0.06192962447738637,-0.5880328904597718
1989,0.0,-1.7810759817468238,-1.5931598976569603,-0.23620610941839004,-0.39033966640016615,-2.033163714282864,-2.72393275902715,-1.7501320971388168,-0.8777125925225278,0.1113653666785126,-2.282348313325542,-1.579390047159734,-1.500852776891918,-3.200213881161801,-1.3635223802804717,-2.8343065998005272,-1.0294128495979749,-1.119330296309272,-2.8037520969074876,-1.9812879484110226,-2.1468563866588966,-3.022522361089443,-1.8134918846768642,-1.675604528342376,-0.2552670066448286,-0.4375812090171962,-1.7901295237921886,-0.9037030074155723,0.09025697062730842,-2.291659322429666,-1.6480667367228534,-1.5632553890708323,-3.285986438299574,-1.372252998189424,-2.895423894381395,-1.1526139302253,-1.1378343130980397,-2.8840847983159392,-2.048229768762326,-2.195727140156748,-3.0982690912769613,-0.9185231707064645,0.006952963511935195,-0.7101680302989735
1990,0.0,-1.7869780244995468,-1.4629174790589445,-0.3098602875665506,-0.4653740573573941,-1.9010968426475188,-2.824475235193688,-1.6689921980695885,-0.9201083910847387,0.05713882357275679,-2.2170751521078955,-1.6234330897813152,-1.401408109935403,-3.269530436984496,-0.9874150835011051,-2.8075968975524006,-1.1796187492222998,-0.7319779250244665,-2.9812150260788144,-2.062151349149758,-1.9440936925738583,-2.9193659931096363,-1.8398360478405493,-1.552535828420389,-0.3335267583675545,-0.5027870500402969,-1.7210384613568976,-0.9599683944762205,0.04556668313142609,-2.24159208686865,-1.669702921731698,-1.4845090225160789,-3.377564714714822,-1.0534663237314703,-2.882076511257935,-1.2890909327684312,-0.7691230468468007,-3.062197106663973,-2.145215457126767,-1.9950728450508564,-2.9969416442536954,-0.9351102487350431,0.09464581158079,-0.74079115118451
