year,ref,rcp45_0,rcp45_1,rcp45_2,rcp45_3,rcp45_4,rcp45_5,rcp45_6,rcp45_7,rcp45_8,rcp45_9,rcp45_10,rcp45_11,rcp45_12,rcp45_13,rcp45_14,rcp45_15,rcp45_16,rcp45_17,rcp45_18,rcp85_0,rcp85_1,rcp85_2,rcp85_3,rcp85_4,rcp85_5,rcp85_6,rcp85_7,rcp85_8,rcp85_9,rcp85_10,rcp85_11,rcp85_12,rcp85_13,rcp85_14,rcp85_15,rcp85_16,rcp85_17,rcp85_18,rcp85_19,rcp85_20,rcp85_21
1981,570.4115756172686,371.32921401499846,227.5129347953233,190.40103628651704,252.42044375967674,760.6953686670967,826.1978183186454,758.0905947414973,613.5824477694727,436.77577792339474,576.1223922937997,672.2392394588327,766.1756577112558,720.112007985449,418.51236875890265,775.7496304993824,732.7821206983025,940.1439342696461,515.8268420625747,658.7383664779949,371.32921401499846,227.5129347953233,190.40103628651704,252.42044375967674,760.6953688562086,826.1978173413816,758.0905947414973,613.5824488912608,436.775778986819,576.1223922889203,672.239239463712,766.1756564608469,720.112008253715,418.5123688141751,775.7496312195445,732.78212064248,940.1439337923998,515.8268416284295,658.7383672587342,443.68772635131523,627.8641324066749,561.4714154388442
1982,516.4272395186126,282.6838642014053,276.1664226785373,169.57276529997597,284.6686082874082,647.4522251169572,958.8847904576495,824.0530778217251,635.0006188255954,394.6045308027527,479.6860130783059,699.3812744034049,836.6220066947482,789.3121591427683,528.05802322025,787.0885585570958,620.5625266941605,737.9290858233541,503.99898734158876,632.0532881552156,282.6838642014053,276.1664226785373,169.57276529997597,284.6686082874082,647.4522253260815,958.8847907299621,824.0530778217251,635.0006192926157,394.6045301863884,479.68601381652337,699.3812736651873,836.6220067633425,789.3121600847043,528.0580224240742,787.0885591236716,620.5625260726391,737.9290859624077,503.9989878147825,632.0532885231537,398.3995436882526,562.9737510673011,478.41518409043556
1983,451.8627670891583,339.1653944134813,186.2191790201529,102.94827735018315,238.4363954245948,738.1977683898641,731.0171045409514,738.6100298675359,693.7723697335026,478.28968885943675,523.1639047672168,741.4192165437966,829.7970822597113,683.0424406340525,658.5490953860017,754.99631226509,788.3325141767893,720.7496978092056,713.8004314578391,846.8002373900866,339.1653944134813,186.2191790201529,102.94827735018315,238.4363954245948,738.1977698373626,731.0171048846364,738.6100298675359,693.7723704514508,478.28968834568775,523.1639054394019,741.4192158716113,829.7970836692189,683.0424402404147,658.5490943652537,754.9963116023391,788.3325128374856,720.7496969286194,713.8004308717026,846.8002365899257,271.58924827239696,490.6824927742599,512.2863628020648
1984,571.7746919980273,350.01844179331636,253.9806225027198,96.64777548307822,395.9687054314719,824.6275853280827,791.6578586531363,649.5769573832888,621.2553459164122,227.0150314339727,597.4673455963856,722.0889438544214,698.5966834089218,730.5118429283546,384.8259751454057,765.4207976670942,516.858956774535,799.5503383564333,691.023818577363,612.7778265690366,350.01844179331636,253.9806225027198,96.64777548307822,395.9687054314719,824.6275863582662,791.6578584473776,649.5769573832888,621.2553463202871,227.015031019593,597.467345964905,722.088943485902,698.5966844287354,730.5118420713018,384.82597517529433,765.4207960507405,516.8589572693495,799.5503392048554,691.0238203024849,612.7778261382496,328.1300063911021,630.4655725734151,482.9429054048207
1985,529.9393482645975,370.808708992223,216.7301293878074,115.15667214433566,368.24485802861875,815.7545949476503,634.7287989342016,754.3732533053414,552.3259574407826,346.25937124158344,563.3703891212281,611.0954275933157,796.252341645598,586.1950741408226,476.42734458157963,736.1118902315739,736.848389993289,761.2873953337624,550.0390783025996,693.0682088322443,370.808708992223,216.7301293878074,115.15667214433566,368.24485802861875,815.7545951807034,634.7287987090657,754.3732533053414,552.325956448462,346.2593709790695,563.3703882240927,611.0954284904509,796.2523409133271,586.1950737508223,476.42734620758716,736.1118902135771,736.848391440817,761.2873963743708,550.039078735822,693.0682096159667,395.64817330660117,783.8471914766222,440.4439167462687
1986,546.1111182905734,449.4076455625239,237.16904166658048,111.76785731669132,268.89641847994204,820.9946495195206,675.8646645313556,727.1321222856436,726.2590554374314,224.03066122460012,546.7299875140462,703.0456869386147,809.6678713622778,491.62883581892254,490.3587992003035,871.8140283595372,640.1941467031494,817.073508093043,628.8767929526724,762.253403419461,449.4076455625239,237.16904166658048,111.76785731669132,268.89641847994204,820.9946497627853,675.864665182481,727.1321222856436,726.2590543761639,224.03066140623537,546.7299869755723,703.0456874770884,809.6678714078952,491.62883588595656,490.35879885969945,871.8140274976431,640.1941462892959,817.0735074900136,628.876792938039,762.2534024870687,452.8606852788445,764.0103914545327,433.9513016899498
1987,557.6001772563905,446.95713502323446,133.21426667411134,200.8183088253318,308.54482581985957,532.4528121123282,962.4232392370724,653.9295811336792,656.427093549566,539.2695870346529,674.907045536337,632.5672878287202,810.3897249800325,675.5485598724022,597.1899664909132,802.4505301256515,786.8813221484701,688.0247370114319,759.9352950855913,677.7728427949719,446.95713502323446,133.21426667411134,200.8183088253318,308.54482581985957,532.452811157356,962.4232398031378,653.9295811336792,656.4270935116292,539.269587103176,674.9070451832108,632.5672881818465,810.3897249041992,675.5485601611744,597.1899656471749,802.4505303966563,786.8813208302546,688.0247366304387,759.9352954040615,677.7728431643035,550.6706118471374,711.4400656461114,668.6549023715788
1988,556.8441831879318,279.4289629490793,196.73564316982296,165.26218934041145,348.69909060077697,667.1284060247461,974.5074396266346,656.6717578916715,730.0260451827581,640.3380856838306,541.9126593484399,623.0226179139535,812.8610390272805,702.9768163014511,450.5627759510241,657.3283985368222,742.61704139561,742.5395793765244,522.1281260974614,789.5715532403453,279.4289629490793,196.73564316982296,165.26218934041145,348.69909060077697,667.1284045179698,974.5074399376508,656.6717578916715,730.0260455944859,640.3380856987452,541.9126596137025,623.0226176486908,812.86103822843,702.9768176765803,450.56277518975867,657.3283990339719,742.6170412480345,742.5395781370173,522.128126249791,789.5715522927177,546.0269990234219,503.437048450399,791.4210991119782
1989,699.7174322791396,321.6410453512279,91.80932756599489,208.62853551443987,179.38025996312874,779.558949282127,793.716651314239,747.238142394268,698.6001053755708,630.7012157765055,582.3473362872583,698.5960357561851,739.7059061772331,668.6444606612155,538.1051467933529,781.0410759025715,790.4082407521414,724.4941584075871,725.9258587752657,627.6680250656282,321.6410453512279,91.80932756599489,208.62853551443987,179.38025996312874,779.5589496515495,793.7166511492807,747.238142394268,698.6001053351331,630.701215196577,582.3473360615693,698.5960359818738,739.705906025182,668.6444604226193,538.1051470586583,781.0410751786693,790.4082407492829,724.494158520376,725.9258591399625,627.6680240619479,580.904328139834,703.9367147378673,574.4744625951756
1990,600.4061691761016,384.35422790777216,315.391250548777,168.87676046619504,196.24413663256684,688.6430051079622,757.734839173193,848.7708711153657,766.4817021823874,410.3707932762651,521.0362972421484,650.188985353773,763.4274779932834,691.2722378762918,513.8969971045757,797.4143550661016,488.83036499122596,661.3690244842085,588.2662837476837,765.5127284544556,384.35422790777216,315.391250548777,168.87676046619504,196.24413663256684,688.6430055394371,757.7348378339078,848.7708711153657,766.481703069219,410.37079375367955,521.0362985149852,650.188984080936,763.4274784205626,691.2722373825645,513.8969981510946,797.4143546795709,488.8303657415501,661.3690251085839,588.2662841130638,765.5127291853086,523.9314819418402,903.3963847862907,331.09790725911654
