year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-0.7079223657548255,-0.13770959979740383,-9.014305344478203,-9.41552114994937,-2.788773429584637,-3.7626336119554367,-4.525551545086159,-3.0617217578520695,-4.009442122593725,-3.178439083080036,-1.8284390830800703,-1.9115697821682147,12.393597391084086,11.992381585612975,19.3270827001013,19.863354229989852,-3.422208080040548,-3.394244554204647,-1.0228159827760805,-1.7577703900709594
1982,0.0,-12.062937563323203,-10.90245124113477,4.628247847011153,4.428247847011107,7.854703014184395,7.164058263376262,16.149828394123574,16.72308067375883,-3.5334542806484137,-2.9565545845998145,2.0683497923400864,1.645421099290786,-2.4428767730496475,-2.2981959219858368,7.7176095491387855,7.5133542299898295,-9.921904128672736,-10.216129052684892,17.760162740628175,16.59982839412362
1983,0.0,-1.8562506332320368,-1.1857339159067806,7.6732326494427525,7.079919579533907,16.80504622593719,16.720345111448808,8.388734169199608,10.586910460992897,-2.8513874113475026,-2.172967958459992,-5.076311423505558,-4.464153368794314,13.634722011144902,13.95221549790125,-3.3764582098966116,-2.3092422160574984,0.12186486828773013,-0.5711442502533259,8.438582193515686,7.63128736068893
1984,0.0,0.8695852330293974,2.6404059017223744,-8.234974037487348,-8.759062183384003,-2.4021472897669582,-3.5036670466058695,7.467761524822663,8.852563956433642,-4.470840298885548,-3.869624493414392,2.603019883485274,3.1714216058763895,-12.35772606382983,-12.81354546605877,-10.644700481256336,-9.92859105876397,1.9309834093211862,2.0744484549138633,-17.19371263931106,-17.775526215805485
1985,0.0,-3.6793509371834148,-2.573575861195536,-7.936037867274592,-8.60093148429587,-4.627071301925014,-5.515825101317148,-1.9778311803444808,-0.4404451621073804,1.9662417679837745,2.6793116767983634,-12.73953330800407,-12.477527228976726,11.338886144883475,11.356059397163108,-3.3237278368794705,-2.9699284447821697,-4.032542426545092,-4.479350937183369,-4.382694402228992,-4.628895010131714
1986,0.0,1.9765761144883527,2.9741445035460856,5.473232649442764,5.134630825734519,4.434326874366775,3.2258162360689084,-9.191205040526881,-8.021600177305004,0.37839982269503025,0.8750563576494415,3.069585233029386,3.6118344731509637,-3.0252475937183476,-2.6945485055724703,2.766241767983786,3.4750563576494073,-1.9067065602836806,-2.1085302684903695,13.611834473150964,12.827639944275575
1987,0.0,13.043445415400186,13.430679457953374,2.0878223150962185,1.816089792299863,-0.27813513171224713,-0.49454850557248164,-14.506098657548137,-13.799107776089159,5.647634335649116,6.37272420031843,-1.6990432467313212,-1.4039709979736585,11.238582193515697,10.819737208713263,0.5747524062816751,1.2805274822694628,9.169889184397164,8.966849670719341,-4.816129052684914,-5.774183763931092
1988,0.0,-5.794244554204681,-4.851387411347503,-3.7314785967578814,-4.086645770010136,10.373536600810496,10.169889184397164,6.666545719351575,8.854387664640285,0.5005882725430411,0.7060593971631306,-7.7437886271529806,-7.225855496453903,-1.068408687943247,-1.1304147669706026,3.578399822695019,3.879311676798352,-14.06536917426547,-14.46476127152988,-1.4199284447821583,-2.2125781013166375
1989,0.0,2.5966369047619082,3.089646023302919,-2.9158251013171252,-3.480566742654503,-4.284822061803482,-4.447739994934182,-1.4234238855116814,0.17536030901720778,-5.408834219858193,-4.637405648429592,-2.7963722137791365,-2.1504755572441923,-12.740749113475204,-13.050779508611981,-6.090901089159104,-5.01856066362717,3.710314716312041,2.8665457193515635,-4.825247593718359,-5.636797745694025
1990,0.0,-7.691508991894636,-6.712785587639303,-6.5006275329280925,-7.090901089159104,5.825816236068874,4.51274632725432,4.127335992907774,5.445269123606863,2.21365818135763,2.8142660840932194,10.533339937038647,11.051685030395163,-11.99789197061807,-11.856250633232037,-5.791812943262414,-5.146220238095225,-16.717648809523837,-16.797284067882458,-5.175399569402259,-5.676919326241148
