sim_code,sdev,crmsd,ccoef
Référence,1.91,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,2.88,1.6,0.85
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,2.91,1.64,0.85
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,2.84,1.55,0.86
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,2.78,1.53,0.85
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,2.06,1.37,0.76
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,2.0,1.37,0.76
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,2.93,1.57,0.87
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,2.89,1.57,0.86
CRCM5_AFR-44_CCCma-CanESM2_rcp45,3.29,1.84,0.88
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.01,1.58,0.89
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,3.38,1.91,0.88
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,3.42,1.92,0.89
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,3.36,1.89,0.88
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,3.57,1.99,0.91
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.57,1.99,0.91
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,3.55,1.98,0.91
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,2.52,1.37,0.84
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,2.56,1.36,0.85
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,2.26,1.12,0.87
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,2.25,1.15,0.86
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,2.3,1.15,0.87
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,1.91,1.26,0.78
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,1.88,1.41,0.73
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,1.9,1.41,0.73
RCA4_AFR-44_CCCma-CanESM2_rcp45,4.06,2.53,0.89
RCA4_AFR-44_CCCma-CanESM2_rcp85,4.05,2.55,0.87
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,3.55,2.14,0.86
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,3.57,2.19,0.85
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,3.23,1.87,0.86
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,3.25,1.91,0.85
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,3.4,1.98,0.87
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,3.43,1.98,0.88
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,3.36,1.94,0.87
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,3.79,2.24,0.9
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,3.92,2.37,0.9
RCA4_AFR-44_MIROC-MIROC5_rcp26,2.51,1.41,0.83
RCA4_AFR-44_MIROC-MIROC5_rcp45,2.58,1.46,0.83
RCA4_AFR-44_MIROC-MIROC5_rcp85,2.52,1.45,0.82
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,3.14,1.75,0.87
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,3.1,1.79,0.85
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,3.14,1.78,0.86
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,3.51,2.03,0.88
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,3.49,1.98,0.89
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,3.47,1.97,0.89
RCA4_AFR-44_NCC-NorESM1-M_rcp26,3.26,1.83,0.88
RCA4_AFR-44_NCC-NorESM1-M_rcp45,3.32,1.87,0.88
RCA4_AFR-44_NCC-NorESM1-M_rcp85,3.38,1.94,0.88
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,3.74,2.2,0.89
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,3.81,2.35,0.87
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,3.54,2.0,0.9
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,3.45,1.95,0.89
REMO2009_AFR-44_MIROC-MIROC5_rcp26,3.02,1.56,0.89
REMO2009_AFR-44_MIROC-MIROC5_rcp85,2.93,1.54,0.88
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,2.81,1.46,0.88
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,2.7,1.44,0.86
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,3.77,2.15,0.92
