sim_code,sdev,crmsd,ccoef
Référence,1.91,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,1.99,0.91,0.89
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,1.97,0.95,0.88
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,2.04,0.97,0.88
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,2.06,1.0,0.88
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,2.04,0.89,0.9
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,2.05,0.94,0.89
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,2.01,0.92,0.89
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,2.04,0.97,0.88
CRCM5_AFR-44_CCCma-CanESM2_rcp45,1.87,0.76,0.92
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,1.86,0.76,0.92
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,2.02,0.95,0.88
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,2.05,0.93,0.89
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,2.06,0.98,0.88
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,2.0,0.9,0.9
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,2.03,0.9,0.9
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,2.05,0.98,0.88
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,1.99,0.93,0.89
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,2.01,0.93,0.89
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,1.93,0.9,0.89
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,1.93,0.87,0.9
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,1.96,0.91,0.89
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,2.0,0.92,0.89
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,2.0,0.98,0.88
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,2.02,1.05,0.86
RCA4_AFR-44_CCCma-CanESM2_rcp45,1.88,0.85,0.9
RCA4_AFR-44_CCCma-CanESM2_rcp85,1.87,0.96,0.87
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,1.87,0.85,0.9
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,1.81,0.91,0.88
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,1.72,0.92,0.88
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,1.64,1.02,0.85
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,1.91,0.9,0.89
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,1.88,0.88,0.89
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,1.83,0.93,0.88
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,1.81,0.84,0.9
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,1.74,0.92,0.88
RCA4_AFR-44_MIROC-MIROC5_rcp26,1.92,0.93,0.88
RCA4_AFR-44_MIROC-MIROC5_rcp45,1.85,0.95,0.87
RCA4_AFR-44_MIROC-MIROC5_rcp85,1.85,0.97,0.87
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,1.92,0.84,0.9
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,1.89,0.93,0.88
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,1.8,0.95,0.87
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,1.91,0.87,0.9
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,1.87,0.88,0.89
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,1.82,0.92,0.88
RCA4_AFR-44_NCC-NorESM1-M_rcp26,1.88,0.8,0.91
RCA4_AFR-44_NCC-NorESM1-M_rcp45,1.86,0.85,0.9
RCA4_AFR-44_NCC-NorESM1-M_rcp85,1.8,0.88,0.89
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,1.94,0.82,0.91
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,1.97,0.94,0.88
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,2.02,0.89,0.9
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,2.07,0.96,0.89
REMO2009_AFR-44_MIROC-MIROC5_rcp26,2.0,0.92,0.89
REMO2009_AFR-44_MIROC-MIROC5_rcp85,2.03,0.95,0.89
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,2.02,0.85,0.91
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,2.05,0.94,0.89
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,2.0,0.83,0.91
