stn,idx,rcp,hor,stat,centile,val
era5_land,wx_days_above,ref,1991-2020,none,-1,19.85959
era5_land,wx_days_above,rcp26,1991-2020,mean,-1,18.617218
era5_land,wx_days_above,rcp26,2021-2050,mean,-1,19.015557
era5_land,wx_days_above,rcp26,2051-2080,mean,-1,18.321162
era5_land,wx_days_above,rcp26,1991-2020,min,-1,17.93085
era5_land,wx_days_above,rcp26,2021-2050,min,-1,15.935009
era5_land,wx_days_above,rcp26,2051-2080,min,-1,15.538361
era5_land,wx_days_above,rcp26,1991-2020,max,-1,19.116698
era5_land,wx_days_above,rcp26,2021-2050,max,-1,21.931347
era5_land,wx_days_above,rcp26,2051-2080,max,-1,21.257045
era5_land,wx_days_above,rcp26,1991-2020,centile,1,17.935156
era5_land,wx_days_above,rcp26,2021-2050,centile,1,16.01454
era5_land,wx_days_above,rcp26,2051-2080,centile,1,15.668298
era5_land,wx_days_above,rcp26,1991-2020,centile,10,17.980112
era5_land,wx_days_above,rcp26,2021-2050,centile,10,16.873942
era5_land,wx_days_above,rcp26,2051-2080,centile,10,16.6218
era5_land,wx_days_above,rcp26,1991-2020,centile,50,18.718808
era5_land,wx_days_above,rcp26,2021-2050,centile,50,18.988579
era5_land,wx_days_above,rcp26,2051-2080,centile,50,18.596462
era5_land,wx_days_above,rcp26,1991-2020,centile,90,18.995369
era5_land,wx_days_above,rcp26,2021-2050,centile,90,20.884295
era5_land,wx_days_above,rcp26,2051-2080,centile,90,19.834786
era5_land,wx_days_above,rcp26,1991-2020,centile,99,19.103074
era5_land,wx_days_above,rcp26,2021-2050,centile,99,21.835786
era5_land,wx_days_above,rcp26,2051-2080,centile,99,21.088509
era5_land,wx_days_above,rcp45,1991-2020,mean,-1,19.05892
era5_land,wx_days_above,rcp45,2021-2050,mean,-1,19.303209
era5_land,wx_days_above,rcp45,2051-2080,mean,-1,20.390767
era5_land,wx_days_above,rcp45,1991-2020,min,-1,17.063377
era5_land,wx_days_above,rcp45,2021-2050,min,-1,16.013035
era5_land,wx_days_above,rcp45,2051-2080,min,-1,16.481254
era5_land,wx_days_above,rcp45,1991-2020,max,-1,20.055493
era5_land,wx_days_above,rcp45,2021-2050,max,-1,22.718187
era5_land,wx_days_above,rcp45,2051-2080,max,-1,23.044382
era5_land,wx_days_above,rcp45,1991-2020,centile,1,17.211308
era5_land,wx_days_above,rcp45,2021-2050,centile,1,16.305583
era5_land,wx_days_above,rcp45,2051-2080,centile,1,16.679179
era5_land,wx_days_above,rcp45,1991-2020,centile,10,18.272688
era5_land,wx_days_above,rcp45,2021-2050,centile,10,17.813433
era5_land,wx_days_above,rcp45,2051-2080,centile,10,18.927716
