year,ref,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,98.47671901362602,74.93355270137101,79.92002424848548,85.6061382859183,82.1849097328057,75.57817559497198,85.72154278304151,98.59767770185158,103.61527548147963,92.84465571953982,78.83310105533775,86.84215469605944,75.40804009209212,75.64645853647484,79.82357559226833,99.31323826349232,86.90426480478251,84.34706304328806,104.79189858067048,77.74879276874972,94.71220576453598
1982,88.46386867586789,91.58515626661509,106.94627927449882,76.24576386161782,87.67124447849068,105.77037417041822,75.04613343835301,71.80066385277554,90.45758441397582,83.38006071378477,74.1469663822924,76.32829289367511,92.27739799072327,100.60355689449175,88.54807614943819,71.1907141759477,81.92542148725877,107.59761029664602,90.3662353125041,73.88915704635967,82.46243419263529
1983,83.23398088936311,98.33141210434998,85.13555820531458,86.23026848909404,107.35491950637757,114.20551497980291,90.98967795569357,99.647944236251,74.91047197583933,96.05955567485027,87.58317397569826,86.59940278891015,97.66252571788104,111.94809790960657,105.28719645140018,102.46733761618592,92.59868041032134,87.63377570589746,75.09420640808528,87.47941650332659,93.22358899310096
1984,88.32767037639218,77.24498686139475,99.73026288006115,87.76594159828144,91.2401641556924,63.208942870679614,88.59957490220874,77.90169195384011,85.18380589937223,62.66643263065698,87.89685761136967,89.0115556391451,79.89534417763463,62.828047557554086,91.2186126585457,76.24808955117524,88.2687101297841,101.51067539153433,85.50439622862599,86.2955972715931,63.18316161790811
1985,91.23030218268191,82.40616222533009,84.70680592777562,77.69938379081898,83.28777978473298,86.74548613762401,65.20573117141637,94.99369451681076,91.00303371091253,81.36994809015887,79.68696734453555,78.8169979242912,81.47122877003561,86.6859444571608,82.54418909380371,94.03734038376757,66.80712389710595,84.45272611477401,92.43093736661376,79.31985778305715,82.5827124560509
1986,91.77943132725866,111.98985300886689,67.21571330635807,89.71712437892809,93.06285385431028,77.01725738843516,98.66754788786164,75.86716166113372,101.93114360453598,99.67896260680561,87.76093522717758,91.64787122158783,111.35049133595759,77.87770787829965,93.06165206875468,74.53346444276697,98.58344006971181,70.09247599665936,101.91441296425394,88.81330144216174,98.87611232653272
1987,98.58463190892574,88.61999242561886,75.22100865616713,102.23371741719681,80.54791940490504,98.83309245758358,85.14604523143427,104.99213815039609,82.90865241985432,73.40331286937177,91.70157826829251,104.42251557015938,88.13914654378918,95.25437132485632,78.44699568755142,104.13896928906802,84.94368697654936,75.93955498110581,82.88653965433537,89.75699787177768,73.47625094031604
1988,90.24090378494495,78.17390614346778,87.65742388519652,86.62085054060407,94.7155550571667,81.71716735953622,76.18161132760743,97.9661705878847,98.27872816505632,91.35715999073389,68.85701127730779,87.71795139837417,77.19599850491322,82.35095540576687,92.11631776075366,97.24968079190594,77.69680955918335,89.68126816238828,98.49165296478604,69.41416858457619,90.70375194592174
1989,103.18517942473363,85.23177793247726,78.12651354510199,94.22291234380343,78.64910494718234,91.49494102553177,86.7254965387657,81.87599035259308,85.76781049403742,74.4006332634442,99.29731704401485,95.80058308592557,83.9593790365829,91.18485143662026,78.9410376604393,80.92659539313406,86.49931618870876,80.51777900064408,85.92222191286324,97.37670561635866,73.08449485839456
1990,81.44571748209066,90.78132610572126,99.00994484876934,96.09053765752078,97.20354501302319,91.50009227641367,109.08495778803159,67.02187062991696,88.28492264598815,86.85918943860283,87.9734157931186,95.30146713213563,90.06911098260039,91.00750154726246,94.64108069903679,65.81446163483241,110.27356645889093,101.43676181530894,88.97708312284547,84.56755514988717,87.16732091264275
