day,mean,min,max,var
1,10.505107470536121,7.108492216268529,13.500829323326865,evspsblpot
2,10.614110590490112,7.823574811859016,14.97984708571041,evspsblpot
3,10.851312677194082,7.9386550110467615,15.756201253635584,evspsblpot
4,10.839827337125968,6.598065234108844,15.101954654706708,evspsblpot
5,11.075475883371233,7.004887087430045,14.455100046423443,evspsblpot
6,11.070253066005275,8.078534962787037,15.268337447803438,evspsblpot
7,10.773835481341758,7.3241007358398065,14.977245363336284,evspsblpot
8,10.846454893904708,7.515730915280179,15.216260123245767,evspsblpot
9,10.960869210903793,6.7434752034760725,14.930242222425708,evspsblpot
10,10.323611104066527,7.049823973987856,14.627242127393766,evspsblpot
11,10.515657192314746,6.5204019027955304,14.69042863845454,evspsblpot
12,10.889731790248796,7.675868220077911,14.183547460748025,evspsblpot
13,11.04013063146461,7.4762093912171315,14.932963820408013,evspsblpot
14,11.172551335532171,7.103555568933861,14.846964322119812,evspsblpot
15,11.08520601537886,7.338610788537275,14.42744858683749,evspsblpot
16,10.987166416224818,6.9296150965252075,15.001752045566391,evspsblpot
17,10.864558593881734,7.374686392299737,16.694773552445845,evspsblpot
18,11.025568842204624,7.400546928473872,15.39959660604305,evspsblpot
19,11.404062025083457,7.89610324182613,14.508946532680543,evspsblpot
20,11.329461348682397,7.5677682706376315,17.442784291043758,evspsblpot
21,11.22448628377156,8.05112593829201,16.46297245793108,evspsblpot
22,10.985070307460001,7.870206698017406,14.587487201434943,evspsblpot
23,10.715475217126656,7.57053271836077,14.804575342724041,evspsblpot
24,10.420710638028067,7.286992047485309,14.078361893984107,evspsblpot
25,10.644195040208128,6.025548159579959,13.852305898047032,evspsblpot
26,10.952945503847138,7.796869382197944,13.975439893109808,evspsblpot
27,11.183499506126974,7.803433761635995,14.236130783924546,evspsblpot
28,11.449786644650432,8.220547620087634,14.379240157888406,evspsblpot
29,11.49011167669702,7.368317791323752,15.742551549228416,evspsblpot
30,11.685721601571043,8.460984158848904,16.09536114391343,evspsblpot
31,11.402693195748737,8.064674515248335,15.310142216333716,evspsblpot
32,11.366871171232505,7.700029017932408,14.277339453212893,evspsblpot
33,11.185575551997772,8.370665354997028,15.063855431926395,evspsblpot
34,11.299082167709665,7.436004772368946,15.092937022687149,evspsblpot
35,11.663642225900281,8.011052941492855,15.146346042077848,evspsblpot
36,12.036211726898596,7.070714140317238,19.16651955452211,evspsblpot
37,11.875802907264339,7.642174057196785,18.12987920042034,evspsblpot
38,11.2406850737002,7.718870908539365,15.765589196451046,evspsblpot
39,10.935070018187965,7.176130438388418,15.593829784759738,evspsblpot
40,11.432304921836666,7.7958354899824105,16.86490540279671,evspsblpot
41,11.362341776333631,7.68907993950408,17.327774739942377,evspsblpot
42,11.323486457492399,7.59225709378571,15.89112004004409,evspsblpot
43,11.114681635138485,7.5886879186848635,15.658277024323512,evspsblpot
44,11.401489214446373,8.184618279115238,14.744740412320333,evspsblpot
45,11.297315632605736,8.43949139043749,15.380405301032553,evspsblpot
46,11.453176352785533,8.551782315961887,14.985624073834883,evspsblpot
47,11.736280979567615,8.698603124421588,17.587443983965308,evspsblpot
48,11.719734471012021,8.63451989185862,16.48536375032101,evspsblpot
49,11.502863639640848,8.49400458667264,16.878012376965696,evspsblpot
50,12.039909882480591,7.893100266516695,17.21747859663607,evspsblpot
51,12.194255326518476,9.314805643275243,17.700082927302887,evspsblpot
52,12.492980065618797,8.645643236375943,16.611005554113486,evspsblpot
53,12.16252386594017,8.218624065343494,16.970588216844412,evspsblpot
54,12.020162678394227,8.317675189846913,18.191843175050657,evspsblpot
55,11.580649542280655,8.071280625955612,15.181876141219373,evspsblpot
56,11.29765690505313,7.678820680175532,15.56298297114421,evspsblpot
57,11.30756356480714,8.34634919940343,16.926948945038752,evspsblpot
58,11.473469128806952,8.339129739863473,16.1628070420293,evspsblpot
59,11.74164204043706,8.478029256061665,15.65957136999314,evspsblpot
60,11.812793270158839,8.745023988502941,15.433729489208027,evspsblpot
61,11.737806709181728,8.577254586675016,14.149491895382761,evspsblpot
62,11.753481515007826,9.156976740756589,17.286656297195975,evspsblpot
63,11.603605445054091,8.748497198670949,15.71160105560094,evspsblpot
64,11.404008023522865,8.919846624866175,14.858079739070869,evspsblpot
65,11.642553706507512,9.381085741184028,14.0656248018743,evspsblpot
66,11.868486656173628,9.093492043081081,15.498431064182434,evspsblpot
67,11.727935964630426,9.17391804344387,15.397772033268614,evspsblpot
68,11.635985361101865,9.592101464360727,16.450278500901625,evspsblpot
69,11.758336233583183,9.501976437141572,16.770867090807016,evspsblpot
70,11.781965780725114,9.285996226277048,17.983724825525755,evspsblpot
71,11.858794361082058,9.021953133302365,18.188993589789778,evspsblpot
72,11.924895499142593,9.400944673232141,17.4070761194411,evspsblpot
73,12.143531097605706,9.76194821190769,15.995873406321438,evspsblpot
74,12.321459326001165,9.894072312547893,15.568411912652387,evspsblpot
75,12.162136730352922,9.997779301390153,16.45023554702851,evspsblpot
76,12.314427955327863,10.32353870254286,15.570099108517077,evspsblpot
77,12.289163620961947,9.560412983532284,15.194935009952768,evspsblpot
78,12.243489515322278,10.233434480335614,14.383811693044652,evspsblpot
79,12.199336268390052,10.483265735947759,14.916296299070417,evspsblpot
80,12.220278084151175,8.722585942528276,16.475644060178762,evspsblpot
81,12.111219077383778,9.854150033441226,15.588763543847852,evspsblpot
82,12.197369589614862,9.98156422549941,18.543702944116355,evspsblpot
83,12.205560784722786,9.893258450058195,19.10116637567223,evspsblpot
84,12.338144881555921,10.359744828443182,15.248366461613381,evspsblpot
85,12.456524176367598,9.926587727612585,17.095533670317007,evspsblpot
86,12.332592865687538,9.804456162004426,15.324231628134378,evspsblpot
87,12.287587522203438,10.17756755669173,15.526833404137351,evspsblpot
88,12.65196293718167,9.989792369593376,18.79759453690326,evspsblpot
89,12.656924329248756,10.538409874013258,18.257382582472072,evspsblpot
90,12.259430252566757,10.538124736430529,16.501329351309924,evspsblpot
91,12.348178581906184,10.400913682851652,16.030017018739333,evspsblpot
92,12.380764637063036,9.882878673587697,17.342869141708505,evspsblpot
93,12.552505265113668,10.379261119951996,17.941476241816172,evspsblpot
94,12.252844232477543,10.15776771200179,18.24580266827256,evspsblpot
95,12.013693936864737,10.10477248722242,16.82267173288369,evspsblpot
96,11.6530543574886,9.749385753190772,15.148180135425031,evspsblpot
97,11.800743026513983,10.414460498934908,14.256206200562826,evspsblpot
98,11.583168005233908,9.461410892630074,13.694069288513301,evspsblpot
99,11.609004314777687,8.211744906550479,14.419290869889519,evspsblpot
100,12.03354859548821,9.638991395330796,14.259753217046173,evspsblpot
101,11.904423521690896,8.991511610607326,14.35213468469388,evspsblpot
102,11.97821099246247,10.237912820445207,13.97693132721305,evspsblpot
103,12.043170950760052,9.845110774242961,14.206348485360797,evspsblpot
104,12.253260875590751,10.206823392309278,14.476747037907618,evspsblpot
105,12.48220376313243,10.302100455163258,17.44656584928356,evspsblpot
