stn,var,rcp,hor,stat,centile,val
era5_land,pr,ref,1981-2010,none,-1,2271.746192
era5_land,pr,rcp45,1981-2010,mean,-1,2203.59358
era5_land,pr,rcp45,2021-2050,mean,-1,2260.362628
era5_land,pr,rcp45,2051-2080,mean,-1,2168.030705
era5_land,pr,rcp45,1981-2010,min,-1,1210.385166
era5_land,pr,rcp45,2021-2050,min,-1,1229.049894
era5_land,pr,rcp45,2051-2080,min,-1,952.369175
era5_land,pr,rcp45,1981-2010,max,-1,3470.110079
era5_land,pr,rcp45,2021-2050,max,-1,3774.183018
era5_land,pr,rcp45,2051-2080,max,-1,3677.281799
era5_land,pr,rcp45,1981-2010,centile,1,1256.436148
era5_land,pr,rcp45,2021-2050,centile,1,1273.846952
era5_land,pr,rcp45,2051-2080,centile,1,1019.896756
era5_land,pr,rcp45,1981-2010,centile,10,1559.966949
era5_land,pr,rcp45,2021-2050,centile,10,1581.130513
era5_land,pr,rcp45,2051-2080,centile,10,1403.333832
era5_land,pr,rcp45,1981-2010,centile,50,2144.583515
era5_land,pr,rcp45,2021-2050,centile,50,2177.960866
era5_land,pr,rcp45,2051-2080,centile,50,2146.25407
era5_land,pr,rcp45,1981-2010,centile,90,2915.224641
era5_land,pr,rcp45,2021-2050,centile,90,2980.018408
era5_land,pr,rcp45,2051-2080,centile,90,2964.569514
era5_land,pr,rcp45,1981-2010,centile,99,3401.8519
era5_land,pr,rcp45,2021-2050,centile,99,3689.141784
era5_land,pr,rcp45,2051-2080,centile,99,3576.136482
era5_land,pr,rcp85,1981-2010,mean,-1,2190.013694
era5_land,pr,rcp85,2021-2050,mean,-1,2220.192617
era5_land,pr,rcp85,2051-2080,mean,-1,2110.796499
era5_land,pr,rcp85,1981-2010,min,-1,1177.627079
era5_land,pr,rcp85,2021-2050,min,-1,1102.119583
era5_land,pr,rcp85,2051-2080,min,-1,811.612201
era5_land,pr,rcp85,1981-2010,max,-1,3432.078462
era5_land,pr,rcp85,2021-2050,max,-1,3601.063427
era5_land,pr,rcp85,2051-2080,max,-1,3914.103172
era5_land,pr,rcp85,1981-2010,centile,1,1221.768077
era5_land,pr,rcp85,2021-2050,centile,1,1153.706669
era5_land,pr,rcp85,2051-2080,centile,1,865.20216
era5_land,pr,rcp85,1981-2010,centile,10,1534.114525
era5_land,pr,rcp85,2021-2050,centile,10,1489.64537
era5_land,pr,rcp85,2051-2080,centile,10,1271.333117
era5_land,pr,rcp85,1981-2010,centile,50,2157.263152
era5_land,pr,rcp85,2021-2050,centile,50,2163.095495
era5_land,pr,rcp85,2051-2080,centile,50,2060.118298
era5_land,pr,rcp85,1981-2010,centile,90,2850.129725
era5_land,pr,rcp85,2021-2050,centile,90,2986.546904
era5_land,pr,rcp85,2051-2080,centile,90,2973.65504
era5_land,pr,rcp85,1981-2010,centile,99,3352.394048
era5_land,pr,rcp85,2021-2050,centile,99,3533.999093
era5_land,pr,rcp85,2051-2080,centile,99,3785.926404
era5_land,pr,rcpxx,1981-2010,mean,-1,2196.645731
era5_land,pr,rcpxx,2021-2050,mean,-1,2239.810529
era5_land,pr,rcpxx,2051-2080,mean,-1,2138.748088
era5_land,pr,rcpxx,1981-2010,min,-1,1121.773981
era5_land,pr,rcpxx,2021-2050,min,-1,997.909493
era5_land,pr,rcpxx,2051-2080,min,-1,734.865027
era5_land,pr,rcpxx,1981-2010,max,-1,3581.138896
era5_land,pr,rcpxx,2021-2050,max,-1,4030.67828
era5_land,pr,rcpxx,2051-2080,max,-1,4199.567107
era5_land,pr,rcpxx,1981-2010,centile,1,1178.001711
era5_land,pr,rcpxx,2021-2050,centile,1,1091.10208
era5_land,pr,rcpxx,2051-2080,centile,1,823.477632
era5_land,pr,rcpxx,1981-2010,centile,10,1521.339402
era5_land,pr,rcpxx,2021-2050,centile,10,1514.963044
era5_land,pr,rcpxx,2051-2080,centile,10,1298.842729
era5_land,pr,rcpxx,1981-2010,centile,50,2156.916852
era5_land,pr,rcpxx,2021-2050,centile,50,2161.326045
era5_land,pr,rcpxx,2051-2080,centile,50,2105.406749
era5_land,pr,rcpxx,1981-2010,centile,90,2924.938712
era5_land,pr,rcpxx,2021-2050,centile,90,3032.911909
era5_land,pr,rcpxx,2051-2080,centile,90,2982.640492
era5_land,pr,rcpxx,1981-2010,centile,99,3492.758652
era5_land,pr,rcpxx,2021-2050,centile,99,3871.246364
era5_land,pr,rcpxx,2051-2080,centile,99,3935.862119
