,stn,var,rcp,hor,stat,centile,val
0,era5_land,evspsbl,ref,1981-2010,none,-1,550.355724073425
1,era5_land,evspsbl,rcp45,1981-2010,mean,-1,527.235084309863
2,era5_land,evspsbl,rcp45,2021-2050,mean,-1,522.484056932968
3,era5_land,evspsbl,rcp45,2051-2080,mean,-1,504.445805109863
4,era5_land,evspsbl,rcp45,1981-2010,min,-1,346.724133985297
5,era5_land,evspsbl,rcp45,2021-2050,min,-1,348.458779268402
6,era5_land,evspsbl,rcp45,2051-2080,min,-1,278.639877942466
7,era5_land,evspsbl,rcp45,1981-2010,max,-1,679.112427319635
8,era5_land,evspsbl,rcp45,2021-2050,max,-1,667.536078021461
9,era5_land,evspsbl,rcp45,2051-2080,max,-1,663.944740038082
10,era5_land,evspsbl,rcp45,1981-2010,centile,99,672.266416370959
11,era5_land,evspsbl,rcp45,2021-2050,centile,99,660.860085020822
12,era5_land,evspsbl,rcp45,2051-2080,centile,99,656.129834214977
13,era5_land,evspsbl,rcp45,1981-2010,centile,90,617.15171512274
14,era5_land,evspsbl,rcp45,2021-2050,centile,90,612.127197109589
15,era5_land,evspsbl,rcp45,2051-2080,centile,90,604.082381061187
16,era5_land,evspsbl,rcp45,1981-2010,centile,50,531.021104039361
17,era5_land,evspsbl,rcp45,2021-2050,centile,50,527.799466208311
18,era5_land,evspsbl,rcp45,2051-2080,centile,50,514.957333315342
19,era5_land,evspsbl,rcp45,1981-2010,centile,10,435.871930611416
20,era5_land,evspsbl,rcp45,2021-2050,centile,10,424.469570776895
21,era5_land,evspsbl,rcp45,2051-2080,centile,10,390.845987275251
22,era5_land,evspsbl,rcp45,1981-2010,centile,1,358.197429562192
23,era5_land,evspsbl,rcp45,2021-2050,centile,1,357.864499074521
24,era5_land,evspsbl,rcp45,2051-2080,centile,1,292.9330853779
25,era5_land,evspsbl,rcp85,1981-2010,mean,-1,528.154363762922
26,era5_land,evspsbl,rcp85,2021-2050,mean,-1,519.039310510959
27,era5_land,evspsbl,rcp85,2051-2080,mean,-1,487.051857013425
28,era5_land,evspsbl,rcp85,1981-2010,min,-1,340.403887751872
29,era5_land,evspsbl,rcp85,2021-2050,min,-1,309.837546261644
30,era5_land,evspsbl,rcp85,2051-2080,min,-1,234.885209354338
31,era5_land,evspsbl,rcp85,1981-2010,max,-1,683.122492384384
32,era5_land,evspsbl,rcp85,2021-2050,max,-1,685.588009710502
33,era5_land,evspsbl,rcp85,2051-2080,max,-1,676.759140106484
34,era5_land,evspsbl,rcp85,1981-2010,centile,99,676.925177466849
35,era5_land,evspsbl,rcp85,2021-2050,centile,99,675.78097945032
36,era5_land,evspsbl,rcp85,2051-2080,centile,99,669.992449945754
37,era5_land,evspsbl,rcp85,1981-2010,centile,90,623.174104537717
38,era5_land,evspsbl,rcp85,2021-2050,centile,90,619.82443456
39,era5_land,evspsbl,rcp85,2051-2080,centile,90,620.792436213973
40,era5_land,evspsbl,rcp85,1981-2010,centile,50,533.273269085754
41,era5_land,evspsbl,rcp85,2021-2050,centile,50,529.210562239543
42,era5_land,evspsbl,rcp85,2051-2080,centile,50,502.259386638265
43,era5_land,evspsbl,rcp85,1981-2010,centile,10,431.332400416438
44,era5_land,evspsbl,rcp85,2021-2050,centile,10,404.78096962621
45,era5_land,evspsbl,rcp85,2051-2080,centile,10,334.740353823744
46,era5_land,evspsbl,rcp85,1981-2010,centile,1,352.134236478082
47,era5_land,evspsbl,rcp85,2021-2050,centile,1,322.556192106119
48,era5_land,evspsbl,rcp85,2051-2080,centile,1,246.013327934977
49,era5_land,evspsbl,rcpxx,1981-2010,mean,-1,527.728356211507
50,era5_land,evspsbl,rcpxx,2021-2050,mean,-1,520.635656413881
51,era5_land,evspsbl,rcpxx,2051-2080,mean,-1,495.112467106941
52,era5_land,evspsbl,rcpxx,1981-2010,min,-1,330.991509095616
53,era5_land,evspsbl,rcpxx,2021-2050,min,-1,284.904914833881
54,era5_land,evspsbl,rcpxx,2051-2080,min,-1,214.245015065388
55,era5_land,evspsbl,rcpxx,1981-2010,max,-1,693.904188159452
56,era5_land,evspsbl,rcpxx,2021-2050,max,-1,707.266220713151
57,era5_land,evspsbl,rcpxx,2051-2080,max,-1,699.164440712694
58,era5_land,evspsbl,rcpxx,1981-2010,centile,99,685.720232976986
59,era5_land,evspsbl,rcpxx,2021-2050,centile,99,688.63219177032
60,era5_land,evspsbl,rcpxx,2051-2080,centile,99,683.920251138995
61,era5_land,evspsbl,rcpxx,1981-2010,centile,90,624.435407877078
62,era5_land,evspsbl,rcpxx,2021-2050,centile,90,620.132477081644
63,era5_land,evspsbl,rcpxx,2051-2080,centile,90,614.589599792694
64,era5_land,evspsbl,rcpxx,1981-2010,centile,50,532.807733326575
65,era5_land,evspsbl,rcpxx,2021-2050,centile,50,529.027712241644
66,era5_land,evspsbl,rcpxx,2051-2080,centile,50,512.817080349589
67,era5_land,evspsbl,rcpxx,1981-2010,centile,10,430.69445672621
68,era5_land,evspsbl,rcpxx,2021-2050,centile,10,410.749824304749
69,era5_land,evspsbl,rcpxx,2051-2080,centile,10,349.916750536073
70,era5_land,evspsbl,rcpxx,1981-2010,centile,1,340.601521499269
71,era5_land,evspsbl,rcpxx,2021-2050,centile,1,311.050934136073
72,era5_land,evspsbl,rcpxx,2051-2080,centile,1,236.320543325936
