sim_code,sdev,crmsd,ccoef
Référence,98.5,0.0,1.0
RCA4_AFR-44_CCCma-CanESM2_rcp45,27.0,76.38,0.86
RCA4_AFR-44_CCCma-CanESM2_rcp85,27.6,76.06,0.86
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,29.2,72.98,0.91
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,29.3,72.91,0.91
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,31.8,75.6,0.8
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,32.6,74.84,0.8
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,32.0,71.25,0.9
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,31.3,71.66,0.9
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,31.6,71.67,0.89
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,27.4,79.52,0.77
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,26.6,79.92,0.77
RCA4_AFR-44_MIROC-MIROC5_rcp26,34.8,71.05,0.86
RCA4_AFR-44_MIROC-MIROC5_rcp45,35.0,71.17,0.85
RCA4_AFR-44_MIROC-MIROC5_rcp85,35.1,71.4,0.84
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,28.6,77.3,0.81
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,28.2,78.36,0.78
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,28.6,77.84,0.79
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,32.0,71.54,0.89
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,31.6,71.44,0.9
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,31.3,71.9,0.89
RCA4_AFR-44_NCC-NorESM1-M_rcp26,27.2,76.39,0.86
RCA4_AFR-44_NCC-NorESM1-M_rcp45,27.1,76.03,0.87
RCA4_AFR-44_NCC-NorESM1-M_rcp85,27.4,75.88,0.87
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,39.1,64.73,0.91
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,39.3,65.01,0.91
