sim_code,sdev,crmsd,ccoef
Référence,98.48,0.0,1.0
RCA4_AFR-44_CCCma-CanESM2_rcp45,99.2,29.74,0.95
RCA4_AFR-44_CCCma-CanESM2_rcp85,100.95,30.72,0.95
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,97.57,27.17,0.96
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,98.04,28.54,0.96
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,98.0,31.61,0.95
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,97.45,31.48,0.95
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,97.64,28.42,0.96
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,97.81,29.42,0.96
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,98.35,29.77,0.95
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,99.97,31.03,0.95
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,100.83,29.73,0.96
RCA4_AFR-44_MIROC-MIROC5_rcp26,97.88,29.12,0.96
RCA4_AFR-44_MIROC-MIROC5_rcp45,97.73,29.47,0.95
RCA4_AFR-44_MIROC-MIROC5_rcp85,98.53,30.42,0.95
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,98.51,29.88,0.95
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,99.04,29.69,0.95
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,99.51,28.89,0.96
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,97.37,28.82,0.96
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,97.36,27.5,0.96
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,98.1,28.46,0.96
RCA4_AFR-44_NCC-NorESM1-M_rcp26,97.51,31.84,0.95
RCA4_AFR-44_NCC-NorESM1-M_rcp45,98.49,30.73,0.95
RCA4_AFR-44_NCC-NorESM1-M_rcp85,99.3,30.74,0.95
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,97.83,28.91,0.96
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,97.75,28.44,0.96
