year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,0.3028182352885551,-0.03643263547814968,-0.1537766775578575,-0.5271094958479807,0.015116989490820743,-0.2523674896307284,-0.3562477142001512,0.09457263268330962,-0.6347438302408932,0.39223723966904345,0.047601508069305964,-0.18372847757217414,0.012466422561431045,-0.4988181795051787,-0.5989892613612824,-0.06720213436824451,-0.4977798742995674,-0.03993780805353708,-0.4828526942598046,0.019077082325907213,-0.012991197975452451,0.05350333670639884,-0.5067058646675946,-0.0851958075576249,0.35067883545417544,-0.11731854395958408,0.12633499430035044,-0.318732915295584,-0.197393123583538,-0.16023125170920594,0.09789777802888011,-0.3089747302942101,-0.5998522000086268,0.015228459981642573,0.45573484212002313,0.02760187860252472,-0.14005618579290058,-0.4469111593386401,-0.4418519402710217,-0.48120223102415594,-0.00041917655346424,-0.036016738589751185,-0.5491606580631014
1982,0.0,0.2427714347836627,-0.4172271341851683,-0.04596090878675341,-0.45961751560895436,-0.18832230264303007,-0.3888893094216428,-0.1079747586724693,-0.43058938507084576,0.03132074215159264,-0.4533172525572695,0.16716095757226412,-0.5174157896291263,-0.2987319737087546,-0.5167084799398367,0.03909654647645766,-0.08993899480753953,-0.4145840092124331,-0.335707977586992,-0.32990256841640075,0.127201274750405,-0.1193443360823494,-0.25393558563581564,-0.4478373666110542,0.02268663118331915,0.28528847832899373,0.17274327419505653,-0.4182889047474987,0.018054930807124947,-0.032601975435795794,-0.3121116236873718,0.1983205513242865,-0.05553838209186779,0.05610104597951704,-0.36038898568324385,-0.4121405404578695,-0.17537065943434982,-0.47207083263919003,-0.3724009037525775,-0.4509224603734765,-0.3408016994957279,-0.3034134407413376,-0.0647725881203769,0.08603377204440221
1983,0.0,-0.3224877677180302,-0.5528960892612531,-0.41283987673176625,-0.33858510459077706,-0.1327017329471687,-0.39323193275038193,-0.6767879313044318,-0.1393191458794263,-0.3620773293427533,-0.06274981612642705,0.12538044750567678,-0.4953471662286688,-0.10621390883557069,-0.26242671778970816,0.09373646463251362,-0.3424864203194602,-0.06235809701092876,-0.16232408426805023,-0.41436765427175715,0.29226018447911883,-0.10184307721857522,-0.04594552008057917,-0.33255922737959054,-0.3518304885747625,-0.2812697245499294,-0.033092288919135626,-0.12807521121504806,-0.0972660424384344,-0.2532452122870268,-0.3064638066774137,0.14265117648920977,-0.6269017932665406,-0.3347262932203421,-0.49943875471882393,0.0027292054406871102,-0.12838322654619105,-0.44899255429680807,0.004064899489435447,-0.188516994025008,-0.41994519086614446,-0.13659484587202542,-0.32161339349704576,0.12946958019341537
1984,0.0,-0.3165000252936352,-0.03121024581588472,-0.04872674731143434,0.13602970242732226,0.48969096127711964,0.3943511218997173,0.4274608065012444,0.22332474197406782,-0.8529225819988255,-0.07582802478475514,-0.31617220609405194,-0.002971923551456257,-0.07065090207510138,0.34685309483330684,-0.14560503618929488,-0.2458824179587964,-0.29466941027334315,0.2846179045168924,0.20370305056678717,-0.14641110060034634,0.19119893284471345,-0.02434226517158322,0.16802009195754408,0.009489408289653056,-0.2871946979175277,-0.37618044955956975,0.25508945065524813,-0.4952397450745707,0.029027579162175243,0.5055305084553652,-0.3088317235223599,0.4893457725846133,-0.8327484222745056,0.020083002776402736,-0.024188412443947982,0.5084058026587854,0.05486083996697744,-0.22538492650238595,0.44905861359012533,0.18977060943450397,0.33616603621123886,-0.20309926271625045,-0.1038120186670426
1985,0.0,-0.35167435257477564,0.330535312276254,0.5716011243431467,-0.24712461591542478,0.23809873105966517,-0.6706230227634364,-0.3966174455026703,0.08000917875210689,-0.8004110202267043,-0.3395123445486661,-0.18521585528412743,0.20864847181360346,-0.274900605521168,-0.5316118414622224,-0.8202718152096509,-0.28310168073221575,-0.5262751909902477,0.5105107483928464,-0.028943868363683123,-0.13533487180609427,0.26652477750099024,-0.230896377700617,-0.24076346056079956,0.6587602420619874,-0.31824407093250784,-0.40231242482161633,0.09400241798425668,-0.4489130077047321,0.7515074164895168,-0.5853403846254537,-0.1770141837099004,-0.34482829266846693,-0.7733760173400128,0.3937538317039184,-0.29413748610915036,0.24465369249696778,0.2722769991522114,-0.47406011023628025,-0.46671197435659906,-0.030539021094227792,0.5854702047213323,-0.2635266099424598,-0.757635255578748
1986,0.0,-0.43971732542149766,0.004316361618748488,0.032063258511584536,-0.6050863127250068,0.044845813050017114,-0.4462082320929426,-0.8376879870675111,-0.13559602929007042,-0.40145225848334576,-0.10671015883707469,-0.26170585420743464,-0.43303425124179284,0.14342530270482712,-0.35159638345146504,-0.24365659779954285,-0.04854225587126848,-0.04730693678345688,-0.05509673956618144,-0.3973884027932968,-0.1487746082061676,0.1603313043171397,0.18478838054971902,-0.5858310724277658,0.11567922829431154,-0.4054662524144419,0.1222802817691786,-0.11319352614788158,-0.43927187953568136,-0.1767796064362983,-0.35140587153614433,-0.2508085213045774,-0.7882768919391197,-0.37000474048596743,0.0729209986116075,-0.05692458955957136,0.05545877723824333,-0.390566922150299,0.028508728991823773,-0.2807693925492458,-0.4102460206097476,-0.027658597632921555,-0.024396082903308525,-0.1742449472927774
1987,0.0,-0.09586039633512655,0.5632498430227315,0.5915025145751542,-0.1963532434001536,-0.04305374116307803,0.1711242583857029,-0.4827616675482318,0.4819532907350208,-0.29633482512412,-0.07093648693819432,-0.5517854717527939,0.11589546329776113,0.1007721342214154,-0.27621649538508564,0.3238277583852778,0.3492077474703592,0.14165647412755789,0.10376080775972696,0.0013911212638504367,-0.30342585622673823,0.3995787659071084,0.1535234327135413,-0.18636205381164928,0.6628420077003625,-0.05460943185192946,0.17162624640252488,0.5115644526798064,0.01037685126652832,0.5209077497621593,0.27374575496537545,-0.5597734943134469,-0.4345809663747673,-0.2691648097201096,0.6284744883453754,-0.028364277036132535,-0.04361656425334104,0.17108236373690033,0.21137529597450566,-0.21003567100109422,-0.007196145370642171,0.15310681077528443,0.375028515176723,0.3564608673727321
1988,0.0,0.32057448400070143,0.0951310226691362,0.5659274694859846,0.10104192690630498,-0.032195545184777075,0.6043856372449454,0.3700613986063104,-0.02709715823237957,-0.011329378535265278,0.0410748931570879,-0.529862869693261,0.459326251657842,0.18301396307168716,0.3132567653446472,0.4129403252551356,-0.656263758235184,-0.01354686995028942,0.05721444701384826,-0.006089892766397043,-0.17474754900217704,0.2173673003831027,0.2492075375296281,0.11944291959088105,0.6479634478099001,0.36460130112254774,-0.4245281217825436,0.010371253511834766,-0.18676794027794585,0.14970778604856605,0.7256712001500318,-0.5296003747350824,0.41282117886385095,0.029242466663504274,0.1567651572606792,0.10258005219651523,-0.030041897613045876,0.5313875589716304,0.05272935228265396,0.37844345506835,0.006548295981247065,0.1063896088167553,-0.6276511945604284,0.4514300825020996
1989,0.0,0.2741945928879659,-0.3394597836752382,-0.07628943256338516,-0.05789872326056411,0.41468603844094787,-0.08586242056827587,-0.12469517066529079,0.6444440026569964,-0.28875440837288124,0.3285019311897486,0.016938855643672923,-0.14369487563953953,-0.6564064719988778,0.01913720473697822,-0.6577500360820068,-0.6983752498769036,0.028226649742578047,0.322711310194677,0.6693368733503462,0.13470243707126883,0.35342382259568694,-0.6276735847292798,-0.04850293299114128,-0.01720621300739822,0.31453974340837476,-0.4834796961058032,0.7035235647817899,0.09340965402623169,-0.04565084820018228,0.010637391840077726,0.03796715048781607,-0.08360872335396152,-0.26611286418466307,-0.28558410610946794,0.38280341671071483,0.414232756768115,-0.09463238641313865,0.09952210137964812,0.08670149255266324,0.6582689107638089,0.35681639647810925,-0.6759560039699863,-0.6141266712439233
1990,0.0,0.614828119538231,-0.671108239612181,-0.6256003021142078,-0.45876392129702026,0.13263945274786693,0.3362105277317937,0.06764463347599303,0.5389892194477852,-0.25734834702404896,0.11595697876288114,-0.1294371512589123,-0.42943081291417684,-0.0678709915510467,0.34744916385602664,-0.4235479574621763,-0.32096684617772553,-0.011758870504309016,0.34209813197554695,1.0154772367620808,0.24784116080360263,0.17774643841823945,-0.01917789770084255,-0.4480012987615396,-0.5633931677645592,0.6599913206783867,-0.503499430251793,0.5926172470950632,0.202119675041331,-0.4150202377354617,0.4533115482654466,-0.09116797458034398,0.11272048365850651,-0.23119586539939974,-0.6257193827278797,0.17108004792072506,0.1449433451611526,-0.3882651977482965,0.046658697588327414,0.42322443523789843,1.012784225760754,0.3866043018629739,-0.28528501050237765,-0.3677060502365066
