year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-63.253677811550176,-39.10170212765962,-78.83483282674774,-88.9661398176292,-1.9588449848024538,-25.681641337386054,-54.39471124620064,-41.096838905775144,-100.12784194528882,-98.22024316109429,-64.13574468085113,-57.6925835866262,80.08188449848024,66.09221884498476,36.09586626139816,34.24480243161088,-118.89379939209732,-133.57343465045597,88.50498480243152,62.1967781155015
1982,0.0,-183.26218844984805,-168.74607902735568,11.613191489361668,-6.564924012158087,-43.268267477203665,-54.0840729483283,226.65513677811543,226.57003039513677,17.9104559270516,5.047841945288724,-113.09075987841948,-104.61173252279639,-110.40443768996965,-119.39045592705173,37.64297872340421,44.87337386018231,-160.52237082066875,-172.5035258358663,94.68188449848014,59.571246200607845
1983,0.0,-1.3655319148936655,16.4928267477203,128.52930091185408,110.26668693009117,157.98036474164132,136.6758054711246,63.577325227963456,76.55604863221879,120.68674772036468,99.09647416413372,-85.18680851063834,-78.2001823708207,-4.864012158054777,-15.820243161094254,-135.1892401215806,-128.96735562310033,-7.7466869300912435,-29.437264437690033,106.26243161094226,84.72686930091186
1984,0.0,-21.122978723404287,-6.4372644376900325,-123.18680851063834,-127.08893617021283,-48.4585410334347,-65.40261398176295,-5.588632218845021,3.6587841945288346,-153.54911854103347,-158.7393920972645,76.80528875379935,68.76820668693006,-204.6810334346505,-214.31142857142862,-62.22024316109429,-57.57586626139823,-28.65793313069912,-58.4324012158055,-260.97890577507604,-261.91568389057755
1985,0.0,-81.03665653495443,-67.43300911854107,-155.05793313069915,-159.369179331307,-97.15762917933137,-111.37525835866268,-64.93452887538001,-58.874954407294865,58.2137993920972,57.28735562310027,-191.03848024316113,-187.124802431611,104.15240121580541,86.42595744680841,46.80407294832821,62.59252279635257,-37.215379939209754,-55.813556231003076,-91.85732522796354,-94.14486322188452
1986,0.0,-68.89075987841949,-41.557021276595776,253.33781155015197,223.56881458966564,22.11592705167169,6.480668693009079,-141.2451671732523,-123.35215805471131,-34.98559270516722,-39.273738601823766,100.43689969604861,92.55848024316106,-196.5424316109423,-211.20930091185414,8.172462006079002,14.487355623100257,-32.17465045592712,-51.752765957446854,98.39191489361701,67.92930091185406
1987,0.0,169.05209726443763,187.15665653495432,13.906808510638257,-1.2901519756839548,-58.080425531914955,-77.52723404255323,-201.40626139817633,-194.90717325227968,-6.575258358662666,-24.88224924012161,-69.53452887537998,-74.87069908814595,210.65209726443766,178.98522796352574,-13.581945288753843,-4.922370820668732,111.37550151975677,86.54571428571421,-27.150942249240188,-43.33452887537999
1988,0.0,22.445410334346434,45.13355623100301,-79.68954407294837,-100.63118541033441,109.41683890577508,82.88553191489359,-35.21659574468089,-26.285896656534987,-1.5862006079027537,-9.044559270516743,-68.4135562310031,-58.48954407294838,51.106808510638245,27.33598784194527,68.00103343465042,75.1463221884498,-139.49319148936172,-148.69319148936177,-25.902917933130766,-35.39714285714291
1989,0.0,-16.6700911854104,-0.05610942249245454,-62.23665653495448,-79.21598784194532,-142.22753799392103,-149.76674772036478,-102.50413373860187,-86.8086930091186,93.54389057750757,82.05756838905768,-43.339392097264465,-50.455501519756865,-46.37890577507602,-60.96370820668699,-22.16127659574471,-13.170395136778154,141.40468085106374,114.45088145896648,-112.17404255319155,-127.8536778115502
1990,0.0,-11.646382978723466,0.4958662613981346,-13.654285714285777,-24.034832826747788,30.96759878419448,7.540851063829734,173.52747720364732,187.518358662614,-25.707781155015255,-31.191063829787254,99.28188449848017,99.21866261398168,-218.1229787234043,-218.4311854103344,108.21805471124617,109.55300911854101,-103.2001823708207,-121.9679635258359,71.90012158054708,62.29647416413371
