sim_code,sdev,crmsd,ccoef
Référence,0.53,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,0.55,0.38,0.76
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,0.55,0.37,0.76
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,0.56,0.39,0.75
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,0.55,0.39,0.74
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,0.52,0.35,0.78
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.54,0.36,0.77
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,0.53,0.35,0.79
CRCM5_AFR-44_CCCma-CanESM2_rcp45,0.53,0.34,0.8
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.52,0.32,0.82
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,0.55,0.35,0.79
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,0.55,0.37,0.77
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,0.55,0.37,0.77
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,0.56,0.35,0.8
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.56,0.35,0.8
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,0.56,0.34,0.81
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,0.55,0.35,0.79
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,0.56,0.36,0.79
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,0.55,0.35,0.79
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,0.56,0.37,0.78
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,0.56,0.36,0.78
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,0.56,0.36,0.79
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,0.55,0.35,0.79
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,0.56,0.36,0.78
RCA4_AFR-44_CCCma-CanESM2_rcp45,0.55,0.35,0.79
RCA4_AFR-44_CCCma-CanESM2_rcp85,0.55,0.35,0.79
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,0.55,0.35,0.79
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,0.54,0.35,0.79
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,0.54,0.36,0.77
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,0.54,0.36,0.78
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,0.57,0.38,0.76
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,0.56,0.4,0.73
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,0.57,0.38,0.76
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,0.56,0.39,0.75
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,0.55,0.38,0.76
RCA4_AFR-44_MIROC-MIROC5_rcp26,0.53,0.34,0.79
RCA4_AFR-44_MIROC-MIROC5_rcp45,0.54,0.35,0.79
RCA4_AFR-44_MIROC-MIROC5_rcp85,0.54,0.33,0.81
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,0.55,0.37,0.76
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,0.56,0.36,0.78
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,0.54,0.36,0.78
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,0.55,0.36,0.78
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.55,0.36,0.78
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,0.55,0.34,0.8
RCA4_AFR-44_NCC-NorESM1-M_rcp26,0.56,0.4,0.74
RCA4_AFR-44_NCC-NorESM1-M_rcp45,0.56,0.38,0.75
RCA4_AFR-44_NCC-NorESM1-M_rcp85,0.57,0.39,0.75
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,0.57,0.39,0.76
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,0.57,0.37,0.78
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,0.56,0.37,0.77
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,0.55,0.35,0.79
REMO2009_AFR-44_MIROC-MIROC5_rcp26,0.56,0.36,0.78
REMO2009_AFR-44_MIROC-MIROC5_rcp85,0.55,0.34,0.8
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,0.55,0.34,0.8
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,0.57,0.36,0.78
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,0.56,0.37,0.77
