year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85
1981,33.98297872340426,39.117325227963526,41.28328267477204,30.297264437689968,32.59635258358663,23.422492401215806,24.121580547112462,40.85835866261398,42.328267477203646,31.220060790273557,33.251063829787235,33.830395136778115,35.23525835866261,39.72462006079027,39.71732522796353,38.48145896656535,38.94772036474164,31.337993920972643,33.14042553191489,32.97082066869301,34.435258358662615,26.822492401215804,26.625531914893617,37.57993920972645,37.443768996960486,40.73860182370821,40.94285714285714,28.48936170212766,29.206686930091184,22.99392097264438,21.866869300911855,44.94468085106383,46.611550151975685,26.264437689969604,27.685714285714287,28.716717325227965,28.13677811550152,30.620060790273556,29.875379939209726,23.01276595744681,23.38419452887538,36.05896656534954,50.63586626139818,33.71550151975684
1982,21.214589665653495,36.22127659574468,38.21519756838906,26.848632218844983,28.598784194528875,31.323404255319147,31.346504559270517,30.89240121580547,32.22857142857143,33.2145896656535,25.969604863221885,31.060790273556233,35.105167173252276,26.54468085106383,27.277811550151977,31.02613981762918,31.364133738601822,40.39939209726444,41.75197568389058,25.464437689969603,26.204863221884498,24.1112462006079,23.609726443769,29.979939209726442,28.98662613981763,23.835258358662614,24.364133738601822,22.39696048632219,23.78966565349544,20.56595744680851,19.728267477203648,37.41580547112462,38.97021276595745,28.565349544072948,29.56595744680851,25.23161094224924,25.39939209726444,26.75501519756839,25.8419452887538,55.525835866261396,56.29604863221884,39.38723404255319,43.33860182370821,30.17629179331307
1983,42.94224924012158,30.507598784194528,31.696048632218844,35.66504559270517,39.315501519756836,24.868085106382978,25.217629179331308,45.04984802431611,46.722188449848026,42.93677811550152,31.688145896656536,27.127051671732524,29.42431610942249,26.148328267477204,27.096048632218846,27.33130699088146,27.86869300911854,31.925227963525835,32.7258358662614,16.615197568389057,17.291185410334347,48.48996960486322,47.66382978723404,23.195744680851064,22.896048632218847,25.517933130699088,25.966565349544073,26.49787234042553,28.09483282674772,17.70516717325228,17.112462006079028,34.01580547112462,36.24072948328268,14.204863221884498,14.966565349544073,28.63343465045593,28.7531914893617,21.082066869300913,20.177507598784196,27.21276595744681,26.664437689969606,31.848024316109424,44.491185410334346,26.7161094224924
1984,35.02674772036474,34.99635258358663,37.24498480243161,40.6838905775076,46.17993920972644,37.53556231003039,39.03404255319149,40.84924012158055,41.89300911854103,20.05775075987842,28.157446808510638,37.211550151975686,41.208510638297874,40.32948328267477,39.77082066869301,40.38115501519757,40.41155015197568,33.52644376899696,35.91550151975684,37.8887537993921,38.73130699088146,10.720364741641337,10.324620060790274,29.318541033434652,28.67112462006079,40.212158054711246,40.217629179331304,29.37811550151976,30.85531914893617,25.908814589665653,25.339817629179333,26.11854103343465,27.906382978723403,38.05835866261398,39.52765957446808,24.685714285714287,24.514893617021276,35.95015197568389,34.354407294832825,43.90638297872341,44.65288753799392,20.585410334346506,47.64802431610942,44.29057750759878
1985,30.611550151975685,26.125227963525838,27.194528875379937,31.812765957446807,34.45227963525836,56.97811550151976,57.81884498480243,35.87173252279635,36.71185410334346,32.42857142857143,34.087537993920975,36.03100303951368,38.97811550151976,39.58176291793313,39.19331306990882,27.064437689969605,27.269300911854103,36.5531914893617,38.28267477203647,46.722188449848026,48.63890577507599,29.603647416413374,29.069908814589667,30.591489361702127,29.333130699088144,25.33920972644377,27.005471124620062,36.586018237082065,38.2370820668693,24.286322188449848,23.565349544072948,24.935562310030395,26.70577507598784,39.147720364741645,39.89726443768997,38.43039513677812,38.61519756838906,34.461398176291794,33.84012158054711,15.056534954407296,15.313677811550152,46.41580547112462,25.824924012158053,55.443768996960486
1986,26.112462006079028,37.3854103343465,38.81033434650456,19.158662613981765,21.402431610942248,34.75501519756839,35.28206686930091,35.16838905775076,36.573252279635255,33.56352583586626,30.452279635258357,21.522796352583587,23.78723404255319,36.52765957446808,37.03039513677812,29.17142857142857,29.305775075987842,30.31550151975684,31.680243161094225,30.500911854103343,31.70212765957447,27.641337386018236,27.570212765957447,33.68206686930091,33.345288753799394,31.224924012158056,32.33677811550152,31.356838905775074,32.530699088145894,18.069300911854103,17.33191489361702,35.036474164133736,37.151975683890576,28.76048632218845,30.479635258358662,25.199392097264436,25.310030395136778,32.70516717325228,31.480243161094226,24.41580547112462,24.427355623100304,34.035866261398176,43.062006079027356,35.632826747720365
1987,39.18054711246201,38.4370820668693,40.02310030395137,35.14589665653495,37.92765957446809,50.088145896656535,51.55015197568389,36.26686930091186,37.44741641337386,28.595744680851062,32.8468085106383,39.24133738601824,41.74346504559271,29.664437689969606,30.01276595744681,37.17507598784194,37.58358662613982,39.848024316109424,41.88936170212766,41.13920972644377,42.54103343465046,20.67355623100304,20.77082066869301,32.007294832826744,31.285106382978725,25.697872340425533,26.901519756838905,34.470516717325225,35.20790273556231,24.48145896656535,23.74954407294833,47.61033434650456,49.5951367781155,33.53495440729483,34.50699088145897,36.427963525835864,36.4322188449848,26.074164133738602,25.390273556231,43.555623100303954,44.027963525835865,51.979939209726446,44.26686930091186,54.93495440729483
1988,44.39088145896657,39.650455927051674,41.830395136778115,39.4936170212766,45.93191489361702,48.89787234042553,50.32340425531915,43.45835866261398,44.585410334346506,27.404863221884497,44.0693009118541,47.1063829787234,50.1258358662614,33.38115501519757,33.297872340425535,50.37264437689969,51.062006079027356,28.31306990881459,28.844376899696048,42.367781155015194,43.85835866261398,22.846808510638297,22.46322188449848,39.09787234042553,38.904559270516714,37.53191489361702,37.89787234042553,36.69057750759878,37.753799392097264,32.79209726443769,32.362310030395136,33.45471124620061,35.22310030395137,41.19209726443769,42.178115501519756,45.079635258358664,44.734954407294836,31.809118541033435,30.547720364741643,43.114285714285714,43.97142857142857,44.255319148936174,41.16413373860183,39.7629179331307
1989,34.632218844984806,38.14589665653495,39.727051671732525,31.044376899696047,33.73252279635258,33.74772036474164,34.42613981762918,36.550759878419456,39.13920972644377,27.527051671732522,36.780547112462,38.182370820668694,40.20303951367781,30.198784194528876,30.951975683890577,32.22613981762918,32.761094224924015,33.53313069908815,33.93981762917933,26.76595744680851,27.75258358662614,24.791489361702126,24.49726443768997,20.681458966565348,20.082066869300913,33.251063829787235,33.33920972644377,34.230395136778114,34.89179331306991,22.496656534954408,21.70334346504559,22.357446808510637,23.940425531914894,24.646808510638298,25.66322188449848,37.243161094224924,37.813373860182374,30.2838905775076,29.02917933130699,29.09179331306991,29.922188449848026,37.2,38.015197568389056,33.75136778115502
1990,39.46382978723404,53.39392097264437,56.59696048632219,44.29544072948328,47.817021276595746,29.324620060790274,29.8,44.98419452887538,46.796352583586625,31.079635258358664,41.74589665653495,43.18480243161094,45.33495440729483,49.85288753799392,49.134954407294835,24.449240121580548,24.911246200607902,24.64802431610942,25.76231003039514,30.62674772036474,31.509422492401217,23.199392097264436,23.08753799392097,42.03039513677812,41.50091185410334,35.265045592705164,35.787234042553195,45.29544072948328,45.54528875379939,33.087537993920975,32.03465045592705,28.764133738601824,30.579939209726444,35.448632218844985,36.90030395136778,47.80182370820669,47.693009118541035,53.54103343465046,51.70820668693009,18.52948328267477,18.640729483282676,46.67841945288754,25.554407294832828,33.30942249240122
