sim_code,sdev,crmsd,ccoef
Référence,1.23,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,1.26,0.58,0.89
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,1.27,0.57,0.9
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,1.27,0.59,0.89
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,1.29,0.61,0.88
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,1.26,0.57,0.9
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,1.27,0.59,0.89
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,1.27,0.56,0.9
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,1.27,0.53,0.91
CRCM5_AFR-44_CCCma-CanESM2_rcp45,1.24,0.54,0.9
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,1.22,0.52,0.91
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,1.24,0.56,0.9
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,1.25,0.57,0.89
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,1.27,0.59,0.89
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,1.25,0.55,0.9
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,1.25,0.55,0.9
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,1.27,0.53,0.91
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,1.28,0.59,0.89
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,1.31,0.54,0.91
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,1.23,0.53,0.91
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,1.25,0.58,0.89
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,1.25,0.54,0.9
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,1.25,0.53,0.91
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,1.23,0.52,0.91
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,1.23,0.56,0.9
RCA4_AFR-44_CCCma-CanESM2_rcp45,1.25,0.55,0.9
RCA4_AFR-44_CCCma-CanESM2_rcp85,1.27,0.58,0.89
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,1.25,0.57,0.89
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,1.25,0.59,0.89
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,1.25,0.56,0.9
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,1.23,0.58,0.89
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,1.26,0.57,0.9
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,1.25,0.58,0.89
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,1.26,0.6,0.88
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,1.29,0.61,0.88
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,1.27,0.6,0.89
RCA4_AFR-44_MIROC-MIROC5_rcp26,1.22,0.53,0.91
RCA4_AFR-44_MIROC-MIROC5_rcp45,1.22,0.56,0.9
RCA4_AFR-44_MIROC-MIROC5_rcp85,1.24,0.53,0.91
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,1.25,0.58,0.89
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,1.24,0.59,0.89
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,1.24,0.59,0.89
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,1.25,0.56,0.9
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,1.24,0.56,0.9
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,1.25,0.58,0.89
RCA4_AFR-44_NCC-NorESM1-M_rcp26,1.24,0.6,0.88
RCA4_AFR-44_NCC-NorESM1-M_rcp45,1.25,0.59,0.89
RCA4_AFR-44_NCC-NorESM1-M_rcp85,1.25,0.59,0.89
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,1.27,0.57,0.9
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,1.3,0.59,0.89
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,1.28,0.59,0.89
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,1.3,0.57,0.9
REMO2009_AFR-44_MIROC-MIROC5_rcp26,1.25,0.56,0.9
REMO2009_AFR-44_MIROC-MIROC5_rcp85,1.26,0.55,0.9
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,1.27,0.55,0.9
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,1.27,0.61,0.88
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,1.22,0.56,0.9
