sim_code,sdev,crmsd,ccoef
Référence,1.23,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,2.13,1.32,0.82
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,2.12,1.28,0.84
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,1.92,1.05,0.87
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,1.95,1.08,0.87
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,1.91,1.03,0.87
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,1.87,1.0,0.87
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,1.93,1.03,0.88
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,1.96,1.03,0.89
CRCM5_AFR-44_CCCma-CanESM2_rcp45,2.15,1.23,0.87
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,1.98,1.07,0.88
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,1.78,1.09,0.8
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,1.76,1.06,0.8
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,1.75,1.04,0.81
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,1.79,1.06,0.82
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,1.8,1.07,0.82
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,1.83,1.05,0.83
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,1.86,1.1,0.82
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,1.83,1.05,0.84
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,2.15,1.28,0.85
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,2.18,1.37,0.82
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,2.21,1.38,0.83
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,2.29,1.34,0.88
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,2.39,1.41,0.89
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,2.38,1.42,0.88
RCA4_AFR-44_CCCma-CanESM2_rcp45,1.76,0.87,0.89
RCA4_AFR-44_CCCma-CanESM2_rcp85,1.76,0.92,0.87
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,1.55,0.85,0.84
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,1.56,0.85,0.84
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,1.08,0.77,0.78
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,1.09,0.82,0.76
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,1.47,0.8,0.84
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,1.49,0.81,0.84
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,1.48,0.82,0.83
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,1.69,0.88,0.87
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,1.67,0.84,0.87
RCA4_AFR-44_MIROC-MIROC5_rcp26,1.02,0.74,0.8
RCA4_AFR-44_MIROC-MIROC5_rcp45,1.02,0.77,0.78
RCA4_AFR-44_MIROC-MIROC5_rcp85,0.98,0.8,0.76
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,1.39,0.78,0.83
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,1.48,0.78,0.85
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,1.46,0.78,0.84
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,1.53,0.81,0.85
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,1.55,0.8,0.86
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,1.57,0.81,0.86
RCA4_AFR-44_NCC-NorESM1-M_rcp26,1.67,0.92,0.84
RCA4_AFR-44_NCC-NorESM1-M_rcp45,1.7,0.91,0.85
RCA4_AFR-44_NCC-NorESM1-M_rcp85,1.75,0.94,0.85
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,1.62,0.89,0.84
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,1.62,0.93,0.82
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,1.71,1.01,0.81
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,1.75,1.02,0.82
REMO2009_AFR-44_MIROC-MIROC5_rcp26,1.59,0.97,0.79
REMO2009_AFR-44_MIROC-MIROC5_rcp85,1.61,1.01,0.78
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,1.83,1.03,0.84
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,1.9,1.09,0.84
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,1.72,1.1,0.77
