sim_code,sdev,crmsd,ccoef
Référence,8.3,0.0,1.0
RCA4_AFR-44_CCCma-CanESM2_rcp45,5.5,8.66,0.26
RCA4_AFR-44_CCCma-CanESM2_rcp85,5.9,10.14,0.01
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,6.8,9.59,0.2
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,5.9,9.56,0.12
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,8.3,12.2,-0.09
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,7.9,10.68,0.13
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,6.9,10.6,0.03
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,7.1,10.64,0.05
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,7.4,11.4,-0.05
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,4.9,10.03,-0.1
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,5.6,10.55,-0.12
RCA4_AFR-44_MIROC-MIROC5_rcp26,5.7,8.48,0.31
RCA4_AFR-44_MIROC-MIROC5_rcp45,7.6,11.12,0.02
RCA4_AFR-44_MIROC-MIROC5_rcp85,7.3,10.67,0.07
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,7.4,11.63,-0.1
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,8.6,12.72,-0.14
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,7.4,12.89,-0.35
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,6.2,9.98,0.07
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,7.0,11.51,-0.13
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,7.1,11.56,-0.12
RCA4_AFR-44_NCC-NorESM1-M_rcp26,9.9,13.41,-0.08
RCA4_AFR-44_NCC-NorESM1-M_rcp45,8.4,11.66,0.02
RCA4_AFR-44_NCC-NorESM1-M_rcp85,10.6,13.25,0.03
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,8.1,11.41,0.03
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,7.3,9.56,0.25
