sim_code,sdev,crmsd,ccoef
Référence,0.34,0.0,1.0
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,0.46,0.61,-0.15
CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,0.4,0.56,-0.11
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,0.22,0.36,0.23
CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,0.32,0.37,0.36
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,0.04,0.35,-0.07
CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,0.43,0.58,-0.12
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.29,0.42,0.11
CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,0.29,0.44,0.04
CRCM5_AFR-44_CCCma-CanESM2_rcp45,0.32,0.43,0.15
CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.29,0.48,-0.16
CSC_AFR-44_ICHEC-EC-EARTH_rcp26,0.8,0.8,0.21
CSC_AFR-44_ICHEC-EC-EARTH_rcp45,0.32,0.49,-0.1
CSC_AFR-44_ICHEC-EC-EARTH_rcp85,0.3,0.35,0.4
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp26,0.47,0.56,0.06
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.28,0.47,-0.14
CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,0.98,1.08,-0.11
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,0.1,0.36,-0.1
HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,0.09,0.36,-0.07
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp26,0.33,0.51,-0.16
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,0.54,0.66,-0.07
RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,0.09,0.36,-0.07
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp26,0.39,0.56,-0.17
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,0.39,0.55,-0.13
RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,0.41,0.55,-0.04
RCA4_AFR-44_CCCma-CanESM2_rcp45,0.24,0.32,0.42
RCA4_AFR-44_CCCma-CanESM2_rcp85,0.21,0.42,-0.12
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,0.55,0.68,-0.12
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,0.04,0.35,-0.07
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,0.37,0.33,0.58
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,0.0,0.34,
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,0.3,0.48,-0.13
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,0.3,0.41,0.2
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,0.2,0.41,-0.1
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,0.23,0.35,0.29
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,0.04,0.35,-0.07
RCA4_AFR-44_MIROC-MIROC5_rcp26,0.0,0.34,
RCA4_AFR-44_MIROC-MIROC5_rcp45,0.4,0.48,0.15
RCA4_AFR-44_MIROC-MIROC5_rcp85,0.18,0.4,-0.07
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,0.45,0.61,-0.15
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,0.2,0.41,-0.1
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,0.2,0.41,-0.1
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,0.56,0.63,0.08
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,0.63,0.68,0.1
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,0.45,0.58,-0.07
RCA4_AFR-44_NCC-NorESM1-M_rcp26,0.2,0.37,0.1
RCA4_AFR-44_NCC-NorESM1-M_rcp45,0.22,0.42,-0.1
RCA4_AFR-44_NCC-NorESM1-M_rcp85,0.09,0.36,-0.07
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,0.26,0.45,-0.13
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,0.21,0.42,-0.12
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp26,0.38,0.54,-0.11
REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,0.18,0.4,-0.09
REMO2009_AFR-44_MIROC-MIROC5_rcp26,0.23,0.42,-0.09
REMO2009_AFR-44_MIROC-MIROC5_rcp85,0.13,0.37,-0.07
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp26,0.29,0.4,0.21
REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,0.56,0.7,-0.16
REMO2009_AFR-44_NOAA-GFDL-GFDL-ESM2G_rcp26,1.0,1.06,-0.01
