year,ref,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,545.3676040877236,421.7663436060922,219.00134444358537,485.83214587782106,419.1026392603591,636.358851686285,500.2859875363621,290.50398750680813,644.1591414092939,852.5190442448629,776.7492211117795,453.970262262159,491.44888918166424,963.9393793753261,342.9073780225061,786.3117572379549,721.8852421552582,1057.9681134933194,1034.3100544902397,802.041145436841,450.4295243916888,387.4481241689735,219.00134444358537,485.83214587782106,419.1026392603591,636.358851686285,551.7893278079029,609.0914408322266,290.50398750680813,453.9702638048986,491.44888957770956,503.62087678670326,421.7663440819612,500.2859881028913,644.1591415693276,342.9073774878513,963.9393797713716,721.8852409276454,852.519043658712,786.3117564703188,776.749221461919,1057.9681125769368,450.4295253080713,1034.310053573857
1982,481.3632308076794,354.9982428968662,156.50362419885707,417.1498046614515,463.12674944312806,711.733837690655,987.7977763291202,381.7975017225204,741.1814834626414,874.3801555436855,966.4929241019753,650.4782388379516,373.0635239837691,995.6706131784186,437.8138703775606,780.5832069388035,582.451392365527,922.3307017001322,1114.5872509163012,793.0920261033467,412.9220423159691,207.23482658591155,156.50362419885707,417.1498046614515,463.12674944312806,711.733837690655,503.77620685854674,404.3905005572062,381.7975017225204,650.4782388131716,373.0635235320332,365.754832502019,354.99824282506773,987.7977774265356,741.1814829556357,437.81387052393126,995.6706127266826,582.4513923654814,874.3801553816263,780.5832065103752,966.4929242087649,922.3307010686996,412.9220429474015,1114.5872502848686
1983,398.6530633286941,427.5368073290034,194.40590518253788,603.4265404237769,285.4265414485305,473.2503980271861,639.626086476015,208.3731995042264,856.660078348168,519.6907616153758,781.6421102483694,666.670583015385,483.6669395481319,1207.557561749826,575.4446437819353,735.4481764069933,673.7282961730249,745.7817594027528,1130.220058503831,634.5593423601133,601.1493475130324,418.80103046837974,194.40590518253788,603.4265404237769,285.4265414485305,473.2503980271861,562.1430652941319,488.2126625804963,208.3731995042264,666.6705833254798,483.6669381704628,231.6417612595402,427.5368076101957,639.626087047447,856.6600782468039,575.444644089372,1207.5575603721568,673.7282958460551,519.690761564573,735.4481766519721,781.6421115754773,745.7817600808096,601.1493468349753,1130.220059181888
1984,486.3966336676606,259.59899518990545,126.16480382036647,537.2927522400687,673.4805873414742,666.6863138614095,639.625186139464,288.75441693016904,634.9453586120313,660.942945124795,822.4064189611373,453.4893690102143,523.0150232960953,873.6524033441816,314.85568968473694,959.639238779023,411.8922253448645,796.7946421844853,623.6744925492187,624.0972375453752,605.8373592162874,335.7916864868364,126.16480382036647,537.2927522400687,673.4805873414742,666.6863138614095,752.6743244822617,347.82357357061903,288.75441693016904,453.4893678114925,523.0150235591371,332.6288051923623,259.5989958760454,639.6251854991207,634.9453581150625,314.8556900049258,873.6524036072234,411.89222646312135,660.9429457633564,959.6392373711506,822.4064175625653,796.7946434491188,605.8373579516538,623.6744938138522
1985,575.2386294173381,328.7851451888456,204.12296093733968,571.3061018402891,451.2879190609465,735.7500187745115,763.2566983951235,299.21359067912607,542.6119353089141,654.7703304176832,650.2112651192697,499.44642586431297,456.27941563421393,902.7320445964496,457.53412202492905,662.2861493111611,709.7178413270415,896.8908186872492,919.4691395437786,600.7172588845762,451.54187132366394,297.94574277707414,204.12296093733968,571.3061018402891,451.2879190609465,735.7500187745115,599.7411079528247,473.3959283063918,299.21359067912607,499.4464258202673,456.279416088609,467.407951635127,328.7851457467901,763.2566968409774,542.6119357869602,457.5341226353605,902.7320450508446,709.7178414280972,654.7703311200933,662.2861502308532,650.2112644405106,896.8908184086052,451.541871602308,919.4691392651347
1986,543.4549801212295,249.89049622877064,144.50636233061135,809.1546481663403,438.935595123957,478.37433978156446,547.6049666741237,277.76564218018734,899.0080070336703,897.995293253759,504.445107075111,853.1944302899268,477.8994585912134,1083.3583274460434,421.27597213033295,910.0516244244758,454.9765120529175,932.9989143967503,1078.4962199695176,882.9669003191522,518.6707610206449,350.1128254279862,144.50636233061135,809.1546481663403,438.935595123957,478.37433978156446,734.1704007782649,386.8961044675448,277.76564218018734,853.1944309944288,477.89945920366745,424.6619463473575,249.89049574673243,547.6049673308396,899.0080055089635,421.275972305285,1083.3583280584976,454.97651223388715,897.9952917903249,910.0516246970368,504.44510640138407,932.9989144100509,518.6707610073444,1078.4962199828183
1987,537.5286999719164,448.7942845576771,243.67009638354776,587.712554114903,350.8742961442132,719.5672896909601,483.6941321823323,188.1492759858618,698.2917322081325,1114.5388783521964,554.652685580586,503.3662876051825,642.8279958487067,957.3719718625401,461.9336397318964,803.5439091775963,788.5612168825769,863.1040318771109,910.2392716006608,691.034404610823,674.6674620041805,605.8005263338262,243.67009638354776,587.712554114903,350.8742961442132,719.5672896909601,712.7567322934194,662.7523509002268,188.1492759858618,503.3662881002249,642.8279960978801,559.5508080415083,448.79428390145614,483.6941331034963,698.2917321794579,461.9336400443825,957.3719721117134,788.5612163865121,1114.538877977383,803.5439093039463,554.6526856775515,863.1040319694397,674.6674619118517,910.2392716929896
1988,606.4517370994274,579.2559628823678,267.0698636320245,311.15210607608475,456.8977878048677,584.8835563229591,701.6192627636752,250.12536760899113,622.0561028535005,749.0475416409529,740.2574233947173,823.1414387516768,507.16729784597453,1069.7866067166717,413.1205162452865,673.7308600685228,723.6595454440684,905.8745084075529,1112.8875772308058,770.4228881546971,409.350007390806,397.5729477051005,267.0698636320245,311.15210607608475,456.8977878048677,584.8835563229591,469.6608612268951,588.1572726189492,250.12536760899113,823.141438502755,507.1672985297708,584.8693058245981,579.2559624441275,701.6192630780021,622.0561030837564,413.1205159209611,1069.786607400468,723.6595461736484,749.0475411736822,673.7308600076526,740.2574234084476,905.87450833852,409.3500074598391,1112.887577161773
1989,630.2365631656972,472.3016542488129,260.48155832950874,526.2223622323867,224.30391769894084,837.7856032552704,735.4503501940983,165.37423552150244,655.6556089211729,572.7006119497702,652.1625340578007,698.9466459683149,512.0843987190303,804.7323303741673,471.5153367101639,825.8533812081029,610.6358535573164,812.5665147964323,817.015905248328,687.0155503285815,698.827664266923,461.2842922808814,260.48155832950874,526.2223622323867,224.30391769894084,837.7856032552704,758.7398746560814,494.8028342890735,165.37423552150244,698.9466457878929,512.0843988825418,475.4591679336653,472.3016543561289,735.4503501564313,655.6556082139305,471.51533673169075,804.7323305376788,610.6358542594752,572.7006118515588,825.8533807808874,652.162533285258,812.5665156612894,698.8276634020659,817.0159061131849
1990,475.1458601026453,297.07829207640157,170.12460315416664,553.7766959666585,303.20445531596016,576.6292620569059,601.6969188069107,405.0936047742219,699.024972325398,673.6026568736152,883.3576597033311,804.0165061869492,423.63668155616773,1033.058316212278,435.46683358251204,943.7939893024716,355.731722475261,853.1774460852122,1089.6634033093933,700.482456497615,487.6426115294839,314.87894348429296,170.12460315416664,553.7766959666585,303.20445531596016,576.6292620569059,594.4285552129326,279.6658943257208,405.0936047742219,804.0165057872522,423.63668161196756,427.803700520711,297.07829103716665,601.6969183915515,699.0249730008069,435.46683312842237,1033.0583162680778,355.7317234936853,673.6026574701862,943.7939887591768,883.3576597263691,853.1774450934636,487.6426125212324,1089.6634023176446
