year,ref,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,0.0,-104.81993616838344,-180.2419741345464,32.84041728014972,-40.06121019214277,101.14096683298692,142.2316163019259,-159.44228519714085,203.34859988579802,299.13831583091905,314.9650793012341,21.093111149314666,39.57577949565518,470.0054835586096,-27.722736298642815,318.68818784828863,119.11890505054419,479.6702128544998,489.6916828027307,221.31649331224673,72.74946959734115,-57.64683526765003,-166.94970224720538,19.226931719783636,-33.06956478403316,112.2853608394073,113.99347993683472,7.796121862151608,-132.72275352202507,17.666556861659103,27.676310924673317,31.89468696985233,-74.52685252719493,149.67587344374937,211.39180622006808,-28.411401294731604,489.0848843794793,138.47117128857371,305.77036556687654,317.5357374679033,302.67208058929316,487.28660121977896,83.65213890006578,513.3340190486413
1982,0.0,-91.21538655138181,-103.14048208490621,12.235703423978123,-57.7296420482964,189.89853976698214,338.87015325733205,-156.78169398343385,196.99567611158193,305.57958075318743,284.00460709864956,116.13460378177854,62.29323917238946,502.6082059421391,-75.23787010800771,362.2962944485928,167.4403939216342,388.24385145825545,553.3444295259625,227.00145070620295,63.89007488444986,-10.919101129292784,-95.96449358961561,10.57195415898667,-57.801528218829674,198.7667118511804,91.82911822596134,-5.037525578802104,-132.60778267688676,106.19214175784225,52.305143906748924,-2.8641012460217894,-72.15885434274924,346.4339416814372,218.41288071219788,-62.46674508614586,517.5715323235245,177.8930778999478,315.6431074698629,366.2392258470954,276.88344782984666,389.71286752759534,74.47936097234879,577.3409010650935
1983,0.0,-78.48678227971675,-128.25229128823656,87.87500914259408,-56.24720161294772,137.2313386846659,157.33302320295348,-89.34914861548859,248.2514226972081,153.9243816119618,215.2250517297083,107.51023436136916,8.525221709733955,556.2661097496433,-65.82702237287549,315.54635106882625,149.60597031125496,347.43958365360373,540.0713556821656,169.5758738191131,91.63357672872189,-58.65260207802953,-125.63493220648888,81.7634117059705,-47.45045925396613,151.46445026172626,94.86003448895883,32.38582991916212,-82.86058139020636,102.51146289342842,-4.351425148234853,-27.96645978969491,-52.00242472895604,161.32838261912792,262.3058905763346,-45.43390956985104,572.3766744822618,164.9678326311369,157.32552759007717,313.46096205184926,206.6914342080904,343.2483652001641,112.16415520856737,549.0205094492658
1984,0.0,-81.6556147925507,-92.7949438702446,61.740266988729275,14.313296284545231,148.2537423959028,190.82763952540114,-113.77752635722788,210.52410019582527,185.33008895655666,315.973953247953,31.486687366945148,29.458412137765947,413.6096317908872,-12.155682000310094,381.86626560208435,96.28627374522887,330.99640580283636,360.36350207900296,178.3286542095234,118.53148745704033,-56.12456816369769,-88.28617542073965,50.381868441553195,22.274787704682808,163.77161266980795,186.09153891162134,1.6531664899383713,-96.45956478040807,26.779482842063715,30.006589219050227,-20.246542457380656,-58.92867404256327,196.9996166223853,218.67971004675968,-7.022954833505423,425.3624245937951,110.03371001270915,188.50867075136517,385.1674272803144,308.79747975521923,332.9564140289595,143.84572704272483,362.44680404048194
1985,0.0,-90.11358081078106,-130.20309090617107,114.24540115764995,-46.70740389826477,166.86222172045802,220.37945667248937,-166.0012671900417,169.1659447900593,169.32035565663017,233.26700672541114,30.528425098833907,32.78624922666029,486.09389625019617,-72.88256580596965,311.1749221003793,111.41388141694836,356.0970957496404,487.52493911367253,171.18826821067097,4.636699446137698,-52.49754189837256,-126.74492064428355,86.69458839396202,-44.73467311543317,178.2888259947713,135.0958391996931,-2.848578866012417,-145.62287949381363,18.104369396734228,25.13542202832849,-9.220907494859716,-81.8479888970744,235.18755147292268,177.046804662566,-68.54390396626991,498.2370257470859,130.54454690369005,171.61666396943684,311.2168703054047,227.71200629952097,348.89680371134455,23.631481232653073,492.27803959305953
1986,0.0,-80.2432665607592,-101.9158829250288,121.8594310930074,-97.32073537306303,99.30261360063867,137.7244052823869,-155.86833894514007,190.30307629601543,330.68233697185883,167.58052204430965,212.3245155818588,44.535390773696406,513.1742834677151,-23.347779338634496,345.6603102836955,132.253850764763,406.7577396305925,491.51250698235594,210.72709226094707,58.318764573838905,-33.61870315028233,-93.98510775118334,111.53922190159881,-90.54617533906298,107.14846827820787,183.98653715845933,-13.996448628727535,-135.36540232458736,209.02753072778296,28.505723084034685,-14.246037568220743,-70.30590426601947,147.11970321100927,212.5423214352486,-20.43157400236737,528.5966371222399,147.51545651592107,333.9005911098029,354.6149092809984,152.85304658563712,402.55796791753335,75.1714090225189,517.1122907298679
1987,0.0,-140.55139721138892,-188.78633199278536,100.60057700457764,-89.02876377303994,147.00166954873498,135.28859023706303,-110.38183561851278,189.05414203693437,469.95338234626365,245.0523159343761,59.51158383342397,-21.34777639784943,486.83746750362207,-42.039025465869884,339.63002021527774,109.44984009330608,368.6742027248546,445.2543634892478,176.3283023525637,59.64611012013802,-101.68221926149602,-179.20033866183778,92.69436365976361,-83.14085782614143,158.05229024307027,171.14945621461152,58.611418303175924,-92.0882661833389,57.703673601890216,-22.267732222310656,-29.91023667219497,-113.48953137977611,137.84060234163593,203.25652650771673,-29.40835772433485,497.4158213398265,133.98627100981423,461.94642979204,344.1286878697242,239.62623865260565,364.2463892289767,84.5914094168894,454.68740475141317
1988,0.0,-85.66761828786059,-164.49631335095813,0.39855169961759884,-58.78575842549594,86.60859854919693,195.2325028626372,-140.8854186233958,186.68494877467072,239.05369647941285,245.43101261092698,240.91144901935797,5.581523688128641,474.55013872356324,-52.65260004425693,248.621398408831,164.57700236007986,368.3064483026035,610.1352537130415,230.91351280407218,41.04973013565444,-28.56804463834976,-165.8812475951097,-8.499196494155399,-50.3011792913145,98.42513510649019,73.5340820734881,-3.7324777418667736,-122.55672584057268,222.49640633258036,-12.640997748117627,13.630679033843762,-65.75502521462374,195.51645540915683,203.26159629029098,-46.78916165329821,494.05797852650335,183.2550530774489,241.80814333321132,244.20871220862603,237.00833083697387,364.97345680490446,53.36333389837017,615.4161083786421
1989,0.0,-100.98776320408336,-200.38027929793242,52.93299839161307,-66.84408560952357,218.25685250671904,244.0708671180808,-100.50870669282585,193.79027581397304,185.66778383382479,218.4176762936837,194.7627383463548,29.2217296436192,423.1147814462562,-91.72808161622112,362.6797176005481,129.8451020452028,329.99983141705644,421.5636048083556,196.46518095531735,52.92151432488106,-69.41271032288608,-181.7083898263577,36.32313833480657,-70.79023720155323,231.03186898341824,193.40917380543863,9.091028749639577,-85.40018531135217,183.05908269711756,16.89498368268812,-22.378017090042476,-63.19717348568213,247.6442707773972,205.8520282582366,-80.78085083414925,430.74188827284786,146.07804603000716,184.42378471697288,364.46909853581184,206.34144079609428,326.02743614247447,76.61483258098656,433.1516299711505
1990,0.0,-103.24974431877308,-128.24936488931692,79.22955632416182,-54.21498721940014,133.04947179742032,142.39817439631514,-192.423140595701,208.40538595959993,222.22036303140266,202.74690012486496,264.18783268804566,-18.327016679842814,500.6708620653659,-32.93191295103941,362.5269699426682,56.40290594197489,262.49539413042373,547.5119205988694,171.20786975206408,117.37285284195701,-31.834536189152686,-117.60473693683102,57.30663131708826,-50.92499920021521,149.36422880059388,124.8348905373976,-5.636417295513809,-176.1709262985243,262.3505953525614,-29.22871763206666,-18.8524455426965,-92.73702811675821,152.7513741410968,216.2239156744244,-29.012355684773297,516.5917368950146,59.27232441409069,218.43461443103536,362.8876084080805,192.02093092914822,263.1531802983268,134.35845457474187,552.2001038046126
