sim_code,sdev,crmsd,ccoef
Référence,137.0,0.0,1.0
RCA4_AFR-44_CCCma-CanESM2_rcp45,147.4,183.0,0.17
RCA4_AFR-44_CCCma-CanESM2_rcp85,144.0,150.0,0.43
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,105.0,157.0,0.18
RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,90.5,174.0,-0.14
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,164.8,226.0,-0.11
RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,164.6,199.0,0.14
RCA4_AFR-44_ICHEC-EC-EARTH_rcp26,146.6,233.0,-0.35
RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,137.1,223.0,-0.33
RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,166.2,253.0,-0.39
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,161.0,179.0,0.28
RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,158.0,196.0,0.12
RCA4_AFR-44_MIROC-MIROC5_rcp26,142.7,195.0,0.03
RCA4_AFR-44_MIROC-MIROC5_rcp45,150.6,230.0,-0.28
RCA4_AFR-44_MIROC-MIROC5_rcp85,170.8,235.0,-0.15
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp26,177.3,234.0,-0.09
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,208.7,252.0,-0.02
RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,193.6,271.0,-0.32
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp26,172.6,229.0,-0.09
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,130.8,195.0,-0.06
RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,122.4,197.0,-0.15
RCA4_AFR-44_NCC-NorESM1-M_rcp26,177.1,211.0,0.11
RCA4_AFR-44_NCC-NorESM1-M_rcp45,168.6,217.0,0.0
RCA4_AFR-44_NCC-NorESM1-M_rcp85,232.1,274.0,-0.04
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,143.3,170.0,0.26
RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,155.9,168.0,0.35
