year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,CRCM5_AFR-44_CCCma-CanESM2_rcp45,CRCM5_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,527.3275355398655,551.1938470682667,553.4708705223958,476.2549303059465,413.01879391864605,691.9005025629742,445.5282504156287,670.1553090577906,364.58645207957966,790.6115235441333,487.32923974831476,432.2142485537171,583.8781790359149,553.551453743419,417.24469708940245,490.6965902653304,687.2966313828217,571.7116629909139,432.816476309564,793.4080103726174,467.3681910013913,794.6267724319765,568.5532450118565,548.8861430703629,496.8423581033738,389.12790548229134,670.4917493175419,555.7187824750437,536.0165716991098,681.4813139823628,415.6704005151937,599.1411504941402,370.81839224012674,754.1222651230371,515.380217283921,421.5441134610005,589.8034924139055,571.0484909333389,444.66890265497864,489.35973127945476,682.8576843706262,588.0891550146621,412.2428672654633,756.931941909437
1982,513.1887138783932,420.1856318917908,591.3647351283678,399.22576413544306,487.2623075859327,708.831411927744,690.8550339000426,471.1396217683929,618.2005443939818,567.2269757320887,375.3949144098798,611.3131029622651,537.6706725729061,826.9328132821804,600.9002734354686,495.5841224968775,452.36622894742004,576.4223002365259,401.1023665582476,783.8782680977738,244.12655137347053,572.3994442906769,439.46911699691566,570.8302067840925,371.3012092887156,505.11660966320903,699.2828032889333,441.026192862937,436.35904268616605,467.03998586836593,692.9906821355844,399.7072097720792,614.0956798252997,577.7472671666586,375.43363470921014,589.1930972675632,525.2605169624397,836.6139636378152,601.0843274544673,480.53171966253274,449.0247484001093,593.8371528418782,369.7436013729766,719.8241332444518
1983,420.29018741846085,586.5268495927996,360.39302815440163,275.8590626410727,327.7150488541662,422.7223175352634,577.2362549672048,737.2042181715013,567.3417364679993,399.8547651238593,480.2335481754353,659.206972089686,781.8717104310581,675.1959713293788,672.1884336487269,424.57985952177955,575.3370654488452,430.5722272717335,633.4800873499312,727.7453626054205,448.7948884643869,458.90059356647436,601.4336798256605,364.4207913973544,293.1947913943923,334.2789549380187,389.7522161828541,282.9609765128234,479.3980728085785,505.9274136250756,590.7386614607833,753.73056773184,552.1977899576273,399.0045868028667,492.82987217654573,607.9546319885804,782.0058496222546,682.0752328855779,617.2284278780788,438.25910433376987,574.8249253449391,418.7365612659965,580.0677478226717,685.3511014357198
1984,546.4907259941101,489.0543615332357,402.93920017230613,215.35014577501835,825.8548305557733,606.8863438488648,524.8777640908548,321.1326950654011,557.7750066134195,545.1026392646509,589.5477108428363,504.0783223745308,606.0292587351244,480.78542282096925,437.4463452135184,747.6396054026703,332.906637643683,420.210414095003,476.1231114528356,242.611523108785,447.74199753308574,553.5121569631189,555.9476257731078,432.06974953080237,230.70513169822064,828.9011511522416,612.8082142869874,388.50263169180914,608.2369088380188,380.9009146897317,533.0165290052772,293.5921623550222,599.7705897667952,582.2713716692783,593.0692228917087,489.34061527171735,597.7370484166564,487.4966370954892,432.3589851584084,682.4885384478798,323.06554217744156,464.3678873128829,438.63020776280433,231.8856011184762
1985,586.4297367036343,558.1380036538521,526.42350962501,264.7157430593461,713.5378490356819,637.9521571834782,532.5065913222757,421.2182610851884,701.6044138321464,494.2796838165916,520.8646842974701,387.17385515375287,427.3662816018384,483.00528992214845,527.1932860864832,318.3345575186361,707.1717796327978,663.2833593994518,528.8593378288851,441.13119851200776,433.69484096193355,575.5121709587038,611.4831431967821,510.4620870230373,277.43484936251076,676.8030078312357,621.7384528475545,543.7420983907683,500.4783851501797,566.0147138422644,524.8385779348746,409.32263003256173,693.8915178574316,487.6134762317971,520.8994572107854,377.2963529460161,415.5847277097977,503.3856052813443,514.3516766834598,322.12853781469653,684.9505747622379,677.8774507664947,503.51408563100415,426.54007118267685
1986,554.9558048248291,773.2726491113579,459.6512993776688,258.0117743233081,477.3631598731333,495.0620515286445,772.7721565445867,312.2598963500821,567.2258728867056,688.5530080690385,485.69072354165127,742.2697564567047,443.7745469364604,343.45340269267746,491.6852440781652,804.2089255780047,432.71844041985077,531.4920589575906,530.2211333867518,866.9586421770524,515.814168892002,1018.458801646777,839.5368740249532,446.96786606513535,253.0066813162271,480.9033353083144,499.0076817598147,542.510714957914,683.2436027309518,399.4128408675533,798.8339530177636,302.50685178331486,502.2617812159573,642.7945430259913,504.3613628508916,720.1684067261419,442.0231410206393,380.6530442983077,488.41657092986185,765.6510043708997,421.3147842296273,530.0786238397353,521.3339467273981,796.7590594665795
1987,522.5385254323483,630.7746647793875,293.94443639258435,549.5712143161603,522.6254923154504,551.9503696038457,480.2756181802762,826.4633842576607,317.3448042104812,753.8927114761315,692.4209256818078,529.5438203069003,447.76228985544117,319.85442355353644,590.5422042669746,519.957863037188,716.0286726069551,404.3272568399863,771.4423505677578,525.0768390717667,798.4774735396381,546.793096910035,653.3566678911578,276.9687522784863,517.5736408767877,517.8714408150761,539.3969795308476,645.1827773567062,551.0992500484028,760.3645276628283,501.88065763354507,787.1456397906421,333.62465788811164,760.5460575416832,699.7862044243652,526.9193822412014,457.64333312582255,323.58728357891016,557.1017894624563,517.2570419246485,673.0392867775972,407.66397030151654,750.8494895628808,495.9357802463669
1988,648.6055036783218,331.8230667824588,451.22044161362345,460.5538831090015,613.2619473928033,562.2896981782304,658.0632129628084,813.6157442364349,584.7501352448458,576.4524645608894,593.4751829256157,555.5811684060002,904.6493669217087,515.0336329621457,537.3629692395721,465.12469467534163,594.0290452002275,608.540770295866,404.0750160318473,666.2222445682644,495.2982952485896,523.1051423392512,364.3556772479154,434.5982639395436,453.71992726395445,570.4718977785172,557.4931826400323,684.4430078491516,396.50824308868516,731.1850222436028,664.1787389949112,781.4093683647652,576.8464874087804,564.4990001664934,629.0845029767136,519.3502197900887,862.3481511432583,520.2368824627212,576.5190709308152,465.6236060472085,595.2305895380064,583.1653221273101,391.03029181587436,650.9647155817588
1989,682.4434941411018,609.7557776462143,221.29248622132596,598.581750232382,283.8487832566708,740.6669602214807,492.90373210830717,810.316294056184,491.3938351049418,501.26287759182287,646.2448031500091,534.1332119150783,297.0263346142025,434.4642606722649,677.5947677830413,449.8956739805444,492.9441620913209,613.8769801613789,769.4179725663207,425.8255539841346,678.4355301294406,526.9838196223823,624.9700167836118,207.34277283034294,590.8256854223872,294.2598542658973,727.8662087854705,708.1947654047018,855.9458865835527,485.3113285631174,487.62184036415806,739.4118739282535,513.0210597856194,511.5108986352577,649.6792325551652,498.14772869179404,300.04790768491347,460.7620980130257,666.511257103884,426.339833222861,478.1534617287298,574.9466046385556,693.5707863711768,398.934066010071
1990,545.4467133581638,550.3284822735435,747.0956677921968,460.666197879807,312.2099432184546,509.70684938128664,683.0392834993843,519.0006594343735,459.6981127434361,723.8547091883756,595.0279242851468,548.0383385908372,540.2755899276665,824.0423424009,454.7929877753216,566.9108223165623,405.3339638629152,905.1713710724126,478.05664239043887,749.2728418050383,314.56152708929085,592.0144912161215,612.0598502106677,757.0412403051935,409.77990036107167,321.09231925218603,498.7199340126563,587.168799791684,502.1257904536343,317.1255627939448,737.5148963368972,498.33476225197,455.560548250549,703.0428365929605,640.9823143561248,546.714215333208,538.0289609221857,849.3984820692893,455.9587565487472,578.7617184321408,388.2795355744101,904.6137522569603,458.1531576037881,701.3759809163658
