year,ref,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85
1981,3888.890949308872,3726.7520732512485,3679.8268448783483,3865.7218365092904,3857.9443580345996,3967.9120296650394,3971.7674722409865,3834.0352738796437,3812.0137225209182,3840.556607998476,3824.2014143786696,3925.0915822290867,3909.6341504500288,3928.8505065714025,3922.3511363379803,3560.8545372654644,3552.988597913477,3898.2058839875626,3887.6739080240163,3808.252639568761,3792.356913423107
1982,3978.595922470093,3960.330138612365,3926.617449169605,3778.4565010975725,3777.502905898944,3777.2567404898173,3784.913733402314,3762.6205288494443,3736.9527835693125,3811.739488890043,3806.667961217775,3745.3410479973154,3727.8916357955477,3627.8405154843185,3622.8095576541477,3868.6087852929863,3865.144032368568,3861.6342206820063,3845.958007597707,3760.3143018302558,3738.3230099084785
1983,4020.5012359023094,3843.210715879245,3800.2615027532115,3779.388858038938,3779.509868356171,3537.0742076206916,3543.247968690176,3843.795273672477,3818.166038610547,3576.102608401757,3579.750145801906,3742.0151180962403,3731.791421127749,3646.6154990708264,3642.330718407656,3751.5517154539243,3748.4991719105055,3729.089099146308,3719.8111132557083,3757.8778045164613,3734.9946620280707
1984,3980.812926530838,3866.850727426427,3824.552138296277,3902.542220526856,3898.3555561431563,3953.1384712566323,3959.0978469719707,3812.9228583119657,3788.6406771064217,3972.734380033486,3958.484229564533,3932.779777991829,3912.8644757270768,4137.871275427138,4128.057727197854,3741.9443807739813,3733.020571696615,3813.798967266229,3796.8736792786303,4068.5568910628426,4046.0143735338497
1985,3981.861348092556,3789.8001160499466,3751.904800104503,4006.541444004871,3997.571115236782,4030.4361938067623,4034.8651073365677,3883.177380378013,3866.757157161187,3647.703840654526,3641.6145226935528,4016.005787356504,3990.4875433377347,3863.0625220076095,3859.1616386925252,3793.485454973859,3787.038020363887,3975.614126870897,3971.5012416293303,3772.2091608895794,3753.6666262001118
1986,4110.628902077675,3841.382046567208,3801.5632411503984,3829.3806914104134,3826.171812525499,3871.165380576649,3875.4563639302532,4066.44025259749,4039.9524509742923,3836.2207476077806,3826.93063470004,3804.216229732543,3785.951627148932,3865.9795293662055,3865.888104920185,3911.9163987706174,3909.508159850093,3847.068519647043,3838.587860244673,3785.522214759977,3766.629548801384
1987,3863.350374519825,3638.7199805271457,3601.253402272516,3857.0022736822484,3851.1764749301033,3862.280460497951,3870.149140745126,4066.198407656868,4038.1057633836544,3778.3260380085453,3768.1374348515055,3966.9065129539363,3956.25371687904,3697.1111962712534,3693.799709265112,3857.925791961802,3849.9397467634626,3693.2485373892273,3681.0286523124123,3928.22146334918,3907.0230760585437
1988,3941.235686928034,3724.5975362672584,3684.0391185530066,4046.795764169046,4051.7820764177104,3916.410549608135,3913.327439295793,3829.1418359597333,3811.5308492187824,3778.594157772565,3779.0278107004056,4005.3238599553083,3977.677618606038,3718.9910785944685,3716.972279043704,3869.355079649801,3868.5597665841906,3943.191761368675,3929.7366091730764,3875.3500147171935,3850.00648246378
1989,3746.5068271160126,3821.2257596633926,3787.80732446996,3928.214060290536,3919.8352168322963,3895.6071167801733,3893.3156669878285,4010.0584642953,3987.8530076433726,3743.9300501153994,3739.98618872959,3829.28096461131,3810.216215481499,3787.106363587931,3779.0899767637025,4011.1883881065182,4001.368573750973,3807.6352228737733,3800.4855297239046,3864.7399109168136,3849.340698577218
1990,3982.928593814373,3898.7708022203296,3873.901513781107,3845.71837523414,3837.8455562540394,3789.0239309273757,3792.301589094879,3908.12960578316,3885.5602204855913,3773.8980225393257,3766.796681868497,3811.288879238872,3802.169630985805,4193.1352047032615,4185.212693099384,4111.874354185542,4104.211912959381,3993.3191944220657,3973.2786090161103,3823.6863546193445,3800.98744413906
1991,3956.4858071506023,3854.0232103055055,3814.0556035874542,3964.104430124291,3964.8277975542865,3704.8536240442545,3705.633735328228,3821.363726391722,3798.3094625915214,3779.473347330359,3776.393533064693,3736.3368201575677,3711.188612744456,3738.718424418415,3738.274340655884,3928.963213617015,3920.7717646621068,3866.511668998982,3852.7347107133414,3861.903845469857,3849.2402606548985
1992,3757.621872484684,3747.6277810883894,3718.2638552313597,3935.1712426143063,3931.3422308196114,3977.176375956232,3976.1667022344036,3926.5556435313747,3906.552615377269,3679.80746543788,3675.835810817895,3760.262358751713,3742.7850217801015,3591.7182272579685,3593.1801941716376,3770.1411596409616,3764.2631686418426,3678.8121400671157,3671.4404561000392,3798.841913682391,3782.642727386599
1993,4022.11021310091,3648.720221449681,3614.325951006833,3854.560760780114,3856.3751661048086,3838.4909164507735,3848.7410266361317,3743.7620194619085,3732.8193532088676,3847.774568568032,3846.68784582193,3745.261503238221,3727.472960493328,3816.544388083641,3808.8848510959233,3912.341474867974,3906.2849746283005,3916.90081858838,3908.8769252695975,3831.106494651702,3809.0613783860963
1994,3826.7948931753635,3779.2373636236543,3739.3676372575674,3855.606542658212,3850.0411319535956,3757.610795924389,3767.582089967037,3898.897094510119,3876.560484327109,3820.0609760120246,3815.886588115419,3793.4917204678572,3778.3153987560836,3796.6150711822634,3794.785234196645,3865.5794799478163,3855.5837612580735,3957.417046710577,3946.1147888179676,3950.994313711777,3925.270333272508
1995,4008.468593508005,3681.088148798681,3646.2683956643627,3754.37159073865,3759.94423737141,3882.0418019626577,3892.515410362669,3960.4368853303595,3935.586510382056,3709.334585457021,3706.110349892767,3838.561878998822,3819.545817279909,3762.307986479982,3759.156053155806,3835.336776636975,3821.2980856210206,3841.7960530900737,3829.3493122730415,4027.958820551977,4013.243287118123
1996,3803.705361545086,3955.210269257873,3918.76449452256,4025.291892773941,4023.0936988249396,3848.5748623698937,3853.768447096566,3944.4228243236616,3916.4918483742986,4096.657486446907,4081.237866123768,3745.5306811802902,3727.567651976307,3859.3585450731193,3855.737433795769,3733.355563082067,3726.9083525655033,3834.700915965985,3817.889757369131,3843.29623371464,3818.8902718585805
1997,3865.055995762348,3902.5561955576222,3861.100200548229,3946.826815058299,3938.0702176327354,3947.30636684388,3948.0055775068704,3884.6306459105645,3866.6421753297063,3901.086637132295,3897.835800748179,3835.2546405886433,3812.857958016491,3759.0786159809195,3765.998322663908,3732.4130875008964,3726.2475849724838,3997.426299639997,3973.5111238787736,3910.142331707487,3889.694209623704
1998,4176.188043892384,3942.492650791088,3897.071705578771,3855.5099430484597,3854.865143623841,3894.0358875620745,3899.5461107142173,3822.773361493968,3803.5295377799966,4014.1379099920855,4004.092463907902,3891.4378906835236,3866.5526676994164,3909.7170382682316,3910.72882889052,4066.6165934958626,4067.5458683918346,4022.401683497559,3997.773764885278,4056.4158134438503,4043.4541695029748
1999,3795.9049775600433,3767.6733741156404,3730.2961918939345,3729.9425715136226,3730.0293403613523,3840.0175092571844,3841.7147518054585,3912.3567306629984,3896.7846426456126,3730.4967271459,3735.437496234599,3831.5542077481527,3811.582509483667,3819.934449170204,3817.9143680606358,4034.1378879515137,4028.054803259095,3888.556813023094,3874.915769609659,3885.8761540048135,3857.573194605414
2000,3939.7921506762505,3724.551734884055,3684.6238820062244,4096.573974012308,4086.687240366663,3773.2925765642294,3775.9955135325918,3854.53848776563,3832.023203378567,3837.042447944986,3823.340178991251,3751.8344621561178,3732.923647164162,4000.801126813815,3999.04449639294,3912.423895856257,3906.0958962590867,4036.839155209071,4012.6634700856553,3779.4283179386225,3765.416145168568
2001,3959.0475068986416,3982.998715431901,3943.7869024139554,3922.66081158814,3918.293290557228,3955.4053351484836,3963.2350449680257,3822.2550567206017,3806.0873488581547,3810.6469654159823,3803.76405481089,4033.896211993181,4008.680431261755,3696.9477226898084,3689.1843981114616,3853.7025887535797,3843.998494885188,3822.92497292889,3811.870794998675,3973.884432153412,3951.643465723834
2002,4236.799484848976,3909.3067221656675,3873.084810468594,3869.159682955472,3871.786687160933,3930.4808610700493,3932.3269563209788,3701.5000771114665,3688.80397438397,3913.9112334382035,3899.0924146586285,3747.719215042017,3726.298350365967,3939.2633280165564,3942.9336545425303,3940.01336574214,3937.592141152075,3730.114030021967,3724.9491327305414,3974.804004998413,3948.8184040831306
2003,3873.8881538808346,3903.005314529143,3871.809488240214,3817.6397917361905,3819.671486306287,3760.039943696786,3767.258116020218,3822.944393002676,3799.6557118577566,3986.05271357675,3971.71554648555,3970.7777635151224,3957.8339533632147,4084.895941157599,4064.805517837292,3995.339705800877,3988.31697768327,3859.5395612189327,3841.413885431824,3891.6136480054793,3872.7197384304777
2004,3965.4029402136803,4081.4892518982806,4028.028431081315,3955.6668820865843,3955.7852340414124,3923.0616564440447,3922.537794048492,3921.3351662944387,3900.6774691132905,3994.055448539763,3982.3549447793616,4082.537775176848,4058.3815490427028,3805.179030304877,3800.5989890660253,3958.740438957413,3951.162098612994,3905.4554517684323,3893.9858544543713,4134.205562235813,4113.8143500076285
2005,3882.6336696743965,4167.227690297587,4120.7484009344935,3892.886439321891,3902.77866175245,3956.3171331061026,3969.706022782413,3920.5236128242414,3888.5075542561003,3903.0155858314447,3887.4749393123498,3806.2590317525287,3783.9895747688765,3876.6956257516354,3872.554919904598,3760.21246558859,3749.7861069929577,3997.946542636928,3993.4673173123265,4061.0031147019936,4041.5212648151414
2006,4056.979228824377,3917.724300710841,3908.904273403799,3924.936353636628,3666.1452107248506,4077.07051213502,3971.18654795323,3893.213543480566,3977.2863620932917,3815.5999965705096,3783.595204714707,3982.0189405756933,4082.9738200828806,3902.7180674405954,3700.921454906643,4035.3019099705753,4015.174401472733,4075.718688619543,4034.538463990392,3945.1201345939885,3971.249135851319
2007,4148.898897916079,3858.3649778135336,3892.4759642896156,3971.4979183684673,3844.60400928352,3908.595062881772,3783.5673477573782,3958.63065661737,3728.764257028036,3794.6452144851755,3779.081767588964,3949.3397074203804,4245.936260978482,4005.9035088527194,3860.5924695142685,3982.009552888161,3875.894350913525,3902.047594787592,3841.3048441618116,3888.869789890511,4062.4949142231476
2008,3768.8835596442223,3844.6973186013256,3851.0188833749235,3981.8032208586383,3977.891184176942,3931.95590921083,3744.1806609179903,4027.394773812316,4063.1586584989154,4010.705009159805,3918.2173732916535,3985.4979353992358,3953.9389338911838,4174.904912889604,4103.711523477473,3840.858195723759,4036.6080544292363,3999.817946503747,3712.656410747927,3951.6341275679792,3897.6179479758457
2009,3904.749345779419,3996.709704871223,3728.788620760081,3891.776768349563,3893.4840702892852,3876.063122065949,3883.544008296844,4009.585495307,4113.733597534979,3866.289039331137,3848.9456480003437,3828.21425901021,3876.41640942728,4071.095676837741,3998.2144015893573,4106.695460154966,4002.051280085643,3870.3300733890137,3795.444351300465,3912.52825921177,3962.9535051596954
2010,3745.715880781412,4108.526864818733,4126.951256803608,3885.749870711039,3936.3303998598553,4092.4493944812757,4129.125645947009,4002.4693029828413,3962.6825956562375,3968.2628701930275,3725.8645847526227,4114.364338061332,3721.2348257135036,4144.96787114765,4089.8182149395534,3994.080684995588,3782.747074795546,3942.0755444940855,3945.4496521140613,3975.8771320963647,4039.4136617765325
2011,,4086.2883009179336,4037.136489731134,4013.1017701861274,3781.4174316033186,3854.8031423046673,3880.0289058399017,4055.552859419072,3828.6249433981257,4109.142524898372,3765.8138060098636,4167.866541522111,3944.575032520716,4038.034957626816,4111.898570113986,4195.265104972105,3983.5125993946726,3879.19413449251,3977.3491204221486,3919.0571128061383,4201.838956575679
2012,,3771.6237183347494,4030.20715515595,3800.137826087289,3962.2909455546314,3827.301445324444,3780.0702090031527,4141.449736131839,4120.658578142196,3891.5715092132777,3853.7295140264782,3986.4137482057677,4170.879030330806,3918.7385834651573,3899.6651262616733,3948.5128735511466,3946.0104747849177,4039.6338614078954,3848.9357807746856,4043.8963698283387,3756.2570315897524
2013,,3747.5410892186783,3767.4900308850406,3931.680210736796,3913.524290832582,3989.7361566588884,3865.613634569149,3903.8264621296735,4164.924239533575,3974.7093753066683,3944.9825596376913,3932.132236344806,4153.044909664704,3958.0585167802387,3972.1945823772426,3918.5884621786504,4113.631174415395,4169.901530541697,3869.066167307001,3984.125808209778,4040.8200310872035
2014,,3860.4023430635934,3804.9505111805915,3965.193450034975,3926.1038428301954,4040.5849247598,3837.354250885625,3947.897426198059,3900.2049614500847,3924.9187034452693,4002.7627313671765,3952.191485827354,4058.564617053173,4293.196421471672,4011.596548973824,3879.353177041811,4225.809967982896,4024.4089162764403,4062.7478318475073,3927.340982309323,4021.2056332268276
2015,,4067.797200193358,3847.261354576477,4006.351438209018,3909.988385447676,3944.2858913378227,3762.129011852842,3975.910288357605,3954.1241215319346,3908.813756949691,3738.0049056437474,4178.0968485403355,3960.911925734881,4036.5452425103003,4003.7152380740895,4012.928963237298,4142.061823253089,3782.3211121783324,3954.2622928314017,4232.451497964977,3833.566585786207
2016,,3985.289757085413,4268.347050890907,3929.058065473399,3958.08245538728,3914.743728543797,3843.3029257969865,3990.8233478003153,3936.3328040316046,3988.8966782271295,4086.5905291687186,4268.960554670446,3801.7143492385453,4045.433765808414,4094.5934321548166,4044.7700977522964,4288.526503519156,3998.763046478763,4272.674605301081,3887.067691502217,3943.171069616106
2017,,4158.003072728701,3742.611235208686,3957.9538197898773,3880.0461793907057,3929.8283773062894,3888.083426239278,3782.3439235191818,4026.245363264886,4169.819997996777,3906.7583130194594,4047.393726381069,3991.601802074598,3938.3353731191387,3944.087750285337,3783.8986869047367,4149.442425132532,3806.926191152316,4105.215730117534,3956.2956091138676,3999.0248296435666
2018,,3837.172354211536,4035.1835598210146,3841.7562490247155,3947.471926739501,4121.345730901046,3986.45433296217,3892.17789779969,3940.17991477223,3939.612850357498,3796.138141620129,4004.383706499339,4154.69850900293,4119.411462838669,4011.328828114153,3977.1405267097334,3909.723779912155,3976.729539910234,4084.0868156264996,4430.921211163316,4031.6729266903376
2019,,3939.7050988079714,3946.887225009039,3993.387934938807,3837.0901354082544,3850.1061179632266,4127.25113006459,3870.9821283847655,4054.1691076629704,3839.212325025223,3909.322462229467,3948.911870663546,4062.459184021207,4194.20951005773,3919.492762079105,4110.958568122119,3888.0448255205474,4009.904802158589,4167.072244504642,4071.546461396624,4099.320276342122
2020,,4032.351064056005,3992.332240746262,3945.7925639002506,3972.5384563327543,3976.772556932564,3807.6982271048264,3946.9816812127583,3848.196309503412,3834.1967401564307,3967.712645987889,4074.639289580902,4303.587005559474,4254.127284312363,4065.853573429069,3908.1474238120827,3925.6478108201945,4018.5330832699474,4164.639955758365,3996.544490177943,4002.792839868702
2021,,3965.639796997309,3963.4414147417892,4045.0873392583344,3944.1025952219657,3774.2161717086187,4013.912582403451,4090.2988489315176,3920.182696558847,3930.5595983714315,3930.8294930879856,4125.877801085216,4006.5284862393846,4063.081516232128,3875.347624918676,4273.195355567275,3935.748768734681,4134.704606434207,3980.3330349148546,4090.130206460486,3869.9309513194494
