year,ref,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85
1981,0.0,-244.9195654687877,-237.1051515435464,-128.96510269048065,-156.66560380676106,-524.2704148970963,-537.9660869857803,-108.69686732696687,-112.3697950356327,-14.129657674495547,-29.599402477598574,33.6182824173834,23.078149896399054,32.188465550398405,24.52871604807342,-71.53161512000781,-76.12316557638451,-203.3843679709338,-223.90521272038973,-158.37291529331958,-164.61845136184638,-175.98727658958796,-175.25192462455652,-49.40402456102606,-43.649901523796984,-157.5617219978933,-164.44425730082298,-256.7295159529849,-262.99258672910776,-83.58283871714639,-90.79263885140574,-169.36549700763987,-178.49081978817685,-28.22790913678432,-30.388208791198167,-352.58620058257554,-363.5429873205396,-156.21223284631765,-138.36733237774115,-284.7294413785879,51.09252893067878,-66.12184606326855
1982,0.0,-244.0886636489205,-235.1218671372576,-190.15362999372314,-206.89050024231528,-583.6120787862709,-595.81649113697,-45.723503848772566,-42.980499423221204,-3.7269160372392207,-15.200340148220448,74.16690619600081,71.53848990669303,12.953517493743902,2.5162079448277836,-82.32185339557236,-82.89383197897723,-106.71631231300785,-137.04710410730786,-271.8063768136118,-277.12043068093203,-150.17199903513472,-146.3945314852549,-98.3382058797024,-97.24751453574015,-77.24528687629345,-82.42907551268854,-162.6448338754642,-169.44129378798618,-78.18462018189507,-82.37911400436246,-189.61631664817992,-193.8781893697186,-122.11841272772813,-126.64796807942571,-299.1765219495834,-315.43927971322387,-173.5295336473148,-169.37015454053642,-167.72191193191247,-82.3886396482992,-62.63540912282269
1983,0.0,-213.66870706309192,-206.48453000788766,-277.0837481711145,-302.40636273187704,-511.3599842064024,-529.9100208294999,-42.85913421656289,-48.24915134437322,-42.85338805940603,-51.92045147485544,-14.627665629736612,-26.086770057924127,-76.45682640677353,-93.81672822270355,-8.640173686400658,-11.962246057810717,-215.4686116256505,-240.98663397667065,-176.89258744581457,-191.3058434663401,-79.97029378948264,-78.89161736998324,-46.22202562854443,-39.12962241864659,-135.83245207213236,-134.78816289924362,-83.56692295547589,-93.58473159838616,-70.82759497687596,-80.83265442144148,-108.77408811405621,-116.60653947536775,-123.1885418190775,-127.45350241933238,-163.22246830187055,-182.8410099234327,-105.40603954597202,-105.25976529367802,-376.64309901631486,-37.892914597554636,-215.6085563787741
1984,0.0,-252.50721833656178,-243.97534750442003,-279.7374436339086,-313.1731236239424,-697.2616514265931,-705.6279028108943,-62.60764287574739,-61.931724212099994,91.3103425359493,84.80374229465201,-26.155377545836927,-27.638096146813268,-106.04157754463131,-130.8699433388099,-77.54782122275151,-83.2487283342881,-357.10199979778326,-382.0167120487215,-178.85840509736124,-188.77216323243715,-123.81165453555116,-120.3553878469902,-101.70877916137408,-100.51461543401365,-78.88901430836813,-77.9090979996015,-292.88244694210994,-300.2377763705898,-97.66273536135964,-104.27074145405231,-243.24405162754192,-249.3250860643019,-25.479555076758174,-34.54243529492726,-137.7678656028536,-161.30747919202122,-109.72623934804824,-105.41935084720933,-218.47359122240994,-14.437986581194764,-114.72272693099183
1985,0.0,-170.14390930690354,-163.45164731181762,-245.8426074166166,-272.2452533273985,-473.0480158631285,-481.1785154961326,-102.11331409904574,-108.31641687580316,-65.69229478742432,-81.1454235826493,17.67012389108322,9.725985897784994,-1.4543643056614428,-17.47301219243468,-127.80900169237736,-131.53769624160952,-295.14649489422834,-311.423769406814,-174.28467843809597,-181.67131888255824,-196.42699300851336,-192.9583942425686,-68.55653302854262,-68.56757239259173,-188.87626524217217,-182.0531602956912,-199.33844238757558,-201.99331106323507,-109.11184805079733,-117.3694920503807,-137.10255173738744,-143.755159177196,-99.21479224861002,-101.96854411290497,-252.25038521202282,-272.8453446946978,-148.90985420517518,-141.7226786967318,-75.25164832303199,-23.57322917811075,-119.5320435107318
1986,0.0,-157.2761450834173,-153.72192984838978,-149.9180760213485,-180.84117431611048,-493.8666286001999,-501.6018348968013,-112.19602775729277,-116.26759798106593,-121.62822437600971,-136.07291188273962,23.102153143351188,13.579274608531477,-255.53676739557488,-271.1416332666786,24.856404248124818,18.826084796339046,-190.83518096291357,-225.83888837013842,-141.16569332249242,-152.68761514174992,-91.1731973672862,-84.47905058017034,-24.170950861887377,-20.6676863659751,-233.62625576559412,-238.42798783450257,-206.9889827331251,-210.94982588061657,-40.34026134062424,-43.02293079602077,-183.75288056290765,-191.0112304085078,-53.845355830596304,-59.242375848205825,-247.42669588400508,-263.9910830220323,-137.281193874451,-125.98866269896018,-44.18032488221138,72.22215408728971,-9.46392833558457
1987,0.0,0.588828080790222,4.911649344125522,-254.86908305991392,-317.10589769658804,-299.702252913553,-308.38225398163354,-147.7185233205164,-153.94717749710662,-24.955924413988328,-42.690443126521586,52.4321886574387,47.952723846594154,-95.13592711397757,-108.13619104997122,25.247723289989608,24.633404695285662,-62.15409100039096,-87.78436718087914,-114.17429921765608,-116.41512254789666,-182.43688103324666,-177.44525477354296,-26.7514125505769,-27.35844312321808,-145.80107384886833,-162.65809722019276,-136.5475483441288,-141.01824793926733,-63.19749549400785,-66.4357406166946,-82.76625358907188,-90.79273633036405,-159.70358245716466,-166.06252246917938,-126.83372019199294,-149.4671329247568,-108.48555496628899,-98.30149309935166,-37.76673684451862,28.808035736592274,3.7320852273521723
1988,0.0,-147.42937457073185,-141.58416145087074,-249.5660123435273,-281.203955144317,-224.06992585713783,-232.98824426223507,-96.00971490957295,-99.46160504394982,-67.29099236846423,-79.53097229063133,20.508754001152965,15.440350244453612,21.42264704228569,21.78618120775718,58.11018230578884,51.72029891370789,44.402351787755606,14.090920208825537,-205.38487339659332,-213.33312004674747,-227.383961525936,-218.8007188220597,-80.7151346091249,-80.87758749490354,-107.84040108848762,-108.14011359516542,-245.5550396305432,-252.99395409496174,-180.34346483414333,-186.03213248035547,-70.30665986091412,-81.0049325980201,-131.30090002575957,-132.60714116509962,-329.5985312558562,-345.6385372556298,-49.25677520633337,-41.51876682696832,57.177781411235856,33.96027988573337,119.9777393107272
1989,0.0,-253.7653522556809,-248.66061614187583,-398.0459566470548,-449.54179337571327,-433.0589940407722,-447.8083982065052,-259.6481338199693,-276.18791825202265,-1.1221774283828836,-12.818635496233924,-43.73019166823212,-51.04671645367398,26.32838636237807,11.29825403356881,75.02128447131918,71.34328062727286,97.46346786942445,69.92305066296035,-167.32188680724414,-173.37889404902683,-172.67992285247942,-170.11967631035714,-81.57114917874867,-84.86564621185312,-106.51535423933456,-103.43677161655421,-176.4565746290383,-181.21019372183378,-90.75929993940758,-98.13955865187154,-85.99215712156081,-99.42684429274709,-103.80133081468034,-105.14038277998498,-147.35795967729462,-167.21863145458985,-138.23310988018181,-130.21592789153897,-30.109106964447165,-78.81460345824257,14.632497827775069
1990,0.0,-162.94646190195,-152.61283900461683,-300.8422701247998,-320.39931149541917,-579.3686952043438,-588.8709167645936,-301.517136342351,-323.91794094417605,-55.981053047293926,-69.3732390455151,-128.35287668014837,-132.38614177154545,110.90525416583296,97.8783920105509,84.09562956556533,75.4038534299068,-121.47634380270404,-140.15337734910383,-190.21620304115118,-202.41629346854654,-195.9072073617932,-190.76591236357592,-51.008972978110364,-48.670961986056,-69.57443785967052,-76.23755118926533,-172.28135027915755,-175.75378226474606,-94.28558055788108,-101.3773623845882,-356.5188836911559,-351.33627592221046,-188.39665061942299,-192.7571814206641,-312.783433282062,-325.66937898284516,-133.7305061845757,-123.92900787793667,7.417267802967672,-16.513758993952706,-149.59841229023448
