year,ref,rcp45_moy,rcp45_min,rcp45_max,rcp85_moy,rcp85_min,rcp85_max
2018,0.0,-116.76606256359389,-602.924179280735,81.15314031033267,-170.30689948576963,-511.1817795170442,83.2533858392012
2019,0.0,-164.27252893526193,-720.2798085978505,43.42761351334002,-152.42400784682022,-436.18133491946,149.83793379407757
2020,,-144.93870010244558,-602.1225213188058,82.76459357703652,-170.0461100626301,-651.8397387949635,62.6346849491847
2021,,-145.13159016082054,-475.3413973859632,70.7975008979206,-147.1050590385156,-423.8327962600855,84.98852825913741
2022,,-119.0763154256586,-431.8642082504465,110.55559435035025,-163.16458542780157,-572.7307246448081,33.53679473900229
2023,,-141.35280721454345,-539.2723623950383,102.65165976877665,-194.03627954409947,-892.359496873343,61.913839544742814
2024,,-177.64506769652243,-658.2468291628213,-11.344816269084845,-145.09521470161576,-374.22498765897114,24.946114875823014
2025,,-185.17490744655146,-472.09271310974896,15.492457660582659,-144.26074651053287,-441.4609394088178,12.409348837617244
2026,,-191.7505715921878,-561.9232942837729,-14.975537874364477,-161.0213079454522,-612.6948114563926,32.681668796275744
2027,,-191.64935972481913,-639.8877643661051,-28.95138650117167,-147.2915055487554,-389.304877913729,49.9243574798395
2028,,-133.23937874129948,-485.8018989781672,127.4020020627554,-119.41395238439947,-458.4234788406002,139.20993165603454
2029,,-130.35188090251455,-469.4855912355504,111.96958626849255,-164.89926896775566,-402.9175583925128,67.03061959189654
2030,,-130.61632481897854,-418.46280887444846,76.05886703578244,-130.79624335785329,-379.3068075001819,86.20037049535244
2031,,-114.760652180175,-390.3752085875137,120.39651902921332,-130.53387460119546,-529.0679526228071,118.96693372237314
2032,,-137.0988204807278,-499.4384551567813,84.73263844540065,-153.47599611673024,-580.5869222198298,136.12602082923877
2033,,-129.25154812496888,-358.48472422705333,114.22217028559726,-164.73728184082123,-438.1894751640482,192.1086862501429
2034,,-137.6199500401373,-279.4362496585205,37.79769117235446,-171.328845360914,-560.4587509564519,126.66145233210455
2035,,-113.31661390936712,-279.5074544580417,108.48503118107692,-116.49111363391616,-369.15728507348547,215.40423669201755
2036,,-104.71123836279872,-243.59978060579465,151.08055542224884,-108.06323979807463,-374.54158951045486,73.6840558764211
2037,,-136.08300241133176,-376.6838993345924,112.0065287622574,-116.80928519843593,-343.7786989617183,79.817102880211
2038,,-131.5888930196016,-313.26718336781994,129.03522602221688,-145.618235726226,-385.447974657008,154.99566836108966
2039,,-107.24983374103654,-262.64322335337135,180.30047604182914,-201.78122023558706,-650.946014971032,19.326910602409725
2040,,-104.0184978662802,-392.67819079126764,165.17222142531455,-131.9787940591006,-438.4464453069188,145.79921677095012
2041,,-126.88194155428779,-301.573440075343,142.40630591418562,-138.73935503349324,-516.0621660312788,99.95799273227931
2042,,-125.7360267887272,-381.49942459954593,147.9378265515486,-145.9720395617161,-497.72302935475716,48.6227464076735
2043,,-130.42265189878307,-322.7976620584868,51.462035657065144,-150.41125019560124,-479.2222089041769,64.97934238084213
2044,,-145.87842850402475,-551.6749097341794,81.6281176152279,-160.2362009245853,-539.8055486129127,67.09736442489361
2045,,-124.09497960065843,-368.7280032326556,122.55715949937326,-155.99498106146146,-539.2607012992148,62.44283607032344
2046,,-109.77688940784283,-457.1924418539477,54.07429674303694,-128.4416997200559,-492.57749035095264,60.48812917853934
2047,,-143.37758397041233,-602.8520402564509,91.84059625805708,-123.20129448343727,-365.88646807394355,87.95491557286573
2048,,-163.91475995098705,-565.8873732709401,102.38118734156023,-184.22372594364472,-479.70777359605995,54.90357264521026
2049,,-149.59944805064058,-613.7670141314369,79.1720600861745,-160.84238081409077,-565.4716477084651,25.99715199189427
2050,,-200.07336168604152,-625.167190766774,119.23196996262641,-126.49566640091838,-564.8149014357766,52.655048806512696
2051,,-187.92225916465813,-630.0752669415797,45.34307018328968,-145.66876416792653,-611.7810026352913,120.6376583928195
2052,,-183.4992168698778,-718.3743580301507,106.76982062981529,-153.29624092096756,-617.6836996089039,72.67108343515565
2053,,-165.1429175566532,-603.1199967546429,94.74446809010146,-221.75508226978383,-673.0271708641113,76.35158531719321
2054,,-133.32756980359275,-693.6401684690184,107.43499446267265,-164.7646095431296,-432.25026603238473,108.66248386725192
2055,,-141.6632731577246,-596.6266571843403,164.3195840775702,-165.36008753346266,-571.6985437066699,46.12742319146537
2056,,-119.08325987995354,-484.9883868457715,168.49166220498773,-201.77350541882632,-628.1816252185043,-4.322176791430479
2057,,-141.5485057777026,-534.9837746686999,70.86202527030991,-168.70608560313838,-595.3689754305462,41.15563959029237
2058,,-135.13812867784122,-380.1651188089767,22.030745336785913,-180.81653120977955,-744.1940662671891,121.657526498783
2059,,-163.62005784082783,-628.4250705423369,42.81826569625878,-172.54886739824914,-669.1831949573068,85.95278046711724
2060,,-151.36232120812542,-649.3071900827797,114.75110567212482,-174.1780755109048,-593.8673359427411,112.40170202663512
2061,,-184.07801796742459,-829.7363448691592,38.783575195102685,-110.41676121776204,-364.1558892180112,131.18548558389648
2062,,-192.26126595557002,-477.7272540685552,20.75009801641363,-154.40850081406387,-529.2839448451901,120.57310934581051
